episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,7.05,[nan],0.0,0.0,0.0,0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",burger
0,7.45,[nan],0.0,0.0,0.0,0.0,-10.63,-10.89,"[0.197, 0.0, 0.32]",burger
0,7.67,[nan],0.0,0.0,0.0,0.0,-10.63,-10.89,"[0.197, 0.0, 0.32]",burger
0,7.88,[nan],0.197,0.009,0.32,0.051,-10.599,-10.889,"[0.206, 0.009, 0.64]",burger
0,8.08,[nan],0.203,0.03,0.64,0.15,-10.558,-10.886,"[0.206, 0.009, 0.64]",burger
0,8.31,[nan],0.198,0.055,0.64,0.278,-10.518,-10.877,"[0.206, 0.055, 0.632]",burger
0,8.7,[nan],0.184,0.092,0.632,0.469,-10.461,-10.855,"[0.19, 0.092, 0.312]",burger
0,8.92,[nan],0.175,0.107,0.418,0.553,-10.425,-10.835,"[0.189, 0.107, 0.197]",burger
0,9.29,[nan],0.15,0.115,0.197,0.658,-10.363,-10.791,"[0.186, 0.115, 0.123]",burger
0,9.7,[nan],0.154,0.131,0.246,0.708,-10.307,-10.746,"[0.22, 0.0, 0.222]",burger
0,9.91,[nan],0.147,0.139,0.246,0.757,-10.277,-10.719,"[0.203, 0.0, 0.205]",burger
0,10.3,[nan],0.135,0.151,0.205,0.843,-10.218,-10.658,"[0.22, 0.0, 0.115]",burger
0,10.68,[nan],0.136,0.173,0.115,0.904,-10.162,-10.591,"[0.22, 0.0, -0.025]",burger
0,10.88,[nan],0.122,0.162,0.107,0.925,-10.137,-10.559,"[0.22, 0.0, 0.082]",burger
0,11.28,[nan],0.13,0.177,0.008,0.937,-10.084,-10.488,"[0.202, 0.0, -0.016]",burger
0,11.49,[nan],0.12,0.163,-0.016,0.936,-10.046,-10.437,"[0.22, 0.0, -0.074]",burger
0,11.88,[nan],0.133,0.175,-0.074,0.92,-10.008,-10.385,"[0.202, 0.0, -0.033]",burger
0,12.29,[nan],0.134,0.174,-0.025,0.913,-9.956,-10.318,"[0.185, 0.0, 0.016]",burger
0,12.7,[nan],0.113,0.146,0.016,0.912,-9.907,-10.254,"[0.22, 0.0, -0.025]",burger
0,13.12,[nan],0.126,0.158,-0.041,0.895,-9.83,-10.156,"[0.22, 0.0, -0.049]",burger
0,13.49,[nan],0.139,0.17,0.016,0.886,-9.802,-10.122,"[0.22, 0.0, 0.041]",burger
0,13.88,[nan],0.126,0.158,0.025,0.897,-9.747,-10.054,"[0.22, 0.0, 0.049]",burger
