episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,6.7,[1.09],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",burger
0,7.12,[1.09],0.0,0.0,0.0,0.0,-3.71,9.21,"[-0.127, 0.0, 0.107]",burger
0,7.32,[1.09],-0.127,-0.002,0.107,0.018,-3.732,9.21,"[-0.127, 0.0, 0.074]",burger
0,7.72,[1.091],-0.127,-0.004,0.074,0.034,-3.757,9.209,"[-0.13, 0.0, 0.033]",burger
0,7.93,[1.093],-0.112,-0.005,0.082,0.05,-3.78,9.208,"[-0.145, 0.0, -0.025]",burger
0,8.13,[1.095],-0.144,-0.008,-0.025,0.056,-3.834,9.205,"[-0.117, 0.0, -0.033]",burger
0,8.52,[1.097],-0.145,-0.008,0.107,0.055,-3.871,9.203,"[-0.118, -0.008, -0.197]",burger
0,8.73,[1.098],-0.117,-0.004,-0.197,0.035,-3.91,9.201,"[0.003, -0.004, -0.517]",burger
0,8.96,[1.099],0.003,-0.0,-0.517,-0.052,-3.916,9.201,"[0.22, 0.0, -0.837]",burger
0,9.36,[1.108],0.186,-0.053,-1.0,-0.287,-3.867,9.192,"[0.19, -0.053, -0.918]",burger
0,9.57,[1.132],0.16,-0.102,-0.918,-0.577,-3.815,9.168,"[0.205, -0.053, -0.819]",burger
0,9.93,[1.188],0.138,-0.172,-0.732,-0.902,-3.754,9.112,"[0.22, 0.0, -0.638]",burger
0,10.13,[1.224],0.126,-0.181,-0.638,-0.97,-3.741,9.095,"[0.22, 0.0, -0.548]",burger
0,10.35,[1.263],0.091,-0.2,-0.548,-1.147,-3.709,9.037,"[0.22, 0.0, -0.384]",burger
0,10.72,[nan],0.059,-0.212,-0.326,-1.302,-3.68,8.954,"[0.22, 0.0, -0.285]",burger
0,11.12,[nan],0.035,-0.217,-0.269,-1.415,-3.661,8.868,"[0.22, 0.0, -0.097]",burger
0,11.51,[nan],0.029,-0.218,-0.097,-1.439,-3.655,8.825,"[0.197, 0.0, -0.072]",burger
0,11.72,[nan],0.025,-0.219,-0.097,-1.459,-3.649,8.781,"[0.22, 0.0, -0.088]",burger
0,12.11,[nan],0.018,-0.219,-0.088,-1.491,-3.641,8.698,"[0.22, 0.0, -0.064]",burger
0,12.31,[nan],0.013,-0.22,-0.064,-1.511,-3.637,8.632,"[0.22, 0.0, -0.056]",burger
0,12.52,[nan],0.009,-0.22,-0.056,-1.528,-3.633,8.566,"[0.22, 0.0, -0.047]",burger
0,12.91,[nan],0.006,-0.22,-0.039,-1.542,-3.631,8.5,"[0.22, 0.0, -0.031]",burger
0,13.12,[nan],0.005,-0.22,-0.031,-1.549,-3.63,8.456,"[0.22, 0.0, -0.039]",burger
0,13.51,[nan],0.002,-0.22,-0.031,-1.563,-3.629,8.368,"[0.22, 0.0, -0.023]",burger
0,13.71,[nan],0.0,-0.22,-0.023,-1.569,-3.628,8.324,"[0.22, 0.0, -0.015]",burger
0,14.14,[nan],-0.001,-0.22,-0.006,-1.576,-3.629,8.214,"[0.22, 0.0, 0.0]",burger
0,14.51,[nan],-0.001,-0.22,0.0,-1.576,-3.629,8.126,"[0.22, 0.0, -0.008]",burger
0,14.71,[nan],-0.001,-0.22,-0.008,-1.578,-3.629,8.082,"[0.22, 0.0, -0.0]",burger
0,14.92,[nan],-0.001,-0.22,-0.008,-1.578,-3.629,8.082,"[0.22, 0.0, -0.082]",burger
0,15.31,[nan],-0.004,-0.22,-0.082,-1.592,-3.63,7.994,"[0.22, 0.0, -0.057]",burger
0,15.72,[nan],-0.011,-0.22,-0.049,-1.624,-3.634,7.884,"[0.22, 0.0, -0.041]",burger
0,16.11,[nan],-0.015,-0.219,-0.016,-1.64,-3.64,7.797,"[0.22, 0.0, -0.008]",burger
0,16.32,[nan],-0.015,-0.219,-0.016,-1.641,-3.641,7.775,"[0.22, 0.0, 0.041]",burger
0,16.72,[nan],-0.014,-0.22,-0.016,-1.636,-3.649,7.665,"[0.22, 0.0, -0.008]",burger
0,16.93,[nan],-0.015,-0.219,-0.008,-1.64,-3.653,7.599,"[0.22, 0.0, -0.0]",burger
0,17.31,[nan],-0.016,-0.219,-0.025,-1.642,-3.658,7.533,"[0.22, 0.0, -0.066]",burger
0,17.72,[nan],-0.02,-0.219,-0.041,-1.661,-3.665,7.445,"[0.22, 0.0, -0.016]",burger
0,18.13,[nan],-0.021,-0.219,0.033,-1.668,-3.673,7.358,"[0.22, 0.0, -0.008]",burger
0,18.52,[nan],-0.021,-0.219,-0.016,-1.666,-3.682,7.27,"[0.22, 0.0, 0.0]",burger
0,18.92,[nan],-0.021,-0.219,0.0,-1.668,-3.69,7.183,"[0.22, 0.0, 0.008]",burger
0,19.32,[nan],-0.02,-0.219,0.016,-1.664,-3.701,7.073,"[0.22, 0.0, 0.016]",burger
0,19.73,[nan],-0.019,-0.219,0.025,-1.658,-3.707,7.007,"[0.22, 0.0, 0.033]",burger
0,20.12,[nan],-0.016,-0.219,0.025,-1.644,-3.716,6.898,"[0.22, 0.0, -0.123]",burger
0,20.51,[nan],-0.023,-0.219,-0.049,-1.677,-3.724,6.81,"[0.22, 0.0, -0.09]",burger
0,20.72,[nan],-0.027,-0.218,-0.09,-1.694,-3.729,6.766,"[0.22, 0.0, -0.074]",burger
0,20.92,[nan],-0.03,-0.218,-0.074,-1.709,-3.734,6.723,"[0.22, 0.0, -0.049]",burger
0,21.3,[nan],-0.033,-0.218,-0.049,-1.72,-3.741,6.679,"[0.217, 0.0, -0.074]",burger
0,21.53,[nan],-0.037,-0.214,-0.074,-1.74,-3.754,6.597,"[0.22, 0.0, -0.033]",burger
0,21.91,[nan],-0.039,-0.217,-0.033,-1.749,-3.761,6.554,"[0.211, 0.0, 0.041]",burger
0,22.13,[nan],-0.036,-0.21,0.049,-1.741,-3.769,6.511,"[0.214, 0.0, 0.041]",burger
0,22.52,[1.302],-0.032,-0.213,0.049,-1.72,-3.786,6.406,"[0.218, 0.0, 0.057]",burger
0,22.9,[1.303],-0.028,-0.218,0.049,-1.699,-3.798,6.32,"[0.22, 0.0, 0.057]",burger
0,23.1,[1.306],-0.027,-0.218,0.049,-1.694,-3.8,6.298,"[0.22, 0.0, 0.025]",burger
0,23.32,[1.309],-0.025,-0.219,0.057,-1.683,-3.806,6.255,"[0.22, 0.0, -0.033]",burger
0,23.73,[1.318],-0.024,-0.219,-0.033,-1.682,-3.815,6.167,"[0.22, 0.0, -0.008]",burger
0,24.12,[1.325],-0.024,-0.219,0.049,-1.679,-3.83,6.036,"[0.22, 0.0, 0.0]",burger
0,24.52,[1.339],-0.023,-0.219,0.008,-1.676,-3.837,5.97,"[0.22, 0.0, 0.016]",burger
0,24.92,[1.344],-0.022,-0.219,0.025,-1.67,-3.846,5.883,"[0.22, 0.0, 0.016]",burger
0,25.33,[1.353],-0.021,-0.219,0.016,-1.666,-3.85,5.839,"[0.22, 0.0, 0.025]",burger
0,25.72,[1.36],-0.017,-0.219,0.033,-1.648,-3.864,5.686,"[0.22, 0.0, 0.025]",burger
0,25.92,[1.366],-0.017,-0.219,0.025,-1.646,-3.866,5.664,"[0.22, 0.0, 0.098]",burger
0,26.31,[1.371],-0.008,-0.22,0.098,-1.606,-3.872,5.554,"[0.22, 0.0, 0.074]",burger
0,26.51,[nan],-0.005,-0.22,0.074,-1.591,-3.873,5.51,"[0.22, 0.0, 0.066]",burger
0,26.92,[nan],0.004,-0.22,0.131,-1.553,-3.874,5.422,"[0.22, 0.0, 0.107]",burger
0,27.31,[nan],0.009,-0.22,0.107,-1.53,-3.872,5.378,"[0.22, 0.0, 0.197]",burger
0,27.54,[nan],0.018,-0.219,0.238,-1.486,-3.87,5.334,"[0.22, 0.0, 0.263]",burger
0,27.93,[nan],0.042,-0.192,0.189,-1.356,-3.851,5.208,"[0.22, 0.0, 0.23]",burger
0,28.32,[nan],0.056,-0.213,0.23,-1.312,-3.841,5.166,"[0.22, 0.0, 0.189]",burger
0,28.73,[nan],0.077,-0.184,0.213,-1.173,-3.799,5.044,"[0.22, 0.0, 0.189]",burger
0,29.14,[0.804],0.096,-0.198,0.164,-1.117,-3.772,4.985,"[0.22, 0.0, 0.205]",burger
0,29.53,[0.671],0.109,-0.191,0.049,-1.052,-3.731,4.907,"[0.22, 0.0, 0.025]",burger
0,29.93,[0.622],0.11,-0.19,-0.033,-1.046,-3.676,4.812,"[0.22, 0.0, -0.008]",burger
0,30.33,[0.579],0.11,-0.191,-0.008,-1.049,-3.654,4.774,"[0.22, 0.0, -0.049]",burger
0,30.73,[0.562],0.108,-0.191,-0.049,-1.056,-3.61,4.698,"[0.22, 0.0, -0.033]",burger
0,31.13,[0.577],0.095,-0.177,-0.025,-1.081,-3.558,4.602,"[0.22, 0.0, -0.057]",burger
0,31.34,[0.595],0.101,-0.195,-0.057,-1.093,-3.528,4.546,"[0.22, 0.0, -0.066]",burger
0,31.73,[0.619],0.097,-0.197,-0.123,-1.116,-3.499,4.488,"[0.2, 0.0, -0.107]",burger
0,32.13,[0.681],0.088,-0.202,-0.131,-1.162,-3.463,4.411,"[0.22, 0.0, -0.115]",burger
0,32.52,[0.807],0.077,-0.206,-0.074,-1.215,-3.423,4.309,"[0.22, 0.0, -0.107]",burger
0,32.92,[0.855],0.073,-0.208,-0.107,-1.235,-3.408,4.268,"[0.22, 0.0, -0.139]",burger
0,33.13,[0.933],0.067,-0.21,-0.148,-1.263,-3.394,4.226,"[0.22, 0.0, -0.131]",burger
0,33.52,[nan],0.055,-0.213,-0.131,-1.318,-3.369,4.141,"[0.22, 0.0, -0.115]",burger
0,33.73,[nan],0.047,-0.215,-0.115,-1.355,-3.354,4.077,"[0.22, 0.0, -0.123]",burger
0,34.12,[nan],0.038,-0.217,-0.066,-1.399,-3.337,3.991,"[0.22, 0.0, -0.107]",burger
0,34.32,[nan],0.034,-0.217,-0.107,-1.415,-3.33,3.948,"[0.22, 0.0, -0.172]",burger
0,34.71,[nan],0.022,-0.219,-0.148,-1.472,-3.318,3.86,"[0.197, 0.0, -0.041]",burger
0,34.92,[nan],0.015,-0.196,-0.041,-1.493,-3.315,3.818,"[0.22, 0.0, -0.041]",burger
0,35.32,[nan],0.013,-0.22,-0.115,-1.515,-3.309,3.734,"[0.22, 0.0, -0.098]",burger
0,35.52,[nan],0.006,-0.22,-0.098,-1.547,-3.306,3.668,"[0.22, 0.0, -0.008]",burger
0,35.91,[nan],0.004,-0.22,-0.008,-1.553,-3.305,3.58,"[0.22, 0.0, -0.082]",burger
0,36.13,[nan],0.003,-0.22,-0.082,-1.559,-3.304,3.558,"[0.22, 0.0, -0.074]",burger
0,36.52,[nan],-0.002,-0.22,-0.074,-1.583,-3.304,3.492,"[0.22, 0.0, -0.041]",burger
0,36.92,[nan],-0.007,-0.22,-0.041,-1.602,-3.306,3.404,"[0.22, 0.0, -0.025]",burger
