episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,5.23,[1.41],0.0,0.0,0.0,0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",jackal
0,5.45,[1.41],0.0,0.0,0.0,0.0,-8.52,-9.19,"[0.5, 0.0, 0.025]",jackal
0,5.66,[1.41],0.5,0.002,0.025,0.004,-8.45,-9.19,"[1.0, 0.0, 0.152]",jackal
0,6.14,[1.42],0.999,0.054,0.152,0.055,-8.085,-9.18,"[1.499, 0.0, 0.194]",jackal
0,6.73,[1.547],1.472,0.283,0.194,0.192,-7.06,-9.053,"[1.992, 0.014, 0.185]",jackal
0,7.24,[1.376],1.923,0.52,0.185,0.266,-6.303,-8.876,"[1.977, 0.0, 0.135]",jackal
0,7.77,[1.011],1.854,0.685,0.135,0.355,-5.172,-8.511,"[1.886, 0.12, 0.025]",jackal
0,8.17,[0.874],1.756,0.689,0.025,0.374,-4.462,-8.237,"[1.484, 0.062, 0.025]",jackal
0,8.68,[0.881],1.376,0.555,0.025,0.384,-3.88,-8.006,"[1.851, 0.0, 0.185]",jackal
0,9.1,[1.492],1.687,0.762,0.185,0.426,-3.265,-7.747,"[1.274, 0.0, 0.118]",jackal
0,9.39,[1.426],1.126,0.596,0.118,0.488,-2.694,-7.467,"[1.173, 0.0, 0.059]",jackal
0,9.63,[1.306],1.026,0.568,0.059,0.506,-2.479,-7.35,"[0.619, 0.0, 0.008]",jackal
0,9.86,[1.121],0.539,0.305,0.008,0.515,-2.303,-7.251,"[1.123, 0.05, -0.084]",jackal
0,10.2,[1.028],0.978,0.552,-0.084,0.513,-2.183,-7.183,"[0.839, 0.0, -0.067]",jackal
0,10.4,[0.927],0.914,0.493,-0.051,0.494,-1.9,-7.027,"[0.482, 0.0, -0.211]",jackal
0,10.71,[0.825],0.436,0.206,-0.211,0.44,-1.662,-6.904,"[0.331, 0.0, -0.371]",jackal
0,10.96,[0.696],0.56,0.253,-0.177,0.422,-1.606,-6.879,"[0.446, 0.0, -0.211]",jackal
0,11.2,[0.589],0.423,0.144,-0.211,0.327,-1.497,-6.836,"[0.325, 0.005, -0.219]",jackal
0,11.54,[0.496],0.258,0.064,-0.227,0.24,-1.353,-6.793,"[0.244, 0.0, -0.387]",jackal
0,11.9,[0.356],-0.099,-0.012,-0.303,0.116,-1.281,-6.778,"[0.0, 0.0, -0.547]",jackal
0,12.13,[0.334],0.0,0.0,-0.547,0.038,-1.294,-6.779,"[-0.1, 0.0, -0.429]",jackal
0,12.51,[0.273],-0.099,0.015,-0.488,-0.154,-1.32,-6.777,"[-0.1, 0.0, -0.539]",jackal
0,12.71,[0.266],-0.097,0.025,-0.539,-0.256,-1.34,-6.773,"[0.0, 0.0, 0.0]",jackal
0,13.11,[0.242],-0.091,0.041,-0.581,-0.432,-1.365,-6.775,"[-0.1, 0.0, -0.16]",jackal
0,13.51,[0.228],0.0,0.0,0.0,-0.67,-1.405,-6.773,"[-0.1, 0.0, -0.042]",jackal
0,13.71,[0.226],-0.073,0.068,-0.042,-0.752,-1.426,-6.768,"[0.0, 0.0, 0.0]",jackal
0,14.11,[0.226],0.0,0.0,0.0,-0.826,-1.435,-6.772,"[-0.1, 0.0, -0.253]",jackal
0,14.36,[0.232],-0.056,0.083,-0.253,-0.983,-1.467,-6.747,"[0.0, 0.0, 0.0]",jackal
0,14.72,[0.24],0.0,0.0,0.0,-1.028,-1.474,-6.743,"[-0.1, 0.0, -0.126]",jackal
0,15.11,[0.263],-0.045,0.089,-0.126,-1.101,-1.49,-6.73,"[-0.1, 0.0, -0.429]",jackal
0,15.32,[0.282],-0.041,0.091,-0.269,-1.153,-1.499,-6.711,"[-0.1, 0.0, -0.286]",jackal
0,15.72,[0.328],-0.027,0.096,-0.286,-1.297,-1.512,-6.674,"[-0.1, 0.0, -0.32]",jackal
0,16.11,[0.372],-0.012,0.099,-0.32,-1.456,-1.524,-6.615,"[-0.1, 0.0, -0.295]",jackal
0,16.33,[0.437],-0.009,0.1,-0.295,-1.486,-1.525,-6.605,"[-0.1, 0.0, -0.387]",jackal
0,16.7,[0.509],0.006,0.1,-0.547,-1.639,-1.526,-6.565,"[-0.1, 0.0, -0.514]",jackal
0,16.94,[0.514],0.017,0.099,-0.514,-1.746,-1.524,-6.545,"[-0.1, 0.0, -0.623]",jackal
0,17.15,[0.46],0.027,0.096,-0.623,-1.854,-1.519,-6.526,"[-0.1, 0.0, -0.632]",jackal
0,17.35,[0.418],0.039,0.092,-0.632,-1.979,-1.512,-6.507,"[-0.1, 0.0, -0.64]",jackal
0,17.72,[0.388],0.064,0.077,-0.472,-2.273,-1.486,-6.465,"[-0.1, 0.0, -0.598]",jackal
0,17.94,[0.366],0.073,0.069,-0.598,-2.388,-1.472,-6.45,"[-0.1, 0.0, -0.531]",jackal
0,18.34,[0.34],0.085,0.052,-0.472,-2.595,-1.44,-6.426,"[-0.1, 0.0, -0.438]",jackal
0,18.72,[0.324],0.093,0.038,-0.362,-2.76,-1.405,-6.408,"[-0.1, 0.0, -0.328]",jackal
0,19.13,[0.324],0.095,0.031,-0.328,-2.826,-1.386,-6.402,"[-0.1, 0.0, -0.168]",jackal
0,19.52,[0.332],0.098,0.021,-0.168,-2.927,-1.347,-6.391,"[-0.1, 0.0, -0.017]",jackal
0,19.74,[0.339],0.098,0.019,-0.143,-2.956,-1.328,-6.387,"[-0.1, 0.0, 0.025]",jackal
