episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,5.95,[1.51],0.0,0.0,0.0,0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",youbot
0,6.49,[1.51],0.0,0.0,0.0,0.0,-10.63,-10.89,"[0.5, 0.5, 0.312]",youbot
0,6.88,[1.511],0.498,0.045,0.312,0.094,-10.48,-10.883,"[0.589, 0.514, 0.328]",youbot
0,7.08,[1.523],0.582,0.091,0.328,0.158,-10.371,-10.87,"[0.547, 0.545, 0.23]",youbot
0,7.28,[1.569],0.535,0.115,0.23,0.213,-10.26,-10.849,"[0.536, 0.591, 0.115]",youbot
0,7.68,[1.644],0.721,0.24,0.706,0.329,-10.03,-10.789,"[0.471, 0.636, -0.164]",youbot
0,8.06,[1.779],0.395,0.146,-0.41,0.351,-9.875,-10.729,"[0.463, 0.646, -0.086]",youbot
0,8.45,[1.785],0.447,0.121,0.062,0.266,-9.704,-10.678,"[0.758, 0.1, 0.669]",youbot
0,8.82,[1.996],0.698,0.323,0.776,0.441,-9.462,-10.595,"[0.768, 0.1, 0.646]",youbot
0,9.22,[2.786],0.585,0.494,0.516,0.706,-9.206,-10.427,"[0.762, 0.1, 0.423]",youbot
0,9.61,[3.215],0.496,0.579,0.135,0.864,-8.992,-10.209,"[0.76, 0.1, 0.064]",youbot
0,9.81,[3.419],0.477,0.591,0.064,0.892,-8.847,-10.033,"[0.758, 0.1, 0.053]",youbot
0,10.21,[3.174],0.467,0.597,0.048,0.908,-8.706,-9.855,"[0.758, 0.1, 0.037]",youbot
0,10.42,[3.053],0.461,0.601,0.037,0.917,-8.613,-9.735,"[0.758, 0.1, -0.034]",youbot
0,10.82,[2.816],0.459,0.603,-0.034,0.92,-8.521,-9.615,"[0.758, 0.1, -0.029]",youbot
0,11.21,[2.542],0.471,0.594,0.0,0.9,-8.194,-9.197,"[0.758, 0.1, 0.0]",youbot
0,11.6,[2.343],0.471,0.594,0.0,0.9,-8.1,-9.078,"[0.758, 0.1, 0.033]",youbot
0,11.84,[2.252],0.476,0.59,-0.049,0.891,-8.005,-8.96,"[0.758, 0.1, 0.0]",youbot
0,12.21,[2.088],0.474,0.592,0.0,0.896,-7.815,-8.723,"[0.758, 0.1, 0.033]",youbot
0,12.42,[2.015],0.466,0.597,0.033,0.908,-7.674,-8.545,"[0.758, 0.1, 0.0]",youbot
0,12.81,[1.89],0.463,0.6,0.016,0.914,-7.489,-8.305,"[0.758, 0.1, 0.033]",youbot
0,13.21,[nan],0.455,0.606,0.049,0.927,-7.305,-8.064,"[0.758, 0.106, 0.033]",youbot
0,13.62,[nan],0.45,0.61,-0.082,0.934,-7.125,-7.821,"[0.758, 0.11, -0.033]",youbot
0,14.02,[nan],0.46,0.602,0.016,0.918,-6.942,-7.579,"[0.758, 0.103, 0.016]",youbot
0,14.22,[nan],0.458,0.604,0.016,0.921,-6.85,-7.458,"[0.758, 0.102, 0.033]",youbot
0,14.6,[nan],0.457,0.605,-0.033,0.924,-6.622,-7.156,"[0.758, 0.105, -0.016]",youbot
0,14.83,[nan],0.459,0.603,-0.016,0.92,-6.53,-7.035,"[0.758, 0.105, 0.016]",youbot
0,15.23,[nan],0.458,0.604,0.016,0.922,-6.439,-6.914,"[0.758, 0.104, 0.033]",youbot
0,15.61,[nan],0.454,0.607,0.033,0.928,-6.256,-6.672,"[0.758, 0.107, -0.016]",youbot
0,16.03,[nan],0.452,0.609,0.033,0.933,-6.029,-6.368,"[0.758, 0.109, 0.016]",youbot
0,16.41,[nan],0.445,0.613,0.033,0.943,-5.85,-6.124,"[0.758, 0.113, 0.049]",youbot
0,16.62,[nan],0.441,0.617,0.049,0.951,-5.761,-6.001,"[0.758, 0.117, 0.033]",youbot
0,17.01,[nan],0.432,0.623,0.016,0.965,-5.587,-5.753,"[0.758, 0.123, 0.0]",youbot
0,17.23,[nan],0.43,0.624,0.0,0.967,-5.501,-5.628,"[0.758, 0.123, 0.0]",youbot
0,17.61,[nan],0.431,0.623,-0.016,0.966,-5.329,-5.379,"[0.758, 0.124, -0.049]",youbot
0,17.82,[nan],0.437,0.619,-0.049,0.955,-5.199,-5.192,"[0.758, 0.123, -0.0]",youbot
0,18.03,[nan],0.439,0.618,-0.0,0.953,-5.111,-5.069,"[0.758, 0.119, 0.033]",youbot
0,18.43,[nan],0.435,0.621,0.0,0.96,-4.98,-4.883,"[0.758, 0.12, 0.016]",youbot
0,18.83,[nan],0.428,0.625,0.049,0.971,-4.764,-4.572,"[0.758, 0.122, 0.033]",youbot
0,19.21,[nan],0.423,0.629,0.0,0.979,-4.594,-4.321,"[0.758, 0.128, 0.016]",youbot
0,19.42,[nan],0.421,0.63,0.016,0.982,-4.509,-4.195,"[0.758, 0.129, 0.0]",youbot
0,19.82,[nan],0.421,0.63,-0.0,0.982,-4.341,-3.943,"[0.758, 0.13, 0.016]",youbot
0,20.03,[nan],0.421,0.63,-0.0,0.982,-4.341,-3.943,"[0.758, 0.13, 0.0]",youbot
0,20.42,[1.548],0.419,0.632,0.0,0.985,-4.173,-3.69,"[0.758, 0.132, 0.016]",youbot
0,20.8,[1.527],0.417,0.633,0.016,0.988,-4.006,-3.437,"[0.758, 0.133, 0.0]",youbot
0,21.01,[1.518],0.417,0.633,0.0,0.989,-3.881,-3.247,"[0.758, 0.133, 0.0]",youbot
0,21.41,[nan],0.415,0.634,0.049,0.993,-3.714,-2.994,"[0.758, 0.134, 0.033]",youbot
0,21.81,[nan],0.404,0.641,0.049,1.009,-3.551,-2.739,"[0.758, 0.141, 0.0]",youbot
0,22.02,[nan],0.4,0.644,0.0,1.015,-3.47,-2.61,"[0.758, 0.141, 0.033]",youbot
0,22.42,[nan],0.392,0.649,0.082,1.028,-3.311,-2.352,"[0.758, 0.145, 0.049]",youbot
0,22.84,[1.091],0.379,0.656,0.049,1.047,-3.196,-2.156,"[0.758, 0.156, 0.066]",youbot
0,23.22,[1.128],0.358,0.668,0.082,1.08,-3.012,-1.825,"[0.758, 0.166, 0.049]",youbot
0,23.43,[1.199],0.345,0.675,0.049,1.099,-2.907,-1.624,"[0.758, 0.168, 0.033]",youbot
