episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,6.29,[nan],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",youbot
0,6.82,[nan],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.1, -0.64]",youbot
0,7.24,[nan],0.0,0.0,-0.64,-0.237,-3.71,9.21,"[0.0, 0.1, -0.607]",youbot
0,7.64,[1.224],0.113,-0.068,-1.0,-0.552,-3.689,9.2,"[0.211, 0.1, -1.0]",youbot
0,8.05,[1.286],0.364,-0.501,-1.0,-0.952,-3.586,9.092,"[0.669, 0.1, -1.0]",youbot
0,8.43,[1.17],0.195,-0.732,-0.836,-1.319,-3.47,8.836,"[0.758, -0.077, -0.475]",youbot
0,8.82,[1.141],0.111,-0.75,-0.475,-1.429,-3.441,8.688,"[0.646, -0.244, 0.165]",youbot
0,9.19,[1.13],0.072,-0.642,0.165,-1.458,-3.41,8.405,"[0.572, -0.142, 0.017]",youbot
0,9.39,[1.093],0.092,-0.58,0.247,-1.411,-3.394,8.286,"[0.592, -0.065, -0.13]",youbot
0,9.62,[1.067],0.093,-0.564,0.017,-1.407,-3.376,8.173,"[0.593, -0.064, -0.13]",youbot
0,10.01,[1.043],0.066,-0.586,-0.048,-1.458,-3.343,7.939,"[0.574, -0.088, -0.015]",youbot
0,10.39,[1.014],0.054,-0.561,-0.032,-1.475,-3.314,7.651,"[0.557, -0.072, -0.065]",youbot
0,10.79,[0.999],0.04,-0.551,-0.081,-1.499,-3.294,7.429,"[0.545, -0.055, -0.147]",youbot
0,11.18,[1.281],0.012,-0.535,-0.13,-1.549,-3.284,7.211,"[0.519, -0.035, -0.179]",youbot
0,11.4,[1.2],-0.004,-0.519,-0.179,-1.581,-3.283,7.106,"[0.505, -0.019, -0.196]",youbot
0,11.76,[1.061],-0.023,-0.504,-0.196,-1.618,-3.286,7.004,"[0.469, 0.1, -0.245]",youbot
0,11.98,[1.061],-0.038,-0.485,-0.13,-1.65,-3.292,6.905,"[0.469, 0.015, -0.081]",youbot
0,12.36,[0.965],-0.071,-0.451,-0.032,-1.727,-3.321,6.672,"[0.43, 0.037, -0.032]",youbot
0,12.6,[0.92],-0.07,-0.424,-0.032,-1.734,-3.336,6.582,"[0.428, 0.049, -0.015]",youbot
0,12.96,[0.891],-0.074,-0.423,-0.081,-1.744,-3.364,6.413,"[0.427, 0.079, -0.13]",youbot
0,13.19,[0.889],-0.081,-0.42,-0.13,-1.762,-3.38,6.329,"[0.401, 0.078, -0.065]",youbot
0,13.56,[0.943],-0.096,-0.403,-0.048,-1.805,-3.425,6.126,"[0.411, 0.1, -0.015]",youbot
0,13.77,[0.975],-0.098,-0.4,-0.015,-1.811,-3.444,6.046,"[0.404, 0.1, 0.034]",youbot
0,13.98,[0.985],-0.095,-0.393,0.034,-1.808,-3.463,5.967,"[0.402, 0.1, 0.034]",youbot
0,14.39,[1.02],-0.09,-0.397,0.05,-1.793,-3.5,5.81,"[0.408, 0.1, 0.067]",youbot
0,14.77,[1.05],-0.085,-0.399,0.067,-1.781,-3.518,5.73,"[0.417, 0.1, 0.05]",youbot
0,14.97,[1.063],-0.08,-0.405,0.099,-1.764,-3.534,5.65,"[0.423, 0.1, 0.034]",youbot
0,15.18,[1.082],-0.075,-0.41,0.05,-1.75,-3.55,5.568,"[0.426, 0.1, 0.05]",youbot
0,15.59,[1.106],-0.063,-0.424,0.099,-1.717,-3.592,5.317,"[0.433, 0.1, 0.05]",youbot
0,15.8,[1.115],-0.057,-0.429,0.05,-1.702,-3.604,5.232,"[0.441, 0.075, 0.05]",youbot
0,16.17,[1.134],-0.052,-0.442,0.034,-1.687,-3.62,5.101,"[0.445, 0.1, 0.0]",youbot
0,16.4,[1.143],-0.049,-0.443,0.0,-1.681,-3.64,4.924,"[0.45, 0.057, 0.116]",youbot
0,16.77,[1.152],-0.045,-0.447,0.116,-1.67,-3.644,4.879,"[0.455, 0.053, 0.034]",youbot
0,16.98,[1.157],-0.029,-0.454,0.034,-1.634,-3.655,4.744,"[0.46, 0.1, -0.065]",youbot
0,17.2,[1.482],-0.032,-0.459,-0.065,-1.641,-3.667,4.561,"[0.473, 0.046, 0.083]",youbot
0,17.56,[1.347],-0.026,-0.467,0.083,-1.625,-3.673,4.467,"[0.0, 0.0, 0.0]",youbot
0,17.77,[1.315],0.0,0.0,0.0,-1.611,-3.677,4.387,"[0.478, 0.1, 0.099]",youbot
