episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,16.56,[nan],0.0,0.0,0.0,0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",burger
0,16.92,[nan],0.22,-0.001,-0.157,-0.008,-8.509,-9.19,"[0.22, 0.0, -0.157]",burger
0,17.13,[nan],0.22,-0.008,-0.157,-0.039,-8.465,-9.191,"[0.22, 0.0, 0.187]",burger
0,17.52,[nan],0.22,-0.003,0.195,-0.012,-8.377,-9.195,"[0.22, 0.0, 0.198]",burger
0,17.73,[nan],0.22,0.006,0.198,0.027,-8.333,-9.194,"[0.22, 0.0, 0.19]",burger
0,18.12,[nan],0.22,0.014,0.19,0.066,-8.289,-9.192,"[0.22, 0.0, 0.161]",burger
0,18.52,[nan],0.216,0.04,0.162,0.186,-8.136,-9.173,"[0.22, 0.0, 0.156]",burger
0,18.73,[nan],0.215,0.047,0.156,0.218,-8.093,-9.164,"[0.22, 0.0, 0.153]",burger
0,19.13,[nan],0.213,0.054,0.153,0.248,-8.051,-9.154,"[0.22, 0.0, 0.152]",burger
0,19.52,[nan],0.209,0.07,0.145,0.324,-7.945,-9.123,"[0.22, 0.0, 0.134]",burger
0,19.73,[nan],0.206,0.078,0.134,0.366,-7.883,-9.101,"[0.22, 0.0, 0.121]",burger
0,20.12,[nan],0.203,0.086,0.1,0.401,-7.822,-9.076,"[0.22, 0.0, -0.006]",burger
0,20.51,[nan],0.202,0.088,-0.027,0.411,-7.741,-9.041,"[0.22, 0.0, -0.051]",burger
0,20.91,[nan],0.204,0.083,-0.066,0.386,-7.64,-8.998,"[0.22, 0.0, -0.068]",burger
0,21.13,[nan],0.205,0.08,-0.068,0.372,-7.599,-8.981,"[0.22, 0.0, -0.071]",burger
0,21.52,[nan],0.207,0.074,-0.069,0.344,-7.517,-8.951,"[0.22, 0.0, -0.064]",burger
0,21.9,[nan],0.208,0.072,-0.064,0.331,-7.475,-8.936,"[0.22, 0.0, -0.056]",burger
0,22.11,[nan],0.209,0.069,-0.062,0.319,-7.433,-8.922,"[0.22, 0.0, -0.05]",burger
0,22.51,[nan],0.211,0.063,-0.049,0.288,-7.307,-8.882,"[0.22, 0.0, 0.029]",burger
0,22.92,[nan],0.211,0.064,0.03,0.295,-7.244,-8.864,"[0.22, 0.0, 0.026]",burger
0,23.31,[nan],0.21,0.066,0.011,0.305,-7.16,-8.838,"[0.22, 0.0, -0.006]",burger
0,23.51,[nan],0.21,0.066,-0.006,0.306,-7.118,-8.824,"[0.22, 0.0, -0.101]",burger
0,23.89,[nan],0.211,0.062,-0.101,0.287,-7.055,-8.805,"[0.22, 0.0, -0.04]",burger
0,24.27,[nan],0.213,0.056,-0.04,0.256,-6.97,-8.782,"[0.22, 0.0, -0.038]",burger
0,24.67,[nan],0.214,0.052,-0.039,0.24,-6.885,-8.76,"[0.22, 0.0, -0.039]",burger
0,25.03,[nan],0.214,0.049,-0.044,0.224,-6.799,-8.74,"[0.22, 0.0, -0.051]",burger
0,25.41,[nan],0.215,0.045,-0.054,0.205,-6.713,-8.721,"[0.22, 0.0, -0.043]",burger
0,25.8,[nan],0.216,0.041,-0.038,0.187,-6.627,-8.704,"[0.22, 0.0, -0.048]",burger
0,26.19,[nan],0.217,0.037,-0.037,0.17,-6.54,-8.688,"[0.22, 0.0, -0.023]",burger
0,26.59,[nan],0.217,0.035,-0.023,0.159,-6.454,-8.674,"[0.22, 0.0, -0.013]",burger
0,27.0,[nan],0.217,0.034,-0.013,0.154,-6.388,-8.664,"[0.22, 0.0, -0.012]",burger
0,27.38,[nan],0.218,0.033,-0.012,0.148,-6.301,-8.65,"[0.22, 0.0, -0.018]",burger
0,27.77,[nan],0.218,0.031,-0.008,0.143,-6.214,-8.638,"[0.22, 0.0, -0.005]",burger
0,28.14,[nan],0.218,0.031,-0.012,0.14,-6.127,-8.625,"[0.22, 0.0, -0.052]",burger
0,28.52,[nan],0.218,0.027,-0.06,0.125,-6.04,-8.613,"[0.22, 0.0, -0.058]",burger
0,28.88,[nan],0.219,0.023,-0.045,0.102,-5.952,-8.603,"[0.22, 0.0, -0.018]",burger
0,29.26,[nan],0.219,0.021,-0.018,0.096,-5.909,-8.599,"[0.22, 0.0, -0.034]",burger
0,29.64,[nan],0.219,0.02,-0.048,0.089,-5.799,-8.589,"[0.22, 0.0, -0.058]",burger
0,30.03,[nan],0.219,0.015,-0.061,0.067,-5.711,-8.582,"[0.22, 0.0, -0.017]",burger
0,30.24,[nan],0.22,0.013,-0.017,0.057,-5.668,-8.579,"[0.22, 0.0, -0.011]",burger
0,30.44,[nan],0.22,0.012,-0.011,0.054,-5.624,-8.577,"[0.22, 0.0, 0.001]",burger
0,30.81,[nan],0.22,0.012,0.015,0.054,-5.536,-8.572,"[0.22, 0.0, -0.008]",burger
0,31.01,[nan],0.22,0.012,-0.008,0.055,-5.492,-8.57,"[0.22, 0.0, 0.009]",burger
0,31.4,[nan],0.22,0.012,0.009,0.056,-5.426,-8.566,"[0.22, 0.0, 0.02]",burger
0,31.61,[nan],0.22,0.013,0.02,0.06,-5.338,-8.561,"[0.22, 0.0, -0.006]",burger
0,31.99,[nan],0.22,0.013,-0.006,0.06,-5.294,-8.558,"[0.22, 0.0, 0.002]",burger
0,32.4,[nan],0.219,0.015,0.002,0.069,-5.206,-8.552,"[0.22, 0.0, 0.012]",burger
0,32.79,[nan],0.219,0.015,0.058,0.07,-5.119,-8.546,"[0.22, 0.0, 0.04]",burger
0,33.17,[nan],0.219,0.021,0.06,0.096,-5.009,-8.537,"[0.22, 0.0, 0.01]",burger
0,33.38,[nan],0.219,0.022,0.01,0.102,-4.965,-8.533,"[0.22, 0.0, 0.013]",burger
0,33.75,[nan],0.219,0.025,0.079,0.114,-4.878,-8.524,"[0.22, 0.0, 0.076]",burger
0,33.95,[nan],0.218,0.028,0.076,0.13,-4.834,-8.518,"[0.22, 0.0, 0.06]",burger
0,34.16,[nan],0.218,0.031,0.06,0.143,-4.79,-8.512,"[0.22, 0.0, -0.028]",burger
0,34.53,[nan],0.218,0.031,-0.028,0.143,-4.747,-8.506,"[0.22, 0.0, -0.029]",burger
0,34.93,[nan],0.218,0.031,-0.029,0.143,-4.66,-8.493,"[0.22, 0.0, 0.086]",burger
0,35.14,[nan],0.218,0.033,0.086,0.151,-4.594,-8.484,"[0.22, 0.0, 0.041]",burger
0,35.34,[nan],0.217,0.037,0.041,0.169,-4.529,-8.473,"[0.22, 0.0, 0.082]",burger
0,35.74,[nan],0.216,0.042,0.084,0.192,-4.464,-8.462,"[0.22, 0.0, 0.079]",burger
0,36.15,[nan],0.215,0.049,0.059,0.223,-4.378,-8.443,"[0.22, 0.0, 0.109]",burger
0,36.35,[nan],0.214,0.051,0.109,0.237,-4.335,-8.433,"[0.22, 0.0, 0.107]",burger
0,36.75,[nan],0.211,0.063,0.122,0.293,-4.229,-8.405,"[0.22, 0.0, 0.084]",burger
0,36.95,[nan],0.209,0.067,0.084,0.312,-4.187,-8.392,"[0.22, 0.0, 0.095]",burger
0,37.35,[nan],0.207,0.074,0.068,0.345,-4.104,-8.363,"[0.22, 0.0, 0.101]",burger
0,37.76,[nan],0.206,0.078,0.101,0.364,-4.063,-8.348,"[0.22, 0.0, 0.133]",burger
0,37.96,[nan],0.203,0.085,0.133,0.398,-4.001,-8.324,"[0.22, 0.0, 0.129]",burger
0,38.36,[nan],0.198,0.096,0.132,0.451,-3.921,-8.287,"[0.22, 0.0, 0.131]",burger
0,38.57,[nan],0.196,0.101,0.131,0.477,-3.882,-8.268,"[0.22, 0.0, 0.125]",burger
0,38.77,[nan],0.193,0.106,0.125,0.503,-3.843,-8.247,"[0.22, 0.0, 0.121]",burger
0,39.17,[nan],0.187,0.115,0.127,0.552,-3.767,-8.203,"[0.22, 0.0, 0.121]",burger
0,39.58,[nan],0.18,0.126,0.113,0.613,-3.675,-8.142,"[0.22, 0.0, 0.101]",burger
0,39.99,[nan],0.175,0.134,0.108,0.655,-3.604,-8.09,"[0.22, 0.0, -0.073]",burger
0,40.39,[nan],0.176,0.132,-0.073,0.644,-3.534,-8.036,"[0.22, 0.0, -0.095]",burger
0,40.59,[nan],0.178,0.129,-0.095,0.628,-3.499,-8.01,"[0.22, 0.0, -0.082]",burger
0,40.99,[nan],0.18,0.126,-0.082,0.61,-3.463,-7.985,"[0.22, 0.0, 0.056]",burger
0,41.4,[nan],0.182,0.123,-0.043,0.594,-3.354,-7.911,"[0.22, 0.0, -0.051]",burger
0,41.8,[nan],0.184,0.121,-0.051,0.58,-3.299,-7.874,"[0.22, 0.0, -0.075]",burger
0,42.0,[nan],0.185,0.118,-0.064,0.567,-3.262,-7.85,"[0.22, 0.0, -0.062]",burger
0,42.21,[nan],0.187,0.116,-0.075,0.552,-3.225,-7.827,"[0.22, 0.0, -0.063]",burger
0,42.6,[nan],0.191,0.109,-0.033,0.52,-3.111,-7.759,"[0.22, 0.0, -0.034]",burger
0,43.0,[nan],0.192,0.108,-0.027,0.51,-3.054,-7.727,"[0.22, 0.0, -0.048]",burger
0,43.21,[nan],0.193,0.106,-0.048,0.503,-3.015,-7.706,"[0.22, 0.0, -0.077]",burger
0,43.59,[nan],0.196,0.101,-0.086,0.475,-2.938,-7.664,"[0.22, 0.0, -0.085]",burger
0,43.8,[nan],0.196,0.101,-0.086,0.475,-2.938,-7.664,"[0.22, 0.0, -0.046]",burger
0,44.18,[nan],0.2,0.092,-0.07,0.432,-2.819,-7.606,"[0.22, 0.0, -0.024]",burger
0,44.57,[nan],0.201,0.09,-0.006,0.421,-2.759,-7.579,"[0.22, 0.0, -0.011]",burger
0,44.78,[nan],0.201,0.09,-0.011,0.42,-2.719,-7.561,"[0.22, 0.0, 0.022]",burger
0,45.17,[nan],0.201,0.089,-0.077,0.413,-2.618,-7.517,"[0.22, 0.0, -0.03]",burger
0,45.58,[nan],0.203,0.086,-0.017,0.399,-2.537,-7.482,"[0.22, 0.0, 0.005]",burger
0,45.98,[nan],0.203,0.084,-0.051,0.394,-2.456,-7.448,"[0.22, 0.0, -0.058]",burger
0,46.37,[nan],0.204,0.082,-0.058,0.383,-2.416,-7.431,"[0.22, 0.0, -0.085]",burger
0,46.57,[nan],0.206,0.077,-0.085,0.355,-2.354,-7.407,"[0.22, 0.0, -0.078]",burger
0,46.78,[nan],0.208,0.072,-0.078,0.33,-2.292,-7.385,"[0.22, 0.0, -0.007]",burger
0,47.17,[nan],0.209,0.07,-0.03,0.321,-2.229,-7.364,"[0.22, 0.0, -0.014]",burger
0,47.58,[nan],0.209,0.068,0.066,0.314,-2.146,-7.337,"[0.22, 0.0, 0.042]",burger
0,47.97,[nan],0.208,0.072,0.115,0.336,-2.062,-7.309,"[0.22, 0.0, 0.07]",burger
0,48.17,[nan],0.206,0.078,0.07,0.365,-2.0,-7.286,"[0.22, 0.0, -0.007]",burger
0,48.56,[nan],0.206,0.078,-0.066,0.361,-1.918,-7.254,"[0.22, 0.0, 0.005]",burger
0,48.96,[nan],0.206,0.076,-0.037,0.353,-1.836,-7.223,"[0.22, 0.0, -0.008]",burger
0,49.35,[nan],0.207,0.075,-0.008,0.349,-1.794,-7.208,"[0.22, 0.0, 0.044]",burger
0,49.72,[nan],0.206,0.076,-0.067,0.353,-1.691,-7.171,"[0.22, 0.0, -0.043]",burger
0,49.92,[nan],0.208,0.073,-0.043,0.337,-1.629,-7.148,"[0.22, 0.0, -0.07]",burger
0,50.29,[nan],0.209,0.069,-0.046,0.319,-1.566,-7.127,"[0.22, 0.0, -0.031]",burger
0,50.5,[nan],0.209,0.067,-0.031,0.311,-1.525,-7.113,"[0.22, 0.0, 0.099]",burger
0,50.7,[nan],0.209,0.069,0.099,0.318,-1.483,-7.1,"[0.22, 0.0, 0.086]",burger
0,51.1,[nan],0.208,0.073,0.086,0.337,-1.441,-7.086,"[0.22, 0.0, 0.082]",burger
0,51.49,[nan],0.204,0.083,0.12,0.387,-1.318,-7.039,"[0.22, 0.0, 0.178]",burger
0,51.85,[nan],0.2,0.092,0.178,0.434,-1.257,-7.013,"[0.22, 0.0, 0.202]",burger
0,52.23,[nan],0.192,0.107,0.106,0.507,-1.179,-6.973,"[0.22, 0.0, 0.11]",burger
0,52.43,[nan],0.19,0.111,0.11,0.528,-1.14,-6.952,"[0.22, 0.0, 0.142]",burger
0,52.8,[nan],0.185,0.12,0.103,0.577,-1.065,-6.905,"[0.22, 0.0, 0.052]",burger
0,53.18,[nan],0.183,0.123,0.052,0.592,-1.029,-6.881,"[0.22, 0.0, 0.087]",burger
0,53.54,[nan],0.178,0.129,0.078,0.628,-0.938,-6.818,"[0.22, 0.0, 0.072]",burger
0,53.75,[nan],0.175,0.133,0.072,0.65,-0.885,-6.779,"[0.22, 0.0, 0.105]",burger
0,54.12,[nan],0.171,0.139,0.152,0.683,-0.833,-6.738,"[0.22, 0.0, 0.141]",burger
0,54.32,[nan],0.167,0.144,0.141,0.712,-0.8,-6.71,"[0.22, 0.0, 0.172]",burger
0,54.7,[nan],0.157,0.154,0.163,0.776,-0.735,-6.651,"[0.22, 0.0, 0.143]",burger
0,54.91,[nan],0.152,0.159,0.143,0.807,-0.704,-6.619,"[0.22, 0.0, 0.127]",burger
0,55.11,[nan],0.152,0.159,0.143,0.807,-0.704,-6.619,"[0.22, 0.0, 0.052]",burger
0,55.44,[nan],0.143,0.167,0.031,0.862,-0.616,-6.521,"[0.22, 0.0, 0.077]",burger
0,55.66,[nan],0.143,0.168,0.077,0.866,-0.602,-6.504,"[0.22, 0.0, 0.03]",burger
0,55.86,[nan],0.14,0.17,0.03,0.88,-0.573,-6.47,"[0.22, 0.0, 0.064]",burger
0,56.07,[nan],0.139,0.17,0.064,0.887,-0.546,-6.436,"[0.22, 0.0, 0.059]",burger
0,56.27,[nan],0.136,0.173,0.059,0.905,-0.504,-6.385,"[0.22, 0.0, 0.076]",burger
0,56.48,[nan],0.134,0.175,0.076,0.919,-0.477,-6.35,"[0.22, 0.0, 0.049]",burger
0,56.68,[nan],0.131,0.176,0.049,0.931,-0.451,-6.315,"[0.22, 0.0, 0.015]",burger
0,56.88,[nan],0.13,0.177,0.015,0.937,-0.425,-6.28,"[0.22, 0.0, 0.052]",burger
0,57.25,[nan],0.127,0.18,0.052,0.955,-0.373,-6.208,"[0.22, 0.0, 0.054]",burger
0,57.62,[nan],0.125,0.181,0.054,0.966,-0.348,-6.172,"[0.22, 0.0, 0.103]",burger
0,57.82,[nan],0.123,0.182,0.069,0.979,-0.323,-6.136,"[0.22, 0.0, 0.118]",burger
0,58.03,[nan],0.119,0.185,0.103,0.998,-0.299,-6.099,"[0.22, 0.0, 0.142]",burger
0,58.42,[nan],0.108,0.192,0.104,1.06,-0.242,-6.005,"[0.22, 0.0, 0.121]",burger
0,58.83,[nan],0.099,0.197,0.142,1.107,-0.201,-5.927,"[0.22, 0.0, 0.181]",burger
0,59.19,[nan],0.086,0.203,0.168,1.173,-0.164,-5.847,"[0.22, 0.0, 0.179]",burger
0,59.39,[nan],0.078,0.206,0.179,1.208,-0.147,-5.807,"[0.22, 0.0, 0.16]",burger
0,59.78,[nan],0.064,0.21,0.186,1.277,-0.119,-5.723,"[0.22, 0.0, 0.203]",burger
0,60.16,[nan],0.056,0.213,0.203,1.316,-0.107,-5.681,"[0.22, 0.0, 0.155]",burger
