episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,16.4,[1.09],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",burger
0,16.6,[1.09],0.0,0.0,0.0,0.0,-3.71,9.21,"[-0.019, 0.0, -1.756]",burger
0,16.98,[1.09],-0.01,0.006,-1.741,-0.525,-3.715,9.211,"[0.162, 0.0, -1.599]",burger
0,17.34,[1.101],0.12,-0.184,-1.283,-1.005,-3.692,9.185,"[0.22, 0.0, -0.748]",burger
0,17.72,[nan],0.038,-0.217,-0.344,-1.399,-3.657,9.081,"[0.22, 0.0, -0.283]",burger
0,18.1,[nan],0.026,-0.219,-0.283,-1.457,-3.651,9.037,"[0.22, 0.0, -0.055]",burger
0,18.51,[nan],0.015,-0.219,-0.055,-1.501,-3.643,8.95,"[0.22, 0.0, 0.045]",burger
0,18.89,[nan],0.017,-0.219,0.045,-1.495,-3.637,8.862,"[0.22, 0.0, 0.088]",burger
0,19.28,[nan],0.025,-0.219,0.088,-1.457,-3.629,8.774,"[0.22, 0.0, -0.004]",burger
0,19.69,[nan],0.023,-0.219,-0.007,-1.468,-3.617,8.665,"[0.22, 0.0, -0.034]",burger
0,20.08,[nan],0.021,-0.219,0.018,-1.473,-3.608,8.577,"[0.22, 0.0, -0.033]",burger
0,20.31,[nan],0.021,-0.219,-0.033,-1.475,-3.604,8.534,"[0.22, 0.0, -0.02]",burger
0,20.67,[nan],0.019,-0.219,-0.02,-1.484,-3.596,8.446,"[0.22, 0.0, -0.066]",burger
0,20.88,[nan],0.019,-0.219,-0.02,-1.484,-3.596,8.446,"[0.22, 0.0, -0.028]",burger
0,21.28,[nan],0.014,-0.22,-0.021,-1.505,-3.588,8.336,"[0.22, 0.0, 0.024]",burger
0,21.65,[nan],0.014,-0.22,-0.063,-1.506,-3.582,8.248,"[0.22, 0.0, -0.078]",burger
0,21.86,[nan],0.012,-0.22,-0.078,-1.519,-3.579,8.205,"[0.22, 0.0, -0.041]",burger
0,22.24,[nan],0.006,-0.22,-0.052,-1.542,-3.576,8.117,"[0.22, 0.0, -0.064]",burger
0,22.44,[nan],0.004,-0.22,-0.064,-1.553,-3.575,8.073,"[0.22, 0.0, -0.058]",burger
