episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,16.44,[nan],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",youbot
0,16.79,[nan],0.124,-0.006,-1.2,-0.06,-3.704,9.21,"[0.124, -0.149, -1.2]",youbot
0,17.17,[nan],0.236,-0.137,-1.2,-0.54,-3.643,9.189,"[0.598, 0.052, -1.2]",youbot
0,17.53,[1.225],0.427,-0.677,-1.2,-1.02,-3.479,9.015,"[0.8, 0.364, -1.2]",youbot
0,17.9,[1.091],0.254,-0.759,-1.2,-1.26,-3.411,8.87,"[0.8, 0.8, -1.2]",youbot
0,18.1,[1.081],0.066,-0.797,-1.2,-1.5,-3.38,8.714,"[0.8, 0.8, -1.2]",youbot
0,18.5,[1.255],-0.309,-0.738,-1.2,-1.98,-3.432,8.401,"[0.8, -0.8, -0.631]",youbot
0,18.89,[1.143],-0.56,-0.572,-0.631,-2.352,-3.616,8.142,"[0.8, -0.702, 1.2]",youbot
0,19.24,[0.882],-0.216,-0.77,1.2,-1.832,-3.823,7.805,"[0.8, -0.8, 1.087]",youbot
0,19.45,[1.19],-0.039,-0.799,1.087,-1.608,-3.847,7.647,"[0.8, -0.8, 0.251]",youbot
0,19.81,[1.543],0.037,-0.799,-0.149,-1.526,-3.833,7.328,"[0.8, -0.8, -0.083]",youbot
0,20.01,[1.695],0.037,-0.799,-0.149,-1.526,-3.833,7.328,"[0.8, -0.8, -0.105]",youbot
0,20.37,[1.511],0.006,-0.8,-0.105,-1.564,-3.825,7.008,"[0.8, -0.8, 0.372]",youbot
0,20.59,[1.422],0.106,-0.793,0.372,-1.435,-3.814,6.848,"[0.8, 0.8, -1.2]",youbot
0,20.98,[1.303],-0.014,-0.8,-1.2,-1.6,-3.771,6.532,"[0.8, 0.786, -1.2]",youbot
0,21.38,[1.433],-0.398,-0.694,-0.23,-2.093,-3.893,6.156,"[0.8, -0.8, -0.363]",youbot
0,21.78,[1.781],-0.385,-0.701,1.131,-2.061,-4.063,5.885,"[0.8, -0.653, 1.2]",youbot
0,22.14,[1.683],-0.023,-0.8,1.2,-1.587,-4.145,5.579,"[0.8, -0.715, 0.737]",youbot
0,22.51,[1.595],0.117,-0.791,0.737,-1.417,-4.133,5.42,"[0.8, -0.695, 0.553]",youbot
0,22.72,[1.565],0.265,-0.755,1.049,-1.223,-4.095,5.265,"[0.8, -0.493, 1.2]",youbot
0,22.92,[1.492],0.358,-0.716,0.553,-1.102,-4.031,5.118,"[0.8, 0.294, 0.224]",youbot
0,23.3,[1.282],0.599,-0.53,0.478,-0.719,-3.723,4.753,"[0.8, 0.312, -0.028]",youbot
0,23.67,[1.163],0.597,-0.533,-0.037,-0.729,-3.543,4.594,"[0.755, 0.166, -0.292]",youbot
