episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,6.41,[nan],0.0,0.0,0.0,0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",burger
0,6.83,[nan],0.0,0.0,0.0,0.0,-10.63,-10.89,"[-0.161, 0.0, 0.173]",burger
0,7.21,[nan],-0.114,-0.006,0.273,0.051,-10.666,-10.891,"[0.035, 0.0, 0.3]",burger
0,7.41,[nan],0.034,0.004,0.3,0.108,-10.677,-10.891,"[0.053, 0.0, 0.3]",burger
0,7.62,[nan],0.052,0.009,0.3,0.168,-10.669,-10.89,"[0.186, 0.0, 0.3]",burger
0,8.01,[nan],0.181,0.041,0.3,0.228,-10.65,-10.886,"[0.208, 0.0, 0.3]",burger
0,8.22,[nan],0.191,0.062,0.3,0.318,-10.594,-10.87,"[0.22, 0.0, 0.3]",burger
0,8.6,[nan],0.199,0.093,0.3,0.438,-10.515,-10.839,"[0.22, 0.0, 0.3]",burger
0,8.81,[nan],0.194,0.105,0.3,0.498,-10.475,-10.819,"[0.22, 0.0, 0.228]",burger
0,9.21,[nan],0.181,0.125,0.228,0.605,-10.401,-10.773,"[0.22, 0.0, 0.215]",burger
0,9.62,[nan],0.17,0.14,0.215,0.693,-10.33,-10.72,"[0.22, 0.0, 0.206]",burger
0,10.01,[nan],0.154,0.157,0.202,0.797,-10.25,-10.645,"[0.22, 0.0, 0.201]",burger
0,10.22,[nan],0.144,0.166,0.201,0.857,-10.205,-10.597,"[0.22, 0.0, 0.135]",burger
0,10.61,[nan],0.138,0.172,0.077,0.895,-10.163,-10.546,"[0.22, 0.0, 0.012]",burger
0,10.82,[nan],0.136,0.173,0.012,0.905,-10.135,-10.512,"[0.22, 0.0, -0.047]",burger
0,11.21,[nan],0.138,0.171,-0.08,0.891,-10.081,-10.443,"[0.22, 0.0, -0.032]",burger
0,11.6,[nan],0.14,0.17,-0.032,0.879,-10.053,-10.409,"[0.22, 0.0, 0.012]",burger
0,11.81,[nan],0.141,0.169,0.007,0.877,-10.011,-10.358,"[0.22, 0.0, 0.121]",burger
0,12.02,[nan],0.137,0.172,0.121,0.901,-9.955,-10.29,"[0.22, 0.0, 0.067]",burger
0,12.22,[nan],0.134,0.174,0.067,0.916,-9.928,-10.255,"[0.22, 0.0, 0.013]",burger
0,12.6,[nan],0.133,0.175,0.013,0.92,-9.901,-10.22,"[0.22, 0.0, -0.055]",burger
0,12.81,[nan],0.134,0.175,-0.016,0.918,-9.874,-10.185,"[0.22, 0.0, -0.071]",burger
0,13.21,[nan],0.139,0.171,-0.024,0.889,-9.806,-10.099,"[0.22, 0.0, 0.003]",burger
0,13.63,[nan],0.139,0.171,-0.006,0.887,-9.751,-10.031,"[0.22, 0.0, 0.005]",burger
0,14.01,[nan],0.139,0.171,0.005,0.887,-9.709,-9.979,"[0.22, 0.0, -0.001]",burger
0,14.41,[nan],0.14,0.169,-0.001,0.879,-9.653,-9.912,"[0.22, 0.0, -0.002]",burger
0,14.81,[nan],0.14,0.169,-0.002,0.879,-9.569,-9.81,"[0.22, 0.0, 0.128]",burger
0,15.21,[nan],0.135,0.174,0.048,0.909,-9.528,-9.758,"[0.22, 0.0, -0.031]",burger
0,15.61,[nan],0.135,0.173,-0.006,0.908,-9.474,-9.689,"[0.22, 0.0, -0.006]",burger
0,15.81,[nan],0.136,0.173,-0.006,0.907,-9.447,-9.654,"[0.22, 0.0, -0.067]",burger
0,16.02,[nan],0.136,0.173,-0.067,0.901,-9.419,-9.62,"[0.22, 0.0, -0.012]",burger
0,16.41,[nan],0.138,0.171,-0.012,0.89,-9.378,-9.568,"[0.22, 0.0, -0.006]",burger
0,16.82,[nan],0.138,0.171,-0.001,0.89,-9.295,-9.465,"[0.22, 0.0, -0.043]",burger
0,17.21,[nan],0.14,0.17,-0.043,0.882,-9.267,-9.431,"[0.22, 0.0, 0.007]",burger
0,17.62,[nan],0.14,0.17,0.007,0.881,-9.211,-9.364,"[0.22, 0.0, -0.005]",burger
0,18.0,[nan],0.141,0.169,-0.07,0.874,-9.141,-9.279,"[0.22, 0.0, -0.041]",burger
0,18.21,[nan],0.144,0.167,-0.041,0.859,-9.098,-9.228,"[0.22, 0.0, 0.048]",burger
0,18.61,[nan],0.143,0.168,0.048,0.867,-9.07,-9.195,"[0.22, 0.0, -0.046]",burger
0,19.01,[nan],0.14,0.17,0.09,0.884,-8.985,-9.094,"[0.22, 0.0, 0.094]",burger
0,19.41,[nan],0.136,0.173,-0.017,0.903,-8.944,-9.042,"[0.22, 0.0, -0.022]",burger
0,19.81,[nan],0.137,0.172,-0.004,0.896,-8.889,-8.974,"[0.22, 0.0, -0.039]",burger
