episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,6.18,[1.51],0.0,0.0,0.0,0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",jackal
0,6.62,[1.51],0.0,0.0,0.0,0.0,-10.63,-10.89,"[0.22, 0.0, 1.483]",jackal
0,6.86,[1.514],0.214,0.052,1.483,0.252,-10.593,-10.886,"[0.22, 0.0, 1.481]",jackal
0,7.29,[1.562],0.171,0.139,1.474,0.696,-10.535,-10.856,"[0.22, 0.0, 0.861]",jackal
0,7.63,[1.706],0.092,0.2,-0.586,1.134,-10.484,-10.785,"[0.22, 0.0, -1.259]",jackal
0,8.03,[1.687],0.153,0.158,-0.162,0.801,-10.435,-10.713,"[0.22, 0.0, 0.866]",jackal
0,8.43,[1.79],0.135,0.173,0.866,0.917,-10.39,-10.665,"[0.22, 0.0, -0.23]",jackal
0,8.64,[1.87],0.109,0.191,0.72,1.061,-10.365,-10.628,"[0.22, 0.0, -1.209]",jackal
0,9.05,[1.863],0.141,0.169,-1.209,0.86,-10.32,-10.553,"[0.22, 0.0, 0.448]",jackal
0,9.42,[1.919],0.138,0.172,1.35,0.909,-10.222,-10.465,"[0.22, 0.0, 0.412]",jackal
0,9.82,[2.038],0.116,0.187,0.412,1.019,-10.197,-10.429,"[0.22, 0.0, 0.29]",jackal
0,10.03,[2.045],0.131,0.177,-0.753,0.927,-10.173,-10.392,"[0.22, 0.0, 0.126]",jackal
0,10.23,[2.098],0.124,0.182,0.126,0.973,-10.134,-10.339,"[0.22, 0.0, 0.013]",jackal
0,10.63,[2.178],0.122,0.183,-0.105,0.984,-10.086,-10.265,"[0.22, 0.0, -0.774]",jackal
0,11.01,[2.192],0.145,0.166,-0.774,0.846,-10.047,-10.212,"[0.22, 0.0, 0.28]",jackal
0,11.44,[2.267],0.14,0.17,0.596,0.889,-9.954,-10.119,"[0.22, 0.0, 0.042]",jackal
0,11.65,[2.32],0.133,0.176,0.042,0.925,-9.927,-10.084,"[0.22, 0.0, -0.537]",jackal
0,12.01,[2.368],0.144,0.166,-0.537,0.852,-9.9,-10.049,"[0.22, 0.0, 0.142]",jackal
0,12.25,[2.398],0.159,0.152,-0.446,0.761,-9.869,-10.017,"[0.22, 0.0, 0.551]",jackal
0,12.63,[2.473],0.147,0.164,0.551,0.846,-9.806,-9.956,"[0.22, 0.0, -0.285]",jackal
0,13.04,[2.533],0.14,0.169,-0.285,0.876,-9.751,-9.888,"[0.22, 0.0, -0.022]",jackal
0,13.47,[2.592],0.153,0.158,0.357,0.806,-9.675,-9.808,"[0.22, 0.0, 0.198]",jackal
0,13.83,[2.676],0.137,0.173,-0.308,0.898,-9.618,-9.741,"[0.22, 0.0, -0.448]",jackal
0,14.04,[2.613],0.155,0.156,-0.448,0.784,-9.574,-9.692,"[0.22, 0.0, -0.036]",jackal
0,14.43,[2.518],0.157,0.154,0.4,0.778,-9.527,-9.646,"[0.22, 0.0, 0.274]",jackal
0,14.64,[2.493],0.146,0.165,0.274,0.851,-9.496,-9.614,"[0.22, 0.0, 0.333]",jackal
0,15.04,[2.419],0.126,0.181,0.168,0.965,-9.442,-9.545,"[0.22, 0.0, -0.172]",jackal
0,15.25,[2.317],0.122,0.183,-0.172,0.982,-9.418,-9.508,"[0.22, 0.0, -0.873]",jackal
0,15.61,[2.221],0.159,0.152,-0.666,0.759,-9.363,-9.439,"[0.22, 0.0, 0.107]",jackal
0,15.84,[2.176],0.17,0.139,0.107,0.688,-9.33,-9.411,"[0.22, 0.0, 0.559]",jackal
0,16.05,[2.13],0.164,0.146,0.559,0.732,-9.296,-9.383,"[0.22, 0.0, 0.282]",jackal
0,16.45,[2.034],0.145,0.165,-0.283,0.847,-9.236,-9.318,"[0.22, 0.0, -0.386]",jackal
0,16.85,[1.942],0.165,0.145,-0.216,0.717,-9.174,-9.256,"[0.22, 0.0, 0.207]",jackal
0,17.07,[1.897],0.17,0.14,0.207,0.691,-9.14,-9.228,"[0.22, 0.0, 0.412]",jackal
0,17.43,[1.851],0.154,0.157,0.092,0.793,-9.075,-9.169,"[0.22, 0.0, 0.461]",jackal
0,17.68,[1.805],0.149,0.162,0.461,0.834,-9.045,-9.137,"[0.22, 0.0, 0.081]",jackal
0,18.03,[1.663],0.143,0.167,-1.173,0.851,-8.99,-9.068,"[0.22, 0.0, -0.8]",jackal
0,18.46,[1.62],0.19,0.111,0.323,0.534,-8.92,-9.015,"[0.22, 0.0, 1.302]",jackal
0,18.67,[1.559],0.162,0.149,1.302,0.759,-8.866,-8.977,"[0.22, 0.0, 0.199]",jackal
0,18.91,[1.468],0.136,0.173,0.199,0.907,-8.823,-8.927,"[0.22, 0.0, -0.511]",jackal
0,19.24,[1.445],0.165,0.145,-0.887,0.711,-8.779,-8.878,"[0.22, 0.0, -0.225]",jackal
0,19.5,[1.4],0.177,0.131,-0.225,0.633,-8.744,-8.851,"[0.22, 0.0, 0.57]",jackal
