episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,15.76,[nan],0.0,0.0,0.0,0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",burger
0,16.15,[nan],0.22,-0.002,-0.358,-0.014,-10.621,-10.89,"[0.22, 0.0, -0.358]",burger
0,16.54,[nan],0.218,-0.027,0.439,-0.118,-10.534,-10.897,"[0.22, 0.0, 0.471]",burger
0,16.9,[nan],0.22,0.013,0.473,0.066,-10.446,-10.9,"[0.22, 0.0, 0.451]",burger
0,17.1,[nan],0.217,0.034,0.451,0.158,-10.402,-10.895,"[0.22, 0.0, 0.425]",burger
0,17.43,[nan],0.214,0.053,0.425,0.246,-10.359,-10.886,"[0.22, 0.0, 0.422]",burger
0,17.82,[nan],0.202,0.088,0.422,0.417,-10.276,-10.858,"[0.22, 0.0, 0.385]",burger
0,18.22,[nan],0.176,0.133,0.377,0.65,-10.162,-10.791,"[0.22, 0.0, 0.371]",burger
0,18.61,[nan],0.16,0.151,0.343,0.759,-10.112,-10.748,"[0.22, 0.0, 0.329]",burger
0,19.01,[nan],0.139,0.171,0.326,0.892,-10.052,-10.684,"[0.22, 0.0, 0.319]",burger
0,19.22,[nan],0.122,0.183,0.319,0.989,-10.013,-10.63,"[0.22, 0.0, 0.309]",burger
0,19.42,[1.807],0.122,0.183,0.319,0.989,-10.013,-10.63,"[0.22, 0.0, 0.295]",burger
0,19.91,[nan],0.087,0.202,0.289,1.168,-9.951,-10.514,"[0.22, 0.0, 0.275]",burger
0,20.28,[nan],0.064,0.211,0.275,1.28,-9.921,-10.431,"[0.22, 0.0, 0.246]",burger
0,20.59,[nan],0.053,0.214,0.246,1.332,-9.91,-10.389,"[0.22, 0.0, -0.108]",burger
0,20.94,[nan],0.057,0.213,-0.112,1.308,-9.888,-10.304,"[0.22, 0.0, -0.1]",burger
0,21.27,[nan],0.066,0.21,-0.077,1.267,-9.864,-10.219,"[0.22, 0.0, -0.067]",burger
0,21.48,[nan],0.069,0.209,-0.067,1.253,-9.85,-10.177,"[0.22, 0.0, -0.048]",burger
0,21.88,[nan],0.073,0.208,-0.03,1.234,-9.822,-10.094,"[0.22, 0.0, -0.007]",burger
0,22.27,[nan],0.073,0.207,0.01,1.231,-9.793,-10.011,"[0.22, 0.0, 0.013]",burger
0,22.68,[nan],0.072,0.208,0.018,1.237,-9.764,-9.928,"[0.22, 0.0, 0.014]",burger
0,23.04,[nan],0.072,0.208,0.014,1.24,-9.749,-9.886,"[0.22, 0.0, -0.001]",burger
0,23.44,[nan],0.071,0.208,-0.001,1.242,-9.721,-9.803,"[0.22, 0.0, 0.013]",burger
0,23.85,[nan],0.071,0.208,0.032,1.245,-9.685,-9.699,"[0.22, 0.0, 0.032]",burger
0,24.23,[nan],0.068,0.209,0.02,1.257,-9.658,-9.615,"[0.22, 0.0, 0.022]",burger
0,24.62,[nan],0.066,0.21,0.001,1.264,-9.631,-9.532,"[0.22, 0.0, 0.017]",burger
0,24.96,[nan],0.066,0.21,0.011,1.268,-9.604,-9.448,"[0.22, 0.0, -0.002]",burger
0,25.34,[nan],0.065,0.21,-0.002,1.269,-9.591,-9.406,"[0.22, 0.0, -0.02]",burger
0,25.69,[nan],0.067,0.21,-0.02,1.262,-9.565,-9.322,"[0.22, 0.0, -0.069]",burger
0,25.96,[nan],0.071,0.208,-0.066,1.24,-9.537,-9.238,"[0.22, 0.0, -0.057]",burger
0,26.32,[nan],0.076,0.206,-0.054,1.218,-9.508,-9.155,"[0.22, 0.0, -0.046]",burger
0,26.68,[nan],0.078,0.206,-0.046,1.208,-9.492,-9.114,"[0.22, 0.0, -0.053]",burger
0,27.05,[nan],0.082,0.204,-0.054,1.188,-9.46,-9.032,"[0.22, 0.0, -0.04]",burger
0,27.4,[nan],0.086,0.203,-0.032,1.17,-9.427,-8.951,"[0.22, 0.0, -0.046]",burger
0,27.6,[nan],0.087,0.202,-0.046,1.162,-9.409,-8.91,"[0.22, 0.0, -0.055]",burger
0,27.81,[nan],0.089,0.201,-0.055,1.152,-9.392,-8.87,"[0.22, 0.0, -0.071]",burger
0,28.01,[nan],0.092,0.2,-0.071,1.14,-9.374,-8.83,"[0.22, 0.0, -0.077]",burger
0,28.35,[nan],0.095,0.199,-0.077,1.125,-9.355,-8.79,"[0.22, 0.0, -0.033]",burger
0,28.68,[nan],0.099,0.197,-0.033,1.105,-9.316,-8.711,"[0.22, 0.0, -0.02]",burger
0,29.07,[nan],0.1,0.196,-0.039,1.096,-9.276,-8.633,"[0.22, 0.0, -0.027]",burger
0,29.46,[nan],0.103,0.194,-0.028,1.083,-9.236,-8.555,"[0.22, 0.0, -0.053]",burger
0,29.74,[nan],0.106,0.193,-0.053,1.066,-9.194,-8.477,"[0.22, 0.0, -0.053]",burger
0,30.07,[nan],0.108,0.191,-0.053,1.055,-9.172,-8.439,"[0.22, 0.0, -0.079]",burger
0,30.47,[nan],0.114,0.188,-0.078,1.026,-9.128,-8.363,"[0.22, 0.0, -0.078]",burger
0,30.77,[nan],0.12,0.185,-0.066,0.995,-9.081,-8.288,"[0.22, 0.0, -0.021]",burger
0,31.13,[nan],0.122,0.183,-0.015,0.985,-9.045,-8.233,"[0.22, 0.0, 0.001]",burger
0,31.45,[nan],0.122,0.183,-0.025,0.981,-8.996,-8.16,"[0.22, 0.0, -0.015]",burger
0,31.79,[nan],0.123,0.182,-0.015,0.977,-8.971,-8.123,"[0.22, 0.0, 0.038]",burger
0,32.13,[nan],0.122,0.183,0.038,0.984,-8.935,-8.069,"[0.22, 0.0, -0.015]",burger
0,32.35,[nan],0.121,0.184,0.025,0.99,-8.91,-8.032,"[0.22, 0.0, 0.017]",burger
0,32.72,[nan],0.12,0.184,0.021,0.995,-8.838,-7.921,"[0.22, 0.0, 0.021]",burger
0,33.03,[nan],0.119,0.185,-0.006,0.999,-8.814,-7.885,"[0.22, 0.0, -0.006]",burger
0,33.34,[nan],0.119,0.185,-0.005,0.997,-8.766,-7.811,"[0.22, 0.0, -0.005]",burger
0,33.65,[nan],0.12,0.184,-0.021,0.994,-8.731,-7.755,"[0.22, 0.0, -0.036]",burger
0,34.0,[nan],0.121,0.184,-0.036,0.987,-8.706,-7.718,"[0.22, 0.0, -0.027]",burger
0,34.39,[nan],0.123,0.182,-0.016,0.975,-8.658,-7.645,"[0.22, 0.0, -0.012]",burger
0,34.72,[nan],0.124,0.181,-0.004,0.97,-8.608,-7.573,"[0.22, 0.0, -0.004]",burger
