episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,6.68,[nan],0.0,0.0,0.0,0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",burger
0,6.9,[nan],0.0,0.0,0.0,0.0,-10.63,-10.89,"[-0.161, 0.0, 0.173]",burger
0,7.29,[nan],-0.161,-0.002,0.173,0.016,-10.644,-10.89,"[0.028, 0.0, 0.3]",burger
0,7.5,[nan],-0.134,-0.011,0.275,0.087,-10.688,-10.892,"[0.171, 0.0, 0.3]",burger
0,7.9,[nan],0.168,0.035,0.3,0.207,-10.648,-10.885,"[0.198, 0.0, 0.3]",burger
0,8.3,[nan],0.187,0.063,0.3,0.327,-10.575,-10.865,"[0.22, 0.0, 0.3]",burger
0,8.71,[nan],0.199,0.095,0.3,0.447,-10.497,-10.834,"[0.22, 0.0, 0.3]",burger
0,9.1,[nan],0.183,0.122,0.239,0.59,-10.402,-10.779,"[0.22, 0.0, 0.226]",burger
0,9.3,[nan],0.174,0.134,0.226,0.659,-10.348,-10.74,"[0.22, 0.0, 0.22]",burger
0,9.69,[nan],0.168,0.142,0.22,0.703,-10.314,-10.713,"[0.22, 0.0, 0.208]",burger
0,9.91,[nan],0.162,0.149,0.213,0.746,-10.281,-10.684,"[0.22, 0.0, 0.203]",burger
0,10.29,[nan],0.149,0.162,0.203,0.828,-10.219,-10.621,"[0.22, 0.0, 0.17]",burger
0,10.49,[nan],0.14,0.17,0.17,0.885,-10.175,-10.571,"[0.22, 0.0, 0.078]",burger
0,10.89,[nan],0.133,0.175,0.047,0.923,-10.121,-10.502,"[0.22, 0.0, -0.045]",burger
0,11.3,[nan],0.136,0.173,-0.139,0.904,-10.068,-10.432,"[0.22, 0.0, -0.097]",burger
0,11.68,[nan],0.142,0.168,-0.014,0.87,-10.012,-10.364,"[0.22, 0.0, 0.028]",burger
0,11.91,[nan],0.142,0.168,0.028,0.871,-9.984,-10.33,"[0.22, 0.0, 0.112]",burger
0,12.29,[nan],0.138,0.171,0.112,0.895,-9.942,-10.28,"[0.22, 0.0, 0.052]",burger
0,12.5,[nan],0.131,0.177,0.052,0.932,-9.888,-10.21,"[0.22, 0.0, -0.06]",burger
0,12.89,[nan],0.133,0.175,-0.06,0.92,-9.862,-10.175,"[0.22, 0.0, -0.084]",burger
0,13.29,[nan],0.139,0.171,-0.084,0.889,-9.807,-10.105,"[0.22, 0.0, 0.045]",burger
0,13.49,[nan],0.139,0.17,-0.013,0.886,-9.78,-10.071,"[0.22, 0.0, 0.034]",burger
0,13.89,[nan],0.137,0.172,-0.017,0.9,-9.711,-9.985,"[0.22, 0.0, -0.078]",burger
0,14.29,[nan],0.14,0.17,-0.018,0.881,-9.655,-9.917,"[0.22, 0.0, 0.039]",burger
0,14.5,[nan],0.14,0.17,0.039,0.883,-9.627,-9.883,"[0.22, 0.0, 0.026]",burger
0,14.89,[nan],0.139,0.171,0.026,0.889,-9.6,-9.849,"[0.22, 0.0, -0.097]",burger
0,15.3,[nan],0.142,0.168,-0.097,0.869,-9.53,-9.764,"[0.22, 0.0, -0.162]",burger
0,15.69,[nan],0.152,0.159,-0.162,0.808,-9.471,-9.698,"[0.22, 0.0, 0.04]",burger
0,15.89,[nan],0.153,0.158,-0.081,0.8,-9.456,-9.682,"[0.22, 0.0, 0.001]",burger
0,16.1,[nan],0.153,0.158,0.04,0.8,-9.41,-9.635,"[0.22, 0.0, -0.024]",burger
0,16.49,[nan],0.154,0.157,-0.024,0.795,-9.349,-9.572,"[0.22, 0.0, 0.01]",burger
0,16.89,[nan],0.154,0.157,0.01,0.794,-9.287,-9.51,"[0.22, 0.0, -0.111]",burger
0,17.31,[nan],0.157,0.154,-0.111,0.772,-9.225,-9.447,"[0.22, 0.0, -0.185]",burger
0,17.7,[nan],0.169,0.141,-0.185,0.695,-9.159,-9.388,"[0.22, 0.0, -0.058]",burger
0,18.1,[nan],0.173,0.136,-0.058,0.665,-9.091,-9.333,"[0.22, 0.0, -0.021]",burger
0,18.49,[nan],0.175,0.133,0.053,0.652,-9.004,-9.266,"[0.22, 0.0, -0.006]",burger
0,18.69,[nan],0.174,0.134,-0.006,0.657,-8.969,-9.239,"[0.22, 0.0, -0.052]",burger
0,19.1,[nan],0.176,0.132,-0.133,0.645,-8.916,-9.199,"[0.22, 0.0, -0.202]",burger
0,19.49,[nan],0.186,0.117,-0.201,0.558,-8.826,-9.137,"[0.22, 0.0, -0.162]",burger
0,19.69,[nan],0.191,0.11,-0.162,0.521,-8.788,-9.114,"[0.22, 0.0, -0.083]",burger
0,20.09,[nan],0.194,0.103,-0.083,0.488,-8.73,-9.082,"[0.22, 0.0, -0.203]",burger
0,20.49,[nan],0.204,0.083,-0.201,0.386,-8.631,-9.036,"[0.22, 0.0, -0.163]",burger
0,20.69,[nan],0.207,0.076,-0.163,0.349,-8.59,-9.02,"[0.22, 0.0, -0.1]",burger
0,21.09,[nan],0.211,0.064,-0.203,0.293,-8.506,-8.992,"[0.22, 0.0, -0.202]",burger
0,21.49,[nan],0.215,0.048,-0.127,0.219,-8.421,-8.97,"[0.22, 0.0, -0.067]",burger
0,21.7,[nan],0.215,0.048,-0.127,0.219,-8.421,-8.97,"[0.22, 0.0, 0.009]",burger
0,22.1,[nan],0.216,0.043,0.009,0.195,-8.313,-8.948,"[0.22, 0.0, -0.136]",burger
0,22.49,[nan],0.218,0.028,-0.136,0.126,-8.226,-8.934,"[0.22, 0.0, -0.001]",burger
0,22.7,[1.164],0.219,0.024,-0.1,0.106,-8.183,-8.929,"[0.22, 0.0, 0.045]",burger
0,23.11,[1.1],0.219,0.025,0.045,0.115,-8.095,-8.919,"[0.22, 0.0, -0.097]",burger
0,23.5,[1.065],0.22,0.014,-0.097,0.063,-8.008,-8.912,"[0.22, 0.0, -0.192]",burger
0,23.91,[1.032],0.22,-0.009,-0.097,-0.042,-7.876,-8.911,"[0.22, 0.0, -0.137]",burger
0,24.3,[nan],0.219,-0.016,-0.039,-0.074,-7.81,-8.915,"[0.22, 0.0, 0.095]",burger
0,24.7,[nan],0.22,-0.008,0.221,-0.036,-7.722,-8.921,"[0.22, 0.0, 0.233]",burger
0,25.1,[nan],0.22,0.009,0.092,0.042,-7.634,-8.92,"[0.22, 0.0, 0.123]",burger
