episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,6.18,[1.51],0.0,0.0,0.0,0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",youbot
0,6.62,[1.51],0.0,0.0,0.0,0.0,-10.63,-10.89,"[-0.054, -0.003, 0.357]",youbot
0,6.82,[1.51],-0.054,-0.001,0.357,0.025,-10.634,-10.89,"[0.186, 0.015, 0.592]",youbot
0,7.26,[1.586],0.188,0.054,0.554,0.284,-10.572,-10.878,"[0.209, 0.019, 0.757]",youbot
0,7.65,[1.763],0.184,0.12,0.831,0.585,-10.495,-10.843,"[0.22, 0.024, 0.851]",youbot
0,8.01,[2.555],0.15,0.161,0.653,0.827,-10.445,-10.8,"[0.22, 0.026, 0.515]",youbot
0,8.21,[2.555],0.12,0.184,0.515,0.998,-10.405,-10.748,"[0.22, 0.009, 0.294]",youbot
0,8.45,[2.327],0.108,0.192,0.294,1.062,-10.382,-10.711,"[0.22, 0.01, 0.217]",youbot
0,8.81,[2.291],0.096,0.198,0.018,1.119,-10.342,-10.632,"[0.22, -0.003, -0.064]",youbot
0,9.22,[2.336],0.106,0.193,-0.233,1.065,-10.302,-10.554,"[0.22, -0.012, -0.317]",youbot
0,9.6,[2.534],0.118,0.186,-0.317,1.004,-10.28,-10.516,"[0.22, -0.013, -0.366]",youbot
0,9.81,[2.742],0.134,0.174,-0.481,0.911,-10.255,-10.48,"[0.22, -0.004, -0.115]",youbot
0,10.21,[2.922],0.152,0.159,-0.115,0.807,-10.196,-10.414,"[0.22, 0.013, 0.325]",youbot
0,10.45,[2.938],0.149,0.162,0.139,0.83,-10.166,-10.382,"[0.22, 0.008, 0.201]",youbot
0,10.8,[2.864],0.13,0.177,0.201,0.939,-10.111,-10.314,"[0.22, -0.008, -0.178]",youbot
0,11.22,[3.067],0.138,0.172,-0.088,0.895,-10.031,-10.208,"[0.22, -0.005, -0.096]",youbot
0,11.59,[3.17],0.141,0.169,0.004,0.876,-9.989,-10.157,"[0.22, 0.011, 0.262]",youbot
0,11.8,[3.137],0.137,0.172,0.262,0.903,-9.961,-10.123,"[0.22, 0.008, 0.165]",youbot
0,12.2,[3.088],0.128,0.179,-0.116,0.95,-9.91,-10.052,"[0.22, -0.007, -0.154]",youbot
0,12.4,[3.097],0.132,0.176,-0.154,0.923,-9.884,-10.017,"[0.22, 0.005, 0.091]",youbot
0,12.8,[2.995],0.131,0.177,0.083,0.932,-9.83,-9.947,"[0.22, 0.002, 0.038]",youbot
0,13.19,[2.944],0.129,0.178,0.038,0.944,-9.804,-9.911,"[0.22, -0.006, -0.134]",youbot
0,13.42,[2.817],0.132,0.176,-0.107,0.926,-9.765,-9.858,"[0.22, -0.001, -0.012]",youbot
0,13.8,[2.742],0.138,0.171,-0.012,0.894,-9.711,-9.789,"[0.22, 0.004, 0.087]",youbot
0,14.2,[2.667],0.131,0.177,0.087,0.933,-9.657,-9.719,"[0.22, -0.003, -0.071]",youbot
0,14.6,[2.566],0.132,0.176,-0.071,0.925,-9.605,-9.648,"[0.22, 0.004, 0.082]",youbot
0,15.01,[2.466],0.129,0.178,0.074,0.945,-9.526,-9.543,"[0.22, 0.001, 0.029]",youbot
0,15.4,[2.342],0.13,0.177,-0.15,0.937,-9.487,-9.489,"[0.22, -0.005, -0.101]",youbot
0,15.8,[2.244],0.142,0.168,-0.376,0.867,-9.433,-9.42,"[0.22, -0.013, -0.271]",youbot
0,16.02,[2.196],0.152,0.159,-0.271,0.802,-9.404,-9.387,"[0.22, -0.006, -0.129]",youbot
0,16.41,[2.104],0.16,0.151,0.16,0.758,-9.34,-9.326,"[0.22, 0.01, 0.228]",youbot
0,16.62,[2.058],0.154,0.157,0.228,0.795,-9.309,-9.295,"[0.22, -0.008, -0.152]",youbot
0,17.02,[1.964],0.154,0.157,-0.079,0.793,-9.248,-9.232,"[0.22, -0.016, -0.316]",youbot
0,17.41,[1.896],0.164,0.147,-0.316,0.729,-9.201,-9.186,"[0.22, -0.001, -0.011]",youbot
0,17.62,[1.808],0.173,0.136,-0.011,0.668,-9.132,-9.13,"[0.22, 0.002, 0.048]",youbot
0,18.02,[1.765],0.172,0.138,0.048,0.676,-9.098,-9.103,"[0.22, -0.001, -0.01]",youbot
0,18.41,[1.678],0.171,0.139,-0.01,0.683,-9.03,-9.047,"[0.22, -0.003, -0.053]",youbot
0,18.62,[1.635],0.172,0.137,-0.058,0.673,-8.995,-9.02,"[0.22, -0.013, -0.267]",youbot
0,18.84,[1.592],0.173,0.135,-0.053,0.662,-8.961,-8.992,"[0.22, -0.013, -0.272]",youbot
0,19.22,[1.509],0.186,0.118,-0.272,0.561,-8.889,-8.942,"[0.22, 0.001, 0.018]",youbot
0,19.43,[1.449],0.187,0.116,0.015,0.558,-8.852,-8.918,"[0.22, 0.006, 0.138]",youbot
0,19.81,[1.369],0.184,0.121,0.138,0.583,-8.777,-8.871,"[0.22, -0.007, -0.148]",youbot
0,20.02,[1.329],0.188,0.114,-0.148,0.542,-8.722,-8.836,"[0.22, -0.011, -0.244]",youbot
0,20.42,[1.252],0.196,0.099,-0.152,0.465,-8.645,-8.793,"[0.22, -0.005, -0.119]",youbot
0,20.81,[1.179],0.201,0.088,-0.14,0.412,-8.565,-8.756,"[0.22, -0.003, -0.072]",youbot
0,21.02,[1.144],0.204,0.083,-0.072,0.388,-8.524,-8.739,"[0.22, -0.001, -0.014]",youbot
0,21.44,[1.074],0.205,0.079,-0.131,0.368,-8.443,-8.706,"[0.22, -0.008, -0.196]",youbot
0,21.86,[0.991],0.21,0.065,-0.204,0.299,-8.36,-8.677,"[0.22, -0.001, -0.014]",youbot
