episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,6.35,[nan],0.0,0.0,0.0,0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",burger
0,6.79,[nan],0.0,0.0,0.0,0.0,-8.52,-9.19,"[0.22, 0.0, -0.09]",burger
0,7.17,[nan],0.22,-0.004,-0.074,-0.018,-8.476,-9.19,"[0.22, 0.0, 0.016]",burger
0,7.38,[nan],0.22,-0.007,0.016,-0.031,-8.432,-9.191,"[0.207, -0.007, 0.041]",burger
0,7.76,[nan],0.22,-0.004,0.033,-0.019,-8.347,-9.194,"[0.22, 0.0, -0.057]",burger
0,7.97,[nan],0.22,-0.004,-0.057,-0.021,-8.281,-9.195,"[0.22, -0.004, 0.033]",burger
0,8.18,[nan],0.22,-0.005,0.033,-0.022,-8.237,-9.196,"[0.22, -0.004, 0.033]",burger
0,8.56,[nan],0.22,-0.002,0.025,-0.01,-8.149,-9.197,"[0.22, 0.0, 0.016]",burger
0,8.77,[nan],0.22,-0.001,0.016,-0.006,-8.105,-9.198,"[0.22, 0.0, -0.074]",burger
0,8.99,[nan],0.22,-0.003,-0.074,-0.013,-8.061,-9.198,"[0.207, -0.003, 0.016]",burger
0,9.37,[nan],0.207,-0.004,0.016,-0.019,-8.018,-9.199,"[0.22, -0.004, 0.025]",burger
0,9.59,[nan],0.22,-0.003,0.025,-0.014,-7.953,-9.2,"[0.22, -0.003, 0.025]",burger
0,9.97,[nan],0.22,-0.001,0.016,-0.004,-7.865,-9.2,"[0.22, -0.001, 0.008]",burger
0,10.19,[nan],0.22,-0.0,0.008,-0.001,-7.821,-9.201,"[0.22, 0.0, 0.016]",burger
0,10.57,[nan],0.22,0.001,-0.0,0.004,-7.733,-9.2,"[0.207, 0.001, 0.0]",burger
0,10.98,[nan],0.22,-0.003,-0.156,-0.015,-7.626,-9.2,"[0.22, 0.0, -0.098]",burger
0,11.37,[nan],0.206,-0.012,-0.107,-0.061,-7.539,-9.204,"[0.22, 0.0, -0.0]",burger
0,11.57,[nan],0.219,-0.015,-0.0,-0.069,-7.496,-9.207,"[0.22, 0.0, 0.008]",burger
0,11.78,[nan],0.219,-0.015,0.008,-0.068,-7.452,-9.21,"[0.22, 0.0, -0.115]",burger
0,12.17,[nan],0.219,-0.023,-0.123,-0.104,-7.365,-9.217,"[0.22, 0.0, -0.016]",burger
0,12.39,[nan],0.219,-0.023,-0.123,-0.104,-7.365,-9.217,"[0.22, 0.0, -0.008]",burger
0,12.77,[nan],0.218,-0.026,-0.008,-0.118,-7.277,-9.227,"[0.207, -0.026, 0.156]",burger
0,12.98,[nan],0.205,-0.024,0.156,-0.112,-7.212,-9.234,"[0.22, 0.0, 0.082]",burger
0,13.37,[nan],0.22,-0.015,0.066,-0.066,-7.127,-9.242,"[0.22, 0.0, 0.057]",burger
0,13.58,[nan],0.22,-0.012,0.057,-0.053,-7.083,-9.244,"[0.22, 0.0, 0.123]",burger
0,13.97,[nan],0.22,-0.004,0.115,-0.017,-6.995,-9.248,"[0.22, 0.0, 0.09]",burger
