episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,5.93,[1.41],0.0,0.0,0.0,0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",jackal
0,6.35,[1.41],0.0,0.0,0.0,0.0,-8.52,-9.19,"[0.5, 0.0, 0.025]",jackal
0,6.55,[1.41],0.5,0.0,0.025,0.001,-8.5,-9.19,"[0.5, 0.0, 0.059]",jackal
0,6.77,[1.41],0.5,0.006,0.059,0.013,-8.35,-9.189,"[1.0, 0.0, 0.168]",jackal
0,7.18,[1.426],0.997,0.07,0.168,0.072,-7.99,-9.174,"[1.499, 0.0, 0.16]",jackal
0,8.01,[1.546],1.474,0.262,0.143,0.178,-6.995,-9.046,"[1.991, 0.013, 0.152]",jackal
0,8.64,[1.306],1.922,0.522,0.152,0.267,-5.936,-8.806,"[1.966, 0.14, 0.084]",jackal
0,9.04,[0.95],1.869,0.612,0.084,0.317,-5.178,-8.576,"[1.531, 0.0, 0.109]",jackal
0,9.58,[0.8],1.424,0.561,0.109,0.377,-4.21,-8.23,"[2.0, 0.0, 0.143]",jackal
0,9.96,[0.861],1.821,0.826,0.143,0.427,-3.556,-7.953,"[1.13, 0.14, -0.017]",jackal
0,10.25,[0.882],1.017,0.493,-0.017,0.451,-3.218,-7.793,"[0.0, 0.0, 0.0]",jackal
0,10.5,[0.918],0.0,0.0,0.0,0.447,-2.953,-7.666,"[0.38, 0.0, -0.16]",jackal
0,11.03,[0.901],0.46,0.195,-0.16,0.399,-2.835,-7.613,"[0.56, 0.0, -0.32]",jackal
0,11.41,[0.909],0.533,0.172,-0.32,0.309,-2.639,-7.539,"[0.433, 0.042, -0.446]",jackal
0,11.62,[0.913],0.549,0.139,-0.32,0.245,-2.53,-7.507,"[0.044, 0.032, -0.413]",jackal
0,11.9,[0.866],-0.072,-0.005,-0.472,0.069,-2.435,-7.488,"[-0.1, 0.0, -0.632]",jackal
0,12.29,[0.824],-0.1,0.01,-0.792,-0.107,-2.462,-7.487,"[-0.1, 0.0, -0.952]",jackal
0,12.52,[0.771],-0.09,0.043,-0.952,-0.455,-2.501,-7.477,"[0.0, 0.0, -0.846]",jackal
0,12.91,[0.713],0.0,0.0,-0.846,-0.628,-2.503,-7.475,"[-0.1, 0.0, -0.934]",jackal
0,13.3,[0.689],-0.054,0.084,-0.934,-1.013,-2.531,-7.446,"[-0.1, 0.0, -0.744]",jackal
0,13.54,[0.684],-0.038,0.092,-0.856,-1.185,-2.54,-7.428,"[-0.1, 0.0, -0.728]",jackal
0,13.93,[0.682],-0.01,0.1,-0.601,-1.478,-2.549,-7.39,"[-0.1, 0.0, -0.475]",jackal
0,14.29,[0.687],0.012,0.099,-0.475,-1.699,-2.548,-7.35,"[-0.1, 0.0, -0.348]",jackal
0,14.52,[0.692],0.024,0.097,-0.348,-1.822,-2.543,-7.32,"[-0.1, 0.0, -0.399]",jackal
0,14.9,[0.702],0.038,0.093,-0.272,-1.959,-2.53,-7.283,"[-0.1, 0.0, -0.264]",jackal
0,15.12,[0.707],0.043,0.09,-0.264,-2.013,-2.522,-7.264,"[-0.1, 0.0, -0.129]",jackal
0,15.5,[0.719],0.05,0.087,-0.256,-2.096,-2.503,-7.229,"[-0.1, 0.0, -0.399]",jackal
0,15.89,[0.732],0.055,0.083,-0.399,-2.162,-2.493,-7.212,"[-0.1, 0.0, -0.188]",jackal
0,16.12,[0.739],0.063,0.078,-0.188,-2.252,-2.469,-7.18,"[-0.1, 0.0, -0.053]",jackal
