episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,6.8,[1.09],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",burger
0,7.2,[1.09],0.0,0.0,0.0,0.0,-3.71,9.21,"[-0.127, 0.0, 0.107]",burger
0,7.4,[1.09],-0.127,-0.003,0.107,0.021,-3.735,9.21,"[-0.112, 0.0, 0.098]",burger
0,7.81,[1.091],-0.144,-0.007,0.074,0.048,-3.772,9.208,"[-0.126, 0.0, 0.008]",burger
0,8.23,[1.094],-0.134,-0.007,-0.033,0.055,-3.826,9.205,"[-0.114, 0.0, -0.025]",burger
0,8.62,[1.096],-0.131,-0.006,-0.025,0.044,-3.875,9.203,"[-0.145, 0.0, -0.016]",burger
0,8.83,[1.098],-0.145,-0.006,-0.016,0.04,-3.902,9.202,"[0.119, 0.0, -0.345]",burger
0,9.24,[1.099],0.0,0.0,0.0,-0.017,-3.903,9.201,"[-0.127, 0.0, 0.057]",burger
0,9.62,[1.098],-0.13,0.0,0.066,-0.003,-3.934,9.202,"[-0.113, 0.0, 0.025]",burger
0,9.82,[1.099],-0.113,-0.001,0.025,0.01,-3.97,9.201,"[-0.13, 0.0, 0.008]",burger
0,10.23,[1.099],0.137,-0.004,-0.295,-0.035,-3.979,9.201,"[0.01, 0.0, -0.615]",burger
0,10.46,[1.099],0.01,-0.001,-0.615,-0.081,-3.972,9.201,"[0.174, 0.0, -0.935]",burger
0,10.84,[1.119],0.174,-0.072,-0.931,-0.4,-3.931,9.189,"[0.204, -0.051, -0.734]",burger
0,11.07,[1.141],0.172,-0.11,-0.734,-0.577,-3.897,9.171,"[0.173, -0.11, -0.549]",burger
0,11.42,[1.191],0.121,-0.138,-0.327,-0.853,-3.828,9.109,"[0.148, -0.134, -0.237]",burger
0,11.63,[1.191],0.092,-0.116,-0.237,-0.903,-3.808,9.085,"[0.18, -0.113, -0.295]",burger
0,12.03,[1.243],0.104,-0.148,-0.295,-0.96,-3.787,9.057,"[0.22, 0.0, -0.475]",burger
0,12.23,[1.279],0.11,-0.191,-0.516,-1.054,-3.765,9.021,"[0.22, 0.0, -0.319]",burger
0,12.62,[nan],0.076,-0.206,-0.319,-1.221,-3.728,8.941,"[0.22, 0.0, -0.262]",burger
0,12.82,[nan],0.058,-0.212,-0.262,-1.305,-3.708,8.879,"[0.22, 0.0, -0.237]",burger
0,13.03,[nan],0.042,-0.216,-0.237,-1.38,-3.693,8.814,"[0.22, 0.0, -0.114]",burger
0,13.23,[nan],0.039,-0.217,-0.114,-1.396,-3.689,8.793,"[0.22, 0.0, -0.09]",burger
0,13.61,[nan],0.032,-0.218,-0.09,-1.426,-3.679,8.727,"[0.22, 0.0, -0.04]",burger
0,13.82,[nan],0.028,-0.218,-0.081,-1.443,-3.673,8.684,"[0.22, 0.0, -0.032]",burger
0,14.21,[nan],0.025,-0.219,-0.032,-1.458,-3.662,8.596,"[0.22, 0.0, -0.04]",burger
0,14.42,[nan],0.023,-0.219,-0.04,-1.466,-3.657,8.553,"[0.22, 0.0, -0.081]",burger
0,14.82,[nan],0.015,-0.22,-0.073,-1.504,-3.646,8.421,"[0.22, 0.0, -0.057]",burger
0,15.22,[nan],0.012,-0.22,-0.057,-1.516,-3.643,8.377,"[0.22, 0.0, -0.057]",burger
0,15.43,[nan],0.009,-0.22,-0.057,-1.531,-3.64,8.311,"[0.22, 0.0, -0.04]",burger
0,15.81,[nan],0.005,-0.22,-0.032,-1.549,-3.637,8.223,"[0.22, 0.0, -0.032]",burger
0,16.02,[nan],0.003,-0.22,-0.032,-1.556,-3.637,8.179,"[0.22, 0.0, -0.024]",burger
0,16.23,[nan],0.002,-0.22,-0.024,-1.562,-3.636,8.135,"[0.22, 0.0, 0.05]",burger
0,16.61,[nan],0.004,-0.22,0.042,-1.552,-3.635,8.047,"[0.22, 0.0, 0.034]",burger
0,17.02,[nan],0.011,-0.22,0.107,-1.521,-3.632,7.938,"[0.22, 0.0, 0.083]",burger
