episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,16.83,[1.09],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",burger
0,17.03,[1.09],0.0,0.0,0.0,0.0,-3.71,9.21,"[-0.044, 0.0, -1.756]",burger
0,17.4,[1.088],-0.043,0.011,-1.756,-0.263,-3.717,9.211,"[0.057, 0.0, -1.692]",burger
0,17.6,[1.088],-0.015,0.01,-1.757,-0.615,-3.721,9.213,"[0.135, 0.0, -1.346]",burger
0,17.96,[1.12],0.054,-0.213,-1.123,-1.333,-3.693,9.159,"[0.22, 0.0, -0.458]",burger
0,18.36,[nan],0.015,-0.22,-0.052,-1.504,-3.684,9.094,"[0.22, 0.0, 0.029]",burger
0,18.73,[nan],0.017,-0.219,0.121,-1.492,-3.677,8.984,"[0.22, 0.0, 0.156]",burger
0,19.13,[nan],0.027,-0.218,0.128,-1.448,-3.671,8.918,"[0.22, 0.0, 0.025]",burger
0,19.5,[nan],0.032,-0.218,0.025,-1.426,-3.662,8.853,"[0.22, 0.0, -0.005]",burger
0,19.9,[nan],0.032,-0.218,-0.005,-1.423,-3.649,8.766,"[0.22, 0.0, 0.043]",burger
0,20.1,[nan],0.035,-0.217,0.071,-1.409,-3.642,8.722,"[0.22, 0.0, 0.016]",burger
0,20.49,[nan],0.038,-0.217,0.016,-1.397,-3.627,8.636,"[0.22, 0.0, -0.032]",burger
0,20.69,[nan],0.038,-0.217,0.007,-1.396,-3.619,8.592,"[0.22, 0.0, -0.125]",burger
0,20.9,[nan],0.035,-0.217,-0.125,-1.415,-3.608,8.527,"[0.22, 0.0, -0.146]",burger
0,21.1,[nan],0.025,-0.219,-0.146,-1.456,-3.599,8.462,"[0.22, 0.0, -0.146]",burger
0,21.49,[nan],0.016,-0.219,-0.159,-1.501,-3.593,8.396,"[0.22, 0.0, -0.078]",burger
0,21.69,[nan],0.01,-0.22,-0.078,-1.525,-3.591,8.352,"[0.22, 0.0, -0.046]",burger
0,22.07,[nan],0.007,-0.22,-0.046,-1.537,-3.589,8.308,"[0.22, 0.0, 0.078]",burger
0,22.28,[nan],0.009,-0.22,0.11,-1.529,-3.588,8.264,"[0.22, 0.0, -0.018]",burger
