episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,13.64,[1.09],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,13.87,[1.09],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,14.15,[1.09],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,14.4,[1.09],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,14.62,[1.09],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,14.93,[1.095],0.78,-0.008,-1.008,-0.02,-3.694,9.21,"[0.78, 0.0, -1.008]",jackal
0,15.29,[1.137],0.367,-0.156,-0.99,-0.412,-3.447,9.163,"[0.399, 0.0, -0.99]",jackal
0,15.5,[1.111],0.329,-0.226,-0.99,-0.61,-3.377,9.124,"[0.798, 0.0, -1.09]",jackal
0,15.79,[0.974],0.479,-0.638,-1.09,-0.938,-3.274,9.012,"[1.022, 0.0, -1.144]",jackal
0,16.0,[0.884],0.417,-0.933,-1.144,-1.162,-3.184,8.854,"[1.014, 0.0, -1.248]",jackal
0,16.29,[0.824],0.094,-1.495,-1.119,-1.519,-3.111,8.535,"[1.876, 0.0, -0.837]",jackal
0,16.6,[0.835],-0.254,-1.859,-0.837,-1.715,-3.129,8.199,"[2.0, 0.0, -0.45]",jackal
0,16.89,[1.049],-0.712,-1.869,0.104,-1.934,-3.349,7.458,"[2.0, 0.0, 0.104]",jackal
0,17.12,[0.977],-0.582,-1.914,0.522,-1.861,-3.549,6.893,"[1.918, 0.0, 0.361]",jackal
0,17.4,[0.831],-0.406,-1.875,0.361,-1.78,-3.645,6.517,"[2.0, 0.0, 0.296]",jackal
0,17.68,[0.901],-0.299,-1.978,0.296,-1.718,-3.714,6.136,"[2.0, 0.0, 0.279]",jackal
0,17.97,[1.288],-0.079,-1.998,0.279,-1.607,-3.788,5.342,"[1.949, 0.0, 0.332]",jackal
0,18.24,[1.292],0.096,-1.54,0.433,-1.505,-3.785,4.786,"[1.023, 0.0, 0.463]",jackal
0,18.45,[1.274],0.156,-1.011,0.463,-1.413,-3.761,4.562,"[1.023, 0.0, 0.463]",jackal
0,18.77,[1.243],0.249,-0.992,0.463,-1.321,-3.72,4.361,"[0.713, 0.0, 0.305]",jackal
0,19.02,[1.176],0.276,-0.658,0.305,-1.17,-3.611,4.038,"[0.713, 0.0, 0.305]",jackal
0,19.32,[1.152],0.633,-1.322,-0.277,-1.127,-3.542,3.888,"[1.062, 0.0, -0.436]",jackal
0,19.56,[0.967],0.267,-0.772,-0.684,-1.244,-3.4,3.554,"[0.817, 0.0, -0.684]",jackal
0,19.85,[0.859],0.07,-0.35,-0.772,-1.382,-3.359,3.4,"[0.382, 0.0, -0.756]",jackal
0,20.08,[0.803],0.008,0.366,0.415,-1.588,-3.35,3.305,"[-0.383, 0.0, 0.417]",jackal
0,20.3,[0.838],-0.024,0.382,0.417,-1.505,-3.352,3.38,"[-0.383, 0.0, 0.417]",jackal
0,20.59,[0.862],-0.055,0.379,0.417,-1.422,-3.36,3.456,"[-0.374, 0.0, 0.416]",jackal
0,20.98,[0.912],-0.083,0.264,0.338,-1.263,-3.391,3.593,"[0.08, 0.0, -0.788]",jackal
0,21.26,[0.844],0.006,-0.079,-0.788,-1.499,-3.387,3.57,"[0.594, 0.0, -0.877]",jackal
0,21.47,[0.752],-0.099,-0.586,-0.877,-1.746,-3.395,3.485,"[0.212, 0.0, 0.21]",jackal
0,21.73,[0.665],-0.047,-0.207,0.21,-1.791,-3.411,3.413,"[-0.042, 0.0, 0.743]",jackal
0,22.06,[0.655],0.001,0.042,0.743,-1.585,-3.408,3.43,"[0.289, 0.0, 0.922]",jackal
0,22.35,[0.602],0.081,-0.281,0.34,-1.287,-3.395,3.372,"[0.292, 0.0, 0.34]",jackal
0,22.57,[0.555],-0.042,0.13,-0.301,-1.264,-3.387,3.345,"[-0.136, 0.0, -0.3]",jackal
0,22.87,[0.552],-0.038,0.131,-0.3,-1.294,-3.391,3.358,"[0.554, 0.0, -0.735]",jackal
0,23.2,[0.478],0.018,-0.554,-0.735,-1.545,-3.371,3.207,"[0.636, 0.0, -0.565]",jackal
0,23.51,[0.418],-0.144,-0.619,-0.565,-1.805,-3.398,2.971,"[1.193, 0.0, 0.482]",jackal
0,23.84,[0.534],-0.349,-1.805,0.38,-1.758,-3.511,2.516,"[1.838, 0.0, 0.38]",jackal
0,24.1,[0.662],-0.28,-1.817,0.38,-1.72,-3.543,2.335,"[2.0, 0.0, 0.684]",jackal
0,24.35,[1.081],0.167,-1.993,0.509,-1.482,-3.569,1.547,"[1.814, 0.0, 0.874]",jackal
0,24.67,[1.012],0.556,-1.573,1.09,-1.22,-3.464,1.018,"[1.709, 0.0, 1.054]",jackal
0,24.94,[0.951],0.899,-1.453,1.054,-1.006,-3.316,0.715,"[1.554, 0.0, 0.973]",jackal
0,25.24,[0.964],1.165,-1.028,0.973,-0.714,-3.014,0.36,"[1.964, 0.0, -0.423]",jackal
0,25.51,[1.249],1.303,-1.47,-0.423,-0.85,-2.446,-0.191,"[1.608, 0.0, -0.206]",jackal
0,25.8,[1.657],0.979,-1.275,-0.206,-0.918,-2.134,-0.572,"[1.373, 0.0, -0.775]",jackal
0,26.08,[1.817],0.665,-1.201,-0.775,-1.073,-1.984,-0.802,"[1.057, 0.0, -0.91]",jackal
0,26.3,[1.713],0.391,-1.061,-0.585,-1.223,-1.882,-1.024,"[1.081, 0.0, -0.58]",jackal
