episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,15.64,[nan],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",youbot
0,15.96,[nan],0.124,-0.013,-1.2,-0.12,-3.698,9.209,"[0.124, -0.149, -1.2]",youbot
0,16.3,[1.259],0.355,-0.179,-1.2,-0.48,-3.645,9.191,"[0.628, 0.056, -1.2]",youbot
0,16.65,[1.261],0.477,-0.409,-1.2,-0.72,-3.561,9.132,"[0.8, 0.33, -1.2]",youbot
0,17.0,[1.06],0.208,-0.773,-1.2,-1.32,-3.36,8.805,"[0.8, 0.522, -1.2]",youbot
0,17.39,[1.126],-0.172,-0.781,-1.2,-1.8,-3.355,8.488,"[0.8, 0.7, 0.322]",youbot
0,17.74,[1.247],-0.259,-0.757,-0.727,-1.908,-3.428,8.259,"[0.8, -0.8, 0.228]",youbot
0,18.11,[1.177],-0.301,-0.741,0.351,-1.953,-3.555,7.966,"[0.8, -0.44, 1.2]",youbot
0,18.47,[1.154],-0.202,-0.774,1.2,-1.815,-3.607,7.815,"[0.8, -0.653, 0.399]",youbot
0,18.78,[0.949],0.071,-0.797,1.2,-1.47,-3.632,7.417,"[0.8, 0.539, 1.2]",youbot
0,19.1,[0.9],0.347,-0.721,1.2,-1.11,-3.567,7.187,"[0.8, 0.513, 1.2]",youbot
0,19.47,[1.13],0.523,-0.605,-1.2,-0.87,-3.37,6.937,"[0.8, 0.526, -1.2]",youbot
0,19.8,[0.99],0.151,-0.638,-1.2,-1.35,-3.236,6.677,"[0.777, 0.202, -1.2]",youbot
0,20.15,[0.789],-0.006,-0.777,-1.2,-1.59,-3.219,6.523,"[0.8, 0.665, -1.2]",youbot
0,20.46,[0.827],-0.287,-0.747,-1.2,-1.95,-3.265,6.289,"[0.8, -0.8, -1.2]",youbot
0,20.83,[1.065],-0.6,-0.53,-1.2,-2.43,-3.296,6.311,"[0.8, -0.8, -1.2]",youbot
0,21.19,[0.832],-0.776,-0.193,-1.2,-2.91,-3.578,6.165,"[0.8, -0.555, 1.2]",youbot
0,21.51,[0.59],-0.717,-0.355,1.2,-2.67,-3.885,6.084,"[-0.62, -0.395, 0.492]",youbot
0,21.85,[0.599],0.519,0.339,0.492,-2.558,-3.804,6.134,"[-0.8, -0.24, 1.2]",youbot
0,22.06,[0.643],0.616,0.51,1.2,-2.438,-3.7,6.21,"[-0.8, 0.031, 1.2]",youbot
0,22.26,[0.724],0.477,0.642,1.2,-2.198,-3.59,6.327,"[0.098, -0.061, 1.2]",youbot
0,22.62,[0.754],-0.127,-0.79,1.2,-1.718,-3.538,6.374,"[0.8, -0.64, 0.106]",youbot
0,23.02,[1.044],-0.028,-0.8,-1.08,-1.616,-3.543,6.054,"[0.8, 0.8, -1.2]",youbot
0,23.33,[1.035],-0.204,-0.774,-1.2,-1.841,-3.566,5.897,"[0.8, -0.8, -1.2]",youbot
0,23.66,[0.956],-0.538,-0.592,-1.2,-2.321,-3.719,5.619,"[0.8, -0.772, 0.076]",youbot
0,23.99,[2.022],-0.556,-0.575,0.076,-2.339,-3.944,5.391,"[0.8, -0.565, 0.844]",youbot
0,24.26,[1.707],-0.452,-0.66,0.844,-2.163,-4.1,5.209,"[0.8, -0.663, 0.509]",youbot
0,24.47,[1.532],-0.359,-0.715,0.509,-2.031,-4.18,5.071,"[0.8, -0.663, 0.509]",youbot
0,24.79,[1.261],-0.284,-0.748,0.509,-1.929,-4.244,4.924,"[-0.064, -0.502, -0.526]",youbot
0,25.11,[1.158],0.061,0.112,-0.936,-2.083,-4.294,4.789,"[-0.089, -0.596, -0.994]",youbot
0,25.44,[1.119],0.063,0.062,-0.994,-2.374,-4.276,4.814,"[0.149, -0.339, -0.27]",youbot
0,25.79,[1.028],0.132,0.086,-1.2,-2.575,-4.296,4.793,"[-0.429, -0.44, -1.2]",youbot
0,26.05,[1.015],0.419,0.093,-1.2,-2.935,-4.202,4.829,"[0.036, -0.8, -1.2]",youbot
0,26.38,[0.997],-0.036,0.001,-1.2,3.108,-4.182,4.833,"[0.007, -0.67, -1.2]",youbot
0,26.78,[1.35],0.471,-0.3,-0.653,2.568,-4.137,4.803,"[-0.8, -0.229, -1.004]",youbot
0,27.02,[1.444],0.597,-0.533,-1.004,2.403,-4.029,4.721,"[-0.8, -0.116, -0.87]",youbot
0,27.35,[1.647],0.445,-0.665,0.105,2.161,-3.873,4.539,"[-0.8, -0.01, 0.577]",youbot
0,27.76,[0.474],0.54,-0.59,0.798,2.32,-3.682,4.283,"[-0.8, -0.016, 0.385]",youbot
0,28.11,[0.634],0.645,-0.473,-1.2,2.497,-3.437,4.079,"[-0.8, -0.8, -1.2]",youbot
0,28.33,[0.684],0.437,-0.67,-1.2,2.137,-3.274,3.905,"[-0.8, -0.8, -1.2]",youbot
0,28.53,[0.684],0.437,-0.67,-1.2,2.137,-3.274,3.905,"[-0.8, -0.8, -1.2]",youbot
0,28.9,[0.957],0.078,-0.796,-1.2,1.657,-3.17,3.605,"[-0.8, -0.8, -1.2]",youbot
0,29.27,[0.717],-0.298,-0.742,-1.2,1.177,-3.217,3.292,"[-0.8, -0.8, -1.2]",youbot
0,29.56,[0.903],-0.607,-0.521,-1.2,0.697,-3.403,3.035,"[-0.8, -0.417, -1.2]",youbot
0,29.94,[nan],-0.58,-0.211,-1.2,0.337,-3.603,2.918,"[-0.321, -0.253, -0.905]",youbot
