episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,15.2,[1.51],0.0,0.0,0.0,0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",jackal
0,15.54,[1.51],0.0,0.0,0.0,0.0,-10.63,-10.89,"[2.0, 0.0, 0.536]",jackal
0,15.89,[1.571],1.688,0.546,1.445,0.328,-9.762,-10.785,"[1.613, 0.0, 1.329]",jackal
0,16.21,[1.844],0.826,0.733,1.343,0.739,-9.356,-10.556,"[1.214, 0.0, 1.584]",jackal
0,16.57,[2.662],0.369,1.462,1.521,1.339,-9.109,-10.135,"[2.0, 0.0, 1.403]",jackal
0,16.93,[3.321],-0.087,1.998,1.403,1.629,-9.079,-9.776,"[2.0, 0.0, -1.087]",jackal
0,17.24,[3.166],-0.268,1.982,-1.087,1.694,-9.234,-8.993,"[2.0, 0.0, -1.27]",jackal
0,17.59,[3.247],0.677,1.882,-1.269,1.213,-9.153,-8.205,"[2.0, 0.0, -1.189]",jackal
0,17.9,[3.176],1.283,1.534,-0.709,0.867,-8.848,-7.692,"[2.0, 0.0, 1.0]",jackal
0,18.11,[2.965],1.16,1.629,1.0,0.962,-8.453,-7.241,"[2.0, 0.0, 1.039]",jackal
0,18.43,[2.84],0.801,1.833,1.128,1.17,-8.258,-6.893,"[2.0, 0.0, -0.776]",jackal
0,18.79,[2.956],0.81,1.829,-0.763,1.146,-8.004,-6.135,"[2.0, 0.0, -0.766]",jackal
0,19.12,[3.15],1.323,1.5,-0.766,0.84,-7.571,-5.466,"[1.883, 0.0, -1.008]",jackal
0,19.53,[3.223],1.487,1.156,-1.008,0.651,-7.293,-5.204,"[2.0, 0.0, 0.611]",jackal
0,19.81,[3.296],1.749,0.971,0.611,0.513,-6.599,-4.82,"[2.0, 0.0, 0.696]",jackal
0,20.18,[3.081],1.532,1.286,0.696,0.705,-6.105,-4.481,"[2.0, 0.0, 0.53]",jackal
