episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,16.9,[1.51],0.0,0.0,0.0,0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",youbot
0,17.28,[1.525],0.0,0.0,0.0,0.0,-10.63,-10.89,"[0.8, -0.657, 1.2]",youbot
0,17.63,[1.968],0.714,0.361,1.2,0.48,-10.322,-10.817,"[0.8, -0.718, 1.2]",youbot
0,17.84,[2.59],0.666,0.444,1.2,0.6,-10.253,-10.776,"[0.8, -0.8, 1.2]",youbot
0,18.22,[2.694],0.208,0.773,1.2,1.32,-9.981,-10.393,"[0.8, -0.8, 1.2]",youbot
0,18.6,[nan],0.018,0.8,1.2,1.56,-9.959,-10.235,"[0.8, 0.8, -1.2]",youbot
0,18.98,[nan],0.076,0.796,-1.2,1.464,-9.995,-9.838,"[0.8, 0.8, -1.2]",youbot
0,19.35,[3.041],0.435,0.671,-1.2,0.984,-9.889,-9.539,"[0.8, 0.8, -1.2]",youbot
0,19.56,[3.913],0.582,0.549,-1.2,0.744,-9.786,-9.417,"[0.8, -0.8, 1.2]",youbot
0,19.93,[3.798],0.555,0.576,1.2,0.816,-9.666,-9.311,"[0.8, -0.8, 1.2]",youbot
0,20.3,[nan],0.226,0.767,1.2,1.296,-9.508,-9.036,"[0.8, 0.8, -1.2]",youbot
0,20.69,[nan],0.171,0.782,-1.2,1.344,-9.466,-8.72,"[0.8, 0.8, -1.2]",youbot
0,21.08,[3.898],0.582,0.549,-1.2,0.744,-9.27,-8.378,"[0.8, 0.8, -1.2]",youbot
0,21.44,[3.674],0.676,0.428,1.2,0.576,-8.999,-8.21,"[0.8, -0.8, 1.2]",youbot
0,21.81,[nan],0.555,0.576,1.2,0.816,-8.876,-8.108,"[0.8, -0.8, 1.2]",youbot
0,22.21,[nan],0.226,0.767,1.2,1.296,-8.719,-7.833,"[0.8, 0.8, -1.2]",youbot
0,22.57,[3.566],0.171,0.782,-1.2,1.344,-8.676,-7.517,"[0.8, 0.8, -1.2]",youbot
0,22.79,[nan],0.351,0.719,-1.2,1.104,-8.623,-7.366,"[0.8, 0.8, -1.2]",youbot
0,23.17,[nan],0.644,0.475,-1.2,0.624,-8.419,-7.124,"[0.8, -0.8, 1.2]",youbot
0,23.55,[nan],0.569,0.563,1.2,0.792,-8.083,-6.91,"[0.8, -0.8, 1.2]",youbot
0,23.91,[nan],0.334,0.727,1.2,1.152,-7.948,-6.714,"[0.8, -0.8, 1.2]",youbot
0,24.32,[nan],0.152,0.785,1.2,1.392,-7.9,-6.562,"[0.8, 0.8, -1.2]",youbot
0,24.68,[nan],0.435,0.671,-1.2,0.984,-7.779,-6.104,"[0.8, 0.8, -1.2]",youbot
0,25.06,[nan],0.644,0.475,-1.2,0.624,-7.615,-5.931,"[0.8, 0.8, -1.2]",youbot
0,25.42,[nan],0.779,0.181,1.2,0.24,-7.322,-5.809,"[0.8, -0.8, 1.2]",youbot
0,25.83,[nan],0.608,0.52,1.2,0.72,-7.04,-5.664,"[0.8, -0.8, 1.2]",youbot
0,26.18,[nan],0.299,0.742,1.2,1.2,-6.857,-5.406,"[0.8, -0.8, 1.2]",youbot
0,26.39,[nan],0.299,0.742,1.2,1.2,-6.857,-5.406,"[0.8, 0.8, -1.2]",youbot
0,26.77,[nan],0.281,0.749,-1.2,1.2,-6.766,-4.937,"[0.8, 0.8, -1.2]",youbot
0,27.14,[nan],0.527,0.602,-1.2,0.84,-6.642,-4.733,"[0.8, 0.8, -1.2]",youbot
0,27.52,[nan],0.714,0.361,1.2,0.48,-6.383,-4.551,"[0.8, -0.8, 1.174]",youbot
0,27.91,[nan],0.47,0.647,1.2,0.955,-6.143,-4.344,"[0.8, -0.8, 1.2]",youbot
0,28.28,[nan],0.285,0.748,-1.2,1.195,-6.016,-4.052,"[0.8, 0.8, -1.2]",youbot
0,28.49,[nan],0.285,0.748,-1.2,1.195,-6.016,-4.052,"[0.8, 0.8, -1.2]",youbot
0,28.7,[nan],0.53,0.599,-1.2,0.835,-5.891,-3.848,"[0.8, 0.8, -1.2]",youbot
0,29.1,[nan],0.747,0.287,-1.2,0.355,-5.63,-3.669,"[0.8, -0.8, 1.001]",youbot
0,29.45,[nan],0.592,0.538,1.189,0.75,-5.358,-3.504,"[0.8, -0.8, 0.468]",youbot
0,29.8,[nan],0.431,0.674,0.468,1.006,-5.209,-3.317,"[0.8, 0.8, -1.2]",youbot
0,30.01,[nan],0.446,0.664,-1.2,0.967,-5.087,-3.11,"[0.8, 0.8, -1.2]",youbot
0,30.38,[nan],0.702,0.383,-1.2,0.487,-4.852,-2.898,"[0.8, -0.8, -0.821]",youbot
0,30.77,[nan],0.782,0.167,-1.029,0.201,-4.626,-2.818,"[0.8, -0.8, -0.145]",youbot
0,31.16,[nan],0.8,-0.001,-0.145,-0.002,-4.387,-2.801,"[0.8, -0.595, 1.2]",youbot
0,31.37,[nan],0.749,0.28,1.2,0.37,-4.073,-2.758,"[0.8, -0.584, 1.2]",youbot
0,31.76,[nan],0.535,0.595,1.2,0.85,-3.812,-2.578,"[0.8, -0.8, -0.304]",youbot
0,32.13,[nan],0.499,0.626,-0.304,0.895,-3.713,-2.452,"[0.8, -0.8, -1.2]",youbot
0,32.34,[nan],0.601,0.528,-1.2,0.708,-3.605,-2.335,"[0.8, -0.8, -1.127]",youbot
0,32.69,[nan],0.786,0.147,-0.467,0.18,-3.245,-2.173,"[0.8, -0.557, 1.2]",youbot
0,33.07,[nan],0.709,0.37,1.2,0.493,-2.938,-2.088,"[0.8, -0.48, 1.2]",youbot
0,33.27,[nan],0.601,0.528,1.2,0.733,-2.807,-1.997,"[0.8, -0.471, 1.2]",youbot
0,33.64,[1.262],0.305,0.739,1.004,1.189,-2.626,-1.737,"[0.8, -0.8, -0.023]",youbot
0,34.02,[0.995],0.255,0.758,-0.023,1.246,-2.574,-1.586,"[0.8, -0.8, -0.789]",youbot
0,34.42,[0.851],0.44,0.668,-0.789,0.98,-2.438,-1.297,"[0.8, -0.8, -1.2]",youbot
0,34.77,[1.016],0.668,0.44,-1.2,0.571,-2.216,-1.07,"[0.8, -0.326, 1.2]",youbot
0,35.14,[0.789],0.383,0.575,1.2,0.996,-1.989,-0.854,"[0.004, -0.037, 1.2]",youbot
0,35.5,[0.742],-0.016,-0.147,1.2,1.476,-1.942,-0.773,"[-0.799, -0.165, 1.158]",youbot
0,35.7,[0.744],0.103,-0.793,1.158,1.712,-1.936,-0.868,"[-0.8, -0.676, 0.897]",youbot
0,36.08,[0.742],0.265,-0.755,0.897,1.917,-1.898,-1.023,"[-0.8, -0.468, 1.2]",youbot
0,36.43,[0.857],-0.685,0.414,1.2,2.61,-1.786,-1.259,"[0.8, 0.639, 1.2]",youbot
0,36.81,[nan],-0.763,0.239,1.2,2.85,-1.932,-1.195,"[-0.473, 0.266, -1.2]",youbot
0,37.21,[1.048],0.48,-0.64,-1.2,2.202,-1.916,-1.297,"[-0.8, -0.09, -1.2]",youbot
0,37.59,[0.695],-0.223,0.768,-1.2,1.842,-1.87,-1.346,"[0.8, 0.8, 1.2]",youbot
0,37.95,[0.77],-0.205,0.773,1.2,1.842,-1.903,-1.189,"[-0.8, 0.397, 1.2]",youbot
