episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,6.39,[nan],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",youbot
0,6.92,[nan],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.1, -0.64]",youbot
0,7.14,[nan],0.0,0.0,-0.64,-0.032,-3.71,9.21,"[0.0, 0.1, -0.64]",youbot
0,7.5,[nan],0.0,0.0,-0.607,-0.285,-3.71,9.21,"[0.132, 0.1, -1.0]",youbot
0,7.72,[nan],0.119,-0.056,-1.0,-0.445,-3.698,9.205,"[0.132, 0.1, -1.0]",youbot
0,7.94,[1.375],0.106,-0.078,-1.0,-0.645,-3.675,9.191,"[0.581, 0.1, -1.0]",youbot
0,8.3,[1.271],0.313,-0.527,-1.0,-1.045,-3.571,9.062,"[0.758, 0.069, -0.819]",youbot
0,8.51,[1.191],0.261,-0.712,-0.819,-1.227,-3.514,8.937,"[0.759, -0.056, -0.458]",youbot
0,8.77,[1.159],0.163,-0.741,-0.458,-1.359,-3.473,8.791,"[0.663, -0.241, -0.061]",youbot
0,9.11,[1.14],0.081,-0.658,-0.061,-1.449,-3.44,8.578,"[0.585, 0.1, -0.11]",youbot
0,9.52,[1.139],0.033,-0.573,-0.07,-1.513,-3.408,8.213,"[0.549, -0.083, 0.235]",youbot
0,9.89,[1.1],0.051,-0.546,0.235,-1.476,-3.4,8.103,"[0.538, -0.047, -0.077]",youbot
0,10.11,[1.09],0.051,-0.535,0.0,-1.476,-3.39,7.996,"[0.551, -0.035, -0.082]",youbot
0,10.53,[1.069],0.035,-0.55,-0.082,-1.507,-3.372,7.779,"[0.535, -0.05, -0.066]",youbot
0,10.89,[1.061],0.016,-0.525,-0.077,-1.54,-3.362,7.563,"[0.516, -0.025, -0.061]",youbot
0,11.26,[1.059],0.005,-0.516,-0.061,-1.562,-3.359,7.406,"[0.502, -0.008, -0.077]",youbot
0,11.49,[1.321],-0.005,-0.502,-0.077,-1.582,-3.359,7.203,"[0.502, -0.008, -0.11]",youbot
0,11.88,[1.216],-0.025,-0.498,-0.094,-1.621,-3.365,7.003,"[0.485, -0.002, -0.028]",youbot
0,12.26,[1.095],-0.032,-0.47,-0.044,-1.64,-3.377,6.81,"[0.47, 0.016, -0.077]",youbot
0,12.46,[1.046],-0.038,-0.469,-0.077,-1.653,-3.384,6.716,"[0.468, 0.03, -0.061]",youbot
0,12.69,[1.005],-0.044,-0.465,-0.061,-1.667,-3.393,6.623,"[0.462, 0.031, -0.061]",youbot
0,12.89,[0.975],-0.044,-0.465,-0.061,-1.667,-3.393,6.623,"[0.456, 0.035, 0.0]",youbot
0,13.27,[0.934],-0.05,-0.448,0.021,-1.682,-3.422,6.349,"[0.449, 0.052, -0.028]",youbot
0,13.5,[0.945],-0.049,-0.446,-0.028,-1.681,-3.427,6.304,"[0.451, 0.054, -0.044]",youbot
0,13.86,[0.957],-0.055,-0.445,-0.012,-1.695,-3.448,6.126,"[0.446, 0.1, -0.061]",youbot
0,14.08,[0.976],-0.057,-0.443,-0.061,-1.698,-3.459,6.037,"[0.443, 0.057, 0.021]",youbot
0,14.47,[0.999],-0.059,-0.435,0.038,-1.705,-3.483,5.861,"[0.441, 0.065, 0.054]",youbot
0,14.7,[1.009],-0.056,-0.437,0.054,-1.697,-3.495,5.774,"[0.444, 0.1, -0.028]",youbot
0,15.06,[1.03],-0.054,-0.446,0.0,-1.691,-3.516,5.598,"[0.446, 0.054, 0.082]",youbot
0,15.31,[1.04],-0.049,-0.443,0.082,-1.68,-3.532,5.464,"[0.447, 0.1, -0.0]",youbot
0,15.67,[1.048],-0.042,-0.452,0.066,-1.663,-3.55,5.286,"[0.455, 0.048, 0.082]",youbot
0,16.05,[1.068],-0.034,-0.453,-0.049,-1.646,-3.564,5.104,"[0.464, 0.047, 0.033]",youbot
0,16.27,[1.072],-0.034,-0.453,-0.049,-1.646,-3.564,5.104,"[0.466, 0.037, 0.049]",youbot
0,16.7,[1.084],-0.031,-0.465,0.049,-1.636,-3.578,4.92,"[0.469, 0.035, 0.066]",youbot
0,17.09,[1.092],-0.018,-0.474,0.066,-1.608,-3.59,4.686,"[0.479, 0.031, 0.049]",youbot
0,17.3,[1.488],-0.012,-0.474,0.066,-1.595,-3.593,4.591,"[0.0, 0.0, 0.0]",youbot
0,17.74,[1.383],-0.006,-0.49,0.131,-1.581,-3.595,4.481,"[0.5, 0.5, -0.574]",youbot
0,18.05,[1.273],-0.029,-0.499,-0.574,-1.635,-3.596,4.283,"[0.471, 0.1, 0.038]",youbot
0,18.27,[1.221],-0.023,-0.47,0.038,-1.62,-3.602,4.185,"[0.477, 0.1, 0.088]",youbot
0,18.49,[1.18],-0.016,-0.476,0.088,-1.603,-3.608,4.043,"[0.48, 0.1, 0.17]",youbot
0,18.86,[1.146],0.015,-0.488,0.202,-1.539,-3.609,3.85,"[0.505, 0.1, 0.186]",youbot
0,19.08,[1.107],0.034,-0.503,0.186,-1.501,-3.604,3.75,"[0.525, 0.1, 0.17]",youbot
0,19.29,[1.107],0.054,-0.522,0.17,-1.465,-3.595,3.648,"[0.544, 0.1, 0.137]",youbot
0,19.71,[0.892],0.094,-0.555,0.186,-1.402,-3.565,3.432,"[0.563, 0.1, 0.12]",youbot
0,20.07,[0.541],0.118,-0.551,0.12,-1.358,-3.533,3.266,"[0.612, 0.1, 0.005]",youbot
0,20.46,[0.408],0.143,-0.621,-0.044,-1.345,-3.479,3.032,"[0.637, 0.1, -0.109]",youbot
0,20.85,[0.329],0.13,-0.624,-0.109,-1.367,-3.438,2.845,"[0.57, 0.1, 0.0]",youbot
0,21.25,[0.504],0.046,-0.255,0.055,-1.39,-3.382,2.539,"[0.201, 0.245, -0.323]",youbot
0,21.46,[0.875],0.035,-0.198,-0.323,-1.4,-3.378,2.516,"[0.546, 0.245, -0.52]",youbot
0,21.7,[0.867],0.028,-0.199,-0.323,-1.432,-3.375,2.496,"[0.528, 0.1, -0.273]",youbot
0,22.06,[0.871],-0.04,-0.528,-0.196,-1.648,-3.372,2.199,"[0.485, 0.1, -0.159]",youbot
0,22.28,[0.888],-0.046,-0.483,-0.159,-1.667,-3.376,2.147,"[0.454, 0.1, -0.109]",youbot
0,22.67,[0.918],-0.065,-0.438,-0.027,-1.719,-3.4,1.961,"[0.435, 0.1, 0.088]",youbot
0,23.07,[0.94],-0.058,-0.43,0.071,-1.705,-3.425,1.788,"[0.442, 0.07, 0.12]",youbot
0,23.46,[0.948],-0.038,-0.446,0.12,-1.655,-3.45,1.569,"[0.457, 0.1, 0.071]",youbot
0,23.91,[0.964],-0.021,-0.456,0.137,-1.614,-3.462,1.387,"[0.469, 0.044, 0.186]",youbot
0,24.26,[0.965],0.007,-0.486,0.12,-1.554,-3.464,1.199,"[0.493, 0.031, 0.235]",youbot
0,24.5,[0.964],0.026,-0.493,0.235,-1.515,-3.461,1.101,"[0.502, 0.1, 0.104]",youbot
0,24.9,[2.201],0.057,-0.511,0.12,-1.459,-3.444,0.9,"[0.544, 0.1, 0.153]",youbot
0,25.1,[2.159],0.075,-0.539,0.153,-1.431,-3.43,0.795,"[0.563, 0.1, 0.17]",youbot
0,25.49,[2.006],0.116,-0.571,0.137,-1.369,-3.392,0.573,"[0.608, 0.1, 0.055]",youbot
