episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,6.79,[1.09],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",burger
0,7.04,[1.09],0.0,0.0,0.0,0.0,-3.71,9.21,"[-0.158, 0.0, -0.155]",burger
0,7.43,[1.09],-0.156,0.006,-0.142,-0.038,-3.749,9.211,"[-0.186, 0.0, -0.257]",burger
0,7.64,[1.089],-0.185,0.013,-0.257,-0.073,-3.782,9.212,"[-0.174, 0.0, -0.3]",burger
0,8.03,[1.079],-0.163,0.03,-0.3,-0.187,-3.853,9.221,"[-0.146, 0.0, -0.3]",burger
0,8.25,[1.072],-0.142,0.035,-0.3,-0.247,-3.884,9.228,"[-0.126, 0.0, -0.3]",burger
0,8.62,[1.058],-0.017,0.007,-0.3,-0.367,-3.929,9.242,"[0.139, 0.0, -0.3]",burger
0,8.82,[1.061],0.126,-0.057,-0.3,-0.427,-3.922,9.239,"[0.162, 0.0, -0.3]",burger
0,9.04,[1.074],0.143,-0.075,-0.3,-0.487,-3.896,9.226,"[0.168, 0.0, -0.3]",burger
0,9.45,[1.109],0.149,-0.103,-0.3,-0.607,-3.839,9.191,"[0.188, 0.0, -0.3]",burger
0,9.8,[1.155],0.149,-0.132,-0.3,-0.727,-3.78,9.145,"[0.206, 0.0, -0.3]",burger
0,10.03,[1.183],0.146,-0.145,-0.3,-0.787,-3.751,9.117,"[0.22, 0.0, -0.3]",burger
0,10.23,[1.213],0.146,-0.164,-0.3,-0.847,-3.722,9.087,"[0.22, 0.0, -0.3]",burger
0,10.61,[1.282],0.126,-0.181,-0.3,-0.967,-3.668,9.018,"[0.22, 0.0, -0.3]",burger
0,10.81,[1.282],0.114,-0.188,-0.3,-1.027,-3.644,8.981,"[0.22, 0.0, -0.3]",burger
0,11.24,[1.294],0.091,-0.2,-0.3,-1.147,-3.603,8.903,"[0.22, 0.0, -0.294]",burger
0,11.59,[nan],0.067,-0.209,-0.257,-1.262,-3.571,8.821,"[0.22, 0.0, -0.241]",burger
0,11.81,[nan],0.057,-0.213,-0.241,-1.312,-3.559,8.779,"[0.22, 0.0, -0.226]",burger
0,12.22,[nan],0.037,-0.217,-0.219,-1.403,-3.54,8.693,"[0.22, 0.0, -0.212]",burger
0,12.62,[nan],0.018,-0.216,-0.207,-1.489,-3.529,8.606,"[0.206, 0.0, -0.204]",burger
0,13.0,[nan],0.0,-0.201,-0.201,-1.571,-3.526,8.522,"[0.196, 0.0, -0.187]",burger
0,13.4,[nan],-0.015,-0.193,-0.099,-1.648,-3.53,8.424,"[0.192, 0.0, -0.047]",burger
0,13.82,[nan],-0.015,-0.185,0.043,-1.649,-3.536,8.349,"[0.181, 0.0, 0.075]",burger
0,14.2,[nan],-0.012,-0.181,0.075,-1.635,-3.539,8.313,"[0.184, 0.0, -0.008]",burger
0,14.41,[nan],-0.011,-0.181,0.007,-1.633,-3.541,8.276,"[0.185, 0.0, -0.049]",burger
0,14.83,[nan],-0.013,-0.184,-0.049,-1.643,-3.546,8.203,"[0.182, 0.0, -0.007]",burger
0,15.21,[nan],-0.013,-0.182,0.043,-1.641,-3.553,8.112,"[0.183, 0.0, -0.015]",burger
0,15.61,[nan],-0.013,-0.184,-0.003,-1.639,-3.558,8.039,"[0.182, 0.0, -0.031]",burger
0,16.01,[nan],-0.013,-0.182,0.015,-1.644,-3.563,7.966,"[0.184, 0.0, -0.018]",burger
0,16.41,[nan],-0.014,-0.181,-0.025,-1.65,-3.57,7.875,"[0.182, 0.0, 0.025]",burger
0,16.8,[nan],-0.014,-0.181,0.025,-1.646,-3.572,7.838,"[0.184, 0.0, 0.017]",burger
0,17.2,[nan],-0.014,-0.184,0.017,-1.647,-3.578,7.765,"[0.181, 0.0, -0.013]",burger
