episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,6.93,[1.09],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,7.2,[1.09],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.176, 0.0, -1.506]",jackal
0,7.42,[1.095],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.198, 0.0, -1.505]",jackal
0,7.88,[1.102],0.147,-0.133,-1.505,-0.753,-3.625,9.176,"[0.22, 0.0, -1.481]",jackal
0,8.1,[1.288],0.052,-0.214,-1.473,-1.349,-3.584,9.104,"[0.22, 0.0, -1.471]",jackal
0,8.47,[1.28],-0.01,-0.22,-1.058,-1.627,-3.58,9.06,"[0.22, 0.0, 0.273]",jackal
0,8.8,[1.296],-0.028,-0.218,1.471,-1.685,-3.596,8.974,"[0.22, 0.0, 1.337]",jackal
0,9.02,[1.297],0.034,-0.217,1.337,-1.404,-3.595,8.93,"[0.22, 0.0, -1.141]",jackal
0,9.28,[1.29],0.059,-0.212,-1.141,-1.31,-3.583,8.888,"[0.22, 0.0, -1.287]",jackal
0,9.62,[1.283],-0.029,-0.218,-0.393,-1.708,-3.58,8.8,"[0.22, 0.0, 1.348]",jackal
0,10.19,[1.272],0.064,-0.21,1.348,-1.26,-3.58,8.692,"[0.22, 0.0, 1.19]",jackal
0,10.51,[1.249],0.098,-0.197,-1.476,-1.126,-3.538,8.615,"[0.22, 0.0, -1.475]",jackal
0,10.87,[1.224],-0.029,-0.218,-1.472,-1.716,-3.524,8.529,"[0.22, 0.0, -0.329]",jackal
0,11.1,[1.228],-0.067,-0.209,-0.329,-1.884,-3.535,8.487,"[0.22, 0.0, 1.471]",jackal
0,11.47,[1.194],-0.015,-0.22,1.47,-1.623,-3.551,8.423,"[0.22, 0.0, -0.042]",jackal
0,11.75,[1.186],0.044,-0.215,-0.042,-1.368,-3.538,8.336,"[0.22, 0.0, -0.892]",jackal
0,12.03,[1.185],0.019,-0.219,-0.892,-1.495,-3.531,8.293,"[0.22, 0.0, 0.397]",jackal
0,12.41,[1.177],0.01,-0.22,0.397,-1.521,-3.53,8.227,"[0.22, 0.0, 0.463]",jackal
0,12.67,[1.182],0.025,-0.219,-1.015,-1.468,-3.519,8.14,"[0.22, 0.0, -0.895]",jackal
0,12.93,[1.181],-0.017,-0.219,-0.895,-1.657,-3.519,8.096,"[0.22, 0.0, 0.243]",jackal
0,13.15,[1.174],-0.044,-0.216,0.243,-1.768,-3.526,8.052,"[0.22, 0.0, 0.896]",jackal
0,13.5,[1.165],-0.007,-0.22,1.157,-1.593,-3.535,7.987,"[0.22, 0.0, -0.039]",jackal
0,13.83,[1.178],0.024,-0.219,-0.844,-1.47,-3.519,7.879,"[0.22, 0.0, -0.839]",jackal
0,14.1,[1.184],-0.013,-0.22,-0.839,-1.638,-3.518,7.835,"[0.22, 0.0, 0.056]",jackal
0,14.36,[1.182],-0.036,-0.217,0.056,-1.734,-3.524,7.791,"[0.22, 0.0, 0.658]",jackal
0,14.65,[1.183],0.008,-0.22,1.177,-1.522,-3.533,7.704,"[0.22, 0.0, 0.232]",jackal
0,14.93,[1.197],0.038,-0.217,0.232,-1.395,-3.525,7.638,"[0.22, 0.0, -0.413]",jackal
0,15.22,[1.218],0.026,-0.218,-0.537,-1.457,-3.518,7.595,"[0.22, 0.0, -0.158]",jackal
0,15.45,[1.215],0.008,-0.22,-0.158,-1.538,-3.515,7.551,"[0.22, 0.0, 0.314]",jackal
0,15.7,[1.214],0.004,-0.22,0.314,-1.551,-3.514,7.507,"[0.22, 0.0, 0.391]",jackal
0,15.9,[1.212],0.018,-0.219,0.314,-1.488,-3.512,7.463,"[0.22, 0.0, -0.911]",jackal
0,16.1,[1.204],-0.003,-0.22,-0.911,-1.592,-3.503,7.376,"[0.22, 0.0, -0.676]",jackal
0,16.44,[1.21],-0.018,-0.219,-0.676,-1.66,-3.504,7.354,"[0.22, 0.0, 0.479]",jackal
0,16.67,[1.215],-0.011,-0.22,0.479,-1.614,-3.514,7.266,"[0.22, 0.0, 0.262]",jackal
0,17.07,[1.22],-0.001,-0.22,-0.265,-1.577,-3.513,7.178,"[0.22, 0.0, -0.391]",jackal
0,17.46,[1.237],-0.024,-0.219,-0.069,-1.681,-3.519,7.091,"[0.22, 0.0, 1.038]",jackal
0,17.67,[1.245],-0.0,-0.22,1.038,-1.562,-3.523,7.047,"[0.22, 0.0, 0.976]",jackal
0,18.1,[1.256],0.008,-0.22,-1.267,-1.548,-3.512,6.96,"[0.22, 0.0, -0.385]",jackal
0,18.59,[1.212],-0.011,-0.22,0.508,-1.614,-3.523,6.85,"[0.22, 0.0, 0.632]",jackal
