episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,6.34,[nan],0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",youbot
0,6.81,[nan],0.0,0.0,0.0,0.0,-3.71,9.21,"[-0.43, 0.029, -0.365]",youbot
0,7.21,[nan],-0.319,0.056,-0.608,-0.18,-3.843,9.219,"[-0.014, 0.001, -0.85]",youbot
0,7.44,[nan],-0.013,0.005,-0.85,-0.34,-3.858,9.222,"[0.167, -0.021, -1.059]",youbot
0,7.84,[1.395],0.132,-0.124,-1.12,-0.764,-3.808,9.19,"[0.196, -0.025, -1.115]",youbot
0,8.23,[1.399],0.11,-0.163,-1.115,-0.987,-3.783,9.161,"[0.22, -0.027, -0.915]",youbot
0,8.64,[1.352],0.004,-0.22,-0.803,-1.56,-3.748,9.038,"[0.22, -0.026, -0.646]",youbot
0,9.01,[1.289],-0.026,-0.218,-0.646,-1.697,-3.751,8.994,"[0.22, -0.015, -0.364]",youbot
0,9.21,[1.289],-0.049,-0.214,-0.494,-1.802,-3.759,8.95,"[0.22, -0.008, -0.228]",youbot
0,9.42,[1.232],-0.066,-0.21,-0.364,-1.878,-3.77,8.908,"[0.22, 0.001, 0.024]",youbot
0,9.8,[1.138],-0.077,-0.206,0.067,-1.926,-3.808,8.805,"[0.22, 0.012, 0.29]",youbot
0,10.21,[1.05],-0.056,-0.213,0.347,-1.826,-3.835,8.721,"[0.22, 0.026, 0.575]",youbot
0,10.6,[1.005],-0.013,-0.22,0.587,-1.622,-3.85,8.634,"[0.22, 0.017, 0.418]",youbot
0,10.8,[0.984],0.01,-0.22,0.418,-1.522,-3.85,8.59,"[0.22, 0.006, 0.132]",youbot
0,11.05,[0.957],0.023,-0.219,0.132,-1.467,-3.846,8.547,"[0.22, -0.006, -0.136]",youbot
0,11.39,[0.935],0.016,-0.219,-0.36,-1.501,-3.837,8.459,"[0.22, -0.011, -0.243]",youbot
0,11.78,[0.914],0.003,-0.22,-0.243,-1.561,-3.835,8.415,"[0.22, 0.002, 0.049]",youbot
0,11.99,[0.901],-0.003,-0.22,0.034,-1.582,-3.835,8.371,"[0.22, 0.002, 0.042]",youbot
0,12.41,[0.88],0.003,-0.22,0.018,-1.557,-3.835,8.217,"[0.22, -0.0, -0.002]",youbot
0,12.79,[0.869],0.003,-0.22,0.002,-1.557,-3.834,8.151,"[0.22, -0.002, -0.043]",youbot
0,13.19,[0.867],0.001,-0.22,-0.034,-1.565,-3.833,8.085,"[0.22, 0.001, 0.016]",youbot
0,13.6,[0.867],0.002,-0.22,0.046,-1.563,-3.833,7.975,"[0.22, 0.008, 0.151]",youbot
0,13.8,[0.868],0.002,-0.22,0.046,-1.563,-3.833,7.975,"[0.22, 0.004, 0.087]",youbot
0,14.17,[1.528],0.014,-0.22,0.039,-1.508,-3.828,7.843,"[0.22, -0.002, -0.04]",youbot
0,14.4,[1.525],0.014,-0.22,-0.04,-1.505,-3.826,7.821,"[0.22, -0.002, -0.039]",youbot
0,14.78,[1.522],0.011,-0.22,0.037,-1.52,-3.821,7.733,"[0.22, -0.001, -0.015]",youbot
0,15.01,[1.518],0.013,-0.22,-0.015,-1.514,-3.819,7.689,"[0.22, -0.001, -0.012]",youbot
0,15.39,[1.514],0.012,-0.22,0.021,-1.518,-3.814,7.602,"[0.22, 0.001, 0.021]",youbot
0,15.79,[1.509],0.013,-0.22,0.003,-1.509,-3.808,7.492,"[0.22, -0.004, -0.078]",youbot
0,16.17,[1.504],0.008,-0.22,-0.118,-1.537,-3.803,7.404,"[0.22, -0.0, -0.01]",youbot
0,16.39,[1.503],0.005,-0.22,-0.01,-1.548,-3.802,7.36,"[0.22, 0.004, 0.09]",youbot
0,16.79,[1.5],0.01,-0.22,0.048,-1.527,-3.799,7.272,"[0.22, -0.005, -0.091]",youbot
0,17.17,[1.628],0.009,-0.22,-0.091,-1.531,-3.797,7.228,"[0.22, 0.004, 0.078]",youbot
0,17.38,[1.604],0.005,-0.22,-0.06,-1.546,-3.796,7.184,"[0.22, 0.003, 0.064]",youbot
0,17.59,[1.574],0.008,-0.22,0.078,-1.534,-3.794,7.118,"[0.22, -0.001, -0.014]",youbot
0,17.97,[1.525],0.013,-0.22,0.131,-1.51,-3.789,7.008,"[0.22, 0.001, 0.028]",youbot
0,18.18,[1.498],0.013,-0.22,0.131,-1.51,-3.789,7.008,"[0.22, -0.004, -0.079]",youbot
0,18.58,[1.473],0.014,-0.22,-0.018,-1.509,-3.78,6.877,"[0.22, 0.003, 0.054]",youbot
0,18.79,[1.439],0.013,-0.22,0.054,-1.51,-3.778,6.855,"[0.22, -0.0, -0.004]",youbot
0,19.18,[1.393],0.016,-0.219,-0.004,-1.5,-3.772,6.767,"[0.22, 0.0, 0.005]",youbot
0,19.4,[1.374],0.015,-0.22,0.005,-1.505,-3.769,6.723,"[0.22, 0.001, 0.025]",youbot
0,19.78,[1.336],0.016,-0.219,0.004,-1.498,-3.762,6.613,"[0.22, -0.002, -0.05]",youbot
0,20.17,[1.306],0.013,-0.22,-0.033,-1.511,-3.756,6.525,"[0.22, 0.002, 0.033]",youbot
0,20.59,[1.273],0.015,-0.219,0.046,-1.502,-3.75,6.437,"[0.22, 0.0, 0.0]",youbot
