episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.402,[1.199],0.0,0.0,-0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",jackal
0,0.944,[1.198],0.0,0.0,-0.0,-0.0,-8.52,-9.19,"[1.673, 0.0, 0.474]",jackal
0,1.403,[1.201],1.424,-0.048,0.541,0.019,-8.149,-9.191,"[1.47, 0.0, 0.408]",jackal
0,1.904,[1.272],1.181,-0.0,0.008,0.125,-7.446,-9.136,"[1.14, 0.0, 0.01]",jackal
0,2.403,[1.011],0.833,0.0,0.001,0.153,-6.966,-9.075,"[0.823, 0.0, 0.182]",jackal
0,2.804,[0.791],0.401,-0.009,0.073,0.238,-6.711,-9.037,"[0.131, 0.0, 0.416]",jackal
0,3.304,[0.763],0.226,-0.013,0.094,0.321,-6.602,-9.018,"[0.211, 0.0, 0.277]",jackal
0,3.804,[0.774],0.23,-0.0,-0.003,0.391,-6.495,-8.987,"[0.133, 0.0, 0.394]",jackal
0,4.207,[0.771],0.245,-0.0,-0.0,0.391,-6.393,-8.945,"[0.146, 0.0, 0.379]",jackal
0,4.703,[0.878],0.264,-0.048,0.366,0.439,-6.282,-8.903,"[0.365, 0.0, 0.298]",jackal
0,5.211,[0.833],-0.201,-0.04,0.304,0.679,-6.191,-8.889,"[-0.381, 0.0, -0.842]",jackal
0,5.703,[1.035],-0.107,0.0,0.001,0.581,-6.37,-9.0,"[0.622, 0.0, 0.667]",jackal
0,6.104,[0.939],0.438,-0.051,0.478,0.653,-6.264,-8.936,"[0.412, 0.0, 0.676]",jackal
0,6.603,[0.92],-0.142,0.021,-1.069,0.697,-6.229,-8.931,"[-0.261, 0.0, -0.784]",jackal
0,7.004,[0.924],0.461,-0.01,0.341,0.494,-6.204,-8.912,"[0.389, 0.0, 0.443]",jackal
0,7.405,[0.822],0.245,-0.057,0.435,0.596,-6.019,-8.812,"[-0.406, 0.0, -0.84]",jackal
0,7.906,[1.117],-0.192,0.035,-0.291,0.557,-6.102,-8.868,"[0.097, 0.0, -0.755]",jackal
0,8.403,[1.219],0.703,0.003,-0.04,0.511,-5.984,-8.795,"[1.413, 0.0, -0.619]",jackal
0,8.804,[0.885],1.762,0.007,-0.11,0.481,-5.537,-8.551,"[2.0, 0.0, -0.537]",jackal
0,9.204,[0.556],1.952,0.004,-0.023,0.383,-4.873,-8.234,"[2.0, 0.0, -0.274]",jackal
0,9.705,[0.73],1.999,0.096,-0.727,0.214,-3.933,-7.902,"[2.0, 0.0, 0.414]",jackal
0,10.202,[1.486],1.518,-0.072,0.546,0.442,-2.947,-7.661,"[1.62, 0.0, 0.548]",jackal
0,10.605,[1.163],1.999,0.101,-0.757,0.472,-2.331,-7.32,"[2.0, 0.0, -0.505]",jackal
0,11.007,[0.83],1.981,-0.162,1.227,0.559,-1.6,-6.999,"[2.0, 0.0, 0.854]",jackal
0,11.503,[0.539],1.979,-0.17,1.218,1.132,-0.902,-6.307,"[2.0, 0.0, 0.904]",jackal
0,12.002,[0.642],1.977,-0.157,1.207,1.748,-0.695,-5.351,"[2.0, 0.0, 0.724]",jackal
0,12.406,[0.681],1.854,0.007,-0.172,2.105,-0.921,-4.642,"[2.0, 0.0, -0.862]",jackal
0,12.806,[1.38],1.92,-0.128,0.985,1.96,-1.258,-3.912,"[2.0, 0.0, 0.966]",jackal
0,13.304,[1.357],1.993,0.102,-0.778,2.026,-1.713,-3.102,"[2.0, 0.0, -0.542]",jackal
0,13.804,[1.486],1.976,-0.169,1.228,2.269,-2.14,-2.113,"[2.0, 0.0, -0.286]",jackal
0,14.31,[1.858],2.007,0.03,-0.217,2.195,-2.749,-1.385,"[2.0, 0.0, -0.126]",jackal
0,14.803,[1.138],1.368,-0.023,0.174,2.177,-3.228,-0.69,"[1.712, 0.0, -0.002]",jackal
0,15.207,[0.662],1.07,0.0,0.002,2.174,-3.581,-0.185,"[-0.947, 0.0, 0.403]",jackal
0,15.705,[0.658],-0.738,0.039,-0.296,2.165,-3.608,-0.148,"[-0.865, 0.0, 0.278]",jackal
0,16.21,[0.996],-0.233,0.0,-0.0,2.196,-3.412,-0.444,"[-0.344, 0.0, 0.153]",jackal
0,16.702,[1.272],-0.023,0.023,-0.506,2.145,-3.324,-0.56,"[1.013, 0.0, -0.316]",jackal
0,17.102,[1.233],0.998,0.08,-0.817,2.048,-3.434,-0.369,"[1.112, 0.0, -0.908]",jackal
0,17.503,[0.833],1.294,0.102,-0.777,1.756,-3.611,0.042,"[1.53, 0.0, -0.18]",jackal
0,18.003,[0.522],2.0,-0.12,0.912,1.778,-3.72,0.89,"[2.0, 0.0, 0.569]",jackal
0,18.408,[0.891],1.927,0.027,-0.213,2.055,-3.989,1.679,"[2.0, 0.0, -0.667]",jackal
0,18.903,[1.254],1.921,-0.039,0.293,1.761,-4.328,2.563,"[2.0, 0.0, 0.494]",jackal
0,19.303,[1.687],1.999,0.087,-0.663,1.851,-4.55,3.365,"[2.0, 0.0, -0.457]",jackal
0,19.804,[1.464],1.887,0.019,-0.164,1.939,-4.794,4.318,"[2.0, 0.0, -0.613]",jackal
0,20.208,[1.298],1.974,-0.093,0.689,1.806,-5.007,5.027,"[2.0, 0.0, 0.713]",jackal
0,20.703,[1.076],1.99,0.062,-0.477,1.831,-5.324,5.966,"[2.0, 0.0, -0.369]",jackal
0,21.103,[1.449],1.996,-0.082,0.577,1.913,-5.524,6.816,"[2.0, 0.0, -0.621]",jackal
1,21.601,[1.197],0.597,0.001,-0.01,-0.003,-8.452,-9.19,"[0.0, 0.0, 0.0]",jackal
1,22.001,[1.197],-0.0,0.0,-0.0,-0.0,-8.41,-9.191,"[0.0, 0.0, 0.0]",jackal
1,22.403,[1.198],-0.0,0.0,-0.0,-0.0,-8.41,-9.191,"[0.0, 0.0, 0.0]",jackal
1,22.901,[1.198],-0.0,0.0,-0.0,-0.0,-8.411,-9.191,"[0.0, 0.0, 0.0]",jackal
1,23.401,[1.197],-0.0,0.0,-0.0,-0.0,-8.411,-9.191,"[0.0, 0.0, 0.0]",jackal
1,23.901,[1.198],-0.0,0.0,-0.0,-0.0,-8.411,-9.191,"[0.0, 0.0, 0.0]",jackal
1,24.401,[1.197],-0.0,0.0,-0.0,-0.0,-8.411,-9.191,"[0.0, 0.0, 0.0]",jackal
1,24.9,[1.199],-0.0,0.0,-0.0,-0.0,-8.411,-9.191,"[0.0, 0.0, 0.0]",jackal
1,25.3,[1.198],-0.0,0.0,-0.0,-0.0,-8.411,-9.191,"[0.0, 0.0, 0.0]",jackal
1,25.701,[1.199],-0.0,0.0,-0.0,-0.0,-8.411,-9.191,"[0.0, 0.0, 0.0]",jackal
1,26.201,[1.198],-0.0,0.0,-0.0,-0.0,-8.411,-9.191,"[0.0, 0.0, 0.0]",jackal
1,26.701,[1.198],-0.0,0.0,-0.0,-0.0,-8.411,-9.191,"[0.0, 0.0, 0.0]",jackal
1,27.2,[1.198],-0.0,0.0,-0.0,-0.0,-8.411,-9.191,"[0.0, 0.0, 0.0]",jackal
1,27.601,[1.198],-0.0,0.0,-0.0,-0.0,-8.412,-9.191,"[0.0, 0.0, 0.0]",jackal
1,28.001,[1.197],-0.0,0.0,-0.0,-0.0,-8.412,-9.191,"[0.0, 0.0, 0.0]",jackal
1,28.501,[1.198],-0.0,0.0,-0.0,-0.0,-8.412,-9.191,"[0.0, 0.0, 0.0]",jackal
1,29.001,[1.198],-0.0,0.0,-0.0,-0.0,-8.412,-9.191,"[0.0, 0.0, 0.0]",jackal
1,29.501,[1.198],-0.0,0.0,-0.0,-0.0,-8.412,-9.191,"[0.0, 0.0, 0.0]",jackal
1,30.0,[1.197],-0.0,0.0,-0.0,-0.0,-8.412,-9.191,"[0.0, 0.0, 0.0]",jackal
1,30.5,[1.198],-0.0,0.0,-0.0,-0.0,-8.412,-9.191,"[0.0, 0.0, 0.0]",jackal
1,30.901,[1.198],-0.0,0.0,-0.0,-0.0,-8.412,-9.191,"[0.0, 0.0, 0.0]",jackal
1,31.401,[1.197],-0.0,0.0,-0.0,-0.0,-8.412,-9.191,"[0.0, 0.0, 0.0]",jackal
1,31.901,[1.198],-0.0,0.0,-0.0,-0.0,-8.413,-9.191,"[0.0, 0.0, 0.0]",jackal
1,32.401,[1.199],-0.0,0.0,-0.0,-0.0,-8.413,-9.191,"[0.0, 0.0, 0.0]",jackal
1,32.901,[1.199],-0.0,0.0,-0.0,-0.0,-8.413,-9.191,"[0.0, 0.0, 0.0]",jackal
1,33.303,[1.198],-0.0,0.0,-0.0,-0.0,-8.413,-9.191,"[0.0, 0.0, 0.0]",jackal
1,33.801,[1.198],-0.0,0.0,-0.0,-0.0,-8.413,-9.191,"[0.0, 0.0, 0.0]",jackal
1,34.301,[1.197],-0.0,0.0,-0.0,-0.0,-8.413,-9.191,"[0.0, 0.0, 0.0]",jackal
1,34.801,[1.198],-0.0,0.0,-0.0,-0.0,-8.413,-9.191,"[0.0, 0.0, 0.0]",jackal
1,35.301,[1.198],-0.0,0.0,-0.0,-0.0,-8.413,-9.191,"[0.0, 0.0, 0.0]",jackal
1,35.801,[1.198],-0.0,0.0,-0.0,-0.0,-8.413,-9.191,"[0.0, 0.0, 0.0]",jackal
1,36.203,[1.197],-0.0,0.0,-0.0,-0.0,-8.413,-9.191,"[0.0, 0.0, 0.0]",jackal
1,36.701,[1.198],-0.0,0.0,-0.0,-0.0,-8.414,-9.191,"[0.0, 0.0, 0.0]",jackal
1,37.202,[1.198],-0.0,0.0,-0.0,-0.0,-8.414,-9.191,"[0.0, 0.0, 0.0]",jackal
1,37.701,[1.198],-0.0,0.0,-0.0,-0.0,-8.414,-9.191,"[0.0, 0.0, 0.0]",jackal
1,38.201,[1.198],-0.0,0.0,-0.0,-0.0,-8.414,-9.191,"[0.0, 0.0, 0.0]",jackal
1,38.701,[1.198],-0.0,0.0,-0.0,-0.0,-8.414,-9.191,"[0.0, 0.0, 0.0]",jackal
1,39.201,[1.199],-0.0,0.0,-0.0,-0.0,-8.414,-9.191,"[0.0, 0.0, 0.0]",jackal
1,39.701,[1.198],-0.0,0.0,-0.0,-0.0,-8.414,-9.191,"[0.0, 0.0, 0.0]",jackal
1,40.201,[1.198],-0.0,0.0,-0.0,-0.0,-8.414,-9.191,"[0.0, 0.0, 0.0]",jackal
1,40.701,[1.198],-0.0,0.0,-0.0,-0.0,-8.415,-9.191,"[0.0, 0.0, 0.0]",jackal
1,41.2,[1.197],-0.0,0.0,-0.0,-0.0,-8.415,-9.191,"[0.0, 0.0, 0.0]",jackal
1,41.601,[1.198],-0.0,0.0,-0.0,-0.0,-8.415,-9.191,"[0.0, 0.0, 0.0]",jackal
1,42.101,[1.198],-0.0,0.0,-0.0,-0.0,-8.415,-9.191,"[0.0, 0.0, 0.0]",jackal
1,42.601,[1.197],-0.0,0.0,-0.0,-0.0,-8.415,-9.191,"[0.0, 0.0, 0.0]",jackal
1,43.101,[1.198],-0.0,0.0,-0.0,-0.0,-8.415,-9.191,"[0.0, 0.0, 0.0]",jackal
1,43.602,[1.198],-0.0,0.0,-0.0,-0.0,-8.415,-9.191,"[0.0, 0.0, 0.0]",jackal
1,44.101,[1.198],-0.0,0.0,-0.0,-0.0,-8.415,-9.191,"[0.0, 0.0, 0.0]",jackal
1,44.601,[1.198],-0.0,0.0,-0.0,-0.0,-8.415,-9.191,"[0.0, 0.0, 0.0]",jackal
1,45.101,[1.198],-0.0,0.0,-0.0,-0.0,-8.416,-9.191,"[0.0, 0.0, 0.0]",jackal
1,45.601,[1.198],-0.0,0.0,-0.0,-0.0,-8.416,-9.191,"[0.0, 0.0, 0.0]",jackal
1,46.101,[1.198],-0.0,0.0,-0.0,-0.0,-8.416,-9.191,"[0.0, 0.0, 0.0]",jackal
1,46.502,[1.198],-0.0,0.0,-0.0,-0.0,-8.416,-9.191,"[0.0, 0.0, 0.0]",jackal
1,47.001,[1.199],-0.0,0.0,-0.0,-0.0,-8.416,-9.191,"[0.0, 0.0, 0.0]",jackal
1,47.401,[1.199],-0.0,0.0,-0.0,-0.0,-8.416,-9.191,"[0.0, 0.0, 0.0]",jackal
1,47.901,[1.198],-0.0,0.0,-0.0,-0.0,-8.416,-9.191,"[0.0, 0.0, 0.0]",jackal
1,48.401,[1.199],-0.0,0.0,-0.0,-0.0,-8.416,-9.191,"[0.0, 0.0, 0.0]",jackal
1,48.901,[1.198],-0.0,0.0,-0.0,-0.0,-8.416,-9.191,"[0.0, 0.0, 0.0]",jackal
1,49.401,[1.198],-0.0,0.0,-0.0,-0.0,-8.416,-9.191,"[0.0, 0.0, 0.0]",jackal
1,49.901,[1.197],-0.0,0.0,-0.0,-0.0,-8.417,-9.191,"[0.0, 0.0, 0.0]",jackal
1,50.401,[1.199],-0.0,0.0,-0.0,-0.0,-8.417,-9.191,"[0.0, 0.0, 0.0]",jackal
1,50.901,[1.198],-0.0,0.0,-0.0,-0.0,-8.417,-9.191,"[0.0, 0.0, 0.0]",jackal
1,51.401,[1.197],-0.0,0.0,-0.0,-0.0,-8.417,-9.191,"[0.0, 0.0, 0.0]",jackal
1,51.803,[1.198],-0.0,0.0,-0.0,-0.0,-8.417,-9.191,"[0.0, 0.0, 0.0]",jackal
1,52.301,[1.198],-0.0,0.0,-0.0,-0.0,-8.417,-9.191,"[0.0, 0.0, 0.0]",jackal
1,52.801,[1.198],-0.0,0.0,-0.0,-0.0,-8.417,-9.191,"[0.0, 0.0, 0.0]",jackal
1,53.301,[1.198],-0.0,0.0,-0.0,-0.0,-8.417,-9.191,"[0.0, 0.0, 0.0]",jackal
1,53.801,[1.198],-0.0,0.0,-0.0,-0.0,-8.417,-9.191,"[0.0, 0.0, 0.0]",jackal
1,54.301,[1.198],-0.0,0.0,-0.0,-0.0,-8.418,-9.191,"[0.0, 0.0, 0.0]",jackal
1,54.801,[1.198],-0.0,0.0,-0.0,-0.0,-8.418,-9.191,"[0.0, 0.0, 0.0]",jackal
1,55.3,[1.198],-0.0,0.0,-0.0,-0.0,-8.418,-9.191,"[0.0, 0.0, 0.0]",jackal
1,55.701,[1.198],-0.0,0.0,-0.0,-0.0,-8.418,-9.191,"[0.0, 0.0, 0.0]",jackal
1,56.202,[1.198],-0.0,0.0,-0.0,-0.0,-8.418,-9.191,"[0.0, 0.0, 0.0]",jackal
1,56.701,[1.198],-0.0,0.0,-0.0,-0.0,-8.418,-9.191,"[0.0, 0.0, 0.0]",jackal
1,57.102,[1.197],-0.0,0.0,-0.0,-0.0,-8.418,-9.191,"[0.0, 0.0, 0.0]",jackal
1,57.601,[1.198],-0.0,0.0,-0.0,-0.0,-8.418,-9.191,"[0.0, 0.0, 0.0]",jackal
1,58.101,[1.198],-0.0,0.0,-0.0,-0.0,-8.418,-9.191,"[0.0, 0.0, 0.0]",jackal
1,58.601,[1.198],-0.0,0.0,-0.0,-0.0,-8.419,-9.191,"[0.0, 0.0, 0.0]",jackal
1,59.1,[1.199],-0.0,0.0,-0.0,-0.0,-8.419,-9.191,"[0.0, 0.0, 0.0]",jackal
1,59.601,[1.198],-0.0,0.0,-0.0,-0.0,-8.419,-9.191,"[0.0, 0.0, 0.0]",jackal
1,60.101,[1.198],-0.0,0.0,-0.0,-0.0,-8.419,-9.191,"[0.0, 0.0, 0.0]",jackal
1,60.601,[1.197],-0.0,0.0,-0.0,-0.0,-8.419,-9.191,"[0.0, 0.0, 0.0]",jackal
1,61.102,[1.198],-0.0,0.0,-0.0,-0.0,-8.419,-9.191,"[0.0, 0.0, 0.0]",jackal
1,61.602,[1.198],-0.0,0.0,-0.0,-0.0,-8.419,-9.191,"[0.0, 0.0, 0.0]",jackal
1,62.1,[1.198],-0.0,0.0,-0.0,-0.0,-8.419,-9.191,"[0.0, 0.0, 0.0]",jackal
1,62.601,[1.199],-0.0,0.0,-0.0,-0.0,-8.419,-9.191,"[0.0, 0.0, 0.0]",jackal
1,63.101,[1.197],-0.0,0.0,-0.0,-0.0,-8.42,-9.191,"[0.0, 0.0, 0.0]",jackal
1,63.601,[1.197],-0.0,0.0,-0.0,-0.0,-8.42,-9.191,"[0.0, 0.0, 0.0]",jackal
1,64.101,[1.198],-0.0,0.0,-0.0,-0.0,-8.42,-9.191,"[0.0, 0.0, 0.0]",jackal
1,64.501,[1.197],-0.0,0.0,-0.0,-0.0,-8.42,-9.191,"[0.0, 0.0, 0.0]",jackal
1,65.001,[1.199],-0.0,0.0,-0.0,-0.0,-8.42,-9.191,"[0.0, 0.0, 0.0]",jackal
1,65.402,[1.197],-0.0,0.0,-0.0,-0.0,-8.42,-9.191,"[0.0, 0.0, 0.0]",jackal
1,65.901,[1.198],-0.0,0.0,-0.0,-0.0,-8.42,-9.191,"[0.0, 0.0, 0.0]",jackal
