episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.401,[1.108],-0.0,-0.0,0.002,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,0.9,[1.109],0.0,-0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,1.303,[1.109],0.0,-0.0,0.0,0.0,-3.71,9.21,"[0.284, 0.0, -0.993]",jackal
0,1.715,[1.131],0.368,0.05,-0.39,-0.198,-3.606,9.212,"[0.435, 0.0, -0.901]",jackal
0,2.203,[1.098],0.282,0.062,-0.489,-0.63,-3.447,9.211,"[0.767, 0.0, -1.239]",jackal
0,2.604,[0.929],0.757,0.194,-1.48,-0.963,-3.26,9.073,"[0.717, 0.0, -1.544]",jackal
0,3.103,[0.858],1.683,0.032,-0.278,-1.632,-3.107,8.571,"[2.0, 0.0, -1.211]",jackal
0,3.504,[1.018],2.0,0.092,-0.7,-1.972,-3.223,7.83,"[2.0, 0.0, -0.395]",jackal
0,4.007,[1.33],1.982,-0.12,0.918,-1.73,-3.63,6.896,"[2.0, 0.0, 0.526]",jackal
0,4.503,[0.966],2.0,-0.069,0.525,-1.422,-3.66,5.943,"[2.0, 0.0, 0.445]",jackal
0,4.913,[0.907],1.979,0.158,-0.978,-1.496,-3.505,5.157,"[2.0, 0.0, -0.639]",jackal
0,5.406,[1.169],2.0,-0.064,0.488,-1.512,-3.523,4.122,"[2.0, 0.0, 0.088]",jackal
0,5.902,[0.979],2.003,-0.016,0.119,-1.509,-3.457,3.205,"[2.0, 0.0, 0.254]",jackal
0,6.304,[0.941],1.988,0.01,-0.031,-1.595,-3.399,2.399,"[2.0, 0.0, 0.908]",jackal
0,6.804,[0.795],2.001,0.07,-0.53,-1.382,-3.27,1.39,"[2.0, 0.0, -0.262]",jackal
0,7.303,[1.137],1.936,-0.059,0.272,-1.146,-3.083,0.453,"[2.0, 0.0, -0.377]",jackal
0,7.709,[1.831],2.0,-0.117,0.893,-1.114,-2.761,-0.361,"[2.0, 0.0, -0.273]",jackal
0,8.209,[1.839],1.981,-0.024,0.236,-1.254,-2.373,-1.195,"[2.0, 0.0, 0.736]",jackal
0,8.706,[1.479],2.009,0.081,-0.619,-1.122,-1.923,-2.121,"[2.0, 0.0, -0.385]",jackal
0,9.203,[1.846],2.006,0.043,-0.314,-1.086,-1.521,-3.031,"[2.0, 0.0, -0.379]",jackal
0,9.603,[1.585],1.992,-0.073,0.552,-1.139,-1.19,-3.754,"[2.0, 0.0, 0.241]",jackal
0,10.006,[0.769],1.989,0.068,-0.514,-1.111,-0.803,-4.495,"[2.0, 0.0, -0.215]",jackal
0,10.503,[0.429],2.0,-0.032,0.228,-1.025,-0.371,-5.357,"[2.0, 0.0, -0.092]",jackal
0,10.903,[1.301],2.009,0.052,-0.384,-1.068,0.021,-6.01,"[2.0, 0.0, -0.602]",jackal
0,11.304,[1.52],1.982,-0.092,0.683,-1.238,0.339,-6.731,"[2.0, 0.0, 0.513]",jackal
0,11.802,[1.928],1.995,-0.081,0.615,-1.114,0.749,-7.694,"[2.0, 0.0, -0.299]",jackal
0,12.204,[1.626],2.041,-0.062,0.474,-1.156,1.096,-8.412,"[1.905, 0.0, 0.537]",jackal
0,12.703,[1.116],1.108,-0.008,0.064,-1.017,1.463,-9.099,"[0.962, 0.0, 0.057]",jackal
1,13.2,[1.105],0.0,-0.0,0.0,0.076,-3.646,9.205,"[0.0, 0.0, 0.0]",jackal
1,13.6,[1.105],0.0,-0.0,0.0,0.076,-3.646,9.205,"[0.0, 0.0, 0.0]",jackal
1,14.0,[1.105],0.0,-0.0,0.0,0.076,-3.646,9.205,"[0.0, 0.0, 0.0]",jackal
1,14.4,[1.105],0.0,-0.0,0.0,0.076,-3.646,9.205,"[0.0, 0.0, 0.0]",jackal
1,14.8,[1.106],0.0,-0.0,0.0,0.076,-3.646,9.205,"[0.0, 0.0, 0.0]",jackal
1,15.3,[1.105],0.0,-0.0,0.0,0.076,-3.646,9.205,"[0.0, 0.0, 0.0]",jackal
1,15.8,[1.104],0.0,-0.0,0.0,0.076,-3.646,9.205,"[0.0, 0.0, 0.0]",jackal
1,16.3,[1.105],0.0,-0.0,0.0,0.076,-3.645,9.205,"[0.0, 0.0, 0.0]",jackal
