episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.401,[1.292],-0.0,0.0,0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,0.801,[1.299],-0.0,0.0,0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.201,[1.287],-0.0,0.0,0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.705,[1.301],0.179,0.0,0.106,0.006,-10.586,-10.89,"[0.22, 0.0, 0.619]",turtlebot3_burger
0,2.205,[1.296],0.215,-0.0,0.549,0.269,-10.482,-10.876,"[0.22, 0.0, 0.54]",turtlebot3_burger
0,2.703,[1.328],0.216,-0.0,0.516,0.536,-10.384,-10.834,"[0.22, 0.0, 0.51]",turtlebot3_burger
0,3.203,[1.392],0.216,-0.0,0.473,0.787,-10.299,-10.768,"[0.22, 0.0, 0.459]",turtlebot3_burger
0,3.703,[1.478],0.216,-0.0,0.439,1.012,-10.232,-10.684,"[0.22, 0.0, 0.421]",turtlebot3_burger
0,4.202,[1.561],0.223,0.0,-0.42,1.074,-10.185,-10.595,"[0.22, 0.0, -0.403]",turtlebot3_burger
0,4.609,[1.64],0.215,-0.0,0.391,1.068,-10.135,-10.513,"[0.22, 0.0, -0.333]",turtlebot3_burger
0,5.01,[1.73],0.214,-0.0,0.17,0.987,-10.09,-10.436,"[0.22, 0.0, 0.379]",turtlebot3_burger
0,5.503,[1.808],0.208,-0.0,0.202,0.945,-10.031,-10.345,"[0.22, 0.0, 0.396]",turtlebot3_burger
0,5.903,[1.882],0.221,0.0,-0.283,1.002,-9.988,-10.279,"[0.22, 0.0, -0.304]",turtlebot3_burger
0,6.41,[1.974],0.214,0.0,-0.193,0.991,-9.927,-10.19,"[0.22, 0.0, -0.281]",turtlebot3_burger
0,6.902,[2.056],0.211,0.0,-0.151,0.998,-9.867,-10.1,"[0.22, 0.0, -0.268]",turtlebot3_burger
0,7.303,[2.144],0.216,-0.0,0.397,0.967,-9.811,-10.023,"[0.22, 0.0, -0.195]",turtlebot3_burger
0,7.703,[2.211],0.222,0.0,-0.215,0.926,-9.761,-9.95,"[0.22, 0.0, 0.326]",turtlebot3_burger
0,8.104,[2.272],0.222,0.0,-0.223,0.961,-9.714,-9.884,"[0.22, 0.0, -0.215]",turtlebot3_burger
0,8.602,[2.362],0.217,0.0,-0.048,0.948,-9.649,-9.797,"[0.22, 0.0, -0.201]",turtlebot3_burger
0,9.006,[2.445],0.217,-0.0,0.349,0.934,-9.592,-9.722,"[0.22, 0.0, -0.15]",turtlebot3_burger
0,9.504,[2.52],0.218,-0.0,0.304,0.898,-9.526,-9.635,"[0.22, 0.0, 0.362]",turtlebot3_burger
0,10.003,[2.599],0.222,0.0,-0.176,0.901,-9.461,-9.548,"[0.22, 0.0, 0.315]",turtlebot3_burger
0,10.403,[2.675],0.222,0.0,-0.18,0.931,-9.407,-9.477,"[0.22, 0.0, -0.178]",turtlebot3_burger
0,10.803,[2.767],0.208,-0.0,0.192,0.88,-9.353,-9.408,"[0.22, 0.0, 0.375]",turtlebot3_burger
0,11.304,[2.826],0.221,0.0,-0.165,0.891,-9.291,-9.328,"[0.22, 0.0, 0.334]",turtlebot3_burger
0,11.803,[2.923],0.222,0.0,-0.182,0.924,-9.225,-9.241,"[0.22, 0.0, -0.177]",turtlebot3_burger
0,12.207,[2.988],0.205,0.0,0.168,0.867,-9.165,-9.168,"[0.22, 0.0, 0.384]",turtlebot3_burger
0,12.703,[3.077],0.221,0.0,-0.161,0.871,-9.097,-9.083,"[0.22, 0.0, 0.339]",turtlebot3_burger
0,13.204,[3.156],0.222,0.0,-0.175,0.905,-9.03,-8.997,"[0.22, 0.0, -0.17]",turtlebot3_burger
0,13.702,[3.239],0.217,-0.0,0.367,0.883,-8.96,-8.914,"[0.22, 0.0, -0.124]",turtlebot3_burger
0,14.105,[3.31],0.221,0.0,-0.165,0.852,-8.904,-8.846,"[0.22, 0.0, 0.33]",turtlebot3_burger
0,14.603,[3.401],0.222,0.0,-0.188,0.88,-8.835,-8.762,"[0.22, 0.0, -0.168]",turtlebot3_burger
0,15.007,[3.467],0.226,0.0,-0.079,0.912,-8.779,-8.694,"[0.22, 0.0, -0.193]",turtlebot3_burger
0,15.412,[inf],0.221,0.0,-0.163,0.842,-8.722,-8.626,"[0.22, 0.0, 0.313]",turtlebot3_burger
0,15.903,[inf],0.221,0.0,-0.178,0.856,-8.652,-8.544,"[0.22, 0.0, 0.309]",turtlebot3_burger
0,16.303,[inf],0.214,0.0,-0.095,0.9,-8.602,-8.484,"[0.22, 0.0, -0.185]",turtlebot3_burger
0,16.803,[inf],0.221,0.0,-0.163,0.872,-8.532,-8.4,"[0.22, 0.0, -0.176]",turtlebot3_burger
0,17.303,[inf],0.222,0.0,-0.179,0.897,-8.462,-8.317,"[0.22, 0.0, -0.19]",turtlebot3_burger
0,17.803,[inf],0.225,0.0,0.077,0.9,-8.391,-8.233,"[0.22, 0.0, -0.18]",turtlebot3_burger
0,18.207,[inf],0.217,-0.0,0.311,0.853,-8.329,-8.159,"[0.22, 0.0, 0.349]",turtlebot3_burger
0,18.701,[3.35],0.222,0.0,-0.177,0.863,-8.264,-8.08,"[0.22, 0.0, -0.168]",turtlebot3_burger
0,19.103,[3.308],0.211,0.0,-0.03,0.895,-8.203,-8.009,"[0.22, 0.0, -0.191]",turtlebot3_burger
0,19.614,[3.243],0.217,-0.0,0.354,0.87,-8.13,-7.925,"[0.22, 0.0, -0.148]",turtlebot3_burger
0,20.103,[3.174],0.217,-0.0,0.312,0.842,-8.058,-7.841,"[0.22, 0.0, 0.343]",turtlebot3_burger
0,20.603,[2.851],0.213,-0.0,0.254,0.848,-7.987,-7.758,"[0.22, 0.0, 0.337]",turtlebot3_burger
0,21.103,[2.555],0.221,0.0,-0.189,0.83,-7.916,-7.675,"[0.22, 0.0, 0.308]",turtlebot3_burger
