episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.501,[1.201],-0.0,-0.0,-0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",youbot
0,0.901,[1.201],-0.0,-0.0,-0.003,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",youbot
0,1.307,[1.201],0.231,-0.219,0.373,0.016,-8.51,-9.2,"[0.8, -0.8, 0.939]",youbot
0,1.806,[1.129],0.293,-0.311,0.249,0.157,-8.352,-9.334,"[0.8, -0.787, 1.2]",youbot
0,2.307,[1.069],0.317,-0.289,0.225,0.277,-8.164,-9.453,"[0.8, -0.722, 1.2]",youbot
0,2.804,[1.05],0.347,-0.27,0.305,0.393,-7.973,-9.537,"[0.8, -0.627, 1.2]",youbot
0,3.218,[1.122],0.354,-0.271,0.422,0.539,-7.799,-9.572,"[0.8, -0.68, 1.2]",youbot
0,3.711,[1.376],0.334,-0.303,0.52,0.767,-7.576,-9.583,"[0.8, -0.728, 1.2]",youbot
0,4.209,[1.794],0.31,-0.32,0.267,0.955,-7.344,-9.561,"[0.8, -0.768, 1.2]",youbot
0,4.702,[1.733],0.314,-0.32,0.264,1.069,-7.135,-9.516,"[0.8, -0.764, 1.2]",youbot
0,5.206,[1.604],0.302,-0.32,0.309,1.223,-6.917,-9.44,"[0.8, -0.769, 1.2]",youbot
0,5.703,[1.433],0.35,-0.272,0.271,1.376,-6.733,-9.343,"[0.8, 0.677, -0.589]",youbot
0,6.203,[1.339],0.38,0.265,-0.145,1.411,-6.706,-9.135,"[0.8, 0.489, -1.2]",youbot
0,6.606,[1.178],0.407,0.177,-0.507,1.254,-6.749,-8.965,"[0.8, 0.342, -1.2]",youbot
0,7.102,[0.997],0.415,0.002,-0.452,0.986,-6.714,-8.75,"[0.748, -0.124, -1.2]",youbot
0,7.604,[0.918],0.347,-0.151,-0.682,0.726,-6.569,-8.641,"[0.502, -0.255, -1.2]",youbot
0,8.103,[0.944],0.375,0.149,-0.514,0.366,-6.377,-8.568,"[0.733, 0.555, -1.2]",youbot
0,8.602,[0.817],0.037,0.348,-0.614,0.164,-6.304,-8.376,"[-0.8, -0.8, -1.2]",youbot
0,9.112,[0.927],-0.057,-0.274,-0.8,-0.319,-6.405,-8.36,"[0.8, -0.8, -1.2]",youbot
0,9.603,[1.28],0.341,-0.333,-0.042,-0.465,-6.373,-8.554,"[0.8, -0.8, 0.651]",youbot
0,10.102,[1.468],0.334,-0.289,0.395,-0.476,-6.342,-8.685,"[0.8, -0.577, 1.2]",youbot
0,10.503,[1.481],0.334,-0.26,0.41,-0.31,-6.259,-8.836,"[0.8, -0.596, 1.2]",youbot
0,10.903,[1.398],0.318,-0.304,0.314,-0.163,-6.158,-8.976,"[0.8, -0.712, 0.349]",youbot
0,11.303,[1.296],0.389,-0.241,0.241,-0.056,-6.038,-9.107,"[0.8, -0.528, 1.2]",youbot
0,11.802,[1.244],0.412,-0.092,0.544,0.135,-5.841,-9.202,"[0.8, -0.447, 1.2]",youbot
0,12.204,[1.299],0.368,-0.245,0.335,0.288,-5.669,-9.249,"[0.8, -0.555, 1.2]",youbot
0,12.613,[1.357],0.377,-0.181,0.473,0.438,-5.499,-9.289,"[0.8, -0.507, 1.2]",youbot
0,13.113,[1.586],0.355,-0.281,0.479,0.65,-5.286,-9.306,"[0.8, -0.7, 1.2]",youbot
0,13.607,[1.561],0.318,-0.321,0.301,0.883,-5.055,-9.296,"[0.8, -0.8, 1.2]",youbot
0,14.101,[1.511],0.311,-0.324,0.219,0.997,-4.85,-9.268,"[0.8, -0.8, 1.2]",youbot
0,14.602,[1.447],0.305,-0.33,0.236,1.109,-4.623,-9.214,"[0.8, -0.8, 1.2]",youbot
0,15.009,[1.381],0.298,-0.328,0.285,1.219,-4.447,-9.153,"[0.8, -0.8, 1.2]",youbot
0,15.411,[1.309],0.346,-0.284,0.267,1.329,-4.297,-9.079,"[0.8, 0.8, -1.2]",youbot
0,15.906,[1.137],0.343,0.264,-0.156,1.329,-4.262,-8.883,"[0.8, 0.791, -1.2]",youbot
0,16.311,[0.984],0.304,0.317,-0.158,1.253,-4.351,-8.729,"[0.8, 0.771, -1.2]",youbot
0,16.813,[0.79],0.306,0.309,-0.197,1.154,-4.438,-8.54,"[0.8, 0.735, -1.2]",youbot
0,17.302,[0.593],0.236,0.379,-0.143,1.048,-4.512,-8.341,"[-0.8, -0.8, -1.2]",youbot
0,17.703,[0.568],-0.199,-0.095,-1.139,0.673,-4.571,-8.284,"[-0.8, -0.8, -1.2]",youbot
0,18.103,[0.774],-0.389,-0.16,-0.444,0.418,-4.635,-8.427,"[0.8, -0.8, -1.2]",youbot
0,18.508,[0.959],0.035,-0.405,-0.419,0.171,-4.702,-8.551,"[0.8, -0.8, 1.074]",youbot
0,19.002,[1.259],0.325,-0.253,-0.246,0.058,-4.593,-8.617,"[0.8, -0.8, 1.2]",youbot
0,19.403,[1.747],0.298,-0.316,0.238,0.125,-4.46,-8.733,"[0.8, -0.772, 1.2]",youbot
0,19.904,[1.457],0.302,-0.315,0.163,0.242,-4.284,-8.863,"[0.8, -0.8, 0.574]",youbot
0,20.401,[1.024],0.327,-0.289,0.274,0.38,-4.079,-8.944,"[0.8, -0.228, 1.2]",youbot
0,20.811,[0.85],0.394,0.134,0.569,0.569,-3.914,-8.921,"[0.661, 0.523, 1.2]",youbot
0,21.303,[0.782],0.363,0.126,0.705,0.868,-3.836,-8.742,"[0.8, -0.573, 1.2]",youbot
0,21.803,[0.754],0.307,-0.328,0.281,1.107,-3.678,-8.63,"[0.8, 0.731, -1.2]",youbot
0,22.303,[1.196],0.415,0.191,0.171,1.274,-3.547,-8.469,"[0.8, 0.8, -1.2]",youbot
0,22.806,[1.014],0.296,0.308,-0.202,1.299,-3.64,-8.292,"[0.8, 0.8, -1.2]",youbot
0,23.302,[0.859],0.301,0.313,-0.191,1.206,-3.743,-8.099,"[0.8, 0.8, -1.2]",youbot
0,23.706,[0.809],0.307,0.312,-0.208,1.12,-3.814,-7.931,"[0.8, 0.8, -1.2]",youbot
