episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.005,[1.108],0.0,-0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,1.504,[1.13],0.026,0.128,-1.662,-0.523,-3.732,9.248,"[1.537, 0.0, -1.535]",jackal
0,1.913,[1.175],1.261,0.0,-0.0,-0.631,-3.525,9.108,"[1.944, 0.0, -1.5]",jackal
0,2.313,[0.772],0.747,0.155,-1.176,-0.873,-3.103,8.799,"[0.11, 0.0, -1.52]",jackal
0,2.741,[0.718],0.449,0.032,-0.254,-1.557,-2.976,8.739,"[1.957, 0.0, -0.954]",jackal
0,3.156,[0.741],1.761,0.019,-0.163,-1.573,-2.974,8.255,"[1.957, 0.0, -0.812]",jackal
0,3.584,[0.78],1.945,0.089,-0.672,-1.761,-3.0,7.439,"[1.955, 0.0, 0.083]",jackal
0,4.059,[0.767],1.949,-0.0,0.009,-1.773,-3.176,6.56,"[1.956, 0.0, -0.02]",jackal
0,4.464,[0.792],1.944,-0.009,-0.124,-1.527,-3.284,5.791,"[1.957, 0.0, -0.598]",jackal
0,4.92,[0.809],1.956,-0.075,0.563,-1.576,-3.307,4.934,"[1.957, 0.0, 0.136]",jackal
0,5.321,[0.991],1.952,0.04,-0.301,-1.622,-3.296,4.11,"[1.955, 0.0, 0.031]",jackal
0,5.762,[0.84],1.958,0.021,-0.292,-1.484,-3.319,3.248,"[1.957, 0.0, -0.274]",jackal
0,6.258,[0.81],1.962,-0.035,0.252,-1.53,-3.276,2.269,"[1.957, 0.0, -0.243]",jackal
0,6.658,[0.792],1.947,-0.014,0.113,-1.536,-3.251,1.487,"[1.957, 0.0, 0.691]",jackal
0,7.063,[0.933],1.901,-0.289,0.556,-1.095,-3.176,0.749,"[1.957, 0.0, -0.612]",jackal
0,7.466,[1.505],1.959,-0.027,0.204,-1.201,-2.838,-0.033,"[1.956, 0.0, 0.189]",jackal
0,7.962,[2.062],1.957,-0.004,0.034,-1.161,-2.477,-0.899,"[1.956, 0.0, 0.037]",jackal
0,8.363,[1.65],1.956,-0.003,0.026,-1.168,-2.151,-1.654,"[1.955, 0.0, -0.087]",jackal
0,8.764,[1.461],1.957,-0.022,0.161,-1.147,-1.864,-2.337,"[1.956, 0.0, 0.037]",jackal
0,9.257,[1.992],1.958,0.005,-0.042,-1.14,-1.471,-3.191,"[1.956, 0.0, 0.001]",jackal
0,9.664,[1.379],1.957,0.042,-0.321,-1.221,-1.135,-3.946,"[1.956, 0.0, 0.081]",jackal
0,10.07,[0.805],1.955,0.062,-0.477,-1.328,-0.878,-4.682,"[2.0, 0.0, 0.5]",jackal
0,10.488,[0.698],1.681,-0.219,1.664,-0.954,-0.653,-5.465,"[1.956, 0.0, 0.706]",jackal
0,10.93,[0.779],1.979,0.047,-0.4,-0.505,-0.082,-5.959,"[1.956, 0.0, -1.461]",jackal
0,11.365,[0.847],1.949,-0.102,0.767,-0.797,0.57,-6.482,"[1.998, 0.0, -0.366]",jackal
0,11.772,[0.753],1.937,0.273,-2.085,-1.037,1.119,-7.041,"[1.949, 0.0, -1.49]",jackal
0,12.176,[0.958],1.868,0.686,-1.766,-1.956,1.37,-7.812,"[1.955, 0.0, 0.616]",jackal
0,12.58,[1.344],1.895,-0.352,2.223,-1.622,1.175,-8.507,"[1.956, 0.0, 1.381]",jackal
1,13.604,[1.092],-0.0,-0.0,0.0,0.051,-3.533,9.222,"[-0.238, 0.0, -1.51]",jackal
1,14.042,[1.101],-0.071,0.009,-0.196,-0.174,-3.592,9.24,"[-0.071, 0.0, -1.516]",jackal
1,14.488,[1.156],0.28,0.069,-0.609,-0.665,-3.561,9.241,"[1.338, 0.0, -1.525]",jackal
1,14.928,[0.886],1.379,0.113,-0.848,-0.772,-3.226,8.962,"[0.498, 0.0, -1.501]",jackal
1,15.425,[0.647],-0.091,0.015,-0.128,-0.697,-2.995,8.716,"[-0.497, 0.0, -1.513]",jackal
