episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.232,[1.194],-0.0,0.0,0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.635,[1.185],0.184,-0.0,-0.0,0.0,-8.493,-9.19,"[0.22, 0.0, -0.057]",turtlebot3_burger
0,2.038,[1.188],0.221,0.0,-0.045,-0.013,-8.409,-9.19,"[0.22, 0.0, -0.014]",turtlebot3_burger
0,2.438,[1.179],0.219,-0.0,0.089,-0.005,-8.322,-9.191,"[0.22, 0.0, 0.067]",turtlebot3_burger
0,2.937,[1.183],0.221,0.0,-0.114,-0.03,-8.212,-9.192,"[0.22, 0.0, -0.112]",turtlebot3_burger
0,3.338,[1.178],0.22,0.0,-0.02,-0.061,-8.131,-9.196,"[0.22, 0.0, 0.08]",turtlebot3_burger
0,3.739,[1.188],0.219,-0.0,0.076,-0.023,-8.036,-9.2,"[0.22, 0.0, -0.008]",turtlebot3_burger
0,4.238,[1.181],0.22,0.0,0.009,-0.029,-7.926,-9.203,"[0.22, 0.0, 0.005]",turtlebot3_burger
0,4.739,[1.175],0.22,0.0,-0.055,-0.019,-7.816,-9.205,"[0.22, 0.0, -0.074]",turtlebot3_burger
0,5.237,[1.173],0.22,0.0,0.008,-0.041,-7.714,-9.209,"[0.22, 0.0, 0.004]",turtlebot3_burger
0,5.637,[1.166],0.22,0.0,-0.081,-0.057,-7.618,-9.213,"[0.22, 0.0, -0.056]",turtlebot3_burger
0,6.136,[1.172],0.22,0.0,-0.007,-0.075,-7.516,-9.22,"[0.22, 0.0, 0.005]",turtlebot3_burger
0,6.537,[1.156],0.217,-0.0,0.11,-0.071,-7.428,-9.227,"[0.22, 0.0, 0.068]",turtlebot3_burger
0,7.037,[1.159],0.22,0.0,-0.048,-0.067,-7.318,-9.233,"[0.22, 0.0, -0.066]",turtlebot3_burger
0,7.439,[1.123],0.215,-0.0,-0.043,-0.092,-7.23,-9.24,"[0.22, 0.0, 0.056]",turtlebot3_burger
0,7.936,[1.128],0.218,0.0,-0.108,-0.112,-7.121,-9.251,"[0.22, 0.0, -0.05]",turtlebot3_burger
0,8.337,[1.115],0.221,0.0,-0.079,-0.14,-7.034,-9.262,"[0.22, 0.0, 0.025]",turtlebot3_burger
0,8.738,[1.115],0.219,-0.0,0.205,-0.116,-6.947,-9.274,"[0.22, 0.0, 0.201]",turtlebot3_burger
0,9.236,[1.107],0.221,-0.0,0.031,-0.031,-6.838,-9.281,"[0.22, 0.0, -0.061]",turtlebot3_burger
0,9.738,[1.114],0.222,-0.0,-0.11,-0.072,-6.728,-9.286,"[0.22, 0.0, -0.126]",turtlebot3_burger
0,10.235,[1.098],0.22,0.0,-0.105,-0.125,-6.618,-9.297,"[0.22, 0.0, -0.083]",turtlebot3_burger
0,10.641,[1.084],0.218,0.0,0.145,-0.123,-6.524,-9.31,"[0.22, 0.0, 0.096]",turtlebot3_burger
0,11.138,[1.071],0.221,-0.0,-0.08,-0.122,-6.422,-9.322,"[0.22, 0.0, -0.093]",turtlebot3_burger
0,11.637,[1.053],0.219,0.0,0.1,-0.122,-6.313,-9.336,"[0.22, 0.0, 0.065]",turtlebot3_burger
0,12.137,[1.039],0.219,0.0,-0.034,-0.11,-6.204,-9.349,"[0.22, 0.0, -0.011]",turtlebot3_burger
0,12.636,[1.015],0.218,0.0,-0.029,-0.11,-6.095,-9.361,"[0.22, 0.0, -0.007]",turtlebot3_burger
0,13.037,[1.02],0.219,0.0,-0.005,-0.116,-6.007,-9.371,"[0.22, 0.0, -0.009]",turtlebot3_burger
0,13.535,[1.004],0.22,0.0,-0.036,-0.125,-5.898,-9.384,"[0.22, 0.0, -0.011]",turtlebot3_burger
0,13.936,[1.004],0.221,0.0,0.007,-0.128,-5.811,-9.395,"[0.22, 0.0, -0.001]",turtlebot3_burger
0,14.337,[0.986],0.22,-0.0,0.022,-0.124,-5.724,-9.406,"[0.22, 0.0, 0.074]",turtlebot3_burger
0,14.836,[0.977],0.22,-0.0,0.001,-0.105,-5.607,-9.419,"[0.22, 0.0, 0.006]",turtlebot3_burger
0,15.335,[0.957],0.22,0.0,0.04,-0.094,-5.498,-9.431,"[0.22, 0.0, -0.007]",turtlebot3_burger
0,15.737,[0.963],0.22,-0.0,0.027,-0.093,-5.411,-9.439,"[0.22, 0.0, 0.013]",turtlebot3_burger
0,16.137,[0.948],0.22,0.0,0.038,-0.082,-5.323,-9.447,"[0.22, 0.0, 0.016]",turtlebot3_burger
0,16.541,[0.939],0.094,-0.0,0.13,-0.071,-5.245,-9.453,"[-0.054, 0.0, 0.245]",turtlebot3_burger
0,17.038,[0.94],-0.167,0.0,0.132,0.019,-5.281,-9.453,"[-0.205, 0.0, 0.229]",turtlebot3_burger
0,17.536,[0.921],-0.15,-0.0,0.183,0.147,-5.371,-9.46,"[0.139, 0.0, -0.152]",turtlebot3_burger
0,17.938,[0.93],0.034,-0.0,0.425,0.159,-5.395,-9.463,"[0.22, 0.0, 0.154]",turtlebot3_burger
0,18.437,[0.945],0.222,0.0,-0.212,0.221,-5.314,-9.444,"[0.22, 0.0, -0.228]",turtlebot3_burger
0,18.937,[0.97],0.222,0.0,-0.211,0.106,-5.198,-9.425,"[0.22, 0.0, -0.21]",turtlebot3_burger
0,19.438,[0.975],0.222,0.0,-0.203,0.01,-5.095,-9.419,"[0.22, 0.0, -0.202]",turtlebot3_burger
0,19.938,[0.967],0.221,0.0,-0.131,-0.084,-4.984,-9.423,"[0.22, 0.0, -0.087]",turtlebot3_burger
0,20.435,[0.96],0.219,-0.0,0.13,-0.097,-4.867,-9.435,"[0.22, 0.0, 0.202]",turtlebot3_burger
0,20.836,[0.954],0.219,-0.0,0.175,-0.022,-4.78,-9.44,"[0.22, 0.0, 0.142]",turtlebot3_burger
0,21.236,[0.964],0.219,0.0,0.018,0.015,-4.7,-9.44,"[0.22, 0.0, -0.024]",turtlebot3_burger
0,21.638,[0.958],0.086,0.0,-0.258,-0.023,-4.625,-9.44,"[-0.112, 0.0, 0.082]",turtlebot3_burger
0,22.135,[0.969],-0.163,-0.0,0.113,-0.155,-4.648,-9.435,"[-0.166, 0.0, 0.248]",turtlebot3_burger
0,22.537,[0.976],-0.183,-0.0,0.284,-0.065,-4.713,-9.428,"[-0.175, 0.0, 0.3]",turtlebot3_burger
0,22.94,[0.972],-0.145,-0.0,0.262,0.051,-4.779,-9.427,"[-0.128, 0.0, 0.3]",turtlebot3_burger
0,23.437,[0.958],-0.044,0.0,-0.017,0.144,-4.838,-9.433,"[-0.092, 0.0, 0.18]",turtlebot3_burger
0,23.936,[0.958],0.043,-0.0,0.685,0.284,-4.86,-9.437,"[0.189, 0.0, 0.3]",turtlebot3_burger
0,24.337,[0.965],0.195,-0.0,0.214,0.407,-4.808,-9.416,"[0.171, 0.0, 0.3]",turtlebot3_burger
0,24.739,[0.908],0.177,-0.0,0.204,0.463,-4.747,-9.387,"[0.179, 0.0, 0.238]",turtlebot3_burger
0,25.237,[0.806],0.217,-0.0,0.301,0.593,-4.667,-9.341,"[0.22, 0.0, 0.291]",turtlebot3_burger
0,25.737,[0.614],0.218,-0.0,0.227,0.737,-4.576,-9.269,"[0.22, 0.0, 0.219]",turtlebot3_burger
0,26.139,[0.575],0.216,-0.0,0.228,0.822,-4.514,-9.208,"[0.22, 0.0, 0.206]",turtlebot3_burger
0,26.539,[0.632],0.218,-0.0,0.195,0.903,-4.458,-9.142,"[0.22, 0.0, 0.202]",turtlebot3_burger
0,27.037,[0.622],0.219,-0.0,0.134,0.992,-4.398,-9.059,"[0.22, 0.0, 0.084]",turtlebot3_burger
0,27.536,[0.697],0.22,-0.0,0.018,1.014,-4.336,-8.96,"[0.22, 0.0, 0.016]",turtlebot3_burger
0,28.037,[0.879],0.22,-0.0,0.015,1.015,-4.282,-8.873,"[0.22, 0.0, 0.008]",turtlebot3_burger
0,28.438,[1.037],0.221,0.0,-0.057,1.017,-4.236,-8.798,"[0.22, 0.0, -0.064]",turtlebot3_burger
0,28.838,[1.076],0.219,0.0,0.066,1.012,-4.189,-8.724,"[0.22, 0.0, 0.085]",turtlebot3_burger
0,29.336,[1.18],0.22,0.0,0.059,1.047,-4.129,-8.623,"[0.22, 0.0, -0.023]",turtlebot3_burger
0,29.736,[1.103],0.219,-0.0,0.116,1.058,-4.086,-8.547,"[0.22, 0.0, 0.161]",turtlebot3_burger
0,30.137,[1.063],0.22,0.0,-0.014,1.1,-4.045,-8.47,"[0.22, 0.0, -0.113]",turtlebot3_burger
0,30.635,[0.982],0.216,0.0,0.032,1.061,-3.992,-8.373,"[0.22, 0.0, 0.119]",turtlebot3_burger
