episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.398,[1.101],-0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.802,[1.097],-0.198,-0.0,-0.074,-0.002,-3.742,9.21,"[-0.202, 0.0, -0.194]",turtlebot3_burger
0,2.206,[1.09],-0.189,0.0,-0.303,-0.094,-3.819,9.213,"[-0.186, 0.0, -0.3]",turtlebot3_burger
0,2.704,[1.077],-0.169,0.0,-0.308,-0.243,-3.907,9.228,"[-0.167, 0.0, -0.3]",turtlebot3_burger
0,3.105,[1.058],-0.139,0.0,-0.228,-0.328,-3.968,9.246,"[-0.132, 0.0, -0.208]",turtlebot3_burger
0,3.604,[1.036],-0.064,0.0,-0.238,-0.377,-4.018,9.265,"[-0.005, 0.0, -0.276]",turtlebot3_burger
0,4.104,[1.035],0.129,0.0,-0.11,-0.585,-4.006,9.257,"[0.18, 0.0, -0.224]",turtlebot3_burger
0,4.602,[1.092],0.206,0.0,-0.3,-0.72,-3.932,9.2,"[0.206, 0.0, -0.3]",turtlebot3_burger
0,5.102,[1.17],0.222,0.0,-0.303,-0.87,-3.856,9.124,"[0.22, 0.0, -0.29]",turtlebot3_burger
0,5.503,[1.242],0.222,0.0,-0.274,-0.983,-3.803,9.052,"[0.22, 0.0, -0.265]",turtlebot3_burger
0,6.002,[1.323],0.223,0.0,-0.245,-1.111,-3.748,8.956,"[0.22, 0.0, -0.239]",turtlebot3_burger
0,6.402,[1.311],0.222,0.0,-0.225,-1.199,-3.715,8.882,"[0.22, 0.0, -0.226]",turtlebot3_burger
0,6.902,[1.291],0.223,0.0,-0.217,-1.315,-3.678,8.77,"[0.22, 0.0, -0.211]",turtlebot3_burger
0,7.402,[1.255],0.223,0.0,-0.206,-1.419,-3.656,8.661,"[0.22, 0.0, -0.203]",turtlebot3_burger
0,7.803,[1.21],0.222,0.0,-0.207,-1.499,-3.646,8.573,"[0.22, 0.0, -0.201]",turtlebot3_burger
0,8.301,[1.173],0.221,0.0,-0.123,-1.59,-3.643,8.462,"[0.22, 0.0, -0.074]",turtlebot3_burger
0,8.702,[1.15],0.22,0.0,-0.008,-1.61,-3.646,8.374,"[0.22, 0.0, 0.023]",turtlebot3_burger
0,9.102,[1.122],0.219,0.0,-0.024,-1.606,-3.649,8.287,"[0.22, 0.0, 0.008]",turtlebot3_burger
0,9.601,[1.083],0.22,0.0,-0.04,-1.606,-3.653,8.177,"[0.22, 0.0, -0.006]",turtlebot3_burger
0,10.003,[1.06],0.218,0.0,-0.033,-1.605,-3.656,8.089,"[0.22, 0.0, 0.004]",turtlebot3_burger
0,10.403,[1.065],0.22,0.0,0.012,-1.601,-3.659,8.001,"[0.22, 0.0, -0.003]",turtlebot3_burger
0,10.803,[1.068],0.22,0.0,0.027,-1.602,-3.662,7.913,"[0.22, 0.0, 0.006]",turtlebot3_burger
0,11.302,[1.066],0.22,0.0,0.021,-1.598,-3.665,7.803,"[0.22, 0.0, 0.002]",turtlebot3_burger
0,11.702,[1.079],0.22,0.0,0.015,-1.6,-3.667,7.723,"[0.22, 0.0, 0.012]",turtlebot3_burger
0,12.201,[1.115],0.22,0.0,0.021,-1.596,-3.671,7.606,"[0.22, 0.0, 0.002]",turtlebot3_burger
0,12.7,[1.139],0.22,0.0,0.02,-1.593,-3.673,7.496,"[0.22, 0.0, 0.003]",turtlebot3_burger
0,13.101,[1.164],0.22,0.0,0.015,-1.594,-3.675,7.415,"[0.22, 0.0, 0.009]",turtlebot3_burger
0,13.502,[1.206],0.22,-0.0,0.011,-1.593,-3.677,7.32,"[0.22, 0.0, 0.017]",turtlebot3_burger
0,14.001,[1.261],0.22,0.0,0.01,-1.59,-3.679,7.21,"[0.22, 0.0, 0.01]",turtlebot3_burger
0,14.401,[1.303],0.22,-0.0,0.005,-1.59,-3.681,7.122,"[0.22, 0.0, 0.017]",turtlebot3_burger
0,14.801,[1.357],0.22,0.0,-0.012,-1.589,-3.682,7.035,"[0.22, 0.0, 0.017]",turtlebot3_burger
0,15.203,[1.418],0.219,0.0,-0.03,-1.587,-3.684,6.947,"[0.22, 0.0, 0.002]",turtlebot3_burger
0,15.702,[1.398],0.22,0.0,-0.014,-1.587,-3.686,6.837,"[0.22, 0.0, 0.007]",turtlebot3_burger
0,16.102,[1.349],0.219,0.0,-0.021,-1.585,-3.687,6.749,"[0.22, 0.0, -0.008]",turtlebot3_burger
0,16.504,[1.319],0.22,0.0,0.014,-1.585,-3.688,6.661,"[0.22, 0.0, -0.079]",turtlebot3_burger
0,17.002,[1.248],0.22,0.0,0.012,-1.603,-3.691,6.551,"[0.22, 0.0, 0.008]",turtlebot3_burger
0,17.402,[1.233],0.22,0.0,0.029,-1.6,-3.694,6.463,"[0.22, 0.0, 0.003]",turtlebot3_burger
0,17.902,[1.215],0.22,0.0,0.027,-1.602,-3.697,6.353,"[0.22, 0.0, -0.003]",turtlebot3_burger
0,18.402,[1.224],0.22,0.0,0.016,-1.602,-3.701,6.243,"[0.22, 0.0, 0.014]",turtlebot3_burger
0,18.903,[1.209],0.22,0.0,-0.017,-1.633,-3.706,6.133,"[0.22, 0.0, 0.012]",turtlebot3_burger
0,19.303,[1.209],0.22,0.0,0.017,-1.628,-3.711,6.046,"[0.22, 0.0, -0.017]",turtlebot3_burger
0,19.801,[1.228],0.22,0.0,-0.043,-1.656,-3.719,5.936,"[0.22, 0.0, 0.058]",turtlebot3_burger
0,20.203,[1.223],0.219,0.0,0.105,-1.632,-3.725,5.856,"[0.22, 0.0, 0.088]",turtlebot3_burger
0,20.702,[1.235],0.22,0.0,0.029,-1.609,-3.73,5.739,"[0.22, 0.0, 0.04]",turtlebot3_burger
0,21.102,[1.229],0.221,0.0,0.024,-1.636,-3.733,5.661,"[0.22, 0.0, 0.134]",turtlebot3_burger
0,21.604,[1.236],0.221,0.0,-0.029,-1.592,-3.738,5.552,"[0.22, 0.0, -0.023]",turtlebot3_burger
0,22.1,[1.239],0.215,0.0,0.039,-1.585,-3.74,5.436,"[0.22, 0.0, -0.026]",turtlebot3_burger
0,22.506,[1.237],0.22,0.0,0.038,-1.59,-3.741,5.348,"[0.22, 0.0, -0.026]",turtlebot3_burger
0,23.002,[1.231],0.22,0.0,0.046,-1.584,-3.743,5.238,"[0.22, 0.0, 0.054]",turtlebot3_burger
0,23.402,[1.244],0.22,-0.0,0.02,-1.573,-3.744,5.15,"[0.22, 0.0, 0.011]",turtlebot3_burger
0,23.903,[1.238],0.22,-0.0,0.037,-1.57,-3.744,5.048,"[0.22, 0.0, 0.077]",turtlebot3_burger
0,24.401,[1.231],0.22,-0.0,0.004,-1.544,-3.742,4.931,"[0.22, 0.0, 0.063]",turtlebot3_burger
0,24.803,[1.233],0.22,-0.0,0.025,-1.532,-3.739,4.843,"[0.22, 0.0, 0.054]",turtlebot3_burger
0,25.302,[1.227],0.221,-0.0,-0.006,-1.523,-3.734,4.733,"[0.22, 0.0, 0.012]",turtlebot3_burger
0,25.802,[1.216],0.221,0.0,-0.011,-1.525,-3.729,4.623,"[0.22, 0.0, 0.001]",turtlebot3_burger
0,26.203,[1.218],0.221,0.0,-0.008,-1.528,-3.725,4.535,"[0.22, 0.0, -0.007]",turtlebot3_burger
0,26.603,[1.217],0.22,0.0,-0.048,-1.531,-3.721,4.455,"[0.22, 0.0, -0.03]",turtlebot3_burger
0,27.102,[1.239],0.22,0.0,-0.015,-1.538,-3.717,4.338,"[0.22, 0.0, -0.005]",turtlebot3_burger
0,27.602,[1.265],0.221,0.0,-0.039,-1.542,-3.714,4.235,"[0.22, 0.0, -0.016]",turtlebot3_burger
0,28.102,[1.214],0.221,0.0,-0.009,-1.547,-3.711,4.118,"[0.22, 0.0, 0.004]",turtlebot3_burger
