episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.881,[1.201],-0.0,-0.0,-0.003,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",youbot
0,1.312,[1.22],0.454,0.026,0.25,0.055,-8.439,-9.185,"[0.755, 0.042, 0.384]",youbot
0,1.807,[1.302],0.468,0.014,0.145,0.159,-8.213,-9.15,"[0.738, -0.001, -0.014]",youbot
0,2.212,[1.327],0.47,0.013,0.109,0.155,-8.015,-9.123,"[0.418, 0.025, 0.394]",youbot
0,2.615,[1.407],0.471,0.014,0.132,0.226,-7.834,-9.082,"[0.749, 0.031, 0.339]",youbot
0,3.121,[1.392],0.429,0.027,0.384,0.334,-7.617,-9.008,"[0.542, 0.023, 0.545]",youbot
0,3.614,[1.261],0.478,-0.004,-0.042,0.453,-7.421,-8.915,"[0.725, -0.016, -0.179]",youbot
0,4.109,[1.184],0.473,-0.003,-0.063,0.395,-7.205,-8.824,"[0.712, -0.024, -0.295]",youbot
0,4.606,[1.116],0.474,0.024,0.106,0.358,-6.983,-8.74,"[0.542, 0.015, 0.028]",youbot
0,5.021,[1.039],0.447,0.031,0.314,0.404,-6.807,-8.666,"[0.685, 0.001, 0.071]",youbot
0,5.516,[0.909],0.473,-0.001,0.01,0.483,-6.61,-8.564,"[0.661, 0.064, 0.555]",youbot
0,6.018,[0.791],0.471,-0.025,-0.102,0.497,-6.403,-8.449,"[0.521, -0.027, -0.141]",youbot
0,6.512,[0.754],-0.0,-0.028,-0.231,0.431,-6.285,-8.403,"[0.334, -0.037, -0.576]",youbot
0,7.016,[0.771],0.172,-0.004,-0.203,0.232,-6.139,-8.364,"[0.38, -0.01, -0.37]",youbot
0,7.421,[0.752],0.036,0.0,-0.092,0.158,-6.068,-8.353,"[0.142, -0.011, 0.011]",youbot
0,7.912,[0.78],0.152,0.011,-0.095,0.13,-5.974,-8.337,"[0.481, -0.015, -0.281]",youbot
0,8.314,[0.801],0.26,-0.009,-0.395,0.008,-5.833,-8.329,"[0.304, 0.012, -0.435]",youbot
0,8.728,[0.87],0.285,-0.005,-0.144,-0.143,-5.728,-8.34,"[0.353, -0.002, -0.061]",youbot
0,9.214,[0.735],0.088,0.019,0.159,-0.104,-5.577,-8.358,"[-0.21, -0.008, 0.45]",youbot
0,9.709,[0.817],-0.033,-0.0,0.276,0.094,-5.597,-8.352,"[0.249, 0.008, 0.341]",youbot
0,10.11,[0.785],0.146,0.01,0.131,0.167,-5.547,-8.346,"[0.143, -0.016, -0.072]",youbot
0,10.608,[0.792],0.404,-0.022,-0.283,0.089,-5.4,-8.333,"[0.402, -0.006, -0.125]",youbot
0,11.105,[0.805],0.222,-0.012,-0.356,0.031,-5.28,-8.33,"[0.339, -0.022, -0.512]",youbot
0,11.607,[0.871],0.47,-0.013,-0.108,-0.101,-5.072,-8.349,"[0.273, -0.0, 0.041]",youbot
0,12.007,[0.857],0.384,0.024,0.57,-0.002,-4.918,-8.357,"[0.576, 0.003, 0.341]",youbot
0,12.411,[0.801],0.462,0.001,0.175,0.133,-4.74,-8.341,"[0.351, -0.002, 0.272]",youbot
0,12.829,[0.773],-0.101,0.002,-0.212,0.168,-4.652,-8.33,"[-0.016, -0.002, -0.292]",youbot
0,13.335,[1.059],0.474,-0.003,0.006,0.089,-4.575,-8.326,"[0.721, 0.007, 0.081]",youbot
0,13.863,[0.981],0.471,0.015,0.186,0.151,-4.33,-8.294,"[0.742, 0.036, 0.404]",youbot
0,14.31,[0.947],0.452,0.024,0.216,0.255,-4.126,-8.243,"[0.734, 0.039, 0.438]",youbot
0,14.777,[1.303],0.459,0.024,0.201,0.347,-3.936,-8.175,"[0.737, 0.038, 0.426]",youbot
0,15.204,[1.228],0.466,0.02,0.174,0.426,-3.751,-8.09,"[0.74, 0.033, 0.37]",youbot
0,15.614,[1.188],0.475,0.009,0.098,0.479,-3.584,-8.003,"[0.733, 0.018, 0.219]",youbot
0,16.015,[1.211],0.469,0.017,0.097,0.507,-3.42,-7.911,"[0.742, 0.017, 0.183]",youbot
0,16.521,[1.293],0.475,0.006,-0.036,0.498,-3.204,-7.79,"[0.144, 0.008, 0.252]",youbot
0,16.945,[1.064],0.139,0.02,0.717,0.645,-3.095,-7.723,"[0.111, 0.014, 0.802]",youbot
0,17.424,[1.064],0.462,0.019,0.193,0.899,-3.016,-7.619,"[0.734, 0.014, 0.148]",youbot
0,17.828,[1.047],0.478,-0.003,-0.041,0.92,-2.902,-7.467,"[0.748, -0.016, -0.174]",youbot
0,18.329,[0.955],0.469,-0.022,-0.186,0.858,-2.744,-7.28,"[0.256, -0.016, -0.425]",youbot
0,18.818,[0.857],0.438,-0.073,-0.437,0.663,-2.584,-7.147,"[0.372, -0.03, -0.575]",youbot
0,19.312,[0.845],0.439,-0.034,-0.315,0.404,-2.417,-7.07,"[0.169, -0.031, -1.122]",youbot
0,19.808,[0.867],0.34,-0.02,-0.209,0.194,-2.259,-7.032,"[0.557, -0.0, 0.006]",youbot
0,20.303,[0.815],0.409,0.008,0.212,0.245,-2.054,-6.987,"[-0.065, -0.0, -0.059]",youbot
0,20.801,[0.813],-0.294,0.016,-0.223,0.209,-2.025,-6.979,"[-0.42, 0.002, -0.227]",youbot
0,21.301,[0.836],0.296,0.004,0.107,0.174,-2.094,-6.988,"[0.334, -0.003, -0.06]",youbot
0,21.799,[0.831],-0.308,0.005,-0.238,0.152,-2.064,-6.983,"[0.046, -0.007, -0.019]",youbot
0,22.199,[0.849],0.14,-0.001,0.067,0.125,-2.111,-6.989,"[0.095, -0.006, -0.038]",youbot
0,22.703,[0.834],0.098,-0.012,0.04,0.147,-2.036,-6.98,"[0.048, 0.002, 0.159]",youbot
0,23.104,[0.821],0.026,0.001,-0.004,0.187,-2.028,-6.979,"[-0.1, 0.004, -0.174]",youbot
0,23.504,[0.832],-0.116,-0.005,-0.08,0.136,-2.028,-6.977,"[-0.094, 0.003, -0.227]",youbot
0,23.93,[0.842],0.234,0.004,0.112,0.127,-2.05,-6.978,"[0.058, 0.0, 0.163]",youbot
0,24.421,[0.791],0.472,-0.018,-0.129,0.205,-1.901,-6.949,"[0.749, -0.039, -0.314]",youbot
0,24.913,[0.797],0.45,-0.023,-0.214,0.102,-1.679,-6.926,"[0.73, -0.033, -0.375]",youbot
0,25.35,[1.278],0.479,0.007,0.128,0.061,-1.465,-6.914,"[0.732, 0.021, 0.258]",youbot
0,25.851,[0.707],0.455,0.023,0.26,0.164,-1.235,-6.881,"[0.734, 0.025, 0.278]",youbot
0,26.298,[1.067],0.226,0.005,-0.089,0.16,-1.044,-6.844,"[-0.622, -0.036, 0.15]",youbot
0,26.71,[0.598],-0.475,0.012,-0.07,0.149,-1.11,-6.856,"[-0.8, -0.055, 0.219]",youbot
0,27.166,[0.511],-0.475,-0.027,0.118,0.185,-1.323,-6.902,"[-0.8, -0.008, 0.035]",youbot
0,27.702,[0.338],-0.452,0.031,-0.245,0.177,-1.581,-6.953,"[-0.672, 0.026, -0.268]",youbot
0,28.145,[0.434],-0.457,0.018,-0.195,0.097,-1.786,-6.971,"[-0.7, 0.038, -0.27]",youbot
0,28.652,[0.773],-0.474,0.007,-0.063,0.028,-2.031,-6.976,"[-0.653, 0.011, -0.164]",youbot
0,29.222,[0.871],-0.378,0.018,-0.348,-0.083,-2.279,-6.967,"[-0.055, 0.005, -0.53]",youbot
0,29.753,[1.03],-0.073,-0.0,-0.612,-0.361,-2.351,-6.955,"[0.42, -0.07, -0.825]",youbot
0,30.196,[1.028],0.318,-0.082,-0.803,-0.678,-2.283,-7.026,"[0.434, -0.061, -0.908]",youbot
0,30.637,[0.975],0.42,-0.052,-0.38,-1.007,-2.202,-7.147,"[0.716, -0.046, -0.434]",youbot
0,31.12,[0.946],0.461,-0.023,-0.168,-1.098,-2.11,-7.337,"[0.654, -0.043, -0.445]",youbot
0,31.609,[0.952],0.349,-0.049,-0.134,-1.239,-2.044,-7.552,"[-0.105, -0.005, 0.22]",youbot
0,32.012,[0.952],-0.453,-0.02,0.26,-1.203,-2.068,-7.517,"[-0.71, -0.042, 0.479]",youbot
0,32.418,[1.202],-0.466,-0.017,0.185,-1.118,-2.15,-7.35,"[-0.638, -0.033, 0.416]",youbot
0,32.923,[1.453],-0.318,-0.022,0.666,-0.961,-2.268,-7.159,"[-0.335, -0.037, 0.88]",youbot
0,33.413,[1.356],-0.167,-0.026,1.102,-0.52,-2.37,-7.079,"[0.091, 0.022, 1.2]",youbot
0,33.851,[0.983],0.197,0.023,0.867,-0.087,-2.343,-7.073,"[0.53, 0.06, 0.665]",youbot
0,34.339,[0.909],0.474,-0.001,0.044,0.126,-2.152,-7.046,"[0.743, -0.006, -0.054]",youbot
0,34.758,[0.889],0.472,-0.004,-0.014,0.111,-1.945,-7.023,"[0.783, -0.021, -0.138]",youbot
0,35.217,[0.89],0.473,-0.023,-0.219,0.065,-1.737,-7.009,"[0.725, -0.033, -0.354]",youbot
0,35.711,[2.558],0.468,-0.015,-0.126,-0.029,-1.493,-7.016,"[0.736, -0.019, -0.172]",youbot
0,36.184,[2.569],0.474,-0.007,-0.022,-0.064,-1.275,-7.03,"[0.751, -0.006, -0.035]",youbot
0,36.584,[2.381],0.474,0.002,0.052,-0.063,-1.086,-7.043,"[0.725, 0.008, 0.145]",youbot
0,37.071,[2.144],0.461,0.019,0.235,0.011,-0.85,-7.046,"[0.741, 0.053, 0.487]",youbot
0,37.484,[1.961],0.443,0.027,0.319,0.127,-0.67,-7.023,"[0.724, 0.073, 0.615]",youbot
0,37.974,[1.749],0.448,0.03,0.272,0.278,-0.456,-6.963,"[0.8, 0.083, 0.505]",youbot
0,38.461,[1.555],0.45,0.028,0.297,0.422,-0.259,-6.879,"[0.72, 0.063, 0.677]",youbot
0,38.959,[1.372],0.464,0.022,0.191,0.535,-0.07,-6.767,"[0.72, 0.047, 0.45]",youbot
0,39.447,[1.199],0.464,0.024,0.183,0.634,0.116,-6.629,"[0.711, 0.038, 0.418]",youbot
0,39.943,[1.072],0.468,0.027,0.19,0.728,0.282,-6.478,"[0.711, 0.046, 0.46]",youbot
0,40.346,[0.957],0.466,0.031,0.191,0.813,0.42,-6.326,"[0.711, 0.047, 0.458]",youbot
0,40.77,[0.859],0.463,0.037,0.191,0.89,0.533,-6.178,"[0.711, 0.046, 0.449]",youbot
0,41.254,[0.842],0.455,0.033,0.229,0.986,0.651,-5.991,"[0.712, 0.047, 0.468]",youbot
0,41.824,[1.215],0.444,0.031,0.248,1.119,0.766,-5.755,"[0.712, 0.046, 0.497]",youbot
0,42.242,[1.777],0.439,0.031,0.269,1.231,0.827,-5.578,"[0.717, 0.047, 0.505]",youbot
0,42.727,[1.912],0.447,0.045,0.34,1.376,0.867,-5.37,"[0.727, 0.061, 0.597]",youbot
0,43.127,[1.952],0.433,0.032,0.325,1.505,0.875,-5.204,"[0.724, 0.051, 0.556]",youbot
0,43.617,[2.046],0.437,0.027,0.309,1.662,0.858,-4.986,"[0.729, 0.05, 0.539]",youbot
0,44.112,[2.214],0.449,0.025,0.253,1.808,0.807,-4.76,"[0.731, 0.042, 0.465]",youbot
0,44.612,[2.437],0.459,0.022,0.204,1.912,0.735,-4.553,"[0.736, 0.037, 0.419]",youbot
0,45.013,[2.425],0.468,0.019,0.188,1.981,0.664,-4.392,"[0.738, 0.036, 0.405]",youbot
0,45.511,[2.459],0.467,0.015,0.16,2.065,0.551,-4.177,"[0.733, 0.031, 0.368]",youbot
0,46.011,[2.476],0.466,0.025,0.19,2.151,0.42,-3.974,"[0.745, 0.038, 0.396]",youbot
0,46.511,[2.326],0.47,0.02,0.163,2.233,0.28,-3.797,"[0.745, 0.029, 0.297]",youbot
0,46.914,[2.245],0.474,0.012,0.1,2.284,0.149,-3.648,"[0.747, 0.011, 0.108]",youbot
0,47.412,[2.136],0.472,0.0,0.017,2.299,-0.009,-3.471,"[0.747, -0.002, -0.025]",youbot
0,47.814,[2.02],0.471,-0.002,-0.036,2.294,-0.129,-3.336,"[0.747, -0.005, -0.054]",youbot
0,48.314,[2.076],0.473,-0.001,-0.005,2.289,-0.291,-3.151,"[0.747, 0.002, 0.021]",youbot
0,48.812,[2.129],0.474,0.003,0.018,2.291,-0.447,-2.972,"[0.748, 0.006, 0.061]",youbot
0,49.216,[2.057],0.477,-0.008,-0.053,2.294,-0.566,-2.837,"[0.746, -0.009, -0.092]",youbot
0,49.625,[1.819],0.475,0.002,-0.01,2.279,-0.696,-2.685,"[0.746, -0.002, -0.025]",youbot
0,50.121,[1.612],0.471,-0.001,-0.014,2.277,-0.85,-2.505,"[0.747, 0.002, 0.024]",youbot
0,50.617,[1.312],0.475,-0.001,0.0,2.282,-0.998,-2.332,"[0.748, 0.002, 0.019]",youbot
0,51.021,[0.855],0.474,0.003,0.001,2.283,-1.128,-2.182,"[0.748, -0.013, -0.129]",youbot
0,51.434,[0.781],0.475,-0.005,-0.074,2.267,-1.25,-2.036,"[0.742, -0.022, -0.22]",youbot
0,51.917,[2.172],0.472,-0.014,-0.084,2.217,-1.387,-1.854,"[0.743, -0.007, -0.05]",youbot
0,52.322,[2.081],0.472,0.016,0.141,2.233,-1.509,-1.697,"[0.745, 0.023, 0.236]",youbot
0,52.823,[2.027],0.476,0.004,0.053,2.274,-1.656,-1.524,"[0.748, 0.002, 0.021]",youbot
0,53.319,[1.857],0.477,0.004,0.034,2.28,-1.81,-1.345,"[0.747, 0.005, 0.052]",youbot
0,53.723,[1.667],0.475,-0.0,-0.011,2.287,-1.942,-1.194,"[0.746, -0.001, -0.011]",youbot
0,54.221,[1.584],0.473,0.001,0.005,2.283,-2.097,-1.015,"[0.747, -0.004, -0.038]",youbot
0,54.717,[1.536],0.468,-0.002,-0.038,2.278,-2.252,-0.835,"[0.749, -0.003, -0.034]",youbot
