episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.833,[1.305],0.0,0.0,-0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",jackal
0,1.243,[1.312],0.834,0.015,0.115,0.038,-10.516,-10.888,"[1.946, 0.0, 1.495]",jackal
0,1.737,[1.354],1.746,-0.147,1.115,0.176,-9.801,-10.856,"[1.942, 0.0, 1.507]",jackal
0,2.234,[1.937],1.807,-0.514,0.985,1.147,-8.96,-10.45,"[1.956, 0.0, -0.651]",jackal
0,2.635,[2.568],1.958,-0.004,0.025,1.04,-8.6,-9.812,"[1.957, 0.0, -0.013]",jackal
0,3.135,[3.439],1.954,0.02,-0.159,0.997,-8.06,-8.904,"[1.957, 0.0, -0.022]",jackal
0,3.535,[4.102],1.957,-0.0,-0.002,0.992,-7.655,-8.281,"[1.956, 0.0, -0.011]",jackal
0,4.034,[4.943],1.959,-0.016,0.12,0.997,-7.118,-7.462,"[1.956, 0.0, 0.016]",jackal
0,4.434,[4.614],1.956,0.0,-0.018,0.997,-6.696,-6.804,"[1.956, 0.0, -0.019]",jackal
0,4.935,[3.749],1.957,0.001,-0.009,0.989,-6.162,-5.984,"[1.956, 0.0, -0.007]",jackal
0,5.434,[2.796],1.957,0.002,-0.01,0.984,-5.602,-5.135,"[1.956, 0.0, -0.015]",jackal
0,5.836,[2.157],1.957,0.0,-0.004,0.978,-5.211,-4.549,"[1.956, 0.0, 0.013]",jackal
0,6.237,[1.566],1.959,-0.013,0.096,1.008,-4.776,-3.898,"[1.958, 0.0, -0.001]",jackal
0,6.64,[1.137],1.956,0.076,-0.585,0.919,-4.325,-3.167,"[1.956, 0.0, 0.107]",jackal
0,7.14,[1.03],1.953,0.054,-0.415,0.951,-3.766,-2.412,"[1.956, 0.0, -0.109]",jackal
0,7.603,[0.776],1.956,-0.023,0.181,0.941,-3.228,-1.694,"[1.956, 0.0, 1.47]",jackal
0,8.034,[1.065],1.876,-0.446,1.197,1.549,-2.803,-0.985,"[1.963, 0.0, -1.195]",jackal
0,8.508,[1.201],2.037,0.056,-0.503,1.293,-2.697,-0.066,"[1.957, 0.0, -1.47]",jackal
0,8.912,[1.06],1.936,0.185,-0.969,0.712,-2.349,0.672,"[1.956, 0.0, 0.414]",jackal
0,9.349,[0.578],1.932,-0.076,0.582,0.946,-1.786,1.188,"[1.966, 0.0, 0.16]",jackal
0,9.798,[0.976],1.923,0.283,-1.674,0.668,-1.272,1.921,"[1.956, 0.0, -0.158]",jackal
0,10.266,[1.213],1.959,0.008,-0.064,0.719,-0.53,2.471,"[1.957, 0.0, -0.26]",jackal
0,10.748,[1.065],1.956,-0.003,0.026,0.672,0.165,3.043,"[1.957, 0.0, 0.014]",jackal
0,11.148,[1.458],1.957,-0.0,-0.001,0.669,0.808,3.553,"[1.956, 0.0, -0.001]",jackal
0,11.647,[3.198],1.958,0.0,-0.001,0.669,1.547,4.137,"[1.957, 0.0, 0.004]",jackal
0,12.048,[3.319],1.956,-0.001,0.014,0.675,2.189,4.646,"[1.957, 0.0, 0.005]",jackal
0,12.546,[3.527],1.957,0.0,-0.006,0.674,2.924,5.234,"[1.956, 0.0, -0.015]",jackal
0,12.948,[3.872],1.962,0.005,-0.05,0.666,3.565,5.745,"[1.957, 0.0, -0.028]",jackal
0,13.348,[4.34],1.956,0.0,-0.0,0.662,4.152,6.204,"[1.956, 0.0, -0.002]",jackal
0,13.847,[3.56],1.957,-0.0,-0.001,0.661,4.924,6.805,"[1.956, 0.0, -0.0]",jackal
0,14.348,[2.903],1.953,0.0,0.008,0.661,5.696,7.406,"[1.957, 0.0, -0.009]",jackal
0,14.847,[2.594],1.955,0.0,-0.009,0.66,6.498,8.029,"[1.956, 0.0, -0.005]",jackal
0,15.251,[1.771],2.001,0.178,-1.335,0.569,7.088,8.489,"[1.949, 0.0, -1.489]",jackal
0,15.75,[1.062],1.773,0.092,1.061,-0.15,7.989,8.777,"[1.956, 0.0, 1.204]",jackal
0,16.25,[0.797],1.933,-0.366,1.512,0.665,8.962,8.889,"[1.966, 0.0, 0.743]",jackal
0,16.749,[0.84],1.915,-0.316,0.608,1.482,9.574,9.62,"[1.973, 0.0, -0.994]",jackal
0,17.149,[2.13],1.914,0.352,-2.139,0.994,9.708,10.37,"[1.958, 0.0, -1.152]",jackal
1,17.555,[1.304],0.612,-0.001,-0.016,-0.005,-10.581,-10.891,"[1.956, 0.0, 1.484]",jackal
1,17.978,[1.305],1.647,-0.062,0.483,0.041,-9.997,-10.892,"[1.953, 0.0, 1.482]",jackal
1,18.451,[1.567],1.908,-0.535,2.187,0.802,-9.174,-10.714,"[1.956, 0.0, 1.47]",jackal
1,18.947,[2.415],1.944,0.088,-0.687,1.049,-8.625,-9.992,"[1.957, 0.0, 0.023]",jackal
1,19.447,[2.857],1.956,0.001,-0.021,1.032,-8.12,-9.153,"[1.956, 0.0, -0.053]",jackal
1,19.847,[2.596],1.954,0.001,-0.015,1.016,-7.695,-8.452,"[1.956, 0.0, -0.026]",jackal
1,20.248,[2.375],1.956,0.002,-0.017,1.008,-7.3,-7.82,"[1.956, 0.0, -0.018]",jackal
1,20.748,[2.316],1.957,0.002,-0.018,0.999,-6.773,-6.991,"[1.956, 0.0, -0.017]",jackal
1,21.247,[2.818],1.952,0.0,0.004,0.993,-6.221,-6.139,"[1.957, 0.0, -0.015]",jackal
1,21.747,[3.779],1.959,-0.0,0.002,0.996,-5.688,-5.319,"[1.956, 0.0, -0.018]",jackal
1,22.247,[2.883],1.961,-0.0,0.004,0.986,-5.175,-4.532,"[1.956, 0.0, 0.002]",jackal
1,22.648,[2.122],1.964,-0.02,0.15,1.01,-4.723,-3.846,"[1.958, 0.0, 0.366]",jackal
1,23.075,[1.51],1.914,-0.05,0.33,1.259,-4.321,-3.136,"[1.956, 0.0, -0.701]",jackal
1,23.552,[0.905],1.927,0.34,-1.481,0.662,-3.937,-2.283,"[1.955, 0.0, -0.145]",jackal
1,23.983,[0.789],1.924,-0.242,1.691,0.829,-3.308,-1.829,"[1.956, 0.0, 1.474]",jackal
1,24.492,[0.988],1.873,0.047,-0.367,1.507,-2.877,-0.906,"[1.963, 0.0, -1.47]",jackal
1,25.07,[1.306],1.753,-0.001,0.01,0.993,-2.557,0.138,"[1.959, 0.0, 0.649]",jackal
1,25.492,[0.912],1.961,-0.05,0.384,1.078,-2.153,0.773,"[1.956, 0.0, 0.705]",jackal
1,25.981,[0.91],1.92,0.249,-1.923,1.091,-1.809,1.626,"[1.956, 0.0, -1.474]",jackal
1,26.477,[1.363],1.89,-0.141,1.06,0.579,-1.162,2.311,"[1.958, 0.0, 0.658]",jackal
1,26.971,[1.967],1.922,-0.0,0.005,0.597,-0.432,2.889,"[1.957, 0.0, 0.459]",jackal
1,27.471,[2.37],1.957,-0.002,0.019,0.645,0.385,3.501,"[1.957, 0.0, 0.086]",jackal
1,27.874,[1.675],1.957,0.003,-0.023,0.655,1.036,4.0,"[1.957, 0.0, -0.019]",jackal
1,28.276,[1.103],1.957,-0.0,-0.004,0.654,1.626,4.452,"[1.956, 0.0, -0.011]",jackal
1,28.68,[0.882],1.956,0.0,-0.006,0.667,2.276,4.956,"[1.957, 0.0, -0.022]",jackal
1,29.175,[1.275],1.956,0.004,-0.035,0.66,2.984,5.511,"[1.956, 0.0, -0.026]",jackal
1,29.674,[1.394],1.844,-0.004,0.028,0.283,3.814,6.06,"[1.957, 0.0, 0.699]",jackal
1,30.075,[0.714],1.952,0.068,-0.502,0.329,4.584,6.331,"[0.0, 0.0, 0.0]",jackal
1,30.477,[0.694],1.718,0.052,-0.396,0.283,5.153,6.518,"[1.956, 0.0, -0.758]",jackal
1,30.89,[1.001],1.961,-0.039,0.285,0.141,5.934,6.679,"[1.956, 0.0, 0.968]",jackal
1,31.379,[1.003],1.883,-0.485,1.339,0.945,6.807,6.967,"[1.956, 0.0, -0.515]",jackal
1,31.78,[1.203],1.987,-0.0,-0.005,0.813,7.277,7.537,"[1.956, 0.0, 0.278]",jackal
1,32.271,[1.968],1.958,0.002,-0.022,0.862,7.923,8.267,"[1.957, 0.0, -0.009]",jackal
1,32.771,[2.933],1.846,-0.243,1.079,1.129,8.56,9.023,"[1.955, 0.0, -0.237]",jackal
1,33.271,[2.57],1.929,0.072,-0.551,1.131,8.963,9.947,"[1.956, 0.0, -0.798]",jackal
1,33.674,[1.947],1.933,0.202,-1.406,0.654,9.353,10.571,"[1.958, 0.0, -0.979]",jackal
2,34.08,[1.301],0.702,-0.0,0.0,-0.018,-10.539,-10.893,"[1.945, 0.0, 1.499]",jackal
2,34.575,[1.303],1.628,-0.221,1.69,0.118,-9.882,-10.904,"[1.854, 0.0, 1.521]",jackal
2,35.072,[1.849],1.879,-0.533,0.886,1.106,-9.062,-10.561,"[1.963, 0.0, -0.297]",jackal
2,35.571,[2.274],1.95,0.001,-0.019,1.047,-8.572,-9.72,"[1.963, 0.0, -0.073]",jackal
2,35.972,[1.733],1.966,0.01,-0.084,1.025,-8.15,-9.004,"[1.962, 0.0, -0.075]",jackal
2,36.373,[1.425],1.965,0.009,-0.07,1.006,-7.738,-8.337,"[1.963, 0.0, -0.052]",jackal
2,36.871,[1.559],1.969,0.004,-0.023,0.991,-7.207,-7.511,"[1.963, 0.0, -0.032]",jackal
2,37.273,[1.757],1.928,-0.241,1.825,1.129,-6.799,-6.893,"[1.952, 0.0, 1.48]",jackal
2,37.774,[1.068],1.862,0.199,-1.26,1.59,-6.647,-5.894,"[1.956, 0.0, -1.27]",jackal
2,38.272,[0.765],1.957,0.076,-0.578,1.032,-6.46,-5.038,"[1.958, 0.0, -0.133]",jackal
2,38.674,[0.747],1.954,0.144,-0.621,0.744,-6.017,-4.384,"[1.956, 0.0, 0.229]",jackal
2,39.174,[2.274],1.956,-0.0,-0.001,0.823,-5.255,-3.654,"[1.956, 0.0, -0.036]",jackal
2,39.575,[1.733],1.961,0.072,-0.541,0.805,-4.748,-3.107,"[1.955, 0.0, -0.55]",jackal
2,40.072,[1.049],1.96,0.046,-0.355,0.749,-4.032,-2.441,"[1.957, 0.0, -0.325]",jackal
