episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.73,[1.11],0.0,-0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,1.189,[1.128],-0.002,0.182,-1.993,-0.619,-3.713,9.261,"[0.02, 0.011, -1.407]",jackal
0,1.636,[1.253],0.939,0.0,-0.001,-0.914,-3.589,9.152,"[1.439, 0.0, -1.001]",jackal
0,2.038,[0.891],1.805,0.079,-0.61,-0.956,-3.232,8.682,"[2.0, 0.0, -1.364]",jackal
0,2.483,[0.649],1.992,0.114,-0.859,-1.588,-2.882,7.841,"[2.0, 0.014, -0.544]",jackal
0,2.887,[0.823],2.0,0.009,-0.082,-1.727,-2.944,7.086,"[2.0, 0.0, 0.0]",jackal
0,3.291,[0.608],2.006,-0.018,0.134,-1.725,-3.071,6.296,"[2.0, 0.0, 0.082]",jackal
0,3.742,[0.719],1.972,-0.007,0.068,-1.684,-3.198,5.394,"[2.0, 0.0, 0.161]",jackal
0,4.144,[0.795],2.0,-0.01,0.077,-1.651,-3.276,4.604,"[2.0, 0.0, 0.13]",jackal
0,4.545,[0.937],2.0,-0.008,0.061,-1.616,-3.328,3.812,"[2.0, 0.0, 0.109]",jackal
0,4.989,[0.888],1.994,-0.016,0.122,-1.568,-3.355,2.928,"[2.0, 0.0, 0.069]",jackal
0,5.392,[0.871],2.0,-0.042,0.317,-1.507,-3.337,2.094,"[2.0, 0.0, 0.275]",jackal
0,5.837,[0.787],2.005,-0.039,0.3,-1.389,-3.245,1.233,"[2.0, 0.0, 0.237]",jackal
0,6.242,[1.084],1.947,-0.009,0.095,-1.289,-3.072,0.462,"[2.0, 0.0, 0.209]",jackal
0,6.689,[1.956],2.0,-0.012,0.11,-1.196,-2.799,-0.378,"[2.0, 0.0, 0.163]",jackal
0,7.091,[1.861],2.0,0.0,-0.0,-1.175,-2.479,-1.157,"[2.0, 0.0, 0.0]",jackal
0,7.534,[1.561],2.005,-0.009,0.05,-1.161,-2.138,-1.964,"[2.0, 0.0, 0.0]",jackal
0,7.943,[1.656],2.0,-0.0,0.0,-1.146,-1.816,-2.693,"[2.0, 0.0, 0.0]",jackal
0,8.391,[2.138],2.001,-0.008,0.066,-1.14,-1.434,-3.534,"[2.0, 0.0, 0.0]",jackal
0,8.793,[1.512],2.0,0.0,0.002,-1.116,-1.112,-4.225,"[2.0, 0.0, -0.05]",jackal
0,9.239,[0.784],1.964,-0.0,-0.008,-1.118,-0.705,-5.06,"[2.0, 0.0, 0.0]",jackal
0,9.641,[0.885],1.613,-0.0,0.0,-1.118,-0.368,-5.753,"[1.113, 0.0, 0.0]",jackal
0,10.093,[1.033],1.73,-0.114,0.86,-1.078,-0.069,-6.374,"[1.56, 0.0, 0.581]",jackal
0,10.536,[0.454],1.163,-0.077,0.589,-0.831,0.265,-6.886,"[0.863, 0.0, 0.736]",jackal
0,10.98,[0.246],1.031,0.001,0.002,-0.729,0.526,-7.141,"[0.0, 0.0, 0.0]",jackal
0,11.388,[0.357],1.038,-0.003,-0.033,-0.753,0.72,-7.314,"[1.496, 0.0, -0.711]",jackal
0,11.839,[0.971],1.797,0.008,-0.283,-0.746,1.197,-7.756,"[2.0, 0.0, -1.023]",jackal
0,12.252,[1.048],1.303,0.076,-0.609,-1.134,1.675,-8.269,"[1.298, 0.005, -0.82]",jackal
0,12.682,[0.919],0.685,0.1,-0.759,-1.448,1.837,-8.641,"[0.585, 0.0, -0.331]",jackal
1,13.087,[1.111],0.154,0.006,-0.64,-0.018,-3.713,9.209,"[0.0, 0.0, -1.547]",jackal
1,13.529,[1.128],-0.02,0.267,-2.035,-0.576,-3.627,9.257,"[0.02, 0.0, -1.547]",jackal
1,13.93,[1.198],0.888,0.0,-0.001,-0.929,-3.516,9.186,"[1.307, 0.0, -0.998]",jackal
1,14.338,[0.861],1.782,0.094,-0.655,-0.974,-3.176,8.724,"[2.0, 0.0, -1.368]",jackal
1,14.767,[0.604],1.88,0.201,-1.105,-1.589,-2.837,7.958,"[1.895, 0.026, -0.592]",jackal
1,15.193,[0.781],1.999,0.016,-0.121,-1.735,-2.913,7.177,"[2.0, 0.0, -0.068]",jackal
1,15.642,[0.606],2.0,0.0,0.0,-1.737,-3.066,6.272,"[2.0, 0.0, 0.053]",jackal
1,16.048,[0.718],1.998,-0.029,0.222,-1.7,-3.194,5.482,"[2.0, 0.0, 0.064]",jackal
