episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.284,[1.285],-0.0,0.0,0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.694,[1.294],0.161,-0.0,0.39,0.029,-10.599,-10.89,"[0.204, 0.0, 0.694]",turtlebot3_burger
0,2.136,[1.3],0.212,-0.0,0.833,0.239,-10.518,-10.881,"[0.206, 0.0, 0.773]",turtlebot3_burger
0,2.546,[1.319],0.196,-0.0,0.504,0.508,-10.443,-10.851,"[0.22, 0.0, 0.381]",turtlebot3_burger
0,2.998,[1.369],0.205,-0.0,0.293,0.678,-10.363,-10.796,"[0.22, 0.0, 0.235]",turtlebot3_burger
0,3.405,[1.426],0.219,-0.0,0.177,0.781,-10.301,-10.74,"[0.22, 0.0, 0.251]",turtlebot3_burger
0,3.842,[1.501],0.219,-0.0,0.089,0.855,-10.237,-10.671,"[0.22, 0.0, 0.13]",turtlebot3_burger
0,4.29,[1.561],0.206,-0.0,0.111,0.9,-10.174,-10.595,"[0.22, 0.0, 0.119]",turtlebot3_burger
0,4.692,[1.625],0.217,0.0,0.05,0.905,-10.122,-10.529,"[0.22, 0.0, -0.04]",turtlebot3_burger
0,5.096,[1.697],0.219,0.0,-0.023,0.908,-10.068,-10.46,"[0.22, 0.0, 0.034]",turtlebot3_burger
0,5.541,[1.774],0.208,0.0,-0.07,0.904,-10.011,-10.387,"[0.22, 0.0, -0.029]",turtlebot3_burger
0,5.944,[1.841],0.22,0.0,-0.024,0.902,-9.958,-10.319,"[0.22, 0.0, -0.049]",turtlebot3_burger
0,6.397,[1.928],0.221,0.0,-0.081,0.895,-9.896,-10.242,"[0.22, 0.0, 0.023]",turtlebot3_burger
0,6.844,[1.987],0.219,0.0,0.078,0.905,-9.832,-10.161,"[0.22, 0.0, 0.061]",turtlebot3_burger
0,7.289,[2.075],0.201,0.0,-0.019,0.915,-9.777,-10.09,"[0.22, 0.0, 0.076]",turtlebot3_burger
0,7.748,[2.148],0.219,0.0,-0.054,0.912,-9.72,-10.015,"[0.207, 0.0, -0.03]",turtlebot3_burger
0,8.193,[2.221],0.213,0.0,-0.07,0.902,-9.659,-9.937,"[0.22, 0.0, -0.014]",turtlebot3_burger
0,8.593,[2.3],0.22,0.0,0.007,0.883,-9.609,-9.875,"[0.22, 0.0, -0.034]",turtlebot3_burger
0,9.034,[2.374],0.207,0.0,0.004,0.872,-9.545,-9.798,"[0.22, 0.0, -0.07]",turtlebot3_burger
0,9.485,[2.433],0.208,0.0,0.181,0.888,-9.482,-9.723,"[0.22, 0.0, 0.042]",turtlebot3_burger
0,9.89,[2.508],0.219,-0.0,0.082,0.901,-9.432,-9.661,"[0.22, 0.0, 0.024]",turtlebot3_burger
0,10.296,[2.573],0.219,-0.0,0.101,0.91,-9.375,-9.587,"[0.22, 0.0, -0.022]",turtlebot3_burger
0,10.698,[2.644],0.218,0.0,-0.047,0.91,-9.326,-9.525,"[0.207, 0.0, -0.022]",turtlebot3_burger
0,11.142,[2.714],0.206,0.0,-0.013,0.907,-9.266,-9.448,"[0.22, 0.0, 0.012]",turtlebot3_burger
0,11.593,[2.8],0.213,0.0,-0.098,0.893,-9.207,-9.374,"[0.22, 0.0, -0.041]",turtlebot3_burger
0,11.996,[2.856],0.207,-0.0,0.005,0.884,-9.149,-9.302,"[0.192, 0.0, -0.003]",turtlebot3_burger
0,12.443,[2.925],0.206,-0.0,0.114,0.881,-9.093,-9.234,"[0.22, 0.0, 0.024]",turtlebot3_burger
0,12.894,[2.997],0.219,0.0,0.068,0.903,-9.029,-9.156,"[0.207, 0.0, 0.08]",turtlebot3_burger
0,13.295,[3.055],0.22,-0.0,0.016,0.915,-8.982,-9.093,"[0.22, 0.0, -0.022]",turtlebot3_burger
0,13.736,[2.955],0.221,0.0,-0.036,0.92,-8.922,-9.016,"[0.207, 0.0, -0.044]",turtlebot3_burger
0,14.144,[2.878],0.221,0.0,-0.08,0.908,-8.869,-8.947,"[0.207, 0.0, -0.072]",turtlebot3_burger
0,14.589,[2.807],0.207,0.0,-0.054,0.88,-8.812,-8.875,"[0.192, 0.0, -0.374]",turtlebot3_burger
0,15.001,[2.74],0.224,0.0,-0.53,0.712,-8.75,-8.81,"[0.207, 0.0, -0.505]",turtlebot3_burger
0,15.445,[2.685],0.223,0.0,-0.268,0.525,-8.666,-8.752,"[0.22, 0.0, -0.181]",turtlebot3_burger
0,15.894,[2.603],0.22,0.0,-0.206,0.439,-8.591,-8.712,"[0.22, 0.0, -0.083]",turtlebot3_burger
0,16.344,[2.53],0.208,0.0,-0.08,0.376,-8.492,-8.669,"[0.206, 0.0, -0.004]",turtlebot3_burger
0,16.797,[2.455],0.208,0.0,-0.115,0.349,-8.409,-8.638,"[0.206, 0.0, 0.059]",turtlebot3_burger
