episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.155,[1.201],-0.004,-0.0,-0.007,-0.0,-8.521,-9.19,"[0.0, 0.0, 0.0]",youbot
0,1.574,[1.202],0.474,0.043,-0.002,-0.0,-8.407,-9.19,"[0.725, 0.0, 0.117]",youbot
0,2.02,[1.247],0.394,0.278,-0.124,0.009,-8.207,-9.139,"[0.594, 0.517, -0.152]",youbot
0,2.474,[1.405],0.292,0.367,-0.087,-0.024,-8.065,-8.989,"[0.489, 0.617, -0.287]",youbot
0,2.921,[1.322],0.294,0.363,-0.089,-0.055,-7.925,-8.826,"[0.493, 0.612, -0.278]",youbot
0,3.376,[1.176],0.379,0.292,-0.106,-0.083,-7.776,-8.684,"[0.577, 0.529, -0.245]",youbot
0,3.822,[1.073],0.36,0.31,-0.147,-0.123,-7.605,-8.551,"[0.578, 0.55, -0.236]",youbot
0,4.225,[0.985],0.411,0.237,-0.05,-0.141,-7.446,-8.457,"[0.62, 0.474, -0.215]",youbot
0,4.669,[0.908],0.43,0.22,-0.008,-0.162,-7.266,-8.365,"[0.657, 0.456, -0.176]",youbot
0,5.073,[0.842],0.473,0.01,0.18,-0.166,-7.088,-8.306,"[0.69, 0.0, 0.317]",youbot
0,5.518,[0.815],0.37,0.296,-0.094,-0.143,-6.887,-8.282,"[0.608, 0.514, -0.289]",youbot
0,5.923,[0.769],0.48,0.005,0.16,-0.122,-6.714,-8.249,"[0.733, 0.0, 0.244]",youbot
0,6.326,[0.765],0.469,0.005,0.168,-0.063,-6.526,-8.266,"[0.718, 0.0, 0.204]",youbot
0,6.772,[0.751],0.465,0.002,0.124,-0.002,-6.32,-8.272,"[0.717, 0.0, 0.178]",youbot
0,7.174,[0.605],0.475,0.0,0.07,0.039,-6.131,-8.269,"[0.724, 0.0, 0.106]",youbot
0,7.625,[0.473],0.474,-0.001,0.029,0.065,-5.914,-8.257,"[0.724, 0.0, 0.062]",youbot
0,8.026,[0.384],0.473,0.0,-0.019,0.064,-5.724,-8.244,"[0.724, 0.0, -0.025]",youbot
0,8.471,[0.343],0.469,-0.001,-0.019,0.056,-5.517,-8.232,"[0.721, 0.0, 0.01]",youbot
0,8.874,[0.612],0.475,-0.0,0.029,0.06,-5.318,-8.221,"[0.725, 0.0, 0.066]",youbot
0,9.322,[0.588],0.476,0.055,0.001,0.075,-5.12,-8.201,"[0.726, 0.305, -0.199]",youbot
0,9.768,[0.624],0.432,0.116,0.008,0.07,-4.908,-8.149,"[0.684, 0.0, 0.107]",youbot
0,10.169,[0.594],0.474,0.001,0.081,0.097,-4.722,-8.125,"[0.724, 0.0, 0.158]",youbot
0,10.578,[1.166],0.468,0.002,0.092,0.135,-4.534,-8.104,"[0.72, 0.0, 0.142]",youbot
0,11.023,[1.76],0.476,0.001,0.101,0.177,-4.328,-8.072,"[0.727, 0.0, 0.151]",youbot
0,11.425,[1.838],0.472,-0.001,0.092,0.217,-4.133,-8.034,"[0.721, 0.0, 0.165]",youbot
0,11.872,[1.77],0.472,0.049,0.104,0.259,-3.931,-7.984,"[0.702, 0.0, 0.176]",youbot
0,12.274,[1.698],0.469,-0.001,0.095,0.288,-3.746,-7.913,"[0.72, 0.0, 0.173]",youbot
0,12.678,[1.624],0.471,-0.002,0.078,0.312,-3.571,-7.843,"[0.725, 0.0, 0.175]",youbot
0,13.125,[1.557],0.473,-0.001,0.057,0.343,-3.374,-7.776,"[0.723, 0.0, 0.108]",youbot
0,13.525,[1.488],0.476,0.003,0.075,0.367,-3.196,-7.71,"[0.726, 0.0, 0.124]",youbot
0,13.93,[1.414],0.476,-0.002,0.047,0.391,-3.019,-7.639,"[0.726, 0.0, 0.06]",youbot
0,14.374,[1.32],0.474,-0.002,0.019,0.407,-2.827,-7.558,"[0.724, 0.0, 0.064]",youbot
0,14.824,[1.245],0.47,-0.0,0.013,0.418,-2.628,-7.472,"[0.719, 0.0, 0.075]",youbot
0,15.27,[1.167],0.475,-0.001,0.026,0.431,-2.438,-7.386,"[0.725, 0.0, 0.062]",youbot
0,15.719,[1.015],0.476,0.001,0.052,0.447,-2.24,-7.294,"[0.727, 0.0, 0.091]",youbot
