episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.378,[0.947],-0.0,0.0,0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.786,[0.951],0.184,-0.0,-0.0,0.0,-8.493,-9.19,"[0.22, 0.0, 0.104]",turtlebot3_burger
0,2.281,[0.952],0.219,-0.0,0.199,0.053,-8.395,-9.188,"[0.22, 0.0, 0.203]",turtlebot3_burger
0,2.686,[0.957],0.219,-0.0,0.201,0.142,-8.301,-9.179,"[0.22, 0.0, 0.2]",turtlebot3_burger
0,3.189,[0.973],0.221,0.0,-0.093,0.195,-8.194,-9.16,"[0.22, 0.0, -0.193]",turtlebot3_burger
0,3.683,[0.992],0.222,0.0,-0.205,0.103,-8.084,-9.143,"[0.22, 0.0, -0.201]",turtlebot3_burger
0,4.182,[1.012],0.222,0.0,-0.202,0.009,-7.981,-9.137,"[0.22, 0.0, -0.201]",turtlebot3_burger
0,4.683,[0.999],0.221,-0.0,-0.0,-0.069,-7.87,-9.141,"[0.22, 0.0, 0.018]",turtlebot3_burger
0,5.084,[1.001],0.222,0.0,-0.103,-0.087,-7.783,-9.147,"[0.22, 0.0, -0.078]",turtlebot3_burger
0,5.583,[0.989],0.22,0.0,0.029,-0.128,-7.666,-9.16,"[0.22, 0.0, 0.137]",turtlebot3_burger
0,5.984,[0.978],0.22,-0.0,0.083,-0.078,-7.579,-9.17,"[0.22, 0.0, -0.024]",turtlebot3_burger
0,6.485,[0.967],0.221,0.0,-0.099,-0.11,-7.469,-9.179,"[0.22, 0.0, 0.011]",turtlebot3_burger
0,6.982,[0.958],0.22,-0.0,0.102,-0.066,-7.36,-9.19,"[0.22, 0.0, -0.006]",turtlebot3_burger
0,7.383,[0.947],0.222,0.0,-0.101,-0.088,-7.272,-9.196,"[0.22, 0.0, -0.109]",turtlebot3_burger
0,7.784,[0.936],0.219,-0.0,0.155,-0.092,-7.185,-9.205,"[0.22, 0.0, 0.165]",turtlebot3_burger
0,8.283,[0.945],0.221,0.0,-0.085,-0.074,-7.076,-9.212,"[0.22, 0.0, -0.107]",turtlebot3_burger
0,8.685,[0.935],0.22,0.0,-0.019,-0.101,-6.988,-9.22,"[0.22, 0.0, -0.044]",turtlebot3_burger
0,9.189,[0.911],0.22,0.0,0.001,-0.117,-6.879,-9.232,"[0.22, 0.0, -0.042]",turtlebot3_burger
0,9.682,[0.91],0.221,0.0,-0.084,-0.146,-6.769,-9.246,"[0.22, 0.0, -0.034]",turtlebot3_burger
0,10.082,[0.884],0.22,0.0,0.01,-0.152,-6.682,-9.26,"[0.22, 0.0, 0.006]",turtlebot3_burger
0,10.583,[0.872],0.219,-0.0,0.083,-0.15,-6.581,-9.275,"[0.22, 0.0, 0.072]",turtlebot3_burger
0,11.084,[0.866],0.22,0.0,-0.012,-0.133,-6.465,-9.291,"[0.22, 0.0, -0.014]",turtlebot3_burger
0,11.484,[0.854],0.22,0.0,0.0,-0.137,-6.385,-9.302,"[0.22, 0.0, 0.089]",turtlebot3_burger
0,11.986,[0.843],0.22,0.0,0.003,-0.117,-6.269,-9.317,"[0.22, 0.0, -0.004]",turtlebot3_burger
0,12.483,[0.834],0.22,0.0,-0.001,-0.119,-6.16,-9.33,"[0.22, 0.0, 0.045]",turtlebot3_burger
0,12.983,[0.81],0.22,0.0,-0.006,-0.114,-6.051,-9.342,"[0.22, 0.0, -0.006]",turtlebot3_burger
0,13.384,[0.803],0.22,0.0,0.004,-0.117,-5.971,-9.351,"[0.22, 0.0, 0.004]",turtlebot3_burger
0,13.883,[0.788],0.22,0.0,-0.033,-0.145,-5.854,-9.366,"[0.22, 0.0, 0.012]",turtlebot3_burger
0,14.381,[0.784],0.22,-0.0,0.074,-0.136,-5.745,-9.382,"[0.22, 0.0, 0.113]",turtlebot3_burger
0,14.783,[0.77],0.219,0.0,0.072,-0.104,-5.666,-9.392,"[0.22, 0.0, 0.053]",turtlebot3_burger
0,15.184,[0.752],0.22,0.0,-0.042,-0.092,-5.571,-9.401,"[0.22, 0.0, -0.036]",turtlebot3_burger
0,15.682,[0.741],0.219,0.0,0.041,-0.109,-5.469,-9.411,"[0.22, 0.0, 0.043]",turtlebot3_burger
0,16.082,[0.74],0.219,0.0,0.0,-0.1,-5.374,-9.421,"[0.22, 0.0, 0.017]",turtlebot3_burger
0,16.483,[0.727],0.22,0.0,0.007,-0.096,-5.294,-9.429,"[0.22, 0.0, -0.034]",turtlebot3_burger
0,16.983,[0.722],0.218,0.0,-0.024,-0.105,-5.177,-9.441,"[0.22, 0.0, 0.01]",turtlebot3_burger
0,17.384,[0.714],0.22,0.0,-0.036,-0.112,-5.09,-9.45,"[0.22, 0.0, -0.002]",turtlebot3_burger
0,17.884,[0.7],0.218,0.0,0.024,-0.082,-4.981,-9.461,"[0.22, 0.0, 0.02]",turtlebot3_burger
0,18.384,[0.693],0.218,0.0,-0.047,-0.085,-4.871,-9.47,"[0.22, 0.0, -0.004]",turtlebot3_burger
0,18.882,[0.691],0.219,0.0,-0.015,-0.072,-4.762,-9.478,"[0.22, 0.0, -0.017]",turtlebot3_burger
0,19.283,[0.686],0.219,0.0,-0.024,-0.08,-4.674,-9.485,"[0.22, 0.0, 0.002]",turtlebot3_burger
