episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.4,[1.097],0,0,0,0,0,0,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,0.8,[1.095],-0.0,0.0,0.0,-0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.301,[1.102],-0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.702,[1.084],0.107,0.0,-0.293,-0.01,-3.7,9.21,"[0.22, 0.0, -1.752]",turtlebot3_burger
0,2.104,[1.096],0.206,0.001,-1.357,-0.345,-3.639,9.201,"[0.22, 0.0, -1.56]",turtlebot3_burger
0,2.509,[1.128],0.231,0.001,-1.288,-0.913,-3.569,9.148,"[0.22, 0.0, -1.225]",turtlebot3_burger
0,3.004,[1.235],0.208,0.0,-0.698,-1.429,-3.53,9.052,"[0.22, 0.0, -0.571]",turtlebot3_burger
0,3.502,[1.26],0.224,0.0,-0.314,-1.642,-3.527,8.944,"[0.22, 0.0, -0.289]",turtlebot3_burger
0,3.906,[1.268],0.219,-0.0,0.156,-1.701,-3.539,8.851,"[0.22, 0.0, 0.174]",turtlebot3_burger
0,4.404,[1.277],0.209,-0.0,0.086,-1.709,-3.551,8.742,"[0.22, 0.0, 0.119]",turtlebot3_burger
0,4.805,[1.3],0.22,0.0,0.001,-1.689,-3.561,8.662,"[0.22, 0.0, 0.128]",turtlebot3_burger
0,5.304,[1.273],0.222,0.0,-0.16,-1.643,-3.572,8.548,"[0.22, 0.0, -0.179]",turtlebot3_burger
0,5.802,[1.244],0.219,-0.0,0.142,-1.646,-3.581,8.446,"[0.22, 0.0, -0.158]",turtlebot3_burger
0,6.216,[1.183],0.212,-0.0,0.197,-1.655,-3.588,8.352,"[0.22, 0.0, 0.329]",turtlebot3_burger
0,6.704,[1.174],0.221,0.0,-0.166,-1.618,-3.592,8.237,"[0.22, 0.0, -0.18]",turtlebot3_burger
0,7.108,[1.139],0.217,-0.0,0.229,-1.653,-3.598,8.156,"[0.22, 0.0, 0.16]",turtlebot3_burger
0,7.604,[1.133],0.208,-0.0,-0.045,-1.584,-3.602,8.052,"[0.22, 0.0, -0.212]",turtlebot3_burger
0,8.104,[1.105],0.217,-0.0,0.212,-1.654,-3.609,7.942,"[0.22, 0.0, 0.245]",turtlebot3_burger
0,8.511,[1.107],0.209,0.0,-0.128,-1.589,-3.612,7.849,"[0.22, 0.0, -0.269]",turtlebot3_burger
0,9.004,[1.124],0.218,0.0,0.264,-1.613,-3.618,7.748,"[0.22, 0.0, 0.335]",turtlebot3_burger
0,9.405,[1.133],0.223,0.0,-0.301,-1.576,-3.617,7.663,"[0.22, 0.0, -0.281]",turtlebot3_burger
0,9.904,[1.159],0.217,-0.0,0.347,-1.582,-3.622,7.553,"[0.22, 0.0, -0.229]",turtlebot3_burger
0,10.404,[1.193],0.222,0.0,-0.202,-1.623,-3.623,7.445,"[0.22, 0.0, 0.384]",turtlebot3_burger
0,10.904,[1.238],0.222,0.0,-0.26,-1.591,-3.626,7.335,"[0.22, 0.0, -0.247]",turtlebot3_burger
0,11.304,[1.269],0.217,-0.0,0.399,-1.545,-3.629,7.241,"[0.22, 0.0, -0.258]",turtlebot3_burger
0,11.802,[1.355],0.223,0.0,-0.303,-1.614,-3.627,7.139,"[0.22, 0.0, -0.298]",turtlebot3_burger
0,12.208,[1.401],0.216,-0.0,0.401,-1.585,-3.633,7.052,"[0.22, 0.0, -0.273]",turtlebot3_burger
0,12.703,[1.419],0.223,0.0,-0.326,-1.652,-3.634,6.943,"[0.22, 0.0, 0.329]",turtlebot3_burger
0,13.205,[1.357],0.217,-0.0,0.044,-1.551,-3.642,6.834,"[0.22, 0.0, -0.347]",turtlebot3_burger
0,13.704,[1.306],0.217,-0.0,0.395,-1.569,-3.644,6.725,"[0.22, 0.0, -0.321]",turtlebot3_burger
0,14.204,[1.261],0.228,0.0,-0.202,-1.657,-3.645,6.616,"[0.22, 0.0, 0.406]",turtlebot3_burger
0,14.605,[1.23],0.22,0.0,-0.045,-1.542,-3.648,6.528,"[0.22, 0.0, -0.449]",turtlebot3_burger
0,15.104,[1.199],0.217,-0.0,0.365,-1.585,-3.653,6.411,"[0.22, 0.0, 0.354]",turtlebot3_burger
0,15.603,[1.184],0.233,0.0,0.019,-1.646,-3.653,6.301,"[0.22, 0.0, 0.405]",turtlebot3_burger
0,16.005,[1.162],0.22,0.0,-0.029,-1.535,-3.655,6.221,"[0.22, 0.0, -0.431]",turtlebot3_burger
0,16.409,[1.164],0.213,0.0,0.284,-1.626,-3.658,6.132,"[0.22, 0.0, 0.356]",turtlebot3_burger
0,16.811,[1.164],0.224,0.0,-0.414,-1.58,-3.658,6.038,"[0.22, 0.0, -0.428]",turtlebot3_burger
0,17.305,[1.165],0.217,-0.0,0.257,-1.591,-3.663,5.935,"[0.22, 0.0, 0.308]",turtlebot3_burger
0,17.807,[1.169],0.206,0.0,-0.051,-1.626,-3.664,5.819,"[0.22, 0.0, 0.309]",turtlebot3_burger
0,18.303,[1.165],0.222,0.0,-0.33,-1.582,-3.666,5.718,"[0.22, 0.0, 0.285]",turtlebot3_burger
0,18.802,[1.162],0.2,0.014,-0.478,-1.562,-3.666,5.616,"[0.22, 0.0, -0.339]",turtlebot3_burger
0,19.203,[1.162],0.218,0.0,0.112,-1.612,-3.67,5.522,"[0.22, 0.0, 0.106]",turtlebot3_burger
0,19.61,[1.179],0.219,-0.0,0.078,-1.579,-3.671,5.434,"[0.22, 0.0, 0.087]",turtlebot3_burger
0,20.103,[1.168],0.222,0.0,-0.232,-1.531,-3.668,5.328,"[0.22, 0.0, -0.271]",turtlebot3_burger
0,20.602,[1.166],0.218,0.0,0.195,-1.567,-3.668,5.218,"[0.22, 0.0, 0.148]",turtlebot3_burger
0,21.005,[1.163],0.219,-0.0,0.113,-1.577,-3.667,5.123,"[0.22, 0.0, 0.213]",turtlebot3_burger
0,21.503,[1.159],0.222,0.0,-0.247,-1.567,-3.666,5.029,"[0.22, 0.0, 0.153]",turtlebot3_burger
0,21.906,[1.154],0.218,-0.0,0.161,-1.551,-3.666,4.934,"[0.22, 0.0, 0.123]",turtlebot3_burger
0,22.404,[1.156],0.217,-0.0,0.177,-1.584,-3.664,4.824,"[0.22, 0.0, 0.229]",turtlebot3_burger
0,22.904,[1.155],0.221,0.0,-0.17,-1.523,-3.661,4.716,"[0.22, 0.0, -0.147]",turtlebot3_burger
0,23.403,[1.16],0.217,-0.0,0.209,-1.53,-3.659,4.605,"[0.22, 0.0, -0.097]",turtlebot3_burger
0,23.803,[1.154],0.221,0.0,-0.123,-1.555,-3.655,4.517,"[0.22, 0.0, -0.112]",turtlebot3_burger
0,24.303,[1.165],0.221,0.0,-0.104,-1.535,-3.654,4.408,"[0.22, 0.0, -0.114]",turtlebot3_burger
0,24.704,[1.178],0.221,0.0,-0.101,-1.58,-3.653,4.32,"[0.22, 0.0, -0.092]",turtlebot3_burger
0,25.204,[1.214],0.218,0.0,-0.085,-1.545,-3.653,4.212,"[0.22, 0.0, -0.135]",turtlebot3_burger
0,25.704,[1.245],0.217,-0.0,0.253,-1.602,-3.654,4.102,"[0.22, 0.0, 0.341]",turtlebot3_burger
0,26.205,[1.21],0.222,0.0,-0.174,-1.604,-3.654,3.992,"[0.22, 0.0, 0.31]",turtlebot3_burger
0,26.705,[1.159],0.221,0.0,-0.155,-1.535,-3.654,3.884,"[0.22, 0.0, -0.2]",turtlebot3_burger
0,27.105,[1.119],0.222,0.0,-0.209,-1.61,-3.655,3.796,"[0.22, 0.0, 0.282]",turtlebot3_burger
0,27.604,[1.089],0.223,0.0,-0.272,-1.564,-3.657,3.689,"[0.22, 0.0, -0.314]",turtlebot3_burger
0,28.005,[1.082],0.217,-0.0,0.329,-1.637,-3.661,3.599,"[0.22, 0.0, 0.261]",turtlebot3_burger
0,28.503,[1.058],0.22,-0.0,0.086,-1.621,-3.664,3.49,"[0.22, 0.0, 0.253]",turtlebot3_burger
0,28.904,[1.062],0.217,0.0,-0.332,-1.604,-3.666,3.403,"[0.22, 0.0, 0.134]",turtlebot3_burger
0,29.404,[1.059],0.212,0.0,-0.203,-1.564,-3.669,3.287,"[0.22, 0.0, -0.421]",turtlebot3_burger
0,29.806,[1.055],0.219,0.0,0.213,-1.654,-3.673,3.213,"[0.22, 0.0, 0.243]",turtlebot3_burger
0,30.306,[1.08],0.219,0.0,-0.344,-1.567,-3.675,3.098,"[0.22, 0.0, -0.378]",turtlebot3_burger
0,30.803,[1.109],0.216,0.0,0.327,-1.577,-3.679,2.997,"[0.22, 0.0, -0.235]",turtlebot3_burger
0,31.305,[1.15],0.222,-0.0,0.285,-1.602,-3.68,2.878,"[0.22, 0.0, 0.383]",turtlebot3_burger
0,31.712,[1.188],0.222,0.0,-0.308,-1.59,-3.679,2.79,"[0.22, 0.0, 0.304]",turtlebot3_burger
0,32.208,[1.2],0.23,-0.0,-0.02,-1.617,-3.681,2.68,"[0.22, 0.0, 0.328]",turtlebot3_burger
0,32.705,[1.196],0.225,-0.0,0.01,-1.62,-3.683,2.57,"[0.22, 0.0, 0.306]",turtlebot3_burger
0,33.111,[1.204],0.221,0.0,-0.293,-1.587,-3.683,2.475,"[0.22, 0.0, 0.241]",turtlebot3_burger
0,33.612,[1.211],0.22,0.0,-0.314,-1.553,-3.682,2.373,"[0.22, 0.0, -0.284]",turtlebot3_burger
0,34.102,[1.204],0.217,-0.0,0.307,-1.536,-3.683,2.265,"[0.22, 0.0, -0.322]",turtlebot3_burger
0,34.504,[1.207],0.229,0.0,-0.01,-1.588,-3.68,2.175,"[0.22, 0.0, 0.267]",turtlebot3_burger
0,35.004,[1.203],0.217,0.0,-0.049,-1.504,-3.678,2.066,"[0.22, 0.0, -0.333]",turtlebot3_burger
0,35.404,[1.193],0.218,-0.0,0.245,-1.561,-3.676,1.971,"[0.22, 0.0, 0.251]",turtlebot3_burger
0,35.904,[1.203],0.223,0.0,-0.352,-1.495,-3.67,1.869,"[0.22, 0.0, 0.029]",turtlebot3_burger
0,36.306,[1.19],0.218,-0.0,0.193,-1.485,-3.665,1.781,"[0.22, 0.0, 0.098]",turtlebot3_burger
0,36.804,[1.18],0.22,-0.0,0.092,-1.498,-3.655,1.673,"[0.22, 0.0, 0.121]",turtlebot3_burger
0,37.206,[1.185],0.218,-0.0,0.225,-1.441,-3.646,1.586,"[0.22, 0.0, 0.266]",turtlebot3_burger
0,37.704,[0.993],0.222,0.0,-0.134,-1.43,-3.628,1.471,"[0.22, 0.0, 0.138]",turtlebot3_burger
0,38.203,[0.652],0.22,0.0,0.021,-1.372,-3.611,1.37,"[0.22, 0.0, 0.082]",turtlebot3_burger
0,38.704,[0.434],0.03,-0.0,0.355,-1.245,-3.591,1.284,"[-0.22, 0.0, -0.18]",turtlebot3_burger
0,39.202,[0.412],-0.217,0.0,-0.364,-1.272,-3.607,1.333,"[-0.22, 0.0, -0.282]",turtlebot3_burger
0,39.605,[0.453],-0.132,0.0,-0.092,-1.388,-3.626,1.412,"[-0.22, 0.0, 0.103]",turtlebot3_burger
0,40.109,[0.512],-0.161,-0.002,-0.199,-1.423,-3.644,1.512,"[0.22, 0.0, 0.197]",turtlebot3_burger
0,40.604,[0.465],0.1,0.0,-0.313,-1.484,-3.647,1.536,"[0.22, 0.0, 0.693]",turtlebot3_burger
0,41.103,[0.243],0.009,0.001,-1.581,-1.775,-3.646,1.483,"[-0.22, 0.0, 0.032]",turtlebot3_burger
0,41.604,[0.29],-0.213,0.0,-0.783,-2.256,-3.61,1.54,"[-0.22, 0.0, -1.224]",turtlebot3_burger
0,42.105,[0.398],-0.168,0.0,-1.485,-2.863,-3.53,1.597,"[-0.22, 0.0, -2.682]",turtlebot3_burger
0,42.602,[0.291],-0.09,0.0,-2.252,2.469,-3.472,1.588,"[0.22, 0.0, -2.789]",turtlebot3_burger
0,43.003,[0.317],0.087,0.001,-2.958,1.459,-3.469,1.594,"[0.22, 0.0, -1.972]",turtlebot3_burger
0,43.504,[0.389],0.204,0.001,-1.643,0.004,-3.407,1.636,"[0.22, 0.0, -1.377]",turtlebot3_burger
0,43.908,[0.445],0.217,0.0,-0.919,-0.47,-3.327,1.615,"[0.22, 0.0, -1.254]",turtlebot3_burger
0,44.404,[0.551],0.229,0.0,-0.769,-1.047,-3.246,1.539,"[0.22, 0.0, -0.755]",turtlebot3_burger
