episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.14,[1.198],0.0,0.0,-0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",jackal
0,1.549,[1.2],1.28,-0.0,-0.0,-0.0,-8.279,-9.19,"[0.98, 0.0, 0.158]",jackal
0,1.999,[1.204],0.76,-0.064,0.483,0.063,-7.809,-9.195,"[0.69, 0.0, 0.272]",jackal
0,2.446,[1.236],1.044,0.027,-0.274,0.071,-7.448,-9.166,"[1.156, 0.0, -0.703]",jackal
0,2.847,[1.163],0.738,0.081,-0.624,-0.176,-7.058,-9.148,"[0.705, 0.0, -0.474]",jackal
0,3.296,[1.011],0.643,0.007,-0.052,-0.28,-6.773,-9.208,"[0.543, 0.0, -0.421]",jackal
0,3.697,[0.994],0.225,0.007,-0.053,-0.4,-6.607,-9.25,"[0.281, 0.0, -0.189]",jackal
0,4.097,[0.98],0.337,-0.006,0.048,-0.382,-6.442,-9.322,"[0.327, 0.0, 0.0]",jackal
0,4.544,[0.975],0.293,-0.001,0.028,-0.377,-6.286,-9.385,"[0.339, 0.0, 0.158]",jackal
0,4.945,[0.932],0.364,-0.001,0.011,-0.346,-6.169,-9.432,"[0.431, 0.0, 0.268]",jackal
0,5.347,[0.883],0.358,-0.05,0.378,-0.302,-6.021,-9.487,"[0.332, 0.0, 0.211]",jackal
0,5.795,[0.847],0.287,-0.012,0.097,-0.23,-5.888,-9.531,"[0.305, 0.0, 0.15]",jackal
0,6.245,[0.816],0.354,0.012,-0.089,-0.187,-5.737,-9.567,"[0.331, 0.0, 0.174]",jackal
0,6.696,[0.798],0.23,-0.001,0.017,-0.162,-5.625,-9.589,"[0.283, 0.0, 0.184]",jackal
0,7.096,[0.787],0.191,-0.01,0.076,-0.126,-5.544,-9.606,"[0.186, 0.0, 0.069]",jackal
0,7.544,[0.778],0.103,-0.0,-0.001,-0.115,-5.471,-9.616,"[0.091, 0.0, 0.0]",jackal
0,7.991,[0.775],0.089,-0.0,0.0,-0.106,-5.424,-9.622,"[0.088, 0.0, 0.0]",jackal
0,8.395,[0.771],0.087,-0.0,0.0,-0.106,-5.391,-9.626,"[0.087, 0.0, 0.0]",jackal
0,8.84,[0.767],0.087,-0.0,-0.0,-0.106,-5.353,-9.63,"[0.087, 0.0, 0.0]",jackal
0,9.243,[0.764],0.087,0.0,-0.0,-0.106,-5.316,-9.633,"[-0.05, 0.0, 0.053]",jackal
0,9.643,[0.765],-0.05,-0.014,0.111,-0.069,-5.332,-9.637,"[-0.05, 0.0, 0.06]",jackal
0,10.092,[0.765],-0.05,-0.0,0.015,-0.066,-5.359,-9.635,"[-0.05, 0.0, 0.067]",jackal
0,13.243,[0.765],-0.0,0.0,0.0,-0.058,-5.364,-9.636,"[-0.05, 0.0, -0.053]",jackal
0,13.643,[0.768],-0.068,0.012,-0.11,-0.081,-5.388,-9.632,"[-0.05, 0.0, -0.161]",jackal
0,14.095,[0.77],-0.003,-0.029,0.33,-0.098,-5.408,-9.628,"[0.249, 0.0, 1.12]",jackal
0,14.545,[0.774],-0.022,0.009,0.064,-0.055,-5.42,-9.629,"[0.214, 0.0, 0.945]",jackal
0,14.993,[0.825],0.088,-0.056,0.425,0.368,-5.316,-9.626,"[0.0, 0.0, 0.0]",jackal
0,15.393,[0.835],0.106,0.026,-0.192,0.371,-5.296,-9.619,"[0.268, 0.0, -0.154]",jackal
0,15.797,[0.879],0.406,-0.032,0.508,0.414,-5.199,-9.584,"[0.453, 0.0, 0.35]",jackal
0,16.249,[0.984],0.514,-0.026,0.21,0.55,-4.995,-9.491,"[0.505, 0.0, 0.059]",jackal
0,16.65,[1.173],1.526,-0.0,-0.005,0.555,-4.698,-9.308,"[1.932, 0.0, -0.055]",jackal
0,17.053,[1.425],2.0,0.0,-0.0,0.552,-4.046,-8.905,"[2.0, 0.0, 0.0]",jackal
0,17.496,[1.466],1.598,-0.005,0.037,0.553,-3.32,-8.459,"[1.098, 0.0, 0.721]",jackal
0,17.898,[1.227],0.398,-0.059,0.445,0.603,-2.984,-8.267,"[0.273, 0.0, -0.072]",jackal
0,18.344,[0.77],-0.048,0.03,-0.228,0.576,-2.942,-8.234,"[-0.05, 0.0, 0.456]",jackal
