episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.091,[1.11],0.0,-0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,1.499,[1.129],-0.0,0.165,-2.128,-0.448,-3.717,9.244,"[0.0, 0.013, -1.528]",jackal
0,1.931,[1.249],0.751,0.044,-0.334,-0.972,-3.614,9.191,"[1.226, 0.0, -1.112]",jackal
0,2.378,[0.97],1.836,0.031,-0.453,-1.003,-3.29,8.704,"[1.0, 0.0, -1.348]",jackal
0,2.823,[0.742],0.469,-0.023,0.172,-1.135,-3.025,8.23,"[0.0, 0.0, 0.0]",jackal
0,3.225,[0.729],-0.024,0.022,-0.171,-1.132,-3.015,8.205,"[-0.05, 0.0, -0.232]",jackal
0,3.674,[0.739],-0.047,0.022,-0.172,-1.205,-3.015,8.229,"[-0.05, 0.0, -0.064]",jackal
0,4.125,[0.743],-0.0,-0.0,0.0,-1.295,-3.01,8.246,"[-0.05, 0.0, -0.158]",jackal
0,4.575,[0.751],-0.049,0.009,-0.064,-1.327,-3.011,8.267,"[-0.05, 0.0, -0.007]",jackal
0,5.025,[0.757],-0.049,0.044,-0.342,-1.355,-3.011,8.282,"[-0.05, 0.0, -0.174]",jackal
0,5.426,[0.759],-0.003,-0.02,0.151,-1.377,-3.011,8.296,"[0.0, 0.0, 0.0]",jackal
0,5.873,[0.76],-0.0,-0.0,-0.0,-1.383,-3.011,8.299,"[0.0, 0.0, 0.0]",jackal
0,6.274,[0.761],-0.0,-0.0,-0.0,-1.383,-3.011,8.299,"[0.0, 0.0, 0.0]",jackal
0,6.674,[0.762],-0.0,-0.0,-0.0,-1.383,-3.011,8.299,"[0.0, 0.0, 0.0]",jackal
0,7.125,[0.761],-0.0,-0.0,-0.0,-1.383,-3.011,8.299,"[0.0, 0.0, 0.0]",jackal
0,7.525,[0.76],-0.0,-0.0,-0.0,-1.383,-3.011,8.299,"[0.0, 0.0, 0.0]",jackal
0,7.974,[0.761],-0.0,-0.0,-0.0,-1.383,-3.011,8.299,"[0.0, 0.0, 0.0]",jackal
0,8.374,[0.76],-0.0,-0.0,-0.0,-1.383,-3.011,8.299,"[0.0, 0.0, 0.0]",jackal
0,8.826,[0.763],-0.0,-0.0,-0.0,-1.383,-3.011,8.299,"[0.0, 0.0, 0.0]",jackal
0,9.274,[0.761],-0.0,-0.0,-0.0,-1.383,-3.011,8.299,"[0.0, 0.0, 0.0]",jackal
0,9.724,[0.761],-0.0,-0.0,-0.0,-1.383,-3.011,8.299,"[0.0, 0.0, 0.0]",jackal
0,10.125,[0.761],-0.0,-0.0,-0.0,-1.383,-3.011,8.299,"[0.0, 0.0, 0.0]",jackal
0,10.526,[0.762],-0.0,-0.0,-0.0,-1.383,-3.011,8.3,"[0.0, 0.0, 0.0]",jackal
0,10.974,[0.762],-0.0,-0.0,-0.0,-1.383,-3.011,8.3,"[0.0, 0.0, 0.0]",jackal
0,11.424,[0.761],-0.0,-0.0,-0.0,-1.383,-3.011,8.3,"[0.0, 0.0, 0.0]",jackal
0,11.826,[0.763],-0.0,-0.0,-0.0,-1.383,-3.011,8.3,"[0.0, 0.0, 0.0]",jackal
0,12.274,[0.761],-0.0,-0.0,-0.0,-1.383,-3.011,8.3,"[0.0, 0.0, 0.0]",jackal
0,12.724,[0.761],-0.0,-0.0,-0.0,-1.383,-3.011,8.3,"[0.0, 0.0, 0.0]",jackal
0,13.124,[0.761],-0.0,-0.0,-0.0,-1.383,-3.011,8.3,"[0.0, 0.0, 0.0]",jackal
0,13.525,[0.763],-0.0,-0.0,-0.0,-1.383,-3.011,8.3,"[0.0, 0.0, 0.0]",jackal
0,13.926,[0.76],-0.0,-0.0,-0.0,-1.383,-3.011,8.3,"[0.0, 0.0, 0.0]",jackal
0,14.326,[0.761],-0.0,-0.0,-0.0,-1.383,-3.011,8.3,"[0.0, 0.0, 0.0]",jackal
0,14.774,[0.762],-0.0,-0.0,-0.0,-1.383,-3.011,8.3,"[0.0, 0.0, 0.0]",jackal
0,15.226,[0.761],-0.0,-0.0,-0.0,-1.383,-3.011,8.3,"[0.0, 0.0, 0.0]",jackal
0,15.679,[0.76],-0.0,-0.0,-0.0,-1.383,-3.011,8.3,"[0.0, 0.0, 0.0]",jackal
0,16.126,[0.761],-0.0,-0.0,-0.0,-1.383,-3.011,8.3,"[0.0, 0.0, 0.0]",jackal
0,16.573,[0.761],-0.0,-0.0,-0.0,-1.383,-3.011,8.301,"[0.0, 0.0, 0.0]",jackal
0,16.974,[0.761],-0.0,-0.0,-0.0,-1.383,-3.011,8.301,"[0.0, 0.0, 0.0]",jackal
0,17.426,[0.761],-0.0,-0.0,-0.0,-1.383,-3.011,8.301,"[0.0, 0.0, 0.0]",jackal
0,17.826,[0.761],-0.0,-0.0,-0.0,-1.383,-3.011,8.301,"[0.0, 0.0, 0.0]",jackal
0,18.274,[0.762],-0.0,-0.0,-0.0,-1.383,-3.011,8.301,"[0.0, 0.0, 0.0]",jackal
0,18.725,[0.762],-0.0,-0.0,-0.0,-1.383,-3.011,8.301,"[0.0, 0.0, 0.0]",jackal
0,19.174,[0.762],-0.0,-0.0,-0.0,-1.383,-3.011,8.301,"[0.0, 0.0, 0.0]",jackal
0,19.574,[0.762],-0.0,-0.0,-0.0,-1.383,-3.011,8.301,"[0.0, 0.0, 0.0]",jackal
0,20.025,[0.761],-0.0,-0.0,-0.0,-1.383,-3.011,8.301,"[0.0, 0.0, 0.0]",jackal
0,20.425,[0.763],-0.0,-0.0,-0.0,-1.383,-3.011,8.301,"[0.0, 0.0, 0.0]",jackal
0,20.974,[0.76],-0.0,-0.0,-0.0,-1.383,-3.011,8.301,"[0.0, 0.0, 0.0]",jackal
1,180.601,[0.778],-0.0,0.0,0.0,-1.383,-3.019,8.341,"[0.0, 0.0, 0.0]",jackal
1,181.01,[1.117],0.451,0.007,-0.334,-0.04,-3.658,9.208,"[0.765, 0.0, -1.398]",jackal
1,181.444,[1.052],0.718,0.206,-1.571,-0.369,-3.419,9.206,"[0.746, 0.036, -1.504]",jackal
1,181.854,[0.828],0.681,0.049,-0.376,-0.845,-3.165,9.094,"[0.091, 0.0, -1.376]",jackal
1,182.304,[0.742],-0.0,-0.0,0.0,-0.895,-3.073,8.993,"[-0.05, 0.0, -0.368]",jackal
1,182.751,[0.761],-0.04,0.047,-0.36,-1.038,-3.076,9.03,"[0.0, 0.0, -0.728]",jackal
1,183.152,[0.769],-0.049,0.021,-0.158,-1.173,-3.071,9.057,"[-0.05, 0.0, -0.105]",jackal
1,183.552,[0.774],-0.043,0.022,-0.199,-1.307,-3.06,9.077,"[0.0, 0.0, 0.0]",jackal
1,183.952,[0.776],0.001,-0.0,0.004,-1.352,-3.057,9.088,"[0.0, 0.0, 0.0]",jackal
1,184.353,[0.776],0.021,0.041,-0.31,-1.418,-3.048,9.088,"[0.012, 0.0, -0.152]",jackal
1,184.803,[0.776],-0.0,0.0,0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,185.253,[0.775],-0.0,0.0,0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,185.654,[0.776],-0.0,0.0,0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,186.104,[0.776],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,186.553,[0.776],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,186.953,[0.776],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,187.353,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,187.803,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,188.203,[0.776],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,188.603,[0.776],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,189.053,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,189.453,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,189.903,[0.776],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,190.352,[0.776],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,190.753,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,191.203,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,191.604,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,192.052,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,192.452,[0.777],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,192.854,[0.776],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,193.302,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,193.752,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,194.153,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,194.553,[0.776],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,194.953,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,195.353,[0.776],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,195.754,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,196.203,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,196.653,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,197.054,[0.776],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,197.454,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,197.901,[0.776],-0.0,0.0,-0.0,-1.439,-3.045,9.084,"[0.0, 0.0, 0.0]",jackal
1,198.354,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.085,"[0.0, 0.0, 0.0]",jackal
1,198.801,[0.776],-0.0,0.0,-0.0,-1.439,-3.045,9.085,"[0.0, 0.0, 0.0]",jackal
1,199.201,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.085,"[0.0, 0.0, 0.0]",jackal
1,199.602,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.085,"[0.0, 0.0, 0.0]",jackal
1,200.053,[0.775],-0.0,0.0,-0.0,-1.439,-3.045,9.085,"[0.0, 0.0, 0.0]",jackal
2,361.1,[0.776],-0.0,0.0,0.0,-1.439,-3.046,9.088,"[0.0, 0.0, 0.0]",jackal
2,361.508,[1.168],0.377,0.051,-1.527,-0.293,-3.624,9.186,"[0.486, 0.0, -1.405]",jackal
2,361.936,[1.049],1.033,0.103,-0.792,-0.961,-3.376,9.062,"[1.395, 0.031, -1.424]",jackal
2,362.364,[0.826],0.257,0.016,-0.131,-1.028,-3.146,8.707,"[-0.05, 0.0, -1.01]",jackal
2,362.785,[0.813],0.024,0.169,-1.288,-1.511,-3.077,8.706,"[0.262, 0.01, -0.761]",jackal
2,363.215,[0.819],0.089,-0.001,0.006,-1.786,-3.049,8.649,"[0.088, 0.0, 0.164]",jackal
2,363.615,[0.837],0.418,0.029,-0.211,-1.759,-3.067,8.575,"[0.0, 0.0, 0.0]",jackal
2,364.016,[0.875],0.332,-0.001,-0.034,-1.8,-3.084,8.471,"[0.416, 0.0, -0.402]",jackal
2,364.465,[0.934],0.501,0.001,-0.009,-1.845,-3.134,8.268,"[0.498, 0.0, 0.0]",jackal
2,364.865,[0.985],0.504,-0.0,-0.001,-1.848,-3.191,8.066,"[0.502, 0.0, -0.053]",jackal
2,365.269,[1.053],1.298,-0.025,-0.188,-1.851,-3.269,7.788,"[1.731, 0.0, 0.095]",jackal
2,365.671,[1.285],1.902,-0.031,0.239,-1.792,-3.468,7.093,"[2.0, 0.0, 0.23]",jackal
2,366.12,[1.148],1.411,-0.058,0.443,-1.673,-3.621,6.292,"[1.319, 0.0, 0.245]",jackal
2,366.567,[1.111],0.883,0.001,-0.005,-1.579,-3.657,5.816,"[0.383, 0.0, 0.047]",jackal
2,367.018,[0.924],0.315,-0.045,0.324,-1.511,-3.666,5.593,"[0.408, 0.0, 0.377]",jackal
