episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.393,[1.289],-0.0,0.0,0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.801,[1.288],0.183,-0.0,0.066,0.002,-10.597,-10.89,"[0.22, 0.0, 0.386]",turtlebot3_burger
0,2.202,[1.296],0.166,-0.0,0.729,0.126,-10.527,-10.887,"[0.22, 0.0, 0.918]",turtlebot3_burger
0,2.603,[1.299],0.187,-0.0,0.734,0.39,-10.46,-10.87,"[0.19, 0.0, 0.529]",turtlebot3_burger
0,3.004,[1.331],0.218,-0.0,0.332,0.599,-10.384,-10.828,"[0.22, -0.0, 0.406]",turtlebot3_burger
0,3.453,[1.398],0.218,-0.0,0.271,0.753,-10.312,-10.769,"[0.22, 0.0, 0.197]",turtlebot3_burger
0,3.903,[1.461],0.205,-0.0,0.175,0.846,-10.243,-10.699,"[0.22, 0.0, 0.167]",turtlebot3_burger
0,4.304,[1.525],0.215,0.0,0.163,0.906,-10.189,-10.633,"[0.207, 0.0, 0.09]",turtlebot3_burger
0,4.753,[1.594],0.207,0.0,0.089,0.913,-10.135,-10.564,"[0.22, 0.0, -0.083]",turtlebot3_burger
0,5.202,[1.682],0.221,0.0,-0.104,0.902,-10.074,-10.483,"[0.22, 0.0, -0.017]",turtlebot3_burger
0,5.607,[1.746],0.22,-0.0,0.038,0.878,-10.021,-10.418,"[0.207, 0.0, 0.095]",turtlebot3_burger
0,6.052,[1.809],0.22,-0.0,0.025,0.9,-9.959,-10.341,"[0.22, 0.0, 0.016]",turtlebot3_burger
0,6.455,[1.888],0.22,0.0,-0.032,0.909,-9.905,-10.272,"[0.207, 0.0, 0.124]",turtlebot3_burger
0,6.902,[1.955],0.218,0.0,0.002,0.934,-9.848,-10.197,"[0.22, 0.0, 0.02]",turtlebot3_burger
0,7.303,[2.027],0.22,0.0,0.034,0.945,-9.797,-10.128,"[0.207, 0.0, 0.026]",turtlebot3_burger
0,7.753,[2.109],0.206,0.0,-0.076,0.938,-9.74,-10.048,"[0.22, 0.0, -0.134]",turtlebot3_burger
0,8.153,[2.188],0.22,0.0,-0.086,0.9,-9.693,-9.986,"[0.22, 0.0, -0.029]",turtlebot3_burger
0,8.556,[2.238],0.22,0.0,-0.001,0.874,-9.637,-9.918,"[0.207, 0.0, -0.009]",turtlebot3_burger
0,9.003,[2.322],0.192,-0.0,0.058,0.88,-9.574,-9.843,"[0.22, 0.0, 0.017]",turtlebot3_burger
0,9.405,[2.388],0.22,0.0,0.024,0.905,-9.521,-9.776,"[0.22, 0.0, -0.05]",turtlebot3_burger
0,9.856,[2.473],0.205,0.0,0.087,0.912,-9.463,-9.702,"[0.22, 0.0, 0.063]",turtlebot3_burger
0,10.304,[2.527],0.218,0.0,0.012,0.932,-9.403,-9.622,"[0.207, 0.0, 0.037]",turtlebot3_burger
0,10.753,[2.606],0.207,0.0,-0.352,0.901,-9.346,-9.546,"[0.22, 0.0, -0.106]",turtlebot3_burger
0,11.202,[2.674],0.22,0.0,-0.103,0.866,-9.286,-9.473,"[0.22, 0.0, -0.013]",turtlebot3_burger
0,11.603,[2.759],0.205,-0.0,0.103,0.858,-9.23,-9.408,"[0.192, 0.0, 0.095]",turtlebot3_burger
0,12.003,[2.815],0.213,0.0,-0.04,0.852,-9.174,-9.344,"[0.22, 0.0, 0.05]",turtlebot3_burger
0,12.403,[2.889],0.218,-0.0,0.061,0.854,-9.119,-9.281,"[0.22, 0.0, 0.02]",turtlebot3_burger
0,12.806,[2.958],0.219,-0.0,0.125,0.895,-9.064,-9.215,"[0.207, 0.0, 0.116]",turtlebot3_burger
0,13.251,[3.023],0.219,0.0,0.093,0.926,-9.007,-9.142,"[0.207, 0.0, 0.069]",turtlebot3_burger
0,13.651,[2.996],0.192,0.0,-0.107,0.932,-8.953,-9.069,"[0.22, 0.0, -0.155]",turtlebot3_burger
0,14.051,[2.951],0.22,0.0,-0.078,0.902,-8.901,-9.001,"[0.22, 0.0, -0.091]",turtlebot3_burger
0,14.453,[2.891],0.215,0.0,-0.011,0.885,-8.85,-8.939,"[0.193, 0.0, -0.331]",turtlebot3_burger
0,14.856,[2.818],0.223,0.0,-0.432,0.723,-8.787,-8.871,"[0.22, 0.0, -0.424]",turtlebot3_burger
0,15.302,[2.744],0.214,0.0,-0.291,0.583,-8.712,-8.814,"[0.22, 0.0, -0.299]",turtlebot3_burger
0,15.702,[2.694],0.206,0.0,-0.201,0.486,-8.637,-8.769,"[0.22, 0.0, -0.128]",turtlebot3_burger
0,16.104,[2.615],0.222,0.0,-0.115,0.413,-8.56,-8.732,"[0.207, 0.0, -0.09]",turtlebot3_burger
0,16.553,[2.557],0.206,-0.0,0.049,0.379,-8.471,-8.696,"[0.22, 0.0, 0.033]",turtlebot3_burger
0,16.957,[2.497],0.22,-0.0,0.062,0.383,-8.393,-8.665,"[0.207, 0.0, 0.07]",turtlebot3_burger
0,17.405,[2.445],0.22,0.0,0.003,0.41,-8.31,-8.63,"[0.22, 0.0, 0.061]",turtlebot3_burger
0,17.853,[2.423],0.206,0.0,-0.001,0.431,-8.226,-8.592,"[0.22, 0.0, -0.029]",turtlebot3_burger
0,18.303,[2.356],0.195,-0.0,0.005,0.429,-8.133,-8.55,"[0.22, 0.0, 0.071]",turtlebot3_burger
0,18.754,[2.348],0.219,0.0,-0.0,0.447,-8.047,-8.51,"[0.207, 0.0, -0.009]",turtlebot3_burger
0,19.206,[2.336],0.22,0.0,-0.046,0.46,-7.958,-8.466,"[0.22, 0.0, -0.021]",turtlebot3_burger
0,19.653,[2.512],0.206,-0.0,0.011,0.472,-7.867,-8.421,"[0.22, 0.0, -0.004]",turtlebot3_burger
0,20.053,[2.476],0.212,-0.0,0.134,0.483,-7.791,-8.382,"[0.206, 0.0, 0.0]",turtlebot3_burger
0,20.454,[2.254],0.221,-0.0,0.006,0.496,-7.723,-8.345,"[0.22, 0.0, -0.035]",turtlebot3_burger
0,20.901,[1.933],0.221,0.0,-0.077,0.491,-7.635,-8.297,"[0.194, 0.0, -0.053]",turtlebot3_burger
0,21.305,[1.859],0.221,0.0,-0.114,0.468,-7.561,-8.258,"[0.22, 0.0, -0.04]",turtlebot3_burger
0,21.752,[1.81],0.207,0.0,0.005,0.456,-7.472,-8.214,"[0.22, 0.0, -0.02]",turtlebot3_burger
0,22.201,[1.761],0.219,0.0,0.033,0.442,-7.395,-8.177,"[0.207, 0.0, 0.025]",turtlebot3_burger
0,22.603,[1.706],0.192,0.0,-0.005,0.439,-7.312,-8.138,"[0.22, 0.0, -0.037]",turtlebot3_burger
0,23.052,[1.66],0.206,0.0,-0.012,0.44,-7.22,-8.095,"[0.22, 0.0, -0.039]",turtlebot3_burger
0,23.454,[1.523],0.22,0.0,0.004,0.439,-7.141,-8.058,"[0.207, 0.0, 0.0]",turtlebot3_burger
0,23.902,[1.301],0.219,-0.0,0.028,0.423,-7.065,-8.023,"[0.22, 0.0, 0.02]",turtlebot3_burger
0,24.303,[1.186],0.22,-0.0,0.06,0.432,-6.98,-7.984,"[0.22, 0.0, 0.034]",turtlebot3_burger
0,24.752,[1.152],0.221,0.0,-0.129,0.375,-6.886,-7.942,"[0.22, 0.0, -0.131]",turtlebot3_burger
0,25.152,[1.118],0.207,0.0,-0.139,0.325,-6.81,-7.914,"[0.22, 0.0, -0.049]",turtlebot3_burger
0,25.553,[1.094],0.221,0.0,-0.152,0.29,-6.727,-7.888,"[0.22, 0.0, -0.134]",turtlebot3_burger
0,26.003,[0.83],0.133,-0.0,0.36,0.268,-6.636,-7.863,"[0.11, 0.0, 0.026]",turtlebot3_burger
0,26.451,[0.598],0.081,0.0,-0.181,0.289,-6.587,-7.848,"[0.1, 0.0, -0.37]",turtlebot3_burger
0,26.894,[0.578],-0.063,-0.0,-0.256,0.187,-6.576,-7.845,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,27.301,[0.569],-0.044,0.0,0.035,0.137,-6.592,-7.847,"[-0.076, 0.0, -0.203]",turtlebot3_burger
0,27.702,[0.616],-0.026,0.0,-0.241,0.14,-6.601,-7.849,"[0.064, 0.0, -0.529]",turtlebot3_burger
0,28.151,[0.646],-0.052,0.0,-0.053,0.121,-6.614,-7.85,"[-0.065, 0.0, -0.194]",turtlebot3_burger
0,28.595,[0.679],-0.05,0.0,-0.617,-0.044,-6.64,-7.852,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,28.999,[0.71],-0.024,0.0,-0.543,-0.153,-6.655,-7.85,"[0.11, 0.0, -0.732]",turtlebot3_burger
0,29.408,[0.702],0.109,0.0,-1.121,-0.53,-6.627,-7.861,"[0.101, 0.0, -1.162]",turtlebot3_burger
0,29.852,[0.738],0.116,0.0,-0.838,-1.003,-6.59,-7.898,"[0.11, 0.0, -0.621]",turtlebot3_burger
0,30.301,[0.785],0.114,0.0,-0.4,-1.252,-6.57,-7.942,"[0.11, 0.0, -0.425]",turtlebot3_burger
0,30.701,[0.915],0.112,0.0,-0.254,-1.405,-6.559,-7.986,"[0.11, 0.0, -0.328]",turtlebot3_burger
0,31.15,[0.932],0.112,0.0,-0.186,-1.538,-6.554,-8.039,"[0.11, 0.0, -0.176]",turtlebot3_burger
0,31.552,[0.965],0.11,-0.0,0.031,-1.587,-6.554,-8.077,"[0.11, 0.0, 0.023]",turtlebot3_burger
0,32.002,[1.065],0.18,0.0,-0.201,-1.61,-6.555,-8.134,"[0.205, 0.0, 0.053]",turtlebot3_burger
0,32.404,[1.177],0.211,0.0,0.055,-1.566,-6.556,-8.217,"[0.22, 0.0, 0.162]",turtlebot3_burger
0,32.85,[1.238],0.205,0.0,0.007,-1.502,-6.553,-8.313,"[0.22, 0.0, 0.269]",turtlebot3_burger
0,33.252,[1.285],0.217,-0.0,0.279,-1.427,-6.545,-8.39,"[0.207, 0.0, 0.255]",turtlebot3_burger
0,33.703,[1.274],0.213,0.0,0.229,-1.329,-6.526,-8.486,"[0.22, 0.0, 0.221]",turtlebot3_burger
0,34.152,[1.319],0.205,-0.0,0.229,-1.242,-6.501,-8.572,"[0.22, 0.0, 0.171]",turtlebot3_burger
0,34.605,[1.316],0.219,-0.0,0.152,-1.152,-6.466,-8.661,"[0.22, 0.0, 0.21]",turtlebot3_burger
0,35.054,[1.359],0.218,-0.0,0.242,-1.042,-6.425,-8.742,"[0.207, 0.0, 0.283]",turtlebot3_burger
0,35.455,[1.399],0.219,-0.0,0.167,-0.936,-6.375,-8.818,"[0.22, 0.0, 0.225]",turtlebot3_burger
0,35.901,[1.448],0.206,-0.0,0.095,-0.865,-6.317,-8.89,"[0.22, 0.0, 0.136]",turtlebot3_burger
0,36.303,[1.481],0.217,-0.0,0.17,-0.814,-6.261,-8.954,"[0.22, 0.0, 0.08]",turtlebot3_burger
0,36.751,[1.505],0.218,0.0,0.195,-0.77,-6.195,-9.021,"[0.22, 0.0, 0.156]",turtlebot3_burger
0,37.154,[1.49],0.22,-0.0,0.094,-0.717,-6.127,-9.083,"[0.207, 0.0, 0.151]",turtlebot3_burger
0,37.603,[1.493],0.219,-0.0,0.09,-0.676,-6.055,-9.143,"[0.22, 0.0, 0.147]",turtlebot3_burger
0,38.004,[1.443],0.221,0.0,-0.079,-0.689,-5.988,-9.197,"[0.22, 0.0, -0.104]",turtlebot3_burger
0,38.452,[1.324],0.22,0.0,-0.071,-0.694,-5.915,-9.257,"[0.22, 0.0, 0.046]",turtlebot3_burger
0,38.854,[1.27],0.217,0.0,-0.08,-0.704,-5.848,-9.314,"[0.22, 0.0, 0.043]",turtlebot3_burger
0,39.303,[1.274],0.219,0.0,0.011,-0.698,-5.772,-9.379,"[0.207, 0.0, 0.052]",turtlebot3_burger
0,39.753,[1.22],0.213,0.0,-0.043,-0.676,-5.694,-9.442,"[0.206, 0.0, 0.047]",turtlebot3_burger
0,40.203,[1.226],0.217,0.0,0.039,-0.674,-5.621,-9.501,"[0.22, 0.0, 0.08]",turtlebot3_burger
0,40.654,[1.216],0.21,-0.0,0.172,-0.649,-5.543,-9.563,"[0.22, 0.0, 0.119]",turtlebot3_burger
0,41.106,[1.224],0.22,-0.0,0.115,-0.586,-5.474,-9.611,"[0.22, 0.0, 0.14]",turtlebot3_burger
0,41.55,[1.225],0.174,-0.0,0.084,-0.523,-5.395,-9.661,"[0.158, 0.0, 0.109]",turtlebot3_burger
0,41.95,[1.202],0.19,0.0,0.032,-0.491,-5.335,-9.694,"[0.22, 0.0, 0.123]",turtlebot3_burger
0,42.352,[1.215],0.21,-0.0,0.241,-0.473,-5.255,-9.736,"[0.22, 0.0, 0.202]",turtlebot3_burger
0,42.753,[1.261],0.218,0.0,0.178,-0.415,-5.177,-9.772,"[0.22, 0.0, 0.134]",turtlebot3_burger
0,43.154,[1.35],0.216,0.0,0.128,-0.363,-5.104,-9.802,"[0.22, 0.0, 0.202]",turtlebot3_burger
