episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.092,[1.201],-0.0,-0.0,-0.003,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",youbot
0,1.537,[1.225],0.463,0.0,0.191,0.056,-8.426,-9.187,"[0.702, 0.0, 0.262]",youbot
0,1.953,[1.296],0.38,0.282,-0.091,0.06,-8.246,-9.117,"[0.591, 0.515, -0.29]",youbot
0,2.363,[1.375],0.469,-0.003,0.103,0.069,-8.088,-9.043,"[0.727, 0.0, 0.131]",youbot
0,2.8,[1.408],0.475,-0.0,0.109,0.109,-7.871,-9.024,"[0.724, 0.0, 0.159]",youbot
0,3.247,[1.421],0.475,0.001,0.057,0.144,-7.673,-8.998,"[0.725, 0.0, 0.128]",youbot
0,3.692,[1.371],0.475,0.002,0.072,0.17,-7.463,-8.949,"[0.669, 0.0, 0.173]",youbot
0,4.12,[1.32],0.486,0.058,-0.01,0.193,-7.27,-8.899,"[0.649, 0.0, 0.105]",youbot
0,4.556,[1.26],0.469,0.004,0.032,0.203,-7.069,-8.848,"[0.722, 0.254, -0.175]",youbot
0,4.966,[1.202],0.441,0.181,-0.146,0.194,-6.881,-8.781,"[0.584, 0.0, 0.072]",youbot
0,5.378,[1.105],0.428,0.18,0.027,0.202,-6.703,-8.703,"[0.467, 0.0, 0.067]",youbot
0,5.786,[0.956],0.277,0.069,0.015,0.213,-6.555,-8.652,"[0.18, 0.0, 0.037]",youbot
0,6.232,[0.918],0.154,0.0,0.019,0.231,-6.474,-8.632,"[0.177, 0.0, 0.094]",youbot
0,6.681,[0.918],0.179,-0.001,0.093,0.271,-6.399,-8.613,"[0.175, 0.0, 0.105]",youbot
0,7.135,[0.906],0.178,-0.001,0.071,0.31,-6.321,-8.59,"[0.161, 0.0, -0.124]",youbot
0,7.581,[0.948],0.173,0.0,-0.088,0.304,-6.251,-8.567,"[0.185, 0.0, -0.011]",youbot
0,7.983,[0.935],0.233,0.0,-0.003,0.299,-6.164,-8.54,"[0.235, 0.0, 0.0]",youbot
0,8.432,[0.905],0.249,0.0,-0.083,0.283,-6.062,-8.509,"[0.249, 0.0, -0.079]",youbot
0,8.882,[0.889],0.249,0.0,-0.07,0.246,-5.951,-8.479,"[0.249, 0.0, -0.075]",youbot
0,9.333,[0.869],0.243,-0.0,0.014,0.226,-5.841,-8.453,"[0.235, 0.0, -0.013]",youbot
0,9.775,[0.849],0.233,-0.0,0.006,0.223,-5.744,-8.431,"[0.209, 0.0, -0.078]",youbot
0,10.226,[0.827],0.223,-0.001,-0.001,0.22,-5.648,-8.41,"[0.237, 0.0, -0.044]",youbot
0,10.67,[0.808],0.212,-0.0,-0.003,0.219,-5.545,-8.387,"[0.211, 0.0, -0.009]",youbot
0,11.073,[0.79],0.198,0.0,0.022,0.224,-5.465,-8.369,"[0.185, 0.0, -0.021]",youbot
