episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.993,[1.111],-0.0,0.0,0.002,-0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",youbot
0,1.423,[1.105],-0.171,-0.002,0.111,0.024,-3.759,9.21,"[-0.157, 0.0, 0.116]",youbot
0,1.824,[1.101],-0.125,0.0,0.052,0.042,-3.822,9.208,"[-0.123, 0.0, 0.02]",youbot
0,2.224,[1.099],-0.142,-0.003,-0.023,0.052,-3.863,9.205,"[-0.128, 0.0, -0.026]",youbot
0,2.672,[1.102],-0.094,0.0,0.105,0.05,-3.915,9.203,"[-0.092, 0.0, -0.029]",youbot
0,3.122,[1.105],-0.099,-0.001,-0.031,0.049,-3.948,9.201,"[-0.099, 0.0, 0.075]",youbot
0,3.522,[1.105],-0.107,0.002,0.105,0.055,-3.995,9.199,"[-0.067, 0.0, -0.033]",youbot
0,3.968,[1.123],-0.012,-0.034,-0.415,-0.019,-4.023,9.194,"[-0.008, 0.0, -0.537]",youbot
0,4.384,[1.314],0.146,-0.025,-1.034,-0.306,-4.015,9.191,"[0.364, 0.0, -1.155]",youbot
0,4.793,[1.396],0.339,0.025,-0.679,-0.648,-3.884,9.119,"[0.585, 0.0, -0.749]",youbot
0,5.202,[1.309],0.455,-0.008,-0.261,-0.819,-3.762,9.007,"[0.281, 0.0, -0.464]",youbot
0,5.645,[1.218],0.469,0.001,-0.196,-0.935,-3.636,8.854,"[0.688, 0.0, -0.401]",youbot
0,6.093,[1.11],0.471,-0.003,-0.151,-1.008,-3.52,8.684,"[0.691, 0.0, -0.359]",youbot
0,6.531,[1.062],0.467,-0.007,-0.16,-1.071,-3.426,8.522,"[0.669, 0.0, -0.374]",youbot
0,6.949,[1.003],0.457,-0.005,-0.205,-1.157,-3.333,8.33,"[0.657, 0.0, -0.398]",youbot
0,7.393,[0.989],0.278,-0.001,-0.453,-1.316,-3.279,8.181,"[0.267, 0.0, -0.441]",youbot
0,7.812,[1.048],0.464,-0.002,-0.265,-1.482,-3.258,8.048,"[0.688, 0.0, -0.255]",youbot
0,8.266,[1.025],0.475,-0.002,-0.071,-1.549,-3.247,7.826,"[0.722, 0.0, -0.104]",youbot
0,8.674,[1.382],0.474,-0.001,-0.043,-1.574,-3.245,7.636,"[0.697, 0.0, -0.085]",youbot
0,9.09,[1.236],0.474,-0.0,-0.038,-1.599,-3.249,7.436,"[0.729, 0.0, -0.044]",youbot
0,9.543,[1.1],0.473,0.002,-0.017,-1.61,-3.256,7.218,"[0.723, 0.0, -0.03]",youbot
0,9.948,[0.984],0.473,0.001,-0.01,-1.616,-3.264,7.028,"[0.363, 0.0, -0.015]",youbot
0,10.348,[0.912],0.264,0.0,-0.023,-1.621,-3.27,6.895,"[0.26, 0.0, -0.017]",youbot
0,10.793,[0.867],0.251,-0.0,-0.012,-1.628,-3.276,6.783,"[0.251, 0.0, -0.009]",youbot
0,11.195,[0.845],0.25,0.0,-0.0,-1.63,-3.282,6.678,"[0.25, 0.0, 0.0]",youbot
0,11.64,[0.832],0.25,-0.0,0.001,-1.63,-3.289,6.568,"[0.25, 0.0, 0.005]",youbot
0,12.042,[0.832],0.25,-0.0,0.008,-1.627,-3.295,6.464,"[0.25, 0.0, 0.012]",youbot
0,12.489,[0.836],0.249,-0.0,0.01,-1.623,-3.301,6.354,"[0.249, 0.0, 0.015]",youbot
0,12.941,[0.838],0.249,-0.0,0.008,-1.617,-3.306,6.244,"[0.25, 0.0, 0.009]",youbot
0,13.392,[0.85],0.25,0.0,-0.037,-1.639,-3.313,6.13,"[0.25, 0.0, -0.063]",youbot
0,13.792,[0.863],0.249,-0.0,0.002,-1.655,-3.32,6.03,"[0.249, 0.0, -0.034]",youbot
0,14.244,[0.874],0.25,0.0,-0.012,-1.664,-3.331,5.915,"[0.25, 0.0, 0.0]",youbot
0,14.696,[0.883],0.25,0.0,0.019,-1.663,-3.341,5.807,"[0.25, 0.0, -0.012]",youbot
0,15.098,[0.89],0.25,0.0,0.001,-1.659,-3.35,5.703,"[0.25, 0.0, -0.005]",youbot
0,15.538,[0.896],0.25,-0.0,0.005,-1.655,-3.36,5.593,"[0.25, 0.0, 0.013]",youbot
0,15.941,[0.9],0.248,0.0,0.056,-1.645,-3.368,5.499,"[0.249, 0.0, 0.052]",youbot
0,16.343,[0.902],0.249,-0.0,-0.003,-1.638,-3.374,5.4,"[0.25, 0.0, 0.0]",youbot
0,16.793,[0.909],0.249,0.0,0.006,-1.638,-3.382,5.286,"[0.249, 0.0, 0.06]",youbot
0,17.193,[0.909],0.25,0.0,-0.004,-1.623,-3.388,5.191,"[0.25, 0.0, 0.0]",youbot
0,17.642,[0.91],0.248,0.0,0.049,-1.614,-3.393,5.076,"[0.249, 0.0, 0.049]",youbot
0,18.047,[0.907],0.248,-0.0,0.03,-1.597,-3.397,4.977,"[0.249, 0.0, -0.019]",youbot
0,18.487,[1.437],0.475,0.003,0.033,-1.591,-3.401,4.82,"[0.727, 0.0, 0.074]",youbot
0,18.887,[1.369],0.482,-0.002,0.035,-1.573,-3.403,4.621,"[0.726, 0.0, 0.053]",youbot
0,19.299,[1.236],0.469,0.046,-0.065,-1.572,-3.402,4.422,"[0.719, 0.0, 0.004]",youbot
0,19.706,[1.12],0.473,-0.0,0.007,-1.576,-3.399,4.231,"[0.721, 0.0, 0.011]",youbot
0,20.139,[1.025],0.47,0.0,0.028,-1.567,-3.4,4.025,"[0.718, 0.0, 0.047]",youbot
0,20.573,[0.947],0.307,-0.001,0.02,-1.552,-3.398,3.841,"[0.294, 0.0, 0.031]",youbot
0,21.018,[0.923],0.251,0.001,0.012,-1.54,-3.395,3.718,"[0.252, 0.0, 0.02]",youbot
0,21.462,[0.912],0.25,-0.001,0.022,-1.534,-3.391,3.608,"[0.25, 0.0, 0.013]",youbot
0,21.866,[0.908],0.25,0.001,-0.0,-1.532,-3.387,3.508,"[0.25, 0.0, 0.0]",youbot
0,22.314,[0.904],0.249,0.001,-0.001,-1.533,-3.383,3.394,"[0.249, 0.0, -0.007]",youbot
0,22.764,[0.902],0.249,0.002,-0.013,-1.535,-3.379,3.284,"[0.25, 0.0, -0.006]",youbot
0,23.21,[0.898],0.249,0.002,0.03,-1.531,-3.375,3.175,"[0.249, 0.0, 0.041]",youbot
0,23.612,[0.89],0.249,-0.002,0.028,-1.519,-3.37,3.08,"[0.249, 0.0, 0.023]",youbot
0,24.013,[0.883],0.25,-0.001,0.008,-1.511,-3.364,2.971,"[0.249, 0.0, 0.013]",youbot
0,24.461,[0.878],0.249,0.0,-0.008,-1.51,-3.357,2.861,"[0.249, 0.0, -0.002]",youbot
0,24.909,[0.87],0.249,-0.001,0.046,-1.506,-3.351,2.752,"[0.249, 0.0, 0.042]",youbot
0,25.31,[0.86],0.25,-0.0,0.018,-1.494,-3.344,2.657,"[0.25, 0.0, 0.021]",youbot
0,25.711,[0.851],0.25,-0.001,0.009,-1.489,-3.336,2.558,"[0.25, 0.0, 0.0]",youbot
0,26.156,[0.84],0.25,0.0,-0.017,-1.476,-3.325,2.439,"[0.25, 0.0, -0.019]",youbot
0,26.557,[0.829],0.25,-0.0,0.022,-1.47,-3.316,2.339,"[0.25, 0.0, 0.021]",youbot
0,27.007,[0.816],0.25,0.0,0.014,-1.466,-3.304,2.23,"[0.25, 0.0, 0.047]",youbot
0,27.454,[0.806],0.25,-0.0,-0.015,-1.465,-3.293,2.125,"[0.25, 0.0, -0.01]",youbot
0,27.858,[0.797],0.249,-0.0,0.025,-1.465,-3.282,2.021,"[0.25, 0.0, 0.024]",youbot
0,28.261,[0.784],0.249,-0.0,0.011,-1.457,-3.271,1.922,"[0.236, 0.0, 0.016]",youbot
0,28.705,[0.772],0.244,0.001,-0.035,-1.461,-3.259,1.816,"[0.247, 0.0, -0.03]",youbot
0,29.105,[0.764],0.246,0.0,-0.003,-1.466,-3.248,1.714,"[0.247, 0.0, -0.006]",youbot
0,29.555,[0.756],0.242,0.0,-0.013,-1.47,-3.237,1.608,"[0.246, 0.0, -0.014]",youbot
0,29.999,[0.747],0.249,-0.0,0.024,-1.47,-3.227,1.501,"[0.236, 0.0, 0.019]",youbot
0,30.413,[1.236],0.476,0.002,0.092,-1.455,-3.212,1.369,"[0.724, 0.0, 0.252]",youbot
0,30.866,[1.128],0.47,-0.002,0.147,-1.383,-3.181,1.15,"[0.729, 0.0, 0.265]",youbot
0,31.313,[1.133],0.431,0.189,-0.005,-1.342,-3.118,0.965,"[0.481, 0.0, 0.036]",youbot
0,31.765,[1.636],0.476,0.002,0.062,-1.314,-3.049,0.764,"[0.725, 0.0, 0.107]",youbot
0,32.174,[1.3],0.477,0.004,0.062,-1.286,-2.993,0.563,"[0.727, 0.0, 0.11]",youbot
0,32.586,[0.624],0.474,0.0,0.054,-1.261,-2.937,0.381,"[0.363, 0.0, 0.107]",youbot
0,33.009,[0.73],0.204,0.413,-0.189,-1.311,-2.82,0.265,"[0.247, 0.134, -0.233]",youbot
0,33.439,[0.782],0.222,0.001,-0.045,-1.392,-2.705,0.193,"[0.24, 0.0, -0.044]",youbot
0,33.882,[0.764],0.246,0.0,0.023,-1.399,-2.688,0.099,"[0.248, 0.0, 0.018]",youbot
0,34.345,[0.761],0.232,-0.0,0.087,-1.373,-2.667,-0.019,"[0.232, 0.0, 0.115]",youbot
0,34.77,[1.823],0.479,0.073,-0.02,-1.328,-2.633,-0.154,"[0.727, 0.307, -0.146]",youbot
0,35.199,[1.476],0.403,0.228,-0.035,-1.367,-2.497,-0.308,"[0.635, 0.023, -0.018]",youbot
0,35.617,[1.186],0.477,0.001,0.013,-1.367,-2.443,-0.483,"[0.727, 0.0, 0.054]",youbot
0,36.046,[1.041],0.475,0.002,0.03,-1.353,-2.398,-0.697,"[0.725, 0.0, 0.047]",youbot
0,36.489,[0.951],0.371,-0.002,0.06,-1.343,-2.355,-0.888,"[0.333, 0.0, 0.019]",youbot
0,36.93,[0.922],0.256,-0.001,-0.013,-1.339,-2.325,-1.016,"[0.253, 0.0, -0.016]",youbot
0,37.332,[0.864],0.25,-0.0,-0.019,-1.353,-2.301,-1.12,"[0.25, 0.0, -0.024]",youbot
0,37.757,[0.521],0.086,-0.002,-0.104,-1.37,-2.283,-1.208,"[-0.003, 0.0, -0.058]",youbot
0,38.16,[0.28],-0.001,0.0,0.0,-1.376,-2.281,-1.213,"[0.0, 0.0, 0.0]",youbot
0,38.561,[0.263],-0.001,-0.0,-0.001,-1.377,-2.281,-1.213,"[0.0, 0.0, 0.0]",youbot
0,39.012,[0.269],-0.002,-0.001,-0.004,-1.378,-2.282,-1.213,"[0.0, 0.0, 0.0]",youbot
0,39.46,[0.292],-0.001,-0.002,-0.009,-1.381,-2.283,-1.212,"[0.0, 0.0, 0.0]",youbot
0,39.861,[0.306],-0.003,-0.002,-0.011,-1.385,-2.284,-1.212,"[0.0, 0.0, 0.0]",youbot
0,40.261,[0.335],-0.003,-0.002,-0.013,-1.39,-2.285,-1.211,"[0.0, 0.0, 0.0]",youbot
0,40.662,[0.35],-0.004,-0.003,-0.016,-1.396,-2.286,-1.211,"[0.0, 0.0, 0.0]",youbot
