episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.465,[1.199],0.0,0.0,-0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",jackal
0,0.966,[1.198],0.0,0.0,-0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",jackal
0,1.367,[1.197],0.175,-0.0,0.0,-0.0,-8.517,-9.19,"[2.0, 0.0, -0.017]",jackal
0,1.768,[1.2],1.609,0.0,0.0,0.0,-8.177,-9.19,"[2.0, 0.0, -0.113]",jackal
0,2.169,[1.178],2.0,0.056,-0.428,-0.088,-7.406,-9.2,"[2.0, 0.0, -0.003]",jackal
0,2.667,[0.625],2.001,-0.056,0.423,-0.051,-6.374,-9.312,"[2.0, 0.0, 0.307]",jackal
0,3.067,[0.525],2.0,-0.063,0.481,0.125,-5.615,-9.31,"[2.0, 0.0, 0.33]",jackal
0,3.568,[0.781],2.007,0.093,-0.704,0.349,-4.58,-9.032,"[2.0, 0.0, -0.386]",jackal
0,3.977,[1.392],1.976,-0.176,1.317,0.514,-3.865,-8.791,"[2.0, 0.0, 0.525]",jackal
0,4.467,[1.689],1.918,0.235,-0.775,0.305,-3.072,-8.266,"[2.0, 0.0, 0.783]",jackal
0,4.881,[1.785],1.977,-0.156,1.183,0.653,-2.306,-7.968,"[2.0, 0.0, -0.815]",jackal
0,5.371,[1.217],1.972,0.179,-1.36,0.419,-1.539,-7.363,"[2.0, 0.0, 1.166]",jackal
0,5.866,[1.102],1.951,-0.48,2.316,0.945,-0.661,-6.959,"[2.0, 0.0, 1.173]",jackal
0,6.27,[1.115],1.969,-0.533,1.508,1.607,-0.262,-6.272,"[2.0, 0.0, 0.938]",jackal
0,6.767,[0.995],1.818,0.011,0.161,1.613,-0.355,-5.309,"[2.0, 0.0, 1.13]",jackal
0,7.169,[1.035],1.97,-0.309,1.496,2.124,-0.468,-4.548,"[2.0, 0.0, 0.786]",jackal
0,7.573,[1.319],1.971,0.216,-1.504,2.101,-0.936,-3.916,"[2.0, 0.0, 0.889]",jackal
0,8.069,[1.573],1.827,-0.064,0.048,2.413,-1.432,-3.083,"[2.0, 0.0, -0.727]",jackal
0,8.566,[1.392],2.0,0.098,-0.753,2.017,-2.057,-2.384,"[2.0, 0.0, 0.945]",jackal
0,8.968,[1.763],1.973,-0.243,1.329,2.354,-2.439,-1.649,"[2.0, 0.0, -0.387]",jackal
0,9.467,[2.446],2.0,0.082,-0.62,2.111,-3.115,-0.928,"[2.0, 0.0, -0.334]",jackal
0,9.867,[1.795],1.997,-0.148,1.051,2.21,-3.484,-0.264,"[2.0, 0.0, -0.329]",jackal
0,10.268,[1.409],2.0,0.101,-0.762,2.117,-3.977,0.359,"[2.0, 0.0, -0.583]",jackal
0,10.765,[1.246],1.99,0.08,-0.605,1.78,-4.373,1.272,"[2.0, 0.0, -0.457]",jackal
0,11.168,[1.336],2.048,-0.029,0.298,1.582,-4.471,2.101,"[2.0, 0.0, 0.568]",jackal
0,11.568,[1.512],1.908,0.023,-0.2,1.815,-4.546,2.853,"[2.0, 0.0, -0.544]",jackal
0,11.971,[1.585],1.992,-0.106,0.807,1.726,-4.678,3.679,"[2.0, 0.0, 0.567]",jackal
0,12.371,[1.442],2.0,0.126,-0.948,1.702,-4.85,4.445,"[2.0, 0.0, -0.431]",jackal
0,12.872,[1.368],2.053,-0.02,-0.009,1.841,-4.939,5.4,"[2.0, 0.0, -0.369]",jackal
0,13.272,[1.383],2.001,0.07,-0.53,1.676,-5.121,6.219,"[2.0, 0.0, 0.653]",jackal
0,13.674,[1.778],1.953,0.025,-0.189,1.857,-5.216,6.969,"[2.0, 0.0, -0.619]",jackal
