episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.471,[1.182],-0.0,0.0,0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,0.871,[1.186],-0.0,0.0,0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.272,[1.186],-0.0,0.0,0.0,-0.0,-8.52,-9.19,"[0.22, 0.0, 0.056]",turtlebot3_burger
0,1.674,[1.189],0.191,-0.0,-0.008,-0.0,-8.481,-9.19,"[0.22, 0.0, 0.027]",turtlebot3_burger
0,2.181,[1.196],0.219,0.0,0.018,0.007,-8.366,-9.19,"[0.22, 0.0, 0.011]",turtlebot3_burger
0,2.674,[1.196],0.219,0.0,0.007,0.015,-8.263,-9.189,"[0.22, 0.0, 0.009]",turtlebot3_burger
0,3.173,[1.197],0.22,0.0,-0.024,0.01,-8.153,-9.187,"[0.22, 0.0, -0.031]",turtlebot3_burger
0,3.678,[1.185],0.22,0.0,-0.086,-0.013,-8.036,-9.187,"[0.22, 0.0, -0.099]",turtlebot3_burger
0,4.177,[1.196],0.221,0.0,-0.129,-0.064,-7.926,-9.191,"[0.22, 0.0, -0.111]",turtlebot3_burger
0,4.679,[1.186],0.222,0.0,-0.181,-0.138,-7.816,-9.202,"[0.22, 0.0, -0.159]",turtlebot3_burger
0,5.174,[1.169],0.221,0.0,-0.144,-0.22,-7.707,-9.221,"[0.22, 0.0, 0.321]",turtlebot3_burger
0,5.675,[1.144],0.222,0.0,-0.17,-0.177,-7.606,-9.24,"[0.22, 0.0, -0.162]",turtlebot3_burger
0,6.174,[1.118],0.217,-0.0,0.318,-0.235,-7.498,-9.263,"[0.22, 0.0, 0.391]",turtlebot3_burger
0,6.582,[1.103],0.221,0.0,-0.116,-0.182,-7.405,-9.28,"[0.22, 0.0, -0.126]",turtlebot3_burger
0,7.073,[1.094],0.221,0.0,-0.044,-0.229,-7.297,-9.303,"[0.22, 0.0, -0.041]",turtlebot3_burger
0,7.575,[1.07],0.22,0.0,-0.014,-0.233,-7.198,-9.327,"[0.22, 0.0, 0.009]",turtlebot3_burger
0,8.073,[1.035],0.22,0.0,0.004,-0.231,-7.091,-9.352,"[0.22, 0.0, 0.035]",turtlebot3_burger
0,8.483,[1.022],0.22,0.0,0.043,-0.219,-6.998,-9.373,"[0.22, 0.0, 0.095]",turtlebot3_burger
0,8.975,[0.993],0.22,-0.0,0.075,-0.175,-6.891,-9.395,"[0.22, 0.0, 0.111]",turtlebot3_burger
0,9.473,[0.975],0.219,-0.0,0.115,-0.126,-6.79,-9.41,"[0.22, 0.0, 0.09]",turtlebot3_burger
0,9.878,[0.971],0.219,-0.0,0.072,-0.087,-6.696,-9.42,"[0.22, 0.0, 0.064]",turtlebot3_burger
0,10.372,[0.957],0.219,-0.0,0.122,-0.049,-6.586,-9.428,"[0.22, 0.0, 0.109]",turtlebot3_burger
0,10.774,[0.95],0.218,-0.0,0.162,0.0,-6.499,-9.43,"[0.22, 0.0, 0.119]",turtlebot3_burger
0,11.274,[0.957],0.219,-0.0,0.127,0.061,-6.389,-9.427,"[0.22, 0.0, 0.114]",turtlebot3_burger
0,11.777,[0.958],0.22,0.0,0.004,0.093,-6.28,-9.418,"[0.22, 0.0, 0.017]",turtlebot3_burger
0,12.274,[0.986],0.22,0.0,0.048,0.114,-6.171,-9.406,"[0.22, 0.0, 0.073]",turtlebot3_burger
0,12.778,[0.988],0.22,-0.0,0.045,0.141,-6.062,-9.392,"[0.22, 0.0, 0.03]",turtlebot3_burger
0,13.275,[1.016],0.22,-0.0,0.036,0.163,-5.954,-9.376,"[0.22, 0.0, 0.032]",turtlebot3_burger
0,13.772,[1.033],0.221,0.0,-0.035,0.169,-5.853,-9.358,"[0.22, 0.0, -0.049]",turtlebot3_burger
0,14.177,[1.053],0.22,0.0,-0.019,0.156,-5.759,-9.343,"[0.22, 0.0, -0.043]",turtlebot3_burger
0,14.674,[1.061],0.22,0.0,0.042,0.16,-5.657,-9.327,"[0.22, 0.0, 0.02]",turtlebot3_burger
0,15.174,[1.082],0.22,-0.0,0.055,0.165,-5.542,-9.308,"[0.22, 0.0, 0.042]",turtlebot3_burger
0,15.672,[1.1],0.221,0.0,-0.064,0.173,-5.433,-9.289,"[0.22, 0.0, -0.045]",turtlebot3_burger
0,16.075,[1.094],0.22,0.0,-0.006,0.213,-5.354,-9.275,"[0.22, 0.0, -0.107]",turtlebot3_burger
0,16.574,[1.126],0.22,0.0,0.047,0.253,-5.248,-9.251,"[0.22, 0.0, -0.114]",turtlebot3_burger
0,17.073,[1.165],0.225,0.0,0.044,0.289,-5.142,-9.224,"[0.22, 0.0, -0.162]",turtlebot3_burger
0,17.476,[1.179],0.217,-0.0,0.328,0.292,-5.05,-9.198,"[0.22, 0.0, 0.3]",turtlebot3_burger
0,17.973,[1.116],0.22,-0.0,-0.012,0.329,-4.946,-9.163,"[0.22, 0.0, -0.009]",turtlebot3_burger
0,18.373,[1.108],0.22,0.0,0.004,0.328,-4.863,-9.135,"[0.22, 0.0, 0.182]",turtlebot3_burger
0,18.775,[1.147],0.214,0.0,0.125,0.376,-4.781,-9.105,"[0.22, 0.0, 0.054]",turtlebot3_burger
0,19.175,[1.222],0.221,0.0,-0.122,0.366,-4.706,-9.075,"[0.22, 0.0, 0.269]",turtlebot3_burger
0,19.673,[1.313],0.22,-0.0,-0.013,0.413,-4.597,-9.03,"[0.22, 0.0, 0.013]",turtlebot3_burger
0,20.173,[1.242],0.22,0.0,-0.099,0.41,-4.497,-8.986,"[0.22, 0.0, -0.094]",turtlebot3_burger
0,20.672,[1.144],0.208,0.0,0.112,0.458,-4.397,-8.942,"[0.22, 0.0, -0.071]",turtlebot3_burger
0,21.074,[1.08],0.221,-0.0,-0.058,0.436,-4.319,-8.904,"[0.22, 0.0, -0.007]",turtlebot3_burger
0,21.475,[1.069],0.221,0.0,-0.048,0.432,-4.245,-8.87,"[0.22, 0.0, 0.34]",turtlebot3_burger
0,21.974,[1.192],0.221,0.0,-0.066,0.508,-4.148,-8.82,"[0.22, 0.0, -0.111]",turtlebot3_burger
0,22.473,[1.303],0.221,0.0,-0.099,0.454,-4.05,-8.768,"[0.22, 0.0, -0.116]",turtlebot3_burger
0,22.874,[1.317],0.221,0.0,-0.078,0.494,-3.966,-8.727,"[0.22, 0.0, -0.055]",turtlebot3_burger
0,23.275,[1.301],0.22,0.0,-0.046,0.475,-3.895,-8.689,"[0.22, 0.0, -0.042]",turtlebot3_burger
0,23.675,[1.267],0.21,0.0,0.214,0.468,-3.81,-8.647,"[0.22, 0.0, -0.005]",turtlebot3_burger
0,24.174,[1.216],0.219,0.0,0.033,0.484,-3.713,-8.596,"[0.22, 0.0, 0.062]",turtlebot3_burger
0,24.673,[1.3],0.22,0.0,0.014,0.505,-3.616,-8.544,"[0.22, 0.0, 0.007]",turtlebot3_burger
0,25.173,[1.314],0.219,-0.0,0.123,0.541,-3.521,-8.49,"[0.22, 0.0, 0.089]",turtlebot3_burger
0,25.573,[1.346],0.219,0.0,0.045,0.571,-3.447,-8.443,"[0.22, 0.0, 0.033]",turtlebot3_burger
0,25.974,[1.374],0.219,-0.0,0.006,0.584,-3.379,-8.399,"[0.22, 0.0, -0.012]",turtlebot3_burger
0,26.483,[1.406],0.22,0.0,-0.08,0.577,-3.287,-8.339,"[0.22, 0.0, -0.074]",turtlebot3_burger
0,26.974,[1.461],0.219,0.0,-0.016,0.542,-3.194,-8.281,"[0.22, 0.0, -0.036]",turtlebot3_burger
0,27.476,[1.498],0.22,0.0,-0.046,0.518,-3.093,-8.221,"[0.22, 0.0, -0.034]",turtlebot3_burger
0,27.973,[1.555],0.217,-0.0,0.288,0.508,-2.997,-8.168,"[0.22, 0.0, -0.036]",turtlebot3_burger
0,28.373,[1.603],0.219,0.0,-0.043,0.509,-2.927,-8.128,"[0.22, 0.0, -0.061]",turtlebot3_burger
0,28.774,[1.652],0.213,0.0,0.228,0.563,-2.851,-8.085,"[0.22, 0.0, -0.113]",turtlebot3_burger
0,29.273,[1.723],0.219,0.0,-0.083,0.521,-2.75,-8.024,"[0.22, 0.0, -0.095]",turtlebot3_burger
0,29.674,[1.785],0.22,0.0,-0.103,0.482,-2.679,-7.985,"[0.22, 0.0, 0.224]",turtlebot3_burger
0,30.074,[1.813],0.222,0.0,-0.165,0.494,-2.596,-7.94,"[0.22, 0.0, -0.141]",turtlebot3_burger
0,30.574,[1.782],0.208,0.0,0.031,0.516,-2.5,-7.89,"[0.22, 0.0, -0.213]",turtlebot3_burger
0,31.073,[1.734],0.218,-0.0,0.258,0.478,-2.403,-7.839,"[0.22, 0.0, -0.177]",turtlebot3_burger
0,31.474,[1.687],0.221,0.0,-0.27,0.421,-2.323,-7.799,"[0.22, 0.0, 0.197]",turtlebot3_burger
0,31.879,[1.645],0.219,0.0,-0.109,0.477,-2.251,-7.765,"[0.22, 0.0, -0.278]",turtlebot3_burger
0,32.374,[1.609],0.217,0.0,-0.077,0.502,-2.153,-7.717,"[0.22, 0.0, -0.321]",turtlebot3_burger
0,32.874,[1.558],0.217,-0.0,0.329,0.479,-2.048,-7.666,"[0.22, 0.0, 0.278]",turtlebot3_burger
0,33.381,[1.51],0.228,-0.0,0.055,0.445,-1.95,-7.613,"[0.22, 0.0, 0.263]",turtlebot3_burger
0,33.876,[1.457],0.208,0.0,-0.156,0.543,-1.855,-7.561,"[0.22, 0.0, -0.368]",turtlebot3_burger
0,34.373,[1.413],0.217,0.0,0.203,0.556,-1.768,-7.511,"[0.22, 0.0, -0.345]",turtlebot3_burger
0,34.773,[1.345],0.219,-0.0,0.154,0.529,-1.686,-7.461,"[0.22, 0.0, 0.15]",turtlebot3_burger
0,35.274,[1.305],0.22,-0.0,0.038,0.589,-1.594,-7.403,"[0.22, 0.0, -0.336]",turtlebot3_burger
0,35.676,[1.261],0.221,0.0,-0.026,0.538,-1.519,-7.356,"[0.22, 0.0, -0.023]",turtlebot3_burger
0,36.173,[1.209],0.22,0.0,-0.003,0.532,-1.431,-7.303,"[0.22, 0.0, -0.025]",turtlebot3_burger
0,36.574,[1.154],0.22,0.0,0.011,0.526,-1.355,-7.259,"[0.22, 0.0, 0.051]",turtlebot3_burger
0,37.081,[1.128],0.22,-0.0,0.02,0.54,-1.254,-7.199,"[0.22, 0.0, 0.022]",turtlebot3_burger
0,37.573,[1.07],0.22,-0.0,0.082,0.56,-1.161,-7.142,"[0.22, 0.0, 0.072]",turtlebot3_burger
0,38.074,[1.049],0.22,-0.0,0.068,0.595,-1.069,-7.082,"[0.22, 0.0, 0.031]",turtlebot3_burger
0,38.575,[0.947],0.221,-0.0,-0.052,0.578,-0.984,-7.025,"[0.22, 0.0, 0.017]",turtlebot3_burger
0,39.073,[0.836],0.223,0.0,-0.381,0.491,-0.884,-6.963,"[0.22, 0.0, -0.762]",turtlebot3_burger
0,39.474,[0.747],0.225,0.0,-0.904,0.207,-0.8,-6.931,"[0.22, 0.0, -0.35]",turtlebot3_burger
0,39.874,[0.715],0.216,0.0,-0.218,0.103,-0.719,-6.92,"[0.22, 0.0, -0.09]",turtlebot3_burger
0,40.278,[0.71],0.219,-0.0,0.164,0.086,-0.631,-6.914,"[0.22, 0.0, 0.142]",turtlebot3_burger
0,40.779,[0.446],0.219,0.0,0.049,0.154,-0.516,-6.899,"[0.22, 0.0, -0.036]",turtlebot3_burger
0,41.275,[0.402],0.22,0.0,-0.282,-0.026,-0.412,-6.889,"[0.22, 0.0, 0.446]",turtlebot3_burger
0,41.772,[0.464],0.215,-0.0,0.454,0.133,-0.304,-6.886,"[0.22, 0.0, 0.48]",turtlebot3_burger
0,42.174,[0.498],0.216,-0.0,0.483,0.343,-0.214,-6.864,"[0.22, 0.0, 0.443]",turtlebot3_burger
0,42.673,[0.584],0.216,-0.0,0.444,0.587,-0.118,-6.816,"[0.22, 0.0, 0.306]",turtlebot3_burger
0,43.074,[0.635],0.215,-0.0,0.544,0.764,-0.05,-6.763,"[0.22, 0.0, 0.546]",turtlebot3_burger
0,43.574,[0.697],0.216,-0.0,0.479,1.019,0.017,-6.679,"[0.22, 0.0, 0.488]",turtlebot3_burger
0,44.074,[0.755],0.215,0.0,0.424,1.239,0.063,-6.582,"[0.22, 0.0, 0.431]",turtlebot3_burger
0,44.572,[0.927],0.217,-0.0,0.427,1.443,0.086,-6.484,"[0.22, 0.0, 0.434]",turtlebot3_burger
0,44.973,[1.134],0.217,-0.0,0.322,1.623,0.089,-6.39,"[0.22, 0.0, 0.311]",turtlebot3_burger
0,45.375,[1.448],0.217,-0.0,0.276,1.755,0.079,-6.304,"[0.22, 0.0, 0.232]",turtlebot3_burger
0,45.873,[1.442],0.217,-0.0,0.259,1.882,0.052,-6.199,"[0.22, 0.0, 0.272]",turtlebot3_burger
0,46.279,[1.418],0.215,0.0,-0.189,1.976,0.021,-6.118,"[0.22, 0.0, -0.335]",turtlebot3_burger
0,46.774,[1.35],0.218,-0.0,0.202,1.936,-0.014,-6.021,"[0.22, 0.0, -0.345]",turtlebot3_burger
0,47.18,[1.319],0.215,0.0,-0.157,1.842,-0.044,-5.937,"[0.22, 0.0, 0.264]",turtlebot3_burger
0,47.673,[1.284],0.218,0.0,-0.266,1.918,-0.079,-5.828,"[0.22, 0.0, -0.394]",turtlebot3_burger
0,48.074,[1.261],0.218,-0.0,0.154,1.828,-0.102,-5.749,"[0.22, 0.0, 0.141]",turtlebot3_burger
0,48.478,[1.23],0.219,-0.0,0.16,1.893,-0.129,-5.659,"[0.22, 0.0, 0.163]",turtlebot3_burger
0,48.974,[1.2],0.216,-0.0,0.216,1.872,-0.163,-5.554,"[0.22, 0.0, 0.177]",turtlebot3_burger
0,49.374,[1.172],0.224,0.0,-0.366,1.881,-0.189,-5.478,"[0.22, 0.0, 0.126]",turtlebot3_burger
0,49.779,[1.139],0.218,-0.0,0.229,1.894,-0.214,-5.394,"[0.22, 0.0, 0.213]",turtlebot3_burger
0,50.275,[1.096],0.219,-0.0,0.131,1.887,-0.253,-5.284,"[0.22, 0.0, 0.324]",turtlebot3_burger
0,50.676,[1.072],0.221,0.0,-0.07,1.979,-0.282,-5.209,"[0.22, 0.0, -0.317]",turtlebot3_burger
0,51.178,[1.03],0.218,-0.0,0.21,1.968,-0.322,-5.107,"[0.22, 0.0, -0.256]",turtlebot3_burger
0,51.675,[0.98],0.218,-0.0,0.241,1.974,-0.363,-5.005,"[0.22, 0.0, 0.25]",turtlebot3_burger
0,52.174,[0.951],0.22,-0.0,0.13,1.963,-0.411,-4.899,"[0.22, 0.0, 0.245]",turtlebot3_burger
0,52.674,[0.95],0.223,0.0,-0.317,1.993,-0.457,-4.8,"[0.22, 0.0, 0.216]",turtlebot3_burger
0,53.175,[0.938],0.226,0.0,-0.24,2.042,-0.503,-4.701,"[0.22, 0.0, -0.322]",turtlebot3_burger
0,53.674,[0.937],0.225,0.0,0.069,2.081,-0.548,-4.609,"[0.22, 0.0, -0.313]",turtlebot3_burger
0,54.173,[0.943],0.223,-0.0,0.2,2.083,-0.599,-4.511,"[0.22, 0.0, -0.23]",turtlebot3_burger
0,54.574,[0.966],0.218,-0.0,0.367,2.035,-0.644,-4.426,"[0.22, 0.0, 0.391]",turtlebot3_burger
0,55.074,[0.978],0.222,0.0,-0.211,2.085,-0.699,-4.332,"[0.22, 0.0, -0.217]",turtlebot3_burger
0,55.575,[1.042],0.216,-0.0,0.365,2.121,-0.751,-4.235,"[0.22, 0.0, -0.182]",turtlebot3_burger
0,56.074,[1.084],0.222,0.0,-0.23,2.079,-0.804,-4.149,"[0.22, 0.0, 0.295]",turtlebot3_burger
0,56.574,[1.121],0.22,0.0,-0.214,2.077,-0.858,-4.054,"[0.22, 0.0, 0.276]",turtlebot3_burger
0,57.074,[1.204],0.221,0.0,-0.226,2.143,-0.915,-3.959,"[0.22, 0.0, -0.212]",turtlebot3_burger
0,57.573,[1.265],0.207,0.0,0.125,2.139,-0.971,-3.865,"[0.22, 0.0, -0.219]",turtlebot3_burger
0,58.072,[1.327],0.217,-0.0,0.271,2.087,-1.03,-3.765,"[0.22, 0.0, 0.272]",turtlebot3_burger
0,58.477,[1.385],0.222,0.0,-0.232,2.138,-1.073,-3.697,"[0.22, 0.0, -0.211]",turtlebot3_burger
0,58.979,[1.472],0.22,0.0,-0.196,2.129,-1.135,-3.597,"[0.22, 0.0, -0.211]",turtlebot3_burger
0,59.473,[1.558],0.221,0.0,-0.19,2.132,-1.193,-3.503,"[0.22, 0.0, -0.202]",turtlebot3_burger
0,59.973,[1.644],0.221,0.0,-0.188,2.133,-1.25,-3.411,"[0.22, 0.0, 0.122]",turtlebot3_burger
0,60.374,[1.711],0.219,0.0,-0.159,2.14,-1.294,-3.343,"[0.22, 0.0, -0.178]",turtlebot3_burger
0,60.878,[1.729],0.209,0.0,0.015,2.164,-1.352,-3.25,"[0.22, 0.0, -0.178]",turtlebot3_burger
0,61.378,[1.678],0.22,0.0,-0.143,2.154,-1.415,-3.152,"[0.22, 0.0, -0.171]",turtlebot3_burger
0,61.875,[1.632],0.221,0.0,-0.172,2.149,-1.475,-3.061,"[0.22, 0.0, -0.152]",turtlebot3_burger
0,62.373,[1.607],0.221,0.0,-0.138,2.172,-1.535,-2.969,"[0.22, 0.0, -0.17]",turtlebot3_burger
0,62.774,[1.576],0.217,-0.0,0.223,2.139,-1.579,-2.902,"[0.22, 0.0, 0.229]",turtlebot3_burger
0,63.273,[1.542],0.218,-0.0,0.192,2.144,-1.643,-2.804,"[0.22, 0.0, 0.233]",turtlebot3_burger
0,63.773,[1.503],0.217,-0.0,0.251,2.169,-1.704,-2.713,"[0.22, 0.0, -0.131]",turtlebot3_burger
0,64.175,[1.492],0.218,0.0,0.173,2.14,-1.753,-2.64,"[0.22, 0.0, 0.217]",turtlebot3_burger
0,64.673,[1.48],0.221,0.0,-0.13,2.16,-1.815,-2.549,"[0.22, 0.0, -0.127]",turtlebot3_burger
0,65.074,[1.475],0.208,0.0,0.028,2.191,-1.864,-2.477,"[0.22, 0.0, -0.144]",turtlebot3_burger
0,65.573,[1.458],0.217,0.0,0.254,2.177,-1.925,-2.387,"[0.22, 0.0, -0.117]",turtlebot3_burger
0,65.973,[1.468],0.217,0.0,-0.029,2.149,-1.971,-2.32,"[0.22, 0.0, 0.293]",turtlebot3_burger
0,66.374,[1.463],0.222,0.0,-0.142,2.2,-2.021,-2.249,"[0.22, 0.0, -0.125]",turtlebot3_burger
0,66.873,[1.48],0.217,-0.0,0.267,2.194,-2.087,-2.152,"[0.22, 0.0, -0.073]",turtlebot3_burger
0,67.374,[1.499],0.221,0.0,-0.123,2.177,-2.147,-2.07,"[0.22, 0.0, -0.11]",turtlebot3_burger
0,67.874,[1.528],0.216,0.0,-0.073,2.157,-2.209,-1.979,"[0.22, 0.0, 0.326]",turtlebot3_burger
0,68.374,[1.561],0.215,0.0,0.224,2.18,-2.271,-1.89,"[0.22, 0.0, -0.145]",turtlebot3_burger
0,68.774,[1.613],0.213,0.0,0.024,2.157,-2.321,-1.818,"[0.22, 0.0, 0.178]",turtlebot3_burger
0,69.174,[1.624],0.222,0.0,-0.202,2.172,-2.375,-1.741,"[0.22, 0.0, -0.185]",turtlebot3_burger
0,69.674,[1.419],0.226,0.0,-0.099,2.213,-2.438,-1.65,"[0.22, 0.0, -0.191]",turtlebot3_burger
0,70.173,[1.117],0.217,-0.0,0.2,2.179,-2.5,-1.56,"[0.22, 0.0, 0.194]",turtlebot3_burger
0,70.674,[0.962],0.223,0.0,-0.181,2.154,-2.559,-1.476,"[0.22, 0.0, -0.03]",turtlebot3_burger
0,71.174,[0.896],0.216,-0.0,0.067,2.116,-2.618,-1.382,"[0.22, 0.0, 0.126]",turtlebot3_burger
0,71.673,[0.862],0.218,-0.0,0.006,2.178,-2.677,-1.291,"[0.22, 0.0, -0.04]",turtlebot3_burger
0,72.174,[0.844],0.217,-0.0,0.212,2.198,-2.743,-1.195,"[0.22, 0.0, -0.283]",turtlebot3_burger
0,72.676,[0.852],0.217,-0.0,0.304,2.22,-2.806,-1.106,"[0.22, 0.0, -0.227]",turtlebot3_burger
0,73.174,[0.875],0.216,-0.0,0.421,2.159,-2.87,-1.016,"[0.22, 0.0, 0.364]",turtlebot3_burger
0,73.673,[0.902],0.217,-0.0,0.271,2.187,-2.933,-0.926,"[0.22, 0.0, 0.217]",turtlebot3_burger
0,74.174,[0.934],0.218,-0.0,0.23,2.182,-2.998,-0.837,"[0.22, 0.0, 0.223]",turtlebot3_burger
0,74.679,[1.111],0.219,-0.0,0.159,2.18,-3.062,-0.747,"[0.22, 0.0, 0.183]",turtlebot3_burger
0,75.173,[1.355],0.221,0.0,-0.104,2.207,-3.123,-0.665,"[0.22, 0.0, -0.138]",turtlebot3_burger
0,75.574,[1.506],0.218,-0.0,0.215,2.217,-3.174,-0.594,"[0.22, 0.0, -0.087]",turtlebot3_burger
0,75.974,[1.569],0.219,0.0,-0.062,2.202,-3.232,-0.519,"[0.22, 0.0, 0.133]",turtlebot3_burger
0,76.472,[1.644],0.218,-0.0,0.198,2.215,-3.296,-0.43,"[0.22, 0.0, -0.123]",turtlebot3_burger
0,76.874,[1.847],0.218,0.0,0.192,2.215,-3.348,-0.36,"[0.22, 0.0, 0.213]",turtlebot3_burger
0,77.385,[1.903],0.223,0.0,0.085,2.2,-3.415,-0.273,"[0.22, 0.0, 0.161]",turtlebot3_burger
0,77.874,[1.817],0.219,0.0,-0.164,2.234,-3.478,-0.192,"[0.22, 0.0, -0.195]",turtlebot3_burger
0,78.274,[1.761],0.218,0.0,0.162,2.228,-3.535,-0.116,"[0.22, 0.0, 0.178]",turtlebot3_burger
0,78.774,[1.698],0.224,-0.0,0.085,2.199,-3.603,-0.028,"[0.22, 0.0, 0.24]",turtlebot3_burger
0,79.275,[1.613],0.227,-0.0,0.021,2.175,-3.664,0.054,"[0.22, 0.0, 0.223]",turtlebot3_burger
0,79.676,[1.578],0.222,0.0,-0.203,2.205,-3.72,0.131,"[0.22, 0.0, -0.208]",turtlebot3_burger
0,80.173,[1.536],0.222,0.0,-0.191,2.156,-3.779,0.216,"[0.22, 0.0, -0.178]",turtlebot3_burger
0,80.576,[1.475],0.221,-0.0,-0.185,2.12,-3.826,0.291,"[0.22, 0.0, -0.168]",turtlebot3_burger
0,81.074,[1.387],0.216,0.0,-0.096,2.066,-3.881,0.387,"[0.22, 0.0, 0.183]",turtlebot3_burger
0,81.475,[1.373],0.225,0.0,-0.135,2.12,-3.929,0.469,"[0.22, 0.0, -0.214]",turtlebot3_burger
0,81.973,[1.315],0.222,-0.0,-0.172,2.03,-3.979,0.559,"[0.22, 0.0, 0.129]",turtlebot3_burger
0,82.374,[1.293],0.222,0.0,-0.171,2.018,-4.021,0.645,"[0.22, 0.0, -0.174]",turtlebot3_burger
0,82.774,[1.248],0.219,-0.0,0.155,1.971,-4.056,0.725,"[0.22, 0.0, -0.109]",turtlebot3_burger
0,83.274,[1.215],0.222,0.0,-0.104,1.949,-4.098,0.827,"[0.22, 0.0, -0.168]",turtlebot3_burger
0,83.773,[1.176],0.219,-0.0,0.24,1.928,-4.135,0.93,"[0.22, 0.0, -0.122]",turtlebot3_burger
0,84.173,[1.168],0.222,0.0,-0.22,1.891,-4.166,1.012,"[0.22, 0.0, -0.162]",turtlebot3_burger
0,84.576,[1.131],0.221,0.0,-0.152,1.833,-4.189,1.09,"[0.22, 0.0, 0.231]",turtlebot3_burger
0,85.073,[1.13],0.222,0.0,-0.168,1.807,-4.217,1.196,"[0.22, 0.0, 0.28]",turtlebot3_burger
0,85.476,[1.119],0.222,0.0,-0.228,1.851,-4.239,1.281,"[0.22, 0.0, -0.232]",turtlebot3_burger
0,85.973,[1.108],0.208,-0.0,0.201,1.757,-4.264,1.389,"[0.22, 0.0, 0.384]",turtlebot3_burger
0,86.374,[1.126],0.222,0.0,-0.218,1.799,-4.286,1.479,"[0.22, 0.0, -0.218]",turtlebot3_burger
0,86.872,[1.119],0.226,0.0,0.096,1.819,-4.307,1.58,"[0.22, 0.0, -0.202]",turtlebot3_burger
0,87.273,[1.14],0.21,0.0,0.234,1.754,-4.327,1.673,"[0.22, 0.0, 0.404]",turtlebot3_burger
0,87.674,[1.156],0.222,0.0,-0.197,1.765,-4.345,1.758,"[0.22, 0.0, -0.175]",turtlebot3_burger
0,88.175,[1.191],0.221,0.0,-0.155,1.802,-4.367,1.864,"[0.22, 0.0, -0.181]",turtlebot3_burger
0,88.577,[1.209],0.217,-0.0,0.285,1.759,-4.384,1.95,"[0.22, 0.0, 0.34]",turtlebot3_burger
0,89.075,[1.232],0.221,0.0,-0.114,1.767,-4.408,2.058,"[0.22, 0.0, -0.123]",turtlebot3_burger
0,89.577,[1.275],0.221,0.0,-0.088,1.759,-4.428,2.165,"[0.22, 0.0, -0.119]",turtlebot3_burger
0,90.073,[1.292],0.221,0.0,-0.098,1.787,-4.448,2.273,"[0.22, 0.0, -0.123]",turtlebot3_burger
0,90.473,[1.319],0.221,0.0,-0.123,1.739,-4.464,2.353,"[0.22, 0.0, -0.132]",turtlebot3_burger
0,90.873,[1.334],0.209,0.0,0.055,1.758,-4.479,2.445,"[0.22, 0.0, -0.153]",turtlebot3_burger
0,91.274,[1.363],0.224,-0.0,0.13,1.71,-4.492,2.525,"[0.22, 0.0, 0.298]",turtlebot3_burger
0,91.774,[1.382],0.222,0.0,-0.192,1.757,-4.513,2.633,"[0.22, 0.0, -0.172]",turtlebot3_burger
0,92.273,[1.406],0.207,0.0,0.042,1.747,-4.53,2.741,"[0.22, 0.0, -0.157]",turtlebot3_burger
0,92.677,[1.434],0.217,-0.0,0.291,1.754,-4.546,2.834,"[0.22, 0.0, -0.119]",turtlebot3_burger
0,93.176,[1.485],0.22,0.0,-0.099,1.72,-4.565,2.941,"[0.22, 0.0, 0.226]",turtlebot3_burger
0,93.673,[1.538],0.22,0.0,-0.122,1.746,-4.583,3.042,"[0.22, 0.0, -0.118]",turtlebot3_burger
0,94.075,[1.562],0.218,-0.0,0.269,1.745,-4.598,3.136,"[0.22, 0.0, -0.08]",turtlebot3_burger
0,94.573,[1.623],0.221,0.0,-0.113,1.725,-4.616,3.236,"[0.22, 0.0, 0.23]",turtlebot3_burger
0,94.973,[1.622],0.221,0.0,-0.132,1.757,-4.633,3.33,"[0.22, 0.0, -0.111]",turtlebot3_burger
0,95.373,[1.603],0.211,0.0,0.126,1.724,-4.647,3.416,"[0.22, 0.0, 0.273]",turtlebot3_burger
0,95.87,[1.59],0.222,0.0,-0.173,1.721,-4.666,3.523,"[0.22, 0.0, 0.232]",turtlebot3_burger
0,96.273,[1.581],0.222,0.0,-0.175,1.743,-4.681,3.61,"[0.22, 0.0, -0.165]",turtlebot3_burger
0,96.675,[1.579],0.219,0.0,-0.078,1.762,-4.694,3.69,"[0.22, 0.0, -0.187]",turtlebot3_burger
0,97.172,[1.552],0.218,-0.0,0.296,1.738,-4.713,3.806,"[0.22, 0.0, -0.131]",turtlebot3_burger
0,97.574,[1.555],0.215,-0.0,0.149,1.711,-4.726,3.886,"[0.22, 0.0, 0.294]",turtlebot3_burger
0,98.074,[1.534],0.215,-0.0,0.146,1.716,-4.744,3.995,"[0.22, 0.0, 0.292]",turtlebot3_burger
0,98.477,[1.524],0.222,0.0,-0.228,1.718,-4.76,4.088,"[0.22, 0.0, 0.226]",turtlebot3_burger
0,98.973,[1.494],0.222,0.0,-0.261,1.713,-4.778,4.196,"[0.22, 0.0, 0.228]",turtlebot3_burger
0,99.374,[1.491],0.22,0.0,-0.263,1.735,-4.792,4.282,"[0.22, 0.0, -0.28]",turtlebot3_burger
