episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.4,[1.103],0,0,0,0,0,0,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,0.8,[1.098],-0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.304,[1.096],-0.0,0.0,0.0,0.0,-3.71,9.21,"[0.22, 0.0, -1.585]",turtlebot3_burger
0,1.802,[1.095],0.2,0.001,-1.322,-0.224,-3.656,9.206,"[0.22, 0.0, -1.643]",turtlebot3_burger
0,2.203,[1.122],0.231,0.001,-1.35,-0.804,-3.581,9.163,"[0.22, 0.0, -1.248]",turtlebot3_burger
0,2.703,[1.21],0.228,0.0,-0.901,-1.341,-3.53,9.065,"[0.22, 0.0, -0.696]",turtlebot3_burger
0,3.203,[1.248],0.224,0.0,-0.412,-1.583,-3.52,8.959,"[0.22, 0.0, -0.285]",turtlebot3_burger
0,3.605,[1.256],0.222,0.0,-0.262,-1.692,-3.526,8.87,"[0.22, 0.0, 0.044]",turtlebot3_burger
0,4.103,[1.254],0.222,0.0,-0.221,-1.7,-3.538,8.763,"[0.22, 0.0, 0.012]",turtlebot3_burger
0,4.503,[1.272],0.219,0.0,0.049,-1.686,-3.549,8.676,"[0.22, 0.0, -0.047]",turtlebot3_burger
0,4.903,[1.275],0.218,-0.0,0.174,-1.664,-3.559,8.589,"[0.22, 0.0, -0.148]",turtlebot3_burger
0,5.403,[1.252],0.218,-0.0,0.123,-1.68,-3.57,8.481,"[0.22, 0.0, 0.178]",turtlebot3_burger
0,5.903,[1.211],0.221,0.0,-0.183,-1.67,-3.579,8.373,"[0.22, 0.0, 0.275]",turtlebot3_burger
0,6.307,[1.191],0.22,0.0,-0.143,-1.642,-3.585,8.278,"[0.22, 0.0, -0.177]",turtlebot3_burger
0,6.801,[1.153],0.209,0.0,-0.004,-1.627,-3.594,8.177,"[0.22, 0.0, -0.164]",turtlebot3_burger
0,7.204,[1.136],0.213,-0.0,0.214,-1.636,-3.6,8.09,"[0.22, 0.0, -0.25]",turtlebot3_burger
0,7.702,[1.117],0.214,0.0,0.171,-1.67,-3.61,7.981,"[0.22, 0.0, 0.267]",turtlebot3_burger
0,8.102,[1.116],0.223,0.0,-0.262,-1.646,-3.615,7.894,"[0.22, 0.0, 0.139]",turtlebot3_burger
0,8.602,[1.119],0.223,0.0,-0.021,-1.613,-3.623,7.792,"[0.22, 0.0, -0.235]",turtlebot3_burger
0,9.002,[1.124],0.218,-0.0,0.318,-1.628,-3.63,7.697,"[0.22, 0.0, 0.412]",turtlebot3_burger
0,9.508,[1.14],0.223,0.0,-0.25,-1.635,-3.633,7.589,"[0.22, 0.0, 0.28]",turtlebot3_burger
0,10.002,[1.157],0.225,0.0,-0.241,-1.587,-3.638,7.479,"[0.22, 0.0, -0.204]",turtlebot3_burger
0,10.403,[1.206],0.217,-0.0,0.365,-1.587,-3.642,7.391,"[0.22, 0.0, -0.196]",turtlebot3_burger
0,10.902,[1.256],0.213,-0.0,0.266,-1.642,-3.646,7.28,"[0.22, 0.0, 0.435]",turtlebot3_burger
0,11.302,[1.307],0.223,0.0,-0.304,-1.632,-3.649,7.195,"[0.22, 0.0, 0.305]",turtlebot3_burger
0,11.707,[1.35],0.222,0.0,-0.239,-1.572,-3.653,7.109,"[0.22, 0.0, -0.284]",turtlebot3_burger
0,12.203,[1.401],0.216,-0.0,0.455,-1.595,-3.658,7.006,"[0.22, 0.0, -0.251]",turtlebot3_burger
0,12.701,[1.37],0.217,-0.0,0.364,-1.639,-3.661,6.887,"[0.22, 0.0, 0.473]",turtlebot3_burger
0,13.102,[1.356],0.223,0.0,-0.31,-1.627,-3.664,6.801,"[0.22, 0.0, 0.303]",turtlebot3_burger
0,13.502,[1.319],0.217,0.0,-0.297,-1.595,-3.666,6.715,"[0.22, 0.0, -0.371]",turtlebot3_burger
0,14.002,[1.288],0.209,0.0,-0.195,-1.532,-3.669,6.607,"[0.22, 0.0, -0.401]",turtlebot3_burger
0,14.403,[1.242],0.218,-0.0,0.328,-1.638,-3.672,6.519,"[0.22, 0.0, 0.379]",turtlebot3_burger
0,14.803,[1.223],0.223,0.0,-0.418,-1.571,-3.672,6.43,"[0.22, 0.0, -0.398]",turtlebot3_burger
0,15.3,[1.186],0.221,0.0,-0.415,-1.604,-3.675,6.319,"[0.22, 0.0, 0.234]",turtlebot3_burger
0,15.703,[1.191],0.223,0.0,-0.417,-1.614,-3.678,6.23,"[0.22, 0.0, 0.263]",turtlebot3_burger
0,16.103,[1.192],0.226,-0.0,0.014,-1.555,-3.681,6.15,"[0.22, 0.0, -0.396]",turtlebot3_burger
