episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.471,[1.201],-0.001,0.0,0.002,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",youbot
0,0.971,[1.201],-0.0,0.0,0.003,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",youbot
0,1.373,[1.175],0.288,-0.285,0.319,0.063,-8.475,-9.232,"[0.8, -0.8, 1.2]",youbot
0,1.875,[1.105],0.294,-0.302,0.229,0.194,-8.311,-9.363,"[0.8, -0.8, 1.147]",youbot
0,2.371,[1.045],0.306,-0.313,0.164,0.297,-8.119,-9.482,"[0.8, -0.775, 1.2]",youbot
0,2.772,[1.016],0.305,-0.304,0.188,0.374,-7.964,-9.56,"[0.8, -0.733, 1.2]",youbot
0,3.174,[1.047],0.346,-0.279,0.348,0.483,-7.796,-9.613,"[0.8, -0.666, 1.2]",youbot
0,3.672,[1.221],0.336,-0.301,0.397,0.665,-7.583,-9.641,"[0.8, -0.732, 1.2]",youbot
0,4.171,[1.482],0.318,-0.32,0.293,0.887,-7.35,-9.633,"[0.8, -0.777, 1.2]",youbot
0,4.572,[1.801],0.312,-0.326,0.171,0.987,-7.174,-9.607,"[0.8, -0.789, 1.2]",youbot
0,4.973,[1.641],0.309,-0.327,0.217,1.077,-6.999,-9.568,"[0.8, -0.794, 1.2]",youbot
0,5.374,[1.489],0.301,-0.328,0.276,1.184,-6.829,-9.514,"[0.8, 0.547, -1.2]",youbot
0,5.774,[1.354],0.443,0.05,0.036,1.253,-6.712,-9.389,"[0.8, 0.576, -1.2]",youbot
0,6.274,[1.171],0.405,0.195,-0.538,1.126,-6.739,-9.175,"[0.8, 0.294, -1.188]",youbot
0,6.674,[1.182],0.432,0.035,-0.352,0.944,-6.694,-9.012,"[0.8, 0.02, -0.718]",youbot
0,7.172,[0.987],0.415,-0.126,-0.455,0.81,-6.527,-8.849,"[0.597, -0.189, -1.2]",youbot
0,7.575,[0.796],0.181,-0.193,-0.884,0.509,-6.388,-8.813,"[-0.8, -0.175, -1.2]",youbot
0,8.072,[0.819],0.087,-0.17,-0.69,0.105,-6.407,-8.921,"[0.8, 0.273, 0.976]",youbot
0,8.474,[0.654],0.386,0.264,0.315,0.107,-6.254,-8.868,"[-0.502, 0.8, 1.2]",youbot
0,8.974,[0.679],-0.234,0.305,0.474,0.34,-6.257,-8.709,"[0.088, -0.716, -1.2]",youbot
0,9.471,[0.822],-0.322,-0.14,-0.683,0.326,-6.355,-8.729,"[-0.8, -0.616, -1.2]",youbot
0,9.883,[0.953],-0.101,-0.225,-0.614,0.091,-6.45,-8.861,"[0.8, -0.209, -0.041]",youbot
0,10.372,[0.925],0.409,0.027,0.168,-0.053,-6.389,-8.864,"[0.8, -0.263, 0.675]",youbot
0,10.773,[0.785],0.433,0.036,0.493,0.089,-6.215,-8.887,"[0.615, 0.458, 1.001]",youbot
0,11.173,[0.747],0.218,0.409,0.321,0.247,-6.116,-8.756,"[0.8, -0.249, 0.036]",youbot
0,11.574,[0.773],0.444,-0.094,0.11,0.361,-5.987,-8.638,"[0.8, -0.478, -0.525]",youbot
0,11.975,[0.772],0.462,-0.128,-0.11,0.371,-5.82,-8.644,"[0.8, 0.048, 0.049]",youbot
0,12.474,[0.772],0.448,0.051,0.267,0.421,-5.616,-8.536,"[0.769, 0.432, 1.2]",youbot
0,12.875,[0.732],0.259,0.093,0.361,0.568,-5.512,-8.418,"[-0.8, -0.8, -1.2]",youbot
0,13.372,[0.704],-0.308,-0.32,-0.213,0.534,-5.494,-8.52,"[-0.8, -0.8, -1.2]",youbot
0,13.872,[0.703],-0.385,-0.266,-0.322,0.402,-5.591,-8.737,"[0.8, -0.003, 1.2]",youbot
0,14.275,[0.755],0.22,-0.21,-0.176,0.256,-5.603,-8.885,"[0.061, 0.465, 1.2]",youbot
