episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.4,[1.111],0.001,0.001,-0.006,-0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",youbot
0,0.8,[1.111],-0.001,-0.0,-0.006,-0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",youbot
0,1.203,[1.169],-0.387,-0.173,-0.459,-0.073,-3.766,9.178,"[-0.8, -0.102, -1.2]",youbot
0,1.701,[1.314],-0.419,0.007,-0.54,-0.33,-3.979,9.179,"[-0.8, 0.307, -1.2]",youbot
0,2.102,[1.361],-0.392,0.181,-0.485,-0.524,-4.107,9.295,"[-0.8, 0.622, -1.2]",youbot
0,2.51,[1.372],-0.346,0.274,-0.442,-0.681,-4.158,9.449,"[-0.8, 0.528, -1.2]",youbot
0,3.002,[1.518],-0.007,0.161,-0.642,-0.945,-4.159,9.624,"[0.8, 0.763, -1.2]",youbot
0,3.502,[1.52],0.309,0.328,-0.223,-1.072,-3.976,9.554,"[0.8, 0.779, -1.2]",youbot
0,3.903,[1.446],0.309,0.313,-0.346,-1.176,-3.807,9.499,"[0.8, 0.735, -1.2]",youbot
0,4.402,[1.29],0.288,0.327,-0.323,-1.334,-3.608,9.408,"[0.8, 0.8, -1.2]",youbot
0,4.806,[1.18],0.288,0.33,-0.306,-1.463,-3.461,9.316,"[0.8, 0.8, -1.2]",youbot
0,5.302,[1.057],0.284,0.329,-0.294,-1.604,-3.301,9.184,"[0.8, 0.8, -1.2]",youbot
0,5.702,[0.976],0.284,0.338,-0.267,-1.716,-3.173,9.052,"[0.8, 0.8, -1.2]",youbot
0,6.103,[1.076],0.295,0.329,-0.217,-1.811,-3.064,8.913,"[0.8, 0.8, -1.2]",youbot
0,6.603,[0.915],0.304,0.316,-0.162,-1.901,-2.953,8.723,"[0.8, 0.8, -1.2]",youbot
0,7.103,[1.095],0.303,0.311,-0.183,-1.996,-2.866,8.534,"[0.8, 0.8, -1.2]",youbot
0,7.503,[0.968],0.313,0.313,-0.237,-2.093,-2.805,8.351,"[0.8, 0.8, -1.2]",youbot
0,7.906,[0.893],0.321,0.314,-0.286,-2.191,-2.769,8.185,"[0.8, 0.8, -1.2]",youbot
0,8.403,[1.659],0.317,0.321,-0.451,-2.383,-2.754,7.962,"[0.8, 0.8, -1.2]",youbot
0,8.803,[1.527],0.305,0.326,-0.25,-2.509,-2.768,7.783,"[0.8, 0.799, -1.2]",youbot
0,9.302,[1.376],0.418,0.21,-0.236,-2.619,-2.819,7.565,"[0.8, -0.8, 1.2]",youbot
0,9.703,[1.513],0.388,-0.292,0.233,-2.614,-2.979,7.497,"[0.8, -0.8, 1.2]",youbot
0,10.103,[1.456],0.321,-0.313,0.284,-2.522,-3.149,7.531,"[0.8, -0.8, 1.2]",youbot
0,10.602,[1.299],0.318,-0.325,0.416,-2.317,-3.39,7.546,"[0.8, -0.8, 1.2]",youbot
0,11.002,[1.184],0.306,-0.327,0.241,-2.203,-3.56,7.533,"[0.8, -0.8, 1.2]",youbot
0,11.502,[1.314],0.306,-0.331,0.194,-2.109,-3.782,7.495,"[0.8, -0.8, 1.2]",youbot
0,12.002,[1.802],0.303,-0.328,0.256,-1.996,-3.998,7.437,"[0.8, -0.787, 1.2]",youbot
0,12.403,[1.993],0.295,-0.328,0.295,-1.874,-4.171,7.369,"[0.8, -0.8, 1.2]",youbot
0,12.903,[2.074],0.289,-0.32,0.32,-1.72,-4.353,7.268,"[0.8, -0.74, 1.2]",youbot
0,13.402,[2.132],0.314,-0.288,0.286,-1.56,-4.514,7.127,"[0.8, -0.66, 1.2]",youbot
0,13.903,[2.175],0.313,-0.286,0.261,-1.429,-4.642,6.959,"[0.8, -0.667, 1.2]",youbot
0,14.303,[2.202],0.331,-0.273,0.264,-1.329,-4.727,6.812,"[0.8, -0.628, 1.2]",youbot
0,14.705,[2.211],0.357,-0.227,0.381,-1.213,-4.787,6.657,"[0.8, 0.8, -1.2]",youbot
0,15.202,[2.076],0.343,0.307,-0.115,-1.136,-4.675,6.468,"[0.8, 0.713, -1.2]",youbot
0,15.606,[1.933],0.319,0.32,-0.184,-1.227,-4.509,6.397,"[0.8, 0.761, -1.2]",youbot
0,16.113,[1.781],0.307,0.312,-0.378,-1.383,-4.315,6.292,"[0.8, 0.76, -1.2]",youbot
0,16.602,[1.661],0.306,0.315,-0.391,-1.557,-4.15,6.163,"[0.8, 0.784, -1.2]",youbot
0,17.009,[1.603],0.29,0.3,-0.246,-1.711,-4.03,6.027,"[0.8, 0.8, -1.2]",youbot
0,17.51,[1.543],0.305,0.316,-0.161,-1.827,-3.902,5.844,"[0.8, 0.8, -1.2]",youbot
0,18.002,[1.497],0.304,0.31,-0.182,-1.915,-3.801,5.661,"[0.8, 0.774, -1.2]",youbot
0,18.407,[1.939],0.322,0.297,-0.239,-2.007,-3.731,5.492,"[0.8, 0.79, -1.2]",youbot
0,18.903,[1.775],0.348,0.284,-0.405,-2.152,-3.682,5.285,"[0.8, -0.8, 1.2]",youbot
0,19.309,[1.61],0.47,-0.101,-0.083,-2.267,-3.74,5.121,"[0.8, -0.697, 1.2]",youbot
0,19.802,[1.447],0.336,-0.291,0.378,-2.165,-3.959,5.059,"[0.8, -0.583, 1.2]",youbot
0,20.203,[1.315],0.394,-0.136,0.438,-2.003,-4.111,4.985,"[0.8, -0.378, 1.2]",youbot
0,20.702,[1.12],0.409,-0.119,0.419,-1.783,-4.241,4.823,"[0.8, -0.314, 1.2]",youbot
0,21.11,[0.965],0.419,-0.102,0.492,-1.602,-4.31,4.67,"[0.8, -0.104, 1.2]",youbot
0,21.603,[0.816],0.367,-0.244,0.376,-1.338,-4.335,4.456,"[0.8, -0.637, 1.2]",youbot
0,22.101,[0.682],0.411,-0.123,0.558,-1.149,-4.377,4.26,"[0.8, -0.347, 1.2]",youbot
0,22.507,[0.698],0.43,-0.019,0.405,-0.932,-4.348,4.081,"[0.8, 0.763, -1.2]",youbot
0,23.003,[1.555],0.324,0.335,-0.13,-0.877,-4.138,4.012,"[0.8, 0.8, -1.2]",youbot
0,23.503,[1.347],0.308,0.331,-0.129,-0.969,-3.913,3.988,"[0.8, 0.8, -1.2]",youbot
0,24.002,[1.141],0.307,0.33,-0.187,-1.052,-3.701,3.947,"[0.8, 0.8, -1.2]",youbot
0,24.403,[0.982],0.306,0.324,-0.275,-1.154,-3.52,3.895,"[0.8, 0.566, -1.2]",youbot
0,24.803,[0.851],0.372,0.185,-0.429,-1.298,-3.376,3.801,"[0.8, 0.455, -1.2]",youbot
0,25.303,[0.746],0.132,0.266,-0.754,-1.528,-3.225,3.671,"[-0.8, -0.8, -1.2]",youbot
0,25.804,[0.909],-0.359,-0.143,-0.664,-1.968,-3.194,3.751,"[-0.8, 0.8, -1.2]",youbot
0,26.207,[0.995],-0.215,0.321,-0.601,-2.207,-3.086,3.843,"[0.8, 0.8, -1.2]",youbot
0,26.703,[1.175],0.34,0.299,-0.246,-2.424,-3.009,3.684,"[0.8, -0.8, 1.2]",youbot
0,27.2,[1.352],0.345,-0.274,0.268,-2.453,-3.159,3.553,"[0.8, -0.8, 1.2]",youbot
0,27.602,[1.198],0.319,-0.327,0.352,-2.325,-3.339,3.558,"[0.8, -0.8, 1.2]",youbot
0,28.102,[1.008],0.305,-0.326,0.208,-2.188,-3.563,3.54,"[0.8, -0.8, 1.2]",youbot
0,28.607,[0.815],0.306,-0.332,0.191,-2.099,-3.784,3.5,"[0.8, -0.776, 1.2]",youbot
0,29.106,[0.664],0.304,-0.337,0.231,-1.964,-3.986,3.435,"[0.8, -0.8, 0.279]",youbot
0,29.602,[0.957],0.309,-0.337,0.206,-1.883,-4.205,3.342,"[0.8, -0.8, 1.2]",youbot
0,30.003,[1.977],0.287,-0.326,0.335,-1.769,-4.354,3.265,"[0.8, -0.8, 1.2]",youbot
0,30.41,[2.061],0.296,-0.312,0.247,-1.639,-4.502,3.163,"[0.8, -0.759, 1.2]",youbot
0,30.907,[2.096],0.299,-0.289,0.265,-1.512,-4.646,3.019,"[0.8, -0.7, 1.2]",youbot
0,31.403,[1.984],0.315,-0.282,0.214,-1.379,-4.775,2.84,"[0.8, -0.683, 1.2]",youbot
0,31.808,[1.867],0.369,-0.241,0.37,-1.267,-4.842,2.69,"[0.712, -0.512, -0.426]",youbot
0,32.3,[1.664],0.388,0.183,-0.024,-1.143,-4.812,2.471,"[0.8, 0.647, -1.2]",youbot
0,32.702,[1.52],0.362,0.221,-0.426,-1.22,-4.656,2.385,"[0.8, 0.406, -1.2]",youbot
0,33.103,[1.368],0.36,0.209,-0.391,-1.389,-4.543,2.261,"[0.344, 0.083, -1.2]",youbot
0,33.602,[0.992],0.251,0.087,-1.155,-1.793,-4.472,2.134,"[0.8, 0.24, -1.2]",youbot
0,34.102,[0.767],0.364,-0.292,-0.251,-2.091,-4.572,1.985,"[0.8, -0.8, -1.2]",youbot
0,34.505,[1.156],0.346,-0.327,-0.099,-2.163,-4.751,1.931,"[0.8, -0.692, 1.2]",youbot
0,35.003,[1.359],0.365,-0.27,0.149,-2.2,-4.981,1.875,"[0.8, -0.618, 1.2]",youbot
0,35.502,[1.446],0.332,-0.285,0.423,-2.027,-5.19,1.802,"[0.8, -0.607, 1.2]",youbot
0,35.909,[1.438],0.344,-0.271,0.473,-1.861,-5.341,1.718,"[0.8, -0.597, 1.2]",youbot
0,36.403,[1.339],0.331,-0.239,0.34,-1.649,-5.504,1.57,"[0.8, -0.597, 1.2]",youbot
0,36.814,[1.27],0.312,-0.271,0.274,-1.534,-5.606,1.449,"[0.8, -0.646, 1.2]",youbot
0,37.302,[1.21],0.339,-0.261,0.28,-1.396,-5.723,1.273,"[0.8, -0.604, 1.2]",youbot
0,37.807,[1.214],0.386,-0.25,0.24,-1.25,-5.803,1.068,"[0.8, -0.591, 0.969]",youbot
0,38.313,[1.27],0.443,-0.106,0.447,-1.114,-5.839,0.836,"[0.8, -0.169, 1.2]",youbot
0,38.802,[1.39],0.416,-0.085,0.43,-0.888,-5.783,0.638,"[0.8, -0.139, 1.2]",youbot
