episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.935,[1.304],0.0,0.0,-0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",jackal
0,1.337,[1.306],0.954,-0.007,-0.065,0.002,-10.494,-10.889,"[1.946, 0.0, 1.496]",jackal
0,1.741,[1.336],1.697,-0.124,0.945,0.18,-9.893,-10.877,"[1.946, 0.0, 1.496]",jackal
0,2.237,[1.861],1.915,-0.425,0.829,1.051,-9.077,-10.519,"[1.957, 0.0, -0.372]",jackal
0,2.737,[2.661],1.965,-0.0,-0.004,0.989,-8.544,-9.703,"[1.956, 0.0, 0.002]",jackal
0,3.237,[3.51],1.961,0.005,-0.043,0.969,-8.004,-8.887,"[1.956, 0.0, -0.015]",jackal
0,3.737,[4.322],1.956,0.001,-0.012,0.962,-7.448,-8.082,"[1.957, 0.0, -0.018]",jackal
0,4.137,[4.974],1.964,-0.0,0.011,0.961,-6.976,-7.409,"[1.956, 0.0, 0.011]",jackal
0,4.637,[4.424],1.959,-0.0,-0.005,0.959,-6.417,-6.609,"[1.957, 0.0, -0.02]",jackal
0,5.136,[3.515],1.956,0.001,-0.017,0.953,-5.853,-5.808,"[1.956, 0.0, -0.016]",jackal
0,5.537,[2.837],1.956,0.002,-0.008,0.95,-5.399,-5.17,"[1.956, 0.0, -0.017]",jackal
0,6.038,[2.1],1.97,-0.005,0.035,0.949,-4.85,-4.408,"[1.956, 0.0, 0.123]",jackal
0,6.537,[1.494],1.981,-0.042,0.325,1.001,-4.288,-3.604,"[1.956, 0.0, 0.425]",jackal
0,6.941,[1.249],1.726,-0.001,0.004,1.101,-3.899,-2.911,"[1.956, 0.0, -0.172]",jackal
0,7.35,[0.917],1.478,0.0,-0.001,1.028,-3.531,-2.218,"[0.978, 0.0, 0.034]",jackal
0,7.764,[0.773],0.537,-0.0,0.005,0.976,-3.338,-1.896,"[0.0, 0.0, 0.0]",jackal
0,8.322,[0.772],0.575,-0.004,0.035,0.945,-3.288,-1.82,"[0.98, 0.0, 1.471]",jackal
0,8.726,[0.799],0.95,-0.202,1.535,1.345,-3.097,-1.542,"[0.981, 0.0, 0.627]",jackal
0,9.284,[0.813],-0.0,0.0,0.0,1.716,-3.029,-1.196,"[0.981, 0.0, 0.048]",jackal
0,9.759,[0.789],0.824,0.118,-0.998,1.585,-3.068,-0.955,"[0.982, 0.0, -1.473]",jackal
0,10.27,[0.927],0.65,0.021,-0.156,0.968,-3.001,-0.523,"[0.815, 0.0, -1.48]",jackal
0,10.921,[1.188],0.649,-0.124,0.907,1.284,-2.703,-0.123,"[1.957, 0.0, 1.179]",jackal
0,11.492,[1.315],1.701,0.096,-0.733,1.329,-2.569,0.545,"[1.962, 0.0, -1.472]",jackal
0,11.926,[0.99],1.915,0.078,-0.215,0.699,-2.197,1.311,"[1.956, 0.0, 0.448]",jackal
0,12.437,[0.954],1.007,0.015,-0.117,0.762,-1.671,1.795,"[0.0, 0.0, 0.0]",jackal
0,12.993,[1.251],1.808,-0.0,0.0,0.612,-1.2,2.171,"[1.956, 0.0, -0.425]",jackal
0,13.457,[1.018],1.947,-0.032,0.249,0.553,-0.455,2.649,"[1.956, 0.0, 0.197]",jackal
0,13.927,[0.853],1.009,0.032,-0.256,0.566,0.143,3.05,"[0.978, 0.0, -0.019]",jackal
0,14.422,[0.845],1.002,0.0,-0.017,0.58,0.54,3.302,"[0.978, 0.0, 0.064]",jackal
0,14.823,[0.836],0.978,-0.013,0.1,0.615,0.867,3.518,"[0.978, 0.0, 0.043]",jackal
0,15.223,[0.873],0.97,-0.0,0.008,0.626,1.185,3.744,"[0.978, 0.0, 0.05]",jackal
0,15.726,[3.137],1.689,0.0,0.002,0.636,1.656,4.088,"[1.956, 0.0, 0.188]",jackal
0,16.221,[3.451],1.957,0.0,-0.001,0.674,2.392,4.655,"[1.957, 0.0, 0.002]",jackal
0,16.622,[3.638],1.953,-0.003,0.032,0.678,3.005,5.145,"[1.957, 0.0, 0.02]",jackal
0,17.123,[4.073],1.956,0.0,0.0,0.68,3.764,5.759,"[1.956, 0.0, -0.001]",jackal
