episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.97,[1.109],0.0,-0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,1.48,[1.115],0.014,0.029,-0.857,-0.334,-3.757,9.246,"[0.0, 0.0, 0.0]",jackal
0,1.952,[1.168],0.242,0.019,-0.144,-0.418,-3.638,9.201,"[0.436, 0.0, -1.5]",jackal
0,2.409,[1.195],0.442,-0.0,-0.001,-0.536,-3.579,9.186,"[0.0, 0.0, 0.0]",jackal
0,2.897,[1.038],0.183,-0.116,0.885,-0.434,-3.394,9.056,"[-0.13, 0.0, -1.513]",jackal
0,3.352,[0.962],0.0,0.0,-0.0,-0.54,-3.321,9.038,"[-0.073, 0.0, -1.505]",jackal
0,3.842,[0.99],-0.07,0.063,-0.544,-0.956,-3.313,9.09,"[0.973, 0.0, -1.495]",jackal
0,4.253,[0.926],0.685,0.049,-0.598,-1.1,-3.236,8.972,"[0.976, 0.0, -1.479]",jackal
0,4.752,[0.842],0.936,0.28,-2.128,-1.792,-3.072,8.568,"[0.978, 0.0, -0.617]",jackal
0,5.152,[0.995],0.845,0.042,-0.324,-2.058,-3.179,8.234,"[0.978, 0.0, 1.471]",jackal
0,5.698,[1.14],1.921,0.0,-0.0,-1.634,-3.368,7.617,"[1.957, 0.0, -0.073]",jackal
0,6.12,[1.09],1.952,-0.027,0.208,-1.609,-3.423,6.803,"[1.956, 0.0, -0.068]",jackal
0,6.523,[0.978],1.423,-0.008,0.063,-1.622,-3.459,6.02,"[0.978, 0.0, -0.103]",jackal
0,6.945,[0.965],0.98,-0.004,0.029,-1.636,-3.481,5.61,"[0.978, 0.0, 0.043]",jackal
0,7.442,[0.855],0.972,-0.0,0.001,-1.626,-3.512,5.124,"[0.978, 0.0, 0.027]",jackal
0,7.861,[0.838],0.979,-0.004,0.035,-1.619,-3.533,4.734,"[0.978, 0.0, 0.046]",jackal
0,8.323,[0.911],0.988,-0.005,0.034,-1.601,-3.553,4.284,"[0.978, 0.0, 0.104]",jackal
0,8.764,[1.041],0.978,0.002,-0.015,-1.573,-3.563,3.808,"[1.956, 0.0, 0.033]",jackal
0,9.176,[1.096],1.334,-0.0,0.0,-1.573,-3.565,3.202,"[1.956, 0.0, 0.127]",jackal
0,9.588,[1.105],1.883,0.001,0.027,-1.594,-3.565,2.617,"[1.956, 0.0, 0.768]",jackal
0,10.079,[0.976],1.957,-0.001,0.003,-1.309,-3.447,1.615,"[0.978, 0.0, 0.065]",jackal
0,10.483,[0.876],0.978,-0.099,0.761,-1.261,-3.316,1.094,"[0.978, 0.0, 0.134]",jackal
0,11.011,[1.01],0.977,-0.039,0.302,-1.193,-3.148,0.61,"[1.955, 0.0, 0.09]",jackal
0,11.481,[1.517],1.971,-0.018,0.141,-1.16,-2.876,-0.055,"[1.956, 0.0, 0.095]",jackal
0,11.979,[1.155],1.224,0.004,0.045,-1.061,-2.508,-0.836,"[0.0, 0.0, 0.0]",jackal
0,12.382,[0.762],1.134,0.002,-0.033,-1.057,-2.295,-1.214,"[-0.127, 0.0, 1.502]",jackal
0,12.879,[0.552],0.399,0.0,0.001,-1.125,-2.174,-1.425,"[0.0, 0.0, 0.0]",jackal
0,13.377,[0.456],0.0,0.0,-0.0,-1.094,-2.115,-1.552,"[0.0, 0.0, 0.0]",jackal
0,13.778,[0.388],0.0,0.0,-0.0,-1.094,-2.115,-1.552,"[0.0, 0.0, 0.0]",jackal
0,14.179,[0.173],-0.002,0.016,0.021,-1.068,-2.109,-1.544,"[0.0, 0.0, 0.0]",jackal
0,14.677,[0.1],-0.006,0.001,0.483,-1.188,-2.129,-1.527,"[0.0, 0.0, 0.0]",jackal
0,15.177,[0.1],-0.04,-0.042,-0.331,-0.831,-2.11,-1.477,"[0.0, 0.0, 0.0]",jackal
0,15.676,[0.1],0.0,-0.0,0.0,-0.873,-2.121,-1.475,"[0.0, 0.0, 0.0]",jackal
0,16.077,[0.1],0.0,-0.0,0.0,-0.873,-2.121,-1.475,"[0.0, 0.0, 0.0]",jackal
0,16.577,[0.128],0.0,0.0,0.0,-0.873,-2.121,-1.475,"[0.0, 0.0, 0.0]",jackal
0,17.076,[0.172],0.0,0.0,0.0,-0.873,-2.121,-1.475,"[0.0, 0.0, 0.0]",jackal
0,17.578,[0.227],0.0,0.0,0.0,-0.873,-2.121,-1.475,"[0.0, 0.0, 0.0]",jackal
0,17.979,[0.311],0.0,0.0,0.0,-0.873,-2.121,-1.475,"[0.0, 0.0, 0.0]",jackal
0,18.381,[0.457],0.0,0.0,0.0,-0.873,-2.121,-1.475,"[0.0, 0.0, 0.0]",jackal
0,18.88,[0.776],0.576,0.006,-0.052,-0.916,-2.072,-1.546,"[0.978, 0.0, -1.471]",jackal
0,19.379,[0.785],0.72,-0.002,-0.066,-1.009,-1.933,-1.733,"[0.978, 0.0, -1.065]",jackal
0,19.78,[0.891],0.982,0.049,-0.374,-1.181,-1.767,-2.002,"[0.978, 0.0, 0.071]",jackal
0,20.183,[1.207],1.567,0.001,0.024,-1.186,-1.601,-2.412,"[1.956, 0.0, 0.308]",jackal
0,20.677,[2.49],1.96,0.01,-0.081,-1.123,-1.202,-3.316,"[1.956, 0.0, -0.03]",jackal
0,21.082,[1.772],1.908,-0.101,0.794,-1.101,-0.87,-4.021,"[1.958, 0.0, 0.526]",jackal
0,21.487,[1.295],1.226,-0.041,0.299,-0.81,-0.522,-4.579,"[1.956, 0.0, -0.793]",jackal
0,21.979,[1.068],1.673,0.066,-0.507,-0.846,-0.012,-5.108,"[1.956, 0.0, -1.472]",jackal
0,22.38,[1.022],1.869,0.037,-0.163,-1.339,0.407,-5.749,"[1.956, 0.0, 0.601]",jackal
0,22.793,[1.159],1.943,0.011,-0.088,-1.226,0.622,-6.501,"[1.956, 0.0, -0.221]",jackal
0,23.306,[1.453],1.917,0.435,-1.976,-1.833,0.884,-7.48,"[1.958, 0.0, 0.296]",jackal
0,23.808,[1.341],1.863,-0.417,2.136,-1.442,0.65,-8.349,"[0.0, 0.0, 0.0]",jackal
1,25.398,[1.103],0.0,-0.0,0.0,0.024,-3.691,9.213,"[-0.247, 0.0, -1.509]",jackal
1,25.876,[1.101],-0.123,-0.0,0.019,-0.113,-3.737,9.233,"[-0.175, 0.0, -1.512]",jackal
1,26.808,[1.093],0.0,-0.0,0.0,-0.313,-3.814,9.263,"[-0.175, 0.0, -1.522]",jackal
1,27.238,[1.097],0.0,-0.0,0.0,-0.348,-3.815,9.264,"[-0.229, 0.0, -1.513]",jackal
1,27.773,[1.14],0.074,0.0,0.0,-0.406,-3.728,9.228,"[0.585, 0.0, -1.498]",jackal
1,28.237,[1.175],0.469,-0.003,-0.026,-0.423,-3.661,9.194,"[0.0, 0.0, 0.0]",jackal
1,28.876,[1.109],0.195,-0.0,0.0,-0.468,-3.471,9.109,"[0.0, 0.0, 0.0]",jackal
1,29.485,[1.029],0.697,0.016,-0.493,-0.639,-3.379,9.046,"[0.0, 0.0, 0.0]",jackal
1,29.923,[0.857],0.3,-0.0,-0.0,-0.728,-3.201,8.912,"[0.29, 0.0, -1.565]",jackal
1,30.402,[0.826],0.057,0.034,-1.127,-0.898,-3.154,8.88,"[0.688, 0.0, -1.57]",jackal
1,30.821,[0.81],0.074,0.02,-0.24,-1.045,-3.127,8.843,"[0.207, 0.0, -1.488]",jackal
1,31.312,[0.774],0.485,-0.004,0.032,-1.214,-3.072,8.745,"[0.0, 0.0, 0.0]",jackal
1,31.809,[0.726],0.426,0.005,-0.089,-1.22,-3.021,8.61,"[0.0, 0.0, 0.0]",jackal
1,32.233,[0.701],0.383,-0.018,-0.139,-1.262,-2.967,8.45,"[0.973, 0.0, -1.57]",jackal
1,32.693,[0.641],0.162,0.102,-0.779,-1.455,-2.887,8.243,"[0.0, 0.0, 0.0]",jackal
1,37.693,[0.638],-0.0,-0.0,0.0,-1.499,-2.88,8.234,"[0.0, 0.0, 0.0]",jackal
1,42.893,[0.637],-0.0,-0.0,0.0,-1.499,-2.88,8.234,"[0.0, 0.0, 0.0]",jackal
1,47.993,[0.639],-0.0,-0.0,0.0,-1.499,-2.88,8.235,"[0.0, 0.0, 0.0]",jackal
1,53.193,[0.637],-0.0,-0.0,0.0,-1.499,-2.88,8.235,"[0.0, 0.0, 0.0]",jackal
