episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.129,[1.18],-0.0,0.0,0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.531,[1.188],0.171,0.0,0.0,0.0,-8.499,-9.19,"[0.22, 0.0, 0.116]",turtlebot3_burger
0,1.934,[1.174],0.218,-0.0,0.242,0.029,-8.417,-9.189,"[0.22, 0.0, 0.255]",turtlebot3_burger
0,2.335,[1.19],0.218,-0.0,0.205,0.125,-8.33,-9.183,"[0.22, 0.0, 0.069]",turtlebot3_burger
0,2.834,[1.2],0.222,0.0,-0.201,0.12,-8.221,-9.168,"[0.22, 0.0, -0.207]",turtlebot3_burger
0,3.335,[1.21],0.222,0.0,-0.203,0.019,-8.111,-9.16,"[0.22, 0.0, -0.202]",turtlebot3_burger
0,3.836,[1.212],0.222,0.0,-0.16,-0.078,-8.0,-9.163,"[0.22, 0.0, -0.112]",turtlebot3_burger
0,4.333,[1.2],0.221,0.0,-0.017,-0.134,-7.89,-9.175,"[0.22, 0.0, 0.081]",turtlebot3_burger
0,4.734,[1.197],0.22,-0.0,0.06,-0.098,-7.803,-9.186,"[0.22, 0.0, -0.003]",turtlebot3_burger
0,5.134,[1.187],0.22,0.0,-0.035,-0.102,-7.716,-9.194,"[0.22, 0.0, -0.012]",turtlebot3_burger
0,5.633,[1.184],0.218,-0.0,0.203,-0.054,-7.607,-9.204,"[0.22, 0.0, 0.201]",turtlebot3_burger
0,6.034,[1.173],0.219,0.0,0.067,0.01,-7.52,-9.206,"[0.22, 0.0, -0.038]",turtlebot3_burger
0,6.434,[1.178],0.221,0.0,-0.199,-0.024,-7.431,-9.205,"[0.22, 0.0, -0.194]",turtlebot3_burger
0,6.935,[1.177],0.22,0.0,-0.09,-0.108,-7.314,-9.214,"[0.22, 0.0, -0.083]",turtlebot3_burger
0,7.336,[1.161],0.216,-0.0,-0.009,-0.134,-7.233,-9.224,"[0.22, 0.0, 0.035]",turtlebot3_burger
0,7.834,[1.15],0.219,0.0,-0.104,-0.129,-7.125,-9.238,"[0.22, 0.0, -0.076]",turtlebot3_burger
0,8.333,[1.127],0.215,0.0,-0.008,-0.163,-7.016,-9.254,"[0.22, 0.0, 0.099]",turtlebot3_burger
0,8.734,[1.127],0.217,0.0,0.157,-0.105,-6.929,-9.266,"[0.22, 0.0, 0.104]",turtlebot3_burger
0,9.233,[1.117],0.218,0.0,-0.067,-0.086,-6.82,-9.275,"[0.22, 0.0, 0.042]",turtlebot3_burger
0,9.634,[1.105],0.22,0.0,0.061,-0.06,-6.733,-9.282,"[0.22, 0.0, -0.048]",turtlebot3_burger
0,10.132,[1.101],0.22,0.0,-0.055,-0.089,-6.63,-9.289,"[0.22, 0.0, -0.118]",turtlebot3_burger
0,10.537,[1.097],0.221,0.0,-0.113,-0.148,-6.528,-9.301,"[0.22, 0.0, -0.084]",turtlebot3_burger
