episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.899,[1.201],-0.0,0.0,0.003,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",youbot
0,1.324,[1.235],0.437,0.036,0.307,0.086,-8.437,-9.174,"[0.8, 0.09, 0.43]",youbot
0,1.725,[1.31],0.468,0.019,0.125,0.157,-8.255,-9.138,"[0.766, 0.021, 0.177]",youbot
0,2.132,[1.367],0.471,0.009,0.13,0.189,-8.078,-9.103,"[0.763, 0.048, 0.38]",youbot
0,2.638,[1.445],0.473,-0.008,-0.042,0.237,-7.84,-9.045,"[0.755, 0.002, 0.024]",youbot
0,3.04,[1.395],0.464,0.017,0.155,0.267,-7.658,-8.996,"[0.714, 0.023, 0.297]",youbot
0,3.536,[1.294],0.472,0.012,0.112,0.361,-7.431,-8.915,"[0.583, -0.008, -0.092]",youbot
0,4.029,[1.255],0.426,-0.034,-0.407,0.251,-7.24,-8.861,"[0.685, -0.044, -0.551]",youbot
0,4.519,[1.271],0.47,-0.016,-0.12,0.118,-7.015,-8.834,"[0.496, -0.028, -0.139]",youbot
0,4.932,[1.236],0.472,0.0,-0.126,0.043,-6.822,-8.822,"[0.042, -0.005, -0.532]",youbot
0,5.36,[1.137],-0.217,0.027,-0.722,-0.11,-6.74,-8.815,"[-0.357, 0.029, -0.633]",youbot
0,5.769,[1.255],0.03,0.009,-1.032,-0.434,-6.814,-8.793,"[0.045, -0.008, -0.864]",youbot
0,6.178,[1.341],0.174,-0.013,-0.708,-0.753,-6.8,-8.807,"[0.338, -0.023, -0.468]",youbot
0,6.635,[1.253],0.316,0.007,0.099,-0.956,-6.709,-8.93,"[0.242, 0.025, 0.513]",youbot
0,7.134,[1.182],-0.061,0.001,0.559,-0.747,-6.636,-9.009,"[0.132, 0.012, 0.708]",youbot
0,7.549,[1.242],0.204,-0.022,0.51,-0.443,-6.596,-9.033,"[0.476, 0.018, 0.231]",youbot
0,8.04,[1.196],0.279,-0.015,-0.497,-0.445,-6.45,-9.098,"[0.378, -0.023, -0.434]",youbot
0,8.544,[1.111],-0.293,-0.019,0.39,-0.514,-6.394,-9.132,"[-0.404, -0.025, 0.422]",youbot
0,9.044,[1.235],-0.142,0.023,0.681,-0.238,-6.556,-9.079,"[-0.262, -0.014, 0.427]",youbot
0,9.446,[1.329],0.231,0.019,0.356,0.009,-6.556,-9.068,"[0.334, 0.005, 0.088]",youbot
0,9.947,[1.322],0.273,-0.076,-0.284,-0.023,-6.389,-9.073,"[0.062, -0.006, -0.512]",youbot
0,10.438,[1.26],0.424,-0.005,-0.462,-0.195,-6.244,-9.101,"[0.8, -0.028, -0.522]",youbot
0,10.84,[1.186],0.281,-0.004,-0.069,-0.285,-6.1,-9.141,"[-0.203, -0.005, 0.264]",youbot
0,11.243,[1.178],-0.017,0.002,0.179,-0.263,-6.061,-9.148,"[-0.246, -0.005, 0.299]",youbot
0,11.648,[1.221],0.026,0.02,0.146,-0.17,-6.105,-9.138,"[0.106, -0.001, 0.24]",youbot
0,12.139,[1.205],0.187,0.019,0.03,-0.176,-6.012,-9.153,"[-0.094, 0.001, 0.04]",youbot
0,12.637,[1.218],-0.139,0.039,0.391,-0.134,-6.08,-9.14,"[0.015, 0.003, 0.416]",youbot
0,13.044,[1.257],-0.003,0.016,0.068,-0.049,-6.08,-9.134,"[0.235, 0.0, -0.037]",youbot
0,13.45,[1.246],0.472,0.015,0.086,-0.068,-5.944,-9.142,"[0.742, 0.033, 0.333]",youbot
0,13.855,[1.273],0.453,0.018,0.204,0.007,-5.758,-9.141,"[0.721, 0.024, 0.27]",youbot
0,14.329,[1.301],0.474,0.003,0.063,0.059,-5.542,-9.128,"[0.71, -0.009, -0.123]",youbot
0,14.739,[1.306],0.481,-0.019,-0.193,0.03,-5.333,-9.12,"[0.671, -0.011, -0.195]",youbot
