episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.959,[1.111],-0.0,-0.0,-0.004,-0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",youbot
0,1.392,[1.12],-0.472,0.007,-0.062,-0.053,-3.807,9.219,"[-0.74, 0.013, -0.092]",youbot
0,1.801,[1.116],-0.474,0.008,-0.081,-0.091,-3.995,9.238,"[-0.676, 0.007, -0.07]",youbot
0,2.206,[1.103],-0.477,0.005,-0.031,-0.108,-4.184,9.259,"[-0.671, 0.005, -0.056]",youbot
0,2.698,[1.081],-0.479,-0.005,0.028,-0.123,-4.411,9.287,"[-0.702, -0.0, -0.005]",youbot
0,3.196,[1.048],-0.475,-0.014,0.073,-0.1,-4.647,9.31,"[-0.744, -0.028, 0.162]",youbot
0,3.671,[1.02],-0.474,-0.017,0.066,-0.055,-4.874,9.319,"[-0.786, -0.05, 0.256]",youbot
0,4.172,[1.006],-0.475,-0.013,0.075,0.002,-5.109,9.314,"[-0.8, -0.02, 0.103]",youbot
0,4.589,[1.006],-0.475,-0.013,0.052,0.022,-5.309,9.308,"[-0.8, 0.0, -0.007]",youbot
0,5.073,[1.012],-0.476,0.008,-0.027,0.02,-5.537,9.303,"[-0.8, 0.014, -0.069]",youbot
0,5.474,[1.016],-0.476,0.01,-0.047,-0.001,-5.718,9.306,"[-0.8, 0.016, -0.081]",youbot
0,5.877,[1.015],-0.475,0.013,-0.062,-0.023,-5.927,9.313,"[-0.8, 0.02, -0.102]",youbot
0,6.291,[1.012],-0.476,0.011,-0.059,-0.045,-6.117,9.324,"[-0.8, 0.019, -0.09]",youbot
0,6.697,[1.005],-0.474,0.015,-0.073,-0.07,-6.316,9.34,"[-0.8, 0.025, -0.117]",youbot
0,7.106,[0.994],-0.474,0.018,-0.069,-0.094,-6.505,9.361,"[-0.4, 0.03, -0.143]",youbot
0,7.506,[0.98],-0.056,-0.038,0.02,-0.105,-6.572,9.379,"[-0.396, -0.072, 0.307]",youbot
0,8.013,[0.958],0.009,0.032,0.08,-0.044,-6.575,9.378,"[-0.368, -0.133, 0.607]",youbot
0,8.515,[0.947],0.005,-0.0,-0.011,-0.027,-6.575,9.383,"[-0.369, -0.118, 0.532]",youbot
0,9.02,[0.941],0.005,0.001,0.002,-0.019,-6.575,9.386,"[-0.375, -0.119, 0.534]",youbot
0,9.42,[0.94],0.005,-0.006,0.004,-0.019,-6.575,9.387,"[-0.385, -0.137, 0.569]",youbot
0,9.919,[0.941],0.005,-0.006,-0.011,-0.021,-6.575,9.387,"[-0.378, -0.143, 0.598]",youbot
0,10.409,[0.941],0.005,-0.006,-0.02,-0.023,-6.575,9.387,"[-0.396, -0.116, 0.466]",youbot
0,10.814,[0.942],0.004,-0.006,-0.009,-0.024,-6.575,9.387,"[-0.38, -0.142, 0.59]",youbot
