episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.933,[1.197],0.0,0.0,-0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",jackal
0,1.355,[1.2],1.255,0.0,-0.001,-0.0,-8.276,-9.19,"[1.755, 0.0, 0.367]",jackal
0,1.796,[1.209],0.89,-0.006,0.045,0.031,-7.712,-9.188,"[0.758, 0.0, 0.382]",jackal
0,2.197,[1.229],0.912,0.011,-0.132,0.096,-7.438,-9.179,"[0.814, 0.0, -0.676]",jackal
0,2.645,[1.073],0.631,0.1,-0.76,-0.125,-7.025,-9.152,"[0.529, 0.0, -0.712]",jackal
0,3.05,[0.933],0.486,0.046,-0.415,-0.384,-6.829,-9.17,"[0.386, 0.0, -0.363]",jackal
0,3.499,[0.844],0.25,0.033,-0.256,-0.469,-6.649,-9.239,"[0.24, 0.0, -0.203]",jackal
0,3.943,[0.817],0.66,-0.007,0.111,-0.522,-6.518,-9.304,"[1.058, 0.0, 0.473]",jackal
0,4.344,[0.809],1.054,-0.001,0.001,-0.539,-6.244,-9.464,"[0.554, 0.0, 0.475]",jackal
0,4.788,[0.719],0.376,0.096,-0.735,-0.694,-5.978,-9.609,"[0.0, 0.0, 0.0]",jackal
0,5.236,[0.675],-0.018,-0.018,0.154,-0.858,-5.916,-9.64,"[-0.1, 0.0, 0.608]",jackal
0,5.637,[0.687],-0.098,-0.012,0.092,-0.782,-5.936,-9.632,"[-0.1, 0.0, 0.149]",jackal
0,6.093,[0.716],-0.042,0.0,-0.003,-0.625,-5.981,-9.619,"[0.0, 0.0, -0.266]",jackal
0,6.543,[0.727],-0.098,-0.046,0.347,-0.583,-6.002,-9.613,"[0.0, 0.0, 0.401]",jackal
0,6.989,[0.743],-0.086,-0.024,0.182,-0.503,-6.031,-9.605,"[-0.1, 0.0, 0.163]",jackal
0,7.435,[0.745],0.0,0.0,0.0,-0.478,-6.034,-9.605,"[-0.1, 0.0, 0.474]",jackal
0,7.842,[0.742],-0.054,-0.03,0.233,-0.456,-6.029,-9.61,"[-0.1, 0.0, 0.357]",jackal
0,8.288,[0.756],0.027,-0.069,0.635,-0.323,-6.061,-9.611,"[0.0, 0.0, 0.0]",jackal
0,8.693,[0.753],-0.023,-0.034,0.255,-0.218,-6.056,-9.626,"[0.0, 0.0, 0.0]",jackal
0,9.133,[0.756],-0.104,0.0,-0.012,-0.176,-6.086,-9.626,"[0.0, 0.0, 0.275]",jackal
0,9.538,[0.763],-0.074,-0.0,0.002,-0.175,-6.119,-9.621,"[0.216, 0.0, 0.371]",jackal
