episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.028,[1.109],0.0,-0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,1.592,[1.136],-0.029,0.205,-1.985,-0.827,-3.698,9.272,"[0.38, 0.011, -1.57]",jackal
0,2.072,[1.296],0.789,0.156,-1.192,-1.354,-3.571,9.126,"[1.106, 0.024, -0.662]",jackal
0,2.484,[1.251],1.999,-0.011,-0.18,-1.531,-3.509,8.558,"[2.0, 0.0, -0.181]",jackal
0,2.888,[1.257],2.002,0.016,-0.117,-1.602,-3.501,7.76,"[2.0, 0.0, -0.115]",jackal
0,3.338,[1.218],2.0,-0.0,0.012,-1.608,-3.534,6.924,"[2.0, 0.0, 0.069]",jackal
0,3.781,[1.028],2.0,0.0,0.001,-1.595,-3.562,6.009,"[2.0, 0.0, 0.052]",jackal
0,4.237,[0.839],1.993,0.005,-0.034,-1.593,-3.582,5.087,"[2.0, 0.0, -0.018]",jackal
0,4.646,[1.189],2.0,-0.0,-0.0,-1.599,-3.602,4.289,"[2.0, 0.0, 0.0]",jackal
0,5.088,[1.11],2.001,-0.011,0.074,-1.597,-3.629,3.367,"[2.0, 0.0, 0.0]",jackal
0,5.536,[1.183],2.001,-0.035,0.244,-1.563,-3.646,2.492,"[2.0, 0.0, 0.18]",jackal
0,5.936,[1.15],2.018,-0.046,0.331,-1.465,-3.615,1.693,"[2.0, 0.0, 0.264]",jackal
0,6.382,[1.15],2.003,-0.04,0.289,-1.32,-3.473,0.811,"[2.0, 0.0, 0.29]",jackal
0,6.786,[1.538],1.994,-0.031,0.246,-1.196,-3.229,0.007,"[2.0, 0.0, 0.193]",jackal
0,7.188,[1.879],2.003,-0.01,0.072,-1.139,-2.92,-0.714,"[2.0, 0.0, 0.131]",jackal
0,7.591,[1.568],2.0,0.0,-0.001,-1.084,-2.573,-1.43,"[2.0, 0.0, 0.074]",jackal
0,7.994,[1.418],2.0,-0.012,0.104,-1.065,-2.191,-2.14,"[2.0, 0.0, 0.027]",jackal
0,8.432,[1.682],2.0,0.0,-0.001,-1.054,-1.742,-2.936,"[2.0, 0.0, 0.0]",jackal
0,8.838,[1.975],2.0,0.0,-0.002,-1.042,-1.358,-3.606,"[2.0, 0.0, 0.0]",jackal
0,9.265,[1.066],1.88,0.045,-0.341,-1.103,-0.927,-4.349,"[0.0, 0.0, 0.0]",jackal
0,9.712,[0.684],0.37,0.0,0.0,-1.127,-0.725,-4.755,"[0.0, 0.0, 0.0]",jackal
0,10.116,[0.624],-0.12,0.009,-0.066,-1.155,-0.726,-4.744,"[-0.1, 0.0, -0.138]",jackal
0,10.528,[0.625],-0.061,0.033,-0.255,-1.195,-0.744,-4.687,"[0.114, 0.0, -0.798]",jackal
0,10.982,[0.599],-0.032,0.203,-1.548,-1.572,-0.698,-4.676,"[-0.1, 0.012, -1.359]",jackal
0,11.383,[0.493],-0.056,0.0,-0.001,-1.746,-0.673,-4.663,"[-0.1, 0.0, -0.265]",jackal
