episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.928,[1.295],-0.0,0.0,0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.345,[1.287],0.176,0.0,0.087,0.005,-10.591,-10.89,"[0.22, 0.0, 0.383]",turtlebot3_burger
0,1.745,[1.275],0.198,-0.0,0.944,0.152,-10.524,-10.886,"[0.22, 0.0, 0.903]",turtlebot3_burger
0,2.191,[1.318],0.189,-0.0,0.493,0.465,-10.437,-10.858,"[0.22, 0.0, 0.501]",turtlebot3_burger
0,2.592,[1.35],0.217,-0.0,0.395,0.623,-10.367,-10.815,"[0.22, 0.0, 0.374]",turtlebot3_burger
0,3.044,[1.397],0.218,-0.0,0.254,0.763,-10.298,-10.758,"[0.22, 0.0, 0.181]",turtlebot3_burger
0,3.496,[1.472],0.217,-0.0,0.169,0.867,-10.23,-10.685,"[0.206, 0.0, 0.176]",turtlebot3_burger
0,3.944,[1.546],0.219,-0.0,0.075,0.939,-10.174,-10.613,"[0.22, 0.0, 0.165]",turtlebot3_burger
0,4.345,[1.61],0.221,0.0,-0.1,0.929,-10.119,-10.539,"[0.22, 0.0, -0.003]",turtlebot3_burger
0,4.754,[1.688],0.221,0.0,0.103,0.908,-10.066,-10.469,"[0.207, 0.0, -0.002]",turtlebot3_burger
0,5.194,[1.759],0.206,0.0,0.049,0.897,-10.01,-10.398,"[0.22, 0.0, 0.039]",turtlebot3_burger
0,5.596,[1.829],0.208,0.0,-0.089,0.908,-9.96,-10.333,"[0.22, 0.0, -0.019]",turtlebot3_burger
0,6.044,[1.9],0.218,0.0,0.097,0.914,-9.902,-10.259,"[0.22, 0.0, 0.023]",turtlebot3_burger
0,6.45,[1.974],0.217,0.0,-0.049,0.937,-9.846,-10.184,"[0.22, 0.0, -0.038]",turtlebot3_burger
0,6.893,[2.052],0.209,0.0,-0.079,0.953,-9.791,-10.109,"[0.22, 0.0, -0.003]",turtlebot3_burger
0,7.297,[2.12],0.221,0.0,-0.109,0.927,-9.741,-10.04,"[0.22, 0.0, -0.132]",turtlebot3_burger
0,7.746,[2.192],0.22,0.0,-0.038,0.899,-9.679,-9.96,"[0.22, 0.0, -0.058]",turtlebot3_burger
0,8.193,[2.273],0.221,-0.0,0.065,0.877,-9.619,-9.887,"[0.22, 0.0, 0.024]",turtlebot3_burger
0,8.599,[2.336],0.218,-0.0,0.051,0.883,-9.565,-9.822,"[0.207, 0.0, 0.01]",turtlebot3_burger
0,9.001,[2.402],0.207,-0.0,-0.019,0.893,-9.511,-9.755,"[0.22, 0.0, 0.144]",turtlebot3_burger
0,9.448,[2.482],0.206,-0.0,0.107,0.926,-9.449,-9.675,"[0.207, 0.0, 0.04]",turtlebot3_burger
0,9.894,[2.563],0.22,0.0,-0.014,0.961,-9.395,-9.601,"[0.22, 0.0, 0.0]",turtlebot3_burger
0,10.294,[2.631],0.22,0.0,-0.048,0.947,-9.344,-9.529,"[0.22, 0.0, -0.06]",turtlebot3_burger
0,10.702,[2.699],0.203,0.0,0.006,0.934,-9.294,-9.46,"[0.192, 0.0, -0.019]",turtlebot3_burger
0,11.15,[2.771],0.192,0.0,-0.032,0.91,-9.236,-9.384,"[0.22, 0.0, -0.023]",turtlebot3_burger
0,11.596,[2.85],0.209,0.0,0.117,0.89,-9.181,-9.316,"[0.22, 0.0, -0.039]",turtlebot3_burger
0,12.041,[2.92],0.219,0.0,-0.043,0.888,-9.124,-9.244,"[0.22, 0.0, 0.129]",turtlebot3_burger
0,12.444,[2.981],0.22,-0.0,0.028,0.913,-9.07,-9.176,"[0.207, 0.0, 0.036]",turtlebot3_burger
0,12.89,[3.064],0.191,-0.0,0.044,0.928,-9.011,-9.098,"[0.22, 0.0, -0.011]",turtlebot3_burger
0,13.299,[3.137],0.219,0.0,0.076,0.961,-8.962,-9.03,"[0.22, 0.0, 0.061]",turtlebot3_burger
0,13.702,[3.194],0.218,0.0,0.005,0.966,-8.913,-8.959,"[0.22, 0.0, 0.079]",turtlebot3_burger
0,14.142,[3.276],0.223,0.0,-0.148,0.976,-8.86,-8.881,"[0.207, 0.0, -0.173]",turtlebot3_burger
0,14.547,[3.349],0.22,0.0,-0.207,0.912,-8.804,-8.804,"[0.22, 0.0, -0.154]",turtlebot3_burger
0,14.949,[3.428],0.22,-0.0,-0.068,0.874,-8.749,-8.736,"[0.22, 0.0, -0.083]",turtlebot3_burger
0,15.398,[inf],0.218,0.0,0.026,0.873,-8.688,-8.664,"[0.22, 0.0, -0.026]",turtlebot3_burger
0,15.844,[inf],0.206,0.0,0.006,0.872,-8.629,-8.594,"[0.22, 0.0, 0.031]",turtlebot3_burger
0,16.29,[inf],0.219,-0.0,0.108,0.903,-8.566,-8.516,"[0.207, 0.0, 0.102]",turtlebot3_burger
0,16.694,[inf],0.22,-0.0,0.074,0.921,-8.512,-8.447,"[0.22, 0.0, 0.082]",turtlebot3_burger
0,17.139,[inf],0.208,0.0,-0.106,0.919,-8.457,-8.374,"[0.22, 0.0, -0.147]",turtlebot3_burger
0,17.544,[inf],0.193,0.0,-0.096,0.892,-8.406,-8.308,"[0.22, 0.0, -0.121]",turtlebot3_burger
0,17.948,[inf],0.22,0.0,-0.071,0.861,-8.345,-8.236,"[0.22, 0.0, -0.08]",turtlebot3_burger
0,18.394,[3.409],0.22,0.0,0.04,0.868,-8.284,-8.165,"[0.207, 0.0, 0.031]",turtlebot3_burger
0,18.839,[3.314],0.198,0.0,0.026,0.877,-8.226,-8.095,"[0.22, 0.0, 0.034]",turtlebot3_burger
0,19.253,[3.248],0.219,-0.0,0.106,0.902,-8.168,-8.024,"[0.22, 0.0, 0.124]",turtlebot3_burger
0,19.691,[3.206],0.22,-0.0,0.044,0.941,-8.112,-7.949,"[0.22, 0.0, 0.1]",turtlebot3_burger
0,20.092,[3.167],0.208,0.0,-0.12,0.942,-8.062,-7.88,"[0.192, 0.0, -0.109]",turtlebot3_burger
0,20.492,[2.872],0.193,-0.0,-0.039,0.918,-8.013,-7.814,"[0.22, 0.0, -0.083]",turtlebot3_burger
0,20.899,[2.612],0.217,0.0,-0.116,0.889,-7.959,-7.747,"[0.207, 0.0, -0.058]",turtlebot3_burger
0,21.348,[2.511],0.219,0.0,-0.017,0.89,-7.897,-7.671,"[0.207, 0.0, 0.04]",turtlebot3_burger
0,21.796,[2.442],0.196,-0.0,0.04,0.893,-7.84,-7.6,"[0.193, 0.0, -0.003]",turtlebot3_burger
0,22.198,[2.419],0.216,0.0,0.121,0.901,-7.787,-7.535,"[0.22, 0.0, 0.017]",turtlebot3_burger
0,22.643,[2.366],0.213,0.0,-0.002,0.911,-7.729,-7.46,"[0.22, 0.0, 0.055]",turtlebot3_burger
0,23.051,[2.207],0.208,0.0,-0.105,0.926,-7.672,-7.385,"[0.207, 0.0, -0.112]",turtlebot3_burger
0,23.495,[1.923],0.195,0.0,-0.093,0.895,-7.617,-7.314,"[0.22, 0.0, -0.052]",turtlebot3_burger
0,23.959,[1.794],0.221,0.0,-0.081,0.879,-7.553,-7.236,"[0.22, 0.0, -0.101]",turtlebot3_burger
0,24.398,[1.794],0.22,0.0,-0.024,0.881,-7.492,-7.163,"[0.22, 0.0, -0.006]",turtlebot3_burger
0,24.845,[1.771],0.21,0.0,-0.033,0.886,-7.429,-7.086,"[0.22, 0.0, 0.008]",turtlebot3_burger
0,25.251,[1.736],0.219,0.0,0.024,0.901,-7.374,-7.018,"[0.22, 0.0, 0.084]",turtlebot3_burger
0,25.694,[1.467],0.207,0.0,0.103,0.922,-7.317,-6.944,"[0.22, 0.0, 0.093]",turtlebot3_burger
0,26.139,[1.33],0.207,0.0,-0.123,0.928,-7.261,-6.869,"[0.22, 0.0, -0.082]",turtlebot3_burger
0,26.551,[1.328],0.22,0.0,-0.063,0.888,-7.203,-6.795,"[0.207, 0.0, -0.057]",turtlebot3_burger
0,27.001,[1.326],0.219,0.0,-0.074,0.873,-7.144,-6.723,"[0.22, 0.0, -0.017]",turtlebot3_burger
0,27.439,[1.362],0.22,0.0,0.009,0.874,-7.083,-6.651,"[0.207, 0.0, 0.017]",turtlebot3_burger
0,27.846,[1.401],0.22,0.0,0.033,0.864,-7.024,-6.58,"[0.22, 0.0, 0.026]",turtlebot3_burger
0,28.297,[1.447],0.219,-0.0,0.142,0.881,-6.963,-6.509,"[0.22, 0.0, 0.068]",turtlebot3_burger
0,28.749,[1.486],0.22,0.0,-0.007,0.913,-6.9,-6.429,"[0.22, 0.0, -0.031]",turtlebot3_burger
0,29.186,[1.524],0.215,0.0,-0.162,0.913,-6.844,-6.356,"[0.22, 0.0, -0.083]",turtlebot3_burger
0,29.594,[1.568],0.212,0.0,-0.185,0.863,-6.791,-6.291,"[0.22, 0.0, -0.068]",turtlebot3_burger
0,30.002,[1.616],0.215,0.0,-0.018,0.853,-6.734,-6.225,"[0.22, 0.0, 0.0]",turtlebot3_burger
0,30.45,[1.702],0.206,0.0,0.036,0.875,-6.669,-6.149,"[0.192, 0.0, 0.033]",turtlebot3_burger
0,30.906,[1.843],0.208,0.0,0.185,0.885,-6.611,-6.08,"[0.22, 0.0, 0.0]",turtlebot3_burger
0,31.348,[1.908],0.204,-0.0,0.106,0.922,-6.55,-6.002,"[0.22, 0.0, 0.029]",turtlebot3_burger
0,31.756,[2.005],0.22,-0.0,0.049,0.94,-6.499,-5.933,"[0.22, 0.0, -0.046]",turtlebot3_burger
0,32.19,[1.934],0.194,0.0,-0.104,0.922,-6.446,-5.861,"[0.22, 0.0, -0.129]",turtlebot3_burger
0,32.601,[1.865],0.221,0.0,-0.125,0.884,-6.395,-5.796,"[0.22, 0.0, -0.084]",turtlebot3_burger
0,33.043,[1.793],0.223,0.0,-0.112,0.866,-6.334,-5.724,"[0.22, 0.0, -0.005]",turtlebot3_burger
0,33.45,[1.748],0.206,-0.0,0.012,0.872,-6.274,-5.652,"[0.207, 0.0, -0.011]",turtlebot3_burger
0,33.898,[1.563],0.205,0.0,-0.161,0.868,-6.215,-5.582,"[0.22, 0.0, 0.03]",turtlebot3_burger
0,34.343,[1.218],0.218,0.0,0.107,0.894,-6.154,-5.51,"[0.207, 0.0, 0.099]",turtlebot3_burger
0,34.754,[1.085],0.209,-0.0,0.132,0.933,-6.098,-5.437,"[0.22, 0.0, 0.062]",turtlebot3_burger
0,35.192,[0.992],0.216,-0.0,0.466,1.006,-6.045,-5.362,"[0.207, 0.0, 0.425]",turtlebot3_burger
0,35.596,[0.959],0.219,-0.0,0.19,1.138,-6.005,-5.288,"[0.22, 0.0, 0.182]",turtlebot3_burger
0,36.001,[0.951],0.199,-0.0,0.29,1.22,-5.972,-5.209,"[0.22, 0.0, 0.237]",turtlebot3_burger
0,36.403,[0.794],0.219,0.0,0.064,1.284,-5.946,-5.128,"[0.207, 0.0, 0.101]",turtlebot3_burger
0,36.855,[0.504],0.217,0.0,0.057,1.319,-5.919,-5.032,"[0.22, 0.0, 0.03]",turtlebot3_burger
0,37.303,[0.375],0.219,0.0,0.102,1.337,-5.897,-4.943,"[0.22, 0.0, 0.127]",turtlebot3_burger
0,37.74,[0.394],0.209,0.0,-0.017,1.343,-5.877,-4.851,"[0.22, 0.0, -0.075]",turtlebot3_burger
0,38.148,[0.438],0.221,0.0,-0.129,1.298,-5.855,-4.761,"[0.207, 0.0, -0.102]",turtlebot3_burger
0,38.596,[0.478],0.214,0.0,-0.162,1.246,-5.827,-4.673,"[0.22, 0.0, -0.133]",turtlebot3_burger
0,38.997,[0.269],0.208,0.0,-0.086,1.196,-5.797,-4.591,"[0.22, 0.0, 0.041]",turtlebot3_burger
0,39.398,[0.294],0.22,0.0,0.004,1.176,-5.767,-4.518,"[0.22, 0.0, -0.008]",turtlebot3_burger
0,39.847,[0.388],0.221,0.0,-0.066,1.153,-5.728,-4.425,"[0.207, 0.0, -0.079]",turtlebot3_burger
0,40.291,[0.452],0.19,0.0,0.278,1.173,-5.693,-4.348,"[0.205, 0.0, -0.036]",turtlebot3_burger
0,40.694,[0.515],0.22,0.0,-0.127,1.153,-5.66,-4.27,"[0.22, 0.0, -0.114]",turtlebot3_burger
0,41.14,[0.591],0.22,0.0,-0.193,1.095,-5.619,-4.184,"[0.22, 0.0, -0.234]",turtlebot3_burger
0,41.548,[0.67],0.223,0.0,-0.269,0.996,-5.571,-4.101,"[0.22, 0.0, -0.184]",turtlebot3_burger
0,41.99,[0.743],0.221,-0.0,-0.129,0.906,-5.516,-4.025,"[0.207, 0.0, -0.11]",turtlebot3_burger
0,42.402,[0.831],0.222,0.0,-0.202,0.828,-5.462,-3.96,"[0.22, 0.0, -0.208]",turtlebot3_burger
0,42.804,[0.939],0.207,-0.0,-0.116,0.749,-5.401,-3.899,"[0.22, 0.0, -0.146]",turtlebot3_burger
0,43.245,[1.169],0.193,0.0,-0.079,0.709,-5.326,-3.832,"[0.22, 0.0, -0.045]",turtlebot3_burger
0,43.691,[1.404],0.216,0.0,-0.093,0.681,-5.257,-3.775,"[0.207, 0.0, -0.019]",turtlebot3_burger
0,44.14,[1.527],0.207,0.0,0.006,0.678,-5.184,-3.716,"[0.22, 0.0, -0.052]",turtlebot3_burger
0,44.6,[1.616],0.207,0.0,-0.003,0.654,-5.104,-3.654,"[0.22, 0.0, -0.047]",turtlebot3_burger
0,45.038,[1.704],0.22,0.0,-0.026,0.642,-5.029,-3.598,"[0.207, 0.0, -0.034]",turtlebot3_burger
0,45.441,[1.904],0.206,0.0,0.006,0.651,-4.962,-3.547,"[0.192, 0.0, -0.018]",turtlebot3_burger
0,45.842,[2.104],0.206,0.0,0.022,0.628,-4.897,-3.499,"[0.192, 0.0, 0.014]",turtlebot3_burger
0,46.244,[2.156],0.219,-0.0,0.074,0.653,-4.832,-3.451,"[0.22, 0.0, 0.049]",turtlebot3_burger
0,46.655,[2.099],0.207,0.0,-0.096,0.672,-4.761,-3.395,"[0.22, 0.0, 0.057]",turtlebot3_burger
0,47.088,[2.033],0.208,0.0,0.041,0.689,-4.687,-3.336,"[0.22, 0.0, -0.067]",turtlebot3_burger
0,47.499,[1.974],0.221,0.0,-0.078,0.663,-4.621,-3.283,"[0.22, 0.0, -0.102]",turtlebot3_burger
0,47.944,[1.918],0.22,0.0,-0.057,0.632,-4.546,-3.227,"[0.22, 0.0, -0.082]",turtlebot3_burger
0,48.386,[1.868],0.219,0.0,0.093,0.645,-4.464,-3.167,"[0.207, 0.0, 0.051]",turtlebot3_burger
0,48.791,[1.819],0.206,-0.0,0.067,0.657,-4.396,-3.115,"[0.22, 0.0, 0.076]",turtlebot3_burger
0,49.202,[1.758],0.207,-0.0,0.013,0.67,-4.329,-3.062,"[0.206, 0.0, -0.029]",turtlebot3_burger
0,49.642,[1.698],0.206,-0.0,0.064,0.678,-4.256,-3.004,"[0.22, 0.0, 0.089]",turtlebot3_burger
0,50.046,[1.646],0.219,-0.0,0.054,0.694,-4.184,-2.944,"[0.22, 0.0, 0.023]",turtlebot3_burger
0,50.49,[1.59],0.208,0.0,-0.163,0.667,-4.112,-2.886,"[0.22, 0.0, -0.086]",turtlebot3_burger
0,50.894,[1.528],0.207,0.0,-0.11,0.635,-4.045,-2.835,"[0.22, 0.0, -0.116]",turtlebot3_burger
0,51.34,[1.476],0.207,0.0,0.007,0.609,-3.969,-2.781,"[0.22, 0.0, 0.048]",turtlebot3_burger
0,51.743,[1.444],0.215,0.0,0.049,0.6,-3.899,-2.733,"[0.207, 0.0, -0.009]",turtlebot3_burger
0,52.191,[1.379],0.208,0.0,-0.011,0.595,-3.816,-2.676,"[0.207, 0.0, -0.106]",turtlebot3_burger
0,52.645,[1.332],0.218,0.0,0.019,0.569,-3.738,-2.625,"[0.207, 0.0, -0.005]",turtlebot3_burger
0,53.095,[1.287],0.208,0.0,-0.023,0.56,-3.656,-2.573,"[0.22, 0.0, 0.1]",turtlebot3_burger
0,53.499,[1.27],0.206,0.0,0.11,0.593,-3.585,-2.527,"[0.22, 0.0, 0.09]",turtlebot3_burger
0,53.943,[1.22],0.219,0.0,0.057,0.621,-3.51,-2.474,"[0.22, 0.0, 0.114]",turtlebot3_burger
0,54.348,[1.204],0.211,0.0,-0.156,0.655,-3.435,-2.419,"[0.22, 0.0, -0.017]",turtlebot3_burger
0,54.795,[1.184],0.212,0.0,-0.017,0.649,-3.362,-2.363,"[0.22, 0.0, 0.183]",turtlebot3_burger
