episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.903,[1.097],-0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.314,[1.105],-0.179,0.0,-0.028,-0.018,-3.751,9.21,"[-0.173, 0.0, 0.099]",turtlebot3_burger
0,1.719,[1.107],-0.138,0.0,0.097,0.018,-3.816,9.211,"[-0.134, 0.0, 0.081]",turtlebot3_burger
0,2.166,[1.102],-0.114,0.0,-0.206,0.031,-3.871,9.209,"[-0.126, 0.0, 0.048]",turtlebot3_burger
0,2.568,[1.101],-0.135,0.0,-0.005,0.05,-3.923,9.207,"[-0.132, 0.0, -0.013]",turtlebot3_burger
0,3.014,[1.105],-0.119,-0.0,0.04,0.078,-3.978,9.203,"[-0.128, 0.0, -0.033]",turtlebot3_burger
0,3.415,[1.114],-0.131,0.0,-0.033,0.081,-4.032,9.199,"[-0.132, 0.0, -0.024]",turtlebot3_burger
0,3.87,[1.118],-0.001,-0.0,0.945,0.199,-4.068,9.196,"[0.127, 0.0, 0.707]",turtlebot3_burger
0,4.279,[1.124],-0.002,-0.0,0.995,0.659,-4.054,9.202,"[-0.22, 0.0, 1.233]",turtlebot3_burger
0,4.726,[1.192],-0.229,-0.0,0.975,1.115,-4.088,9.152,"[-0.22, 0.0, 0.951]",turtlebot3_burger
0,5.126,[1.156],-0.227,0.0,0.841,1.491,-4.113,9.065,"[-0.22, 0.0, 0.603]",turtlebot3_burger
0,5.574,[1.073],-0.22,-0.0,0.185,1.703,-4.109,8.972,"[-0.22, 0.0, 0.111]",turtlebot3_burger
0,6.018,[1.022],-0.22,0.0,-0.036,1.75,-4.093,8.875,"[-0.22, 0.0, 0.217]",turtlebot3_burger
0,6.419,[0.965],-0.218,0.0,-0.172,1.781,-4.076,8.79,"[-0.22, 0.0, -0.187]",turtlebot3_burger
0,6.871,[0.92],-0.217,0.0,-0.269,1.76,-4.057,8.697,"[-0.207, 0.0, -0.244]",turtlebot3_burger
0,7.318,[0.857],-0.219,0.0,-0.04,1.735,-4.041,8.599,"[-0.22, 0.0, -0.031]",turtlebot3_burger
0,7.718,[0.831],-0.207,0.0,0.151,1.768,-4.026,8.513,"[-0.192, 0.0, 0.177]",turtlebot3_burger
0,8.123,[0.818],-0.219,0.001,0.225,1.834,-4.008,8.432,"[-0.22, 0.0, 0.186]",turtlebot3_burger
0,8.567,[0.801],-0.222,-0.0,0.436,1.987,-3.977,8.341,"[-0.22, 0.0, 0.329]",turtlebot3_burger
0,9.014,[0.845],-0.219,-0.0,0.152,2.172,-3.925,8.252,"[-0.22, 0.0, 0.148]",turtlebot3_burger
0,9.418,[0.875],-0.219,-0.0,0.036,2.255,-3.872,8.182,"[-0.22, 0.0, 0.025]",turtlebot3_burger
0,9.822,[0.934],-0.217,0.0,-0.316,2.192,-3.818,8.113,"[-0.22, 0.0, -0.325]",turtlebot3_burger
0,10.222,[0.961],-0.206,0.0,-0.126,2.1,-3.772,8.04,"[-0.22, 0.0, -0.328]",turtlebot3_burger
0,10.67,[1.003],-0.216,0.0,-0.373,1.948,-3.73,7.956,"[-0.22, 0.0, -0.332]",turtlebot3_burger
0,11.122,[1.043],-0.215,0.0,-0.738,1.78,-3.7,7.86,"[-0.22, 0.0, -0.606]",turtlebot3_burger
0,11.522,[1.053],-0.203,0.0,-0.339,1.582,-3.692,7.777,"[-0.22, 0.0, -0.164]",turtlebot3_burger
0,11.972,[1.06],-0.22,-0.0,0.034,1.514,-3.695,7.683,"[-0.22, 0.0, -0.171]",turtlebot3_burger
0,12.414,[1.082],-0.22,0.0,-0.077,1.463,-3.703,7.581,"[-0.22, 0.0, -0.062]",turtlebot3_burger
0,12.818,[1.105],-0.192,0.0,-0.03,1.44,-3.714,7.496,"[-0.22, 0.0, -0.242]",turtlebot3_burger
0,13.226,[1.146],-0.221,-0.0,0.13,1.405,-3.727,7.412,"[-0.22, 0.0, 0.111]",turtlebot3_burger
0,13.667,[1.164],-0.214,0.0,-0.082,1.443,-3.74,7.318,"[-0.22, 0.0, -0.139]",turtlebot3_burger
0,14.07,[1.214],-0.22,-0.0,0.054,1.395,-3.753,7.232,"[-0.22, 0.0, -0.201]",turtlebot3_burger
0,14.47,[1.269],-0.209,-0.0,0.009,1.389,-3.769,7.147,"[-0.22, 0.0, -0.049]",turtlebot3_burger
0,14.915,[1.306],-0.219,0.0,0.062,1.424,-3.786,7.047,"[-0.22, 0.0, 0.085]",turtlebot3_burger
0,15.319,[1.361],-0.221,0.0,0.04,1.427,-3.798,6.962,"[-0.22, 0.0, 0.032]",turtlebot3_burger
0,15.767,[1.415],-0.22,0.0,-0.011,1.449,-3.81,6.867,"[-0.22, 0.0, -0.002]",turtlebot3_burger
0,16.17,[1.467],-0.219,0.0,-0.052,1.451,-3.821,6.781,"[-0.207, 0.0, -0.044]",turtlebot3_burger
0,16.621,[1.44],-0.219,0.0,-0.099,1.46,-3.832,6.685,"[-0.22, 0.0, 0.285]",turtlebot3_burger
0,17.068,[1.412],-0.216,0.0,0.123,1.509,-3.841,6.59,"[-0.22, 0.0, 0.049]",turtlebot3_burger
0,17.474,[1.386],-0.22,0.0,0.039,1.514,-3.846,6.505,"[-0.22, 0.0, 0.03]",turtlebot3_burger
0,17.916,[1.37],-0.222,-0.0,0.115,1.574,-3.849,6.402,"[-0.207, 0.0, 0.194]",turtlebot3_burger
0,18.366,[1.364],-0.22,0.0,0.001,1.539,-3.851,6.309,"[-0.22, 0.0, 0.0]",turtlebot3_burger
0,18.772,[1.367],-0.22,-0.0,0.229,1.556,-3.853,6.221,"[-0.22, 0.0, -0.009]",turtlebot3_burger
0,19.176,[1.352],-0.22,-0.0,-0.01,1.564,-3.854,6.134,"[-0.22, 0.0, -0.215]",turtlebot3_burger
0,19.613,[1.357],-0.2,0.0,-0.097,1.523,-3.857,6.04,"[-0.22, 0.0, -0.22]",turtlebot3_burger
0,20.022,[1.37],-0.22,-0.0,-0.16,1.499,-3.864,5.946,"[-0.22, 0.0, -0.048]",turtlebot3_burger
0,20.469,[1.382],-0.221,-0.0,0.139,1.481,-3.871,5.854,"[-0.22, 0.0, 0.131]",turtlebot3_burger
0,20.921,[1.38],-0.221,0.0,0.118,1.543,-3.877,5.752,"[-0.22, 0.0, 0.095]",turtlebot3_burger
0,21.374,[1.378],-0.222,0.0,0.065,1.55,-3.879,5.658,"[-0.22, 0.0, 0.09]",turtlebot3_burger
0,21.823,[1.375],-0.221,-0.0,0.115,1.587,-3.879,5.554,"[-0.207, 0.0, 0.091]",turtlebot3_burger
0,22.264,[1.367],-0.205,0.0,-0.078,1.591,-3.876,5.459,"[-0.192, 0.0, -0.087]",turtlebot3_burger
0,22.675,[1.358],-0.222,-0.0,0.248,1.61,-3.875,5.375,"[-0.22, 0.0, -0.072]",turtlebot3_burger
0,23.123,[1.359],-0.219,0.0,-0.079,1.586,-3.871,5.274,"[-0.207, 0.0, -0.081]",turtlebot3_burger
0,23.569,[1.364],-0.219,0.0,-0.084,1.572,-3.871,5.181,"[-0.22, 0.0, -0.076]",turtlebot3_burger
0,24.015,[1.365],-0.219,0.0,-0.076,1.563,-3.871,5.082,"[-0.22, 0.0, -0.068]",turtlebot3_burger
0,24.417,[1.37],-0.219,-0.0,0.093,1.574,-3.872,4.995,"[-0.22, 0.0, -0.072]",turtlebot3_burger
0,24.82,[1.362],-0.221,0.0,0.134,1.579,-3.872,4.91,"[-0.22, 0.0, 0.12]",turtlebot3_burger
0,25.221,[1.357],-0.218,0.0,-0.254,1.567,-3.871,4.824,"[-0.22, 0.0, -0.045]",turtlebot3_burger
