episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.133,[1.306],-0.0,-0.0,-0.004,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",youbot
0,1.635,[1.391],0.317,0.36,0.06,0.032,-10.553,-10.799,"[0.533, 0.574, 0.316]",youbot
0,2.036,[1.55],0.306,0.361,0.072,0.058,-10.437,-10.653,"[0.506, 0.61, 0.231]",youbot
0,2.5,[1.756],0.292,0.376,0.052,0.079,-10.315,-10.481,"[0.501, 0.617, 0.094]",youbot
0,2.966,[1.921],0.293,0.373,0.014,0.095,-10.189,-10.29,"[0.497, 0.621, 0.087]",youbot
0,3.382,[2.087],0.296,0.376,0.017,0.106,-10.083,-10.124,"[0.494, 0.628, -0.001]",youbot
0,3.804,[2.295],0.286,0.377,-0.027,0.112,-9.978,-9.953,"[0.491, 0.625, 0.017]",youbot
0,4.235,[2.458],0.291,0.373,0.003,0.112,-9.872,-9.781,"[0.491, 0.624, -0.058]",youbot
0,4.73,[2.659],0.294,0.373,-0.0,0.108,-9.743,-9.572,"[0.492, 0.623, -0.002]",youbot
0,5.233,[2.859],0.29,0.37,-0.027,0.105,-9.623,-9.38,"[0.491, 0.625, -0.049]",youbot
0,5.696,[3.057],0.293,0.373,0.006,0.099,-9.506,-9.197,"[0.493, 0.623, -0.029]",youbot
0,6.174,[3.218],0.293,0.373,0.009,0.098,-9.382,-9.003,"[0.488, 0.621, 0.019]",youbot
0,6.646,[3.417],0.293,0.373,-0.01,0.096,-9.259,-8.812,"[0.488, 0.62, -0.046]",youbot
0,7.091,[3.406],0.293,0.375,-0.011,0.093,-9.149,-8.637,"[0.482, 0.63, 0.0]",youbot
0,7.517,[3.029],0.292,0.376,0.013,0.091,-9.036,-8.46,"[0.486, 0.624, 0.06]",youbot
0,7.942,[2.707],0.293,0.372,0.006,0.099,-8.928,-8.292,"[0.492, 0.621, -0.031]",youbot
0,8.359,[2.484],0.297,0.37,0.006,0.099,-8.82,-8.124,"[0.493, 0.624, -0.043]",youbot
0,8.78,[2.352],0.294,0.372,-0.007,0.098,-8.713,-7.956,"[0.489, 0.623, 0.039]",youbot
0,9.276,[2.195],0.295,0.377,-0.02,0.097,-8.585,-7.756,"[0.492, 0.623, -0.002]",youbot
0,9.764,[2.044],0.291,0.373,-0.033,0.095,-8.462,-7.565,"[0.491, 0.623, 0.048]",youbot
0,10.27,[1.683],0.29,0.369,-0.024,0.095,-8.333,-7.365,"[0.492, 0.622, -0.048]",youbot
0,10.717,[1.32],0.296,0.372,0.006,0.089,-8.218,-7.188,"[0.491, 0.623, -0.019]",youbot
0,11.134,[1.19],0.291,0.374,-0.016,0.084,-8.111,-7.024,"[0.489, 0.624, -0.143]",youbot
0,11.582,[1.08],0.282,0.383,-0.007,0.076,-7.99,-6.84,"[0.492, 0.622, -0.017]",youbot
0,12.025,[0.991],0.288,0.376,-0.045,0.074,-7.876,-6.668,"[0.488, 0.62, -0.02]",youbot
0,12.517,[0.791],0.292,0.375,0.005,0.071,-7.745,-6.471,"[0.489, 0.625, 0.026]",youbot
0,12.956,[0.49],0.292,0.373,0.002,0.072,-7.628,-6.297,"[0.491, 0.624, -0.002]",youbot
0,13.359,[0.428],0.271,0.389,-0.009,0.065,-7.525,-6.136,"[0.488, 0.626, -0.071]",youbot
0,13.787,[0.592],0.291,0.374,-0.012,0.065,-7.415,-5.97,"[0.484, 0.628, -0.02]",youbot
0,14.284,[4.44],0.291,0.374,-0.039,0.053,-7.278,-5.768,"[0.488, 0.623, -0.007]",youbot
0,14.756,[4.192],0.294,0.373,0.01,0.054,-7.152,-5.589,"[0.492, 0.626, 0.058]",youbot
0,15.229,[3.98],0.294,0.372,-0.017,0.056,-7.021,-5.401,"[0.492, 0.622, -0.074]",youbot
