episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.401,[1.198],0.0,0.0,-0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",jackal
0,0.901,[1.199],0.688,-0.0,-0.0,-0.0,-8.445,-9.19,"[1.923, 0.0, 0.33]",jackal
0,1.403,[1.206],1.658,0.0,-0.004,0.01,-7.735,-9.189,"[1.586, 0.0, -0.016]",jackal
0,1.9,[1.027],1.378,-0.007,0.047,0.025,-6.992,-9.179,"[1.466, 0.0, 0.034]",jackal
0,2.401,[0.541],0.648,-0.0,0.003,0.025,-6.361,-9.163,"[-0.141, 0.0, 0.581]",jackal
0,2.801,[0.519],-0.16,-0.0,0.018,0.025,-6.311,-9.161,"[-0.135, 0.0, 0.566]",jackal
0,3.3,[0.718],-0.164,0.029,0.888,0.267,-6.469,-9.198,"[0.317, 0.0, 0.153]",jackal
0,3.701,[0.791],0.044,0.142,-1.275,0.272,-6.468,-9.166,"[0.405, 0.0, -0.048]",jackal
0,4.103,[0.701],0.461,-0.005,0.035,0.207,-6.293,-9.124,"[0.266, 0.0, 0.229]",jackal
0,4.509,[0.791],0.024,0.084,-0.688,0.265,-6.218,-9.114,"[0.261, 0.0, -1.299]",jackal
0,5.005,[0.733],0.573,-0.025,0.198,0.155,-6.031,-9.073,"[0.351, 0.0, 0.268]",jackal
0,5.504,[0.741],-0.425,-0.0,-0.003,0.287,-6.015,-9.093,"[-0.572, 0.0, -1.109]",jackal
0,6.002,[0.83],0.499,-0.002,-0.056,0.235,-6.122,-9.096,"[0.665, 0.0, 0.33]",jackal
0,6.5,[0.732],-0.448,0.004,-0.067,0.272,-6.005,-9.073,"[-0.656, 0.0, -1.142]",jackal
0,6.9,[0.846],0.6,-0.0,0.013,0.159,-6.074,-9.082,"[0.65, 0.0, 0.356]",jackal
0,7.401,[0.71],0.362,-0.019,0.15,0.249,-5.841,-9.044,"[-0.352, 0.0, -1.096]",jackal
0,7.801,[0.908],-0.306,0.008,-0.304,0.15,-5.93,-9.056,"[0.755, 0.0, 0.19]",jackal
0,8.204,[0.996],0.824,-0.004,0.034,0.141,-5.777,-9.036,"[0.683, 0.0, 0.378]",jackal
