episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.4,[1.109],0.0,-0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,0.8,[1.109],0.0,-0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,1.306,[1.129],0.456,0.014,-0.117,-0.152,-3.605,9.208,"[0.616, 0.0, -0.759]",jackal
0,1.803,[0.976],0.152,-0.01,0.072,-0.317,-3.342,9.154,"[-0.52, 0.0, -1.049]",jackal
0,2.3,[1.129],-0.042,-0.0,-0.002,-0.494,-3.488,9.237,"[0.431, 0.0, -1.245]",jackal
0,2.701,[1.032],0.629,0.059,-1.003,-0.728,-3.377,9.163,"[0.766, 0.0, -1.371]",jackal
0,3.2,[0.847],1.469,0.052,-0.399,-1.36,-3.131,8.792,"[1.844, 0.0, -1.546]",jackal
0,3.701,[0.892],1.98,0.161,-1.067,-1.929,-3.08,7.929,"[2.0, 0.0, -0.474]",jackal
0,4.202,[1.289],1.985,-0.129,0.904,-1.869,-3.517,7.003,"[2.0, 0.0, 0.735]",jackal
0,4.604,[1.136],1.998,-0.074,0.56,-1.552,-3.655,6.22,"[2.0, 0.0, -0.109]",jackal
0,5.1,[0.752],2.007,0.044,-0.337,-1.587,-3.638,5.221,"[2.0, 0.0, 0.282]",jackal
0,5.503,[1.009],1.985,0.109,-0.822,-1.606,-3.631,4.419,"[2.0, 0.0, 0.484]",jackal
0,6.003,[1.084],1.998,0.085,-0.652,-1.653,-3.643,3.43,"[2.0, 0.0, 0.635]",jackal
0,6.502,[1.176],1.982,0.094,-0.72,-1.488,-3.651,2.486,"[2.0, 0.0, -0.582]",jackal
0,6.902,[1.2],1.98,-0.224,1.584,-1.497,-3.665,1.655,"[2.0, 0.0, 1.044]",jackal
0,7.402,[1.171],2.002,0.032,-0.254,-1.315,-3.436,0.698,"[2.0, 0.0, 0.792]",jackal
0,7.901,[1.7],2.001,0.067,-0.504,-1.092,-3.079,-0.231,"[2.0, 0.0, -0.25]",jackal
0,8.311,[1.791],1.972,-0.184,1.367,-1.048,-2.746,-0.953,"[2.0, 0.0, -0.337]",jackal
0,8.802,[1.25],1.951,-0.034,0.309,-1.169,-2.25,-1.812,"[2.0, 0.0, 0.645]",jackal
0,9.203,[1.299],1.999,0.081,-0.604,-1.06,-1.872,-2.514,"[2.0, 0.0, -0.488]",jackal
0,9.7,[2.24],2.011,-0.005,0.053,-1.053,-1.422,-3.402,"[2.0, 0.0, 0.646]",jackal
0,10.102,[1.159],1.88,0.059,-0.439,-1.064,-1.009,-4.062,"[1.362, 0.0, 0.223]",jackal
0,10.603,[0.628],0.794,-0.003,0.025,-1.006,-0.744,-4.598,"[0.132, 0.0, 0.666]",jackal
0,11.102,[0.485],-0.358,0.045,-0.337,-1.076,-0.659,-4.712,"[-0.75, 0.0, 0.843]",jackal
0,11.601,[0.684],-0.886,-0.03,-0.56,-0.986,-0.859,-4.422,"[-0.84, 0.0, -0.698]",jackal
0,12.001,[0.905],-0.228,-0.001,0.037,-1.071,-1.009,-4.172,"[0.121, 0.0, 1.066]",jackal
0,12.403,[0.944],-0.44,0.006,-0.046,-0.864,-1.055,-4.129,"[-0.604, 0.0, 0.138]",jackal
0,12.903,[1.187],-0.192,-0.0,-0.0,-0.848,-1.199,-3.967,"[-0.037, 0.0, -0.029]",jackal
0,13.401,[1.165],0.023,0.0,-0.019,-0.849,-1.17,-4.0,"[-0.026, 0.0, 0.048]",jackal
0,13.804,[1.081],0.211,-0.028,0.215,-0.808,-1.149,-4.03,"[0.146, 0.0, 0.031]",jackal
0,14.3,[0.929],0.146,-0.042,0.322,-0.72,-1.075,-4.119,"[0.247, 0.0, 0.165]",jackal
0,14.801,[0.741],1.109,-0.016,-0.082,-0.709,-0.882,-4.287,"[1.445, 0.0, 0.146]",jackal
0,15.202,[0.529],1.971,-0.003,-0.021,-0.703,-0.436,-4.667,"[2.0, 0.0, -0.238]",jackal
0,15.701,[1.277],1.999,0.103,-0.798,-0.879,0.294,-5.349,"[2.0, 0.0, -0.543]",jackal
0,16.2,[0.696],2.001,0.058,-0.435,-1.171,0.837,-6.184,"[2.0, 0.0, -0.314]",jackal
0,16.601,[0.653],2.001,0.092,-0.698,-1.445,1.083,-6.937,"[2.0, 0.0, -0.442]",jackal
0,17.101,[1.656],1.983,-0.111,0.846,-1.461,1.119,-7.928,"[2.0, 0.0, 0.571]",jackal
0,17.601,[1.379],1.574,0.001,-0.018,-1.111,1.343,-8.835,"[1.451, 0.0, 0.684]",jackal
1,18.003,[1.11],0.576,0.023,-0.435,-0.015,-3.647,9.211,"[0.311, 0.0, -1.096]",jackal
1,18.501,[1.027],0.438,0.028,-0.211,-0.25,-3.393,9.202,"[-0.075, 0.0, -1.182]",jackal
1,19.002,[1.021],-0.117,0.097,-0.741,-0.769,-3.36,9.276,"[0.546, 0.0, -1.69]",jackal
1,19.402,[0.96],0.56,0.097,-1.331,-1.021,-3.276,9.189,"[0.896, 0.0, -1.642]",jackal
1,19.902,[0.808],1.325,0.086,-0.667,-1.374,-3.087,8.727,"[1.75, 0.0, -1.671]",jackal
1,20.4,[0.895],1.973,0.301,-1.375,-2.026,-3.083,7.879,"[2.0, 0.0, -0.383]",jackal
1,20.802,[1.283],1.997,-0.125,0.948,-1.911,-3.451,7.186,"[2.0, 0.0, 0.57]",jackal
1,21.202,[1.153],2.0,-0.07,0.542,-1.586,-3.627,6.412,"[2.0, 0.0, 0.404]",jackal
1,21.701,[1.027],1.937,0.059,-0.448,-1.372,-3.543,5.425,"[2.0, 0.0, -0.733]",jackal
1,22.2,[1.05],1.985,-0.064,0.47,-1.676,-3.493,4.434,"[2.0, 0.0, -0.422]",jackal
1,22.603,[1.127],2.0,-0.079,0.598,-1.672,-3.597,3.653,"[2.0, 0.0, 0.459]",jackal
1,23.101,[1.218],1.95,-0.106,0.802,-1.627,-3.675,2.661,"[1.961, 0.0, 0.503]",jackal
1,23.601,[0.7],0.701,-0.05,0.46,-1.516,-3.665,1.893,"[0.596, 0.0, 0.843]",jackal
1,24.002,[0.689],-0.491,-0.014,0.103,-1.155,-3.698,1.763,"[-0.896, 0.0, -0.561]",jackal
1,24.5,[1.131],-0.122,0.0,-0.0,-1.18,-3.788,1.979,"[0.433, 0.0, -0.755]",jackal
1,25.0,[1.187],0.449,0.008,-0.076,-1.335,-3.725,1.821,"[0.445, 0.0, -0.665]",jackal
1,25.5,[0.813],0.915,-0.156,1.203,-1.333,-3.67,1.42,"[0.889, 0.0, 0.774]",jackal
1,26.003,[0.406],0.874,-0.077,0.594,-1.03,-3.505,0.957,"[0.346, 0.0, 0.912]",jackal
1,26.506,[0.31],-0.191,-0.002,0.051,-1.017,-3.409,0.798,"[-1.091, 0.0, 0.076]",jackal
1,27.0,[0.401],-0.616,-0.02,0.156,-0.916,-3.58,1.035,"[-1.495, 0.0, -0.879]",jackal
1,27.403,[0.817],-1.317,-0.029,-1.024,-1.006,-3.837,1.374,"[-0.698, 0.0, -1.156]",jackal
1,27.9,[1.06],0.334,-0.008,0.153,-1.309,-3.98,1.571,"[0.326, 0.0, 0.356]",jackal
1,28.3,[0.926],0.117,-0.011,0.086,-1.214,-3.957,1.466,"[0.022, 0.0, 0.448]",jackal
1,28.8,[0.68],0.214,-0.066,0.799,-1.042,-3.955,1.416,"[0.296, 0.0, 0.972]",jackal
1,29.303,[0.668],-0.667,0.011,-0.094,-0.806,-4.05,1.47,"[-0.585, 0.0, -0.13]",jackal
1,29.8,[0.863],-0.73,0.02,-0.174,-0.881,-4.221,1.671,"[-0.46, 0.0, -0.236]",jackal
1,30.201,[1.044],0.019,0.0,0.0,-0.872,-4.347,1.823,"[0.548, 0.0, 0.949]",jackal
1,30.7,[0.897],-0.029,0.054,-0.405,-0.904,-4.243,1.719,"[-0.805, 0.0, 0.179]",jackal
1,31.1,[0.977],0.303,0.0,-0.001,-0.854,-4.298,1.782,"[0.646, 0.0, -0.088]",jackal
1,31.501,[0.773],0.384,0.006,-0.067,-0.87,-4.143,1.607,"[0.719, 0.0, 0.032]",jackal
1,32.001,[0.612],0.377,0.016,-0.122,-0.856,-4.011,1.445,"[0.01, 0.0, -0.087]",jackal
1,32.401,[0.494],0.983,-0.001,-0.041,-0.872,-3.907,1.325,"[0.221, 0.0, 0.248]",jackal
1,32.902,[0.366],0.839,0.0,0.031,-0.847,-3.732,1.113,"[2.0, 0.0, 0.247]",jackal
1,33.306,[0.653],1.913,-0.033,0.258,-0.823,-3.342,0.677,"[2.0, 0.0, 0.583]",jackal
1,33.8,[0.959],1.863,0.002,-0.05,-0.381,-2.58,0.074,"[1.87, 0.0, -0.723]",jackal
1,34.2,[1.27],1.152,-0.018,0.135,-0.658,-1.989,-0.209,"[0.916, 0.0, 0.261]",jackal
1,34.602,[0.946],0.428,-0.038,0.295,-0.625,-1.745,-0.4,"[0.244, 0.0, 0.426]",jackal
1,35.101,[0.814],0.156,-0.083,0.64,-0.31,-1.687,-0.479,"[0.191, 0.0, 1.36]",jackal
1,35.6,[0.793],-0.116,-0.022,0.405,0.028,-1.763,-0.522,"[0.195, 0.0, 0.609]",jackal
1,36.103,[0.744],1.413,-0.012,-0.084,0.21,-1.484,-0.465,"[2.0, 0.0, -0.222]",jackal
1,36.609,[0.846],1.874,0.123,-0.924,0.075,-0.562,-0.286,"[1.65, 0.0, -0.94]",jackal
1,37.101,[1.428],1.246,0.184,-1.408,-0.489,0.144,-0.32,"[1.233, 0.0, -1.184]",jackal
1,37.601,[0.964],1.026,0.027,-0.203,-1.103,0.582,-0.703,"[1.062, 0.0, -0.154]",jackal
1,38.101,[0.529],0.922,-0.005,-0.037,-1.124,0.783,-1.114,"[1.24, 0.0, 0.194]",jackal
1,38.513,[0.573],1.991,0.068,-0.518,-1.155,1.069,-1.703,"[2.0, 0.0, -0.783]",jackal
1,39.0,[1.139],2.003,0.05,-0.382,-1.489,1.326,-2.619,"[2.0, 0.0, -0.24]",jackal
1,39.501,[0.837],2.0,0.066,-0.495,-1.678,1.351,-3.622,"[2.0, 0.0, -0.288]",jackal
1,39.903,[1.188],1.986,-0.094,0.718,-1.578,1.251,-4.423,"[2.0, 0.0, 0.427]",jackal
1,40.406,[1.432],1.965,0.006,-0.1,-1.365,1.343,-5.406,"[2.0, 0.0, -0.224]",jackal
