episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.482,[1.298],-0.0,0.0,0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,0.885,[1.294],-0.0,0.0,0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.397,[1.293],-0.0,0.0,0.0,-0.0,-10.63,-10.89,"[0.22, 0.0, -0.133]",turtlebot3_burger
0,1.881,[1.298],0.194,-0.0,0.346,0.023,-10.573,-10.89,"[0.22, 0.0, 0.614]",turtlebot3_burger
0,2.281,[1.302],0.215,-0.0,0.559,0.256,-10.489,-10.878,"[0.22, 0.0, 0.553]",turtlebot3_burger
0,2.688,[1.325],0.215,-0.0,0.52,0.476,-10.409,-10.847,"[0.22, 0.0, 0.519]",turtlebot3_burger
0,3.088,[1.357],0.215,-0.0,0.509,0.682,-10.337,-10.8,"[0.22, 0.0, 0.49]",turtlebot3_burger
0,3.583,[1.446],0.215,-0.0,0.473,0.919,-10.262,-10.723,"[0.22, 0.0, 0.447]",turtlebot3_burger
0,3.986,[1.514],0.217,-0.0,0.406,1.095,-10.217,-10.65,"[0.22, 0.0, -0.376]",turtlebot3_burger
0,4.387,[1.592],0.224,0.0,-0.402,1.047,-10.178,-10.572,"[0.22, 0.0, 0.316]",turtlebot3_burger
0,4.882,[1.675],0.224,0.0,-0.38,1.07,-10.123,-10.476,"[0.22, 0.0, -0.37]",turtlebot3_burger
0,5.284,[1.757],0.209,-0.0,0.287,0.979,-10.077,-10.403,"[0.22, 0.0, 0.398]",turtlebot3_burger
0,5.694,[1.826],0.223,0.0,-0.325,1.0,-10.029,-10.324,"[0.22, 0.0, -0.311]",turtlebot3_burger
0,6.194,[1.91],0.222,0.0,-0.256,1.042,-9.968,-10.231,"[0.22, 0.0, -0.302]",turtlebot3_burger
0,6.681,[2.014],0.208,-0.0,0.267,0.956,-9.912,-10.147,"[0.22, 0.0, 0.396]",turtlebot3_burger
0,7.081,[2.084],0.22,0.0,-0.306,0.994,-9.866,-10.074,"[0.22, 0.0, -0.259]",turtlebot3_burger
0,7.486,[2.153],0.216,-0.0,0.398,0.95,-9.814,-10.002,"[0.22, 0.0, 0.387]",turtlebot3_burger
0,7.987,[2.252],0.22,0.0,-0.247,0.943,-9.749,-9.905,"[0.22, 0.0, -0.211]",turtlebot3_burger
0,8.39,[2.321],0.212,0.0,0.164,0.981,-9.702,-9.84,"[0.22, 0.0, -0.21]",turtlebot3_burger
0,8.884,[2.41],0.216,-0.0,0.358,0.95,-9.633,-9.745,"[0.22, 0.0, -0.155]",turtlebot3_burger
0,9.285,[2.478],0.221,0.0,-0.178,0.914,-9.585,-9.679,"[0.22, 0.0, 0.307]",turtlebot3_burger
0,9.784,[2.567],0.215,0.0,-0.119,0.977,-9.522,-9.593,"[0.22, 0.0, -0.195]",turtlebot3_burger
0,10.286,[2.659],0.216,-0.0,0.179,0.891,-9.456,-9.504,"[0.22, 0.0, 0.367]",turtlebot3_burger
0,10.781,[2.752],0.221,0.0,-0.159,0.902,-9.39,-9.416,"[0.22, 0.0, 0.323]",turtlebot3_burger
0,11.183,[2.812],0.216,0.0,-0.098,0.939,-9.338,-9.348,"[0.22, 0.0, -0.172]",turtlebot3_burger
0,11.681,[2.905],0.216,-0.0,0.394,0.904,-9.269,-9.261,"[0.22, 0.0, -0.129]",turtlebot3_burger
0,12.082,[2.963],0.22,0.0,-0.141,0.895,-9.216,-9.191,"[0.22, 0.0, -0.157]",turtlebot3_burger
0,12.487,[3.052],0.217,-0.0,0.383,0.931,-9.161,-9.124,"[0.22, 0.0, -0.133]",turtlebot3_burger
0,12.984,[3.099],0.222,0.0,-0.157,0.911,-9.098,-9.035,"[0.22, 0.0, -0.157]",turtlebot3_burger
0,13.485,[3.008],0.205,0.0,0.091,0.933,-9.029,-8.951,"[0.22, 0.0, -0.162]",turtlebot3_burger
0,13.985,[2.872],0.221,0.0,-0.146,0.87,-8.962,-8.865,"[0.22, 0.0, 0.326]",turtlebot3_burger
0,14.484,[2.791],0.221,0.0,-0.167,0.884,-8.894,-8.78,"[0.22, 0.0, -0.156]",turtlebot3_burger
0,14.884,[2.719],0.208,0.0,0.049,0.908,-8.838,-8.713,"[0.22, 0.0, -0.183]",turtlebot3_burger
0,15.285,[2.635],0.223,-0.0,0.164,0.859,-8.783,-8.646,"[0.22, 0.0, 0.308]",turtlebot3_burger
0,15.794,[2.565],0.221,0.0,-0.154,0.857,-8.709,-8.555,"[0.22, 0.0, 0.249]",turtlebot3_burger
0,16.285,[2.479],0.221,0.0,-0.165,0.87,-8.643,-8.476,"[0.22, 0.0, 0.235]",turtlebot3_burger
0,16.781,[2.359],0.22,0.0,-0.156,0.874,-8.574,-8.391,"[0.22, 0.0, -0.171]",turtlebot3_burger
0,17.181,[2.281],0.218,-0.0,0.29,0.898,-8.513,-8.32,"[0.22, 0.0, -0.174]",turtlebot3_burger
0,17.582,[2.205],0.222,0.0,-0.206,0.86,-8.458,-8.252,"[0.22, 0.0, 0.239]",turtlebot3_burger
0,18.088,[2.108],0.222,0.0,-0.227,0.849,-8.386,-8.166,"[0.22, 0.0, 0.235]",turtlebot3_burger
0,18.583,[2.03],0.222,0.0,-0.232,0.878,-8.316,-8.082,"[0.22, 0.0, -0.228]",turtlebot3_burger
0,19.102,[1.961],0.222,0.0,-0.258,0.863,-8.245,-7.998,"[0.22, 0.0, -0.234]",turtlebot3_burger
0,19.581,[2.061],0.209,0.0,-0.041,0.896,-8.174,-7.917,"[0.22, 0.0, -0.297]",turtlebot3_burger
0,19.992,[2.0],0.218,-0.0,0.27,0.87,-8.118,-7.85,"[0.22, 0.0, -0.219]",turtlebot3_burger
0,20.481,[1.6],0.217,-0.0,0.308,0.856,-8.047,-7.769,"[0.22, 0.0, 0.253]",turtlebot3_burger
0,20.885,[1.478],0.224,0.0,-0.396,0.831,-7.991,-7.701,"[0.22, 0.0, 0.101]",turtlebot3_burger
0,21.297,[1.372],0.218,-0.0,0.193,0.861,-7.931,-7.636,"[0.22, 0.0, 0.15]",turtlebot3_burger
0,21.783,[1.275],0.22,0.0,0.048,0.833,-7.86,-7.552,"[0.22, 0.0, 0.069]",turtlebot3_burger
0,22.188,[1.191],0.219,0.0,0.125,0.871,-7.802,-7.486,"[0.22, 0.0, 0.115]",turtlebot3_burger
0,22.681,[1.074],0.218,-0.0,0.201,0.897,-7.733,-7.403,"[0.22, 0.0, -0.32]",turtlebot3_burger
0,23.082,[0.997],0.215,0.0,0.139,0.853,-7.676,-7.336,"[0.22, 0.0, 0.191]",turtlebot3_burger
0,23.484,[0.92],0.225,0.0,-0.504,0.857,-7.621,-7.269,"[0.22, 0.0, -0.587]",turtlebot3_burger
0,23.982,[0.802],0.224,0.0,-0.435,0.642,-7.539,-7.194,"[0.22, 0.0, -0.605]",turtlebot3_burger
0,24.481,[0.787],0.232,0.001,-1.492,0.153,-7.437,-7.145,"[0.22, 0.0, -1.047]",turtlebot3_burger
0,24.899,[0.689],0.224,0.0,-0.795,-0.287,-7.346,-7.152,"[0.22, 0.0, -0.853]",turtlebot3_burger
0,25.382,[0.646],0.224,0.0,-0.463,-0.574,-7.246,-7.201,"[0.22, 0.0, -0.519]",turtlebot3_burger
0,25.888,[0.533],0.223,0.0,-0.288,-0.868,-7.163,-7.275,"[0.22, 0.0, -0.932]",turtlebot3_burger
0,26.388,[0.582],0.233,0.001,-1.501,-1.448,-7.113,-7.374,"[0.22, 0.0, -1.555]",turtlebot3_burger
0,26.883,[0.693],0.231,0.0,-1.165,-2.152,-7.14,-7.484,"[0.22, 0.0, -1.204]",turtlebot3_burger
0,27.292,[0.813],0.229,0.0,-1.019,-2.636,-7.207,-7.546,"[0.22, 0.0, -0.837]",turtlebot3_burger
0,27.784,[0.964],0.23,0.0,-1.052,-3.115,-7.316,-7.577,"[0.22, 0.0, -1.08]",turtlebot3_burger
0,28.186,[1.072],0.229,0.0,-0.982,2.757,-7.405,-7.561,"[0.22, 0.0, -0.93]",turtlebot3_burger
0,28.598,[1.17],0.226,0.0,-0.907,2.392,-7.482,-7.512,"[0.22, 0.0, -0.85]",turtlebot3_burger
0,29.083,[1.255],0.226,0.0,-0.669,2.013,-7.547,-7.421,"[0.22, 0.0, -0.675]",turtlebot3_burger
0,29.587,[1.403],0.225,0.0,-0.543,1.708,-7.579,-7.313,"[0.22, 0.0, -0.53]",turtlebot3_burger
0,30.081,[1.63],0.224,0.0,-0.436,1.482,-7.581,-7.209,"[0.22, 0.0, -0.394]",turtlebot3_burger
0,30.485,[1.885],0.223,0.0,-0.377,1.31,-7.564,-7.114,"[0.22, 0.0, -0.373]",turtlebot3_burger
0,30.889,[1.908],0.223,0.0,-0.343,1.167,-7.535,-7.029,"[0.22, 0.0, -0.316]",turtlebot3_burger
0,31.382,[1.9],0.223,0.0,-0.299,1.014,-7.483,-6.931,"[0.22, 0.0, -0.301]",turtlebot3_burger
0,31.784,[1.919],0.223,0.0,-0.232,0.903,-7.432,-6.858,"[0.22, 0.0, -0.222]",turtlebot3_burger
0,32.291,[2.107],0.222,0.0,-0.216,0.792,-7.359,-6.775,"[0.22, 0.0, -0.202]",turtlebot3_burger
0,32.781,[2.326],0.216,-0.0,0.347,0.774,-7.279,-6.7,"[0.22, 0.0, 0.339]",turtlebot3_burger
0,33.182,[2.417],0.222,0.0,-0.194,0.787,-7.218,-6.637,"[0.22, 0.0, -0.177]",turtlebot3_burger
0,33.592,[2.414],0.217,-0.0,0.348,0.834,-7.157,-6.575,"[0.22, 0.0, -0.153]",turtlebot3_burger
0,34.081,[2.42],0.217,-0.0,0.242,0.782,-7.087,-6.5,"[0.22, 0.0, 0.354]",turtlebot3_burger
0,34.489,[2.437],0.222,0.0,-0.197,0.818,-7.023,-6.431,"[0.22, 0.0, -0.175]",turtlebot3_burger
0,34.996,[2.511],0.217,-0.0,0.329,0.847,-6.947,-6.353,"[0.22, 0.0, -0.149]",turtlebot3_burger
0,35.484,[2.644],0.217,-0.0,0.314,0.809,-6.873,-6.271,"[0.22, 0.0, 0.365]",turtlebot3_burger
0,35.886,[2.775],0.222,0.0,-0.198,0.838,-6.816,-6.207,"[0.22, 0.0, -0.172]",turtlebot3_burger
0,36.385,[2.939],0.221,0.0,-0.151,0.849,-6.741,-6.126,"[0.22, 0.0, -0.178]",turtlebot3_burger
0,36.79,[3.057],0.216,-0.0,0.355,0.839,-6.682,-6.062,"[0.22, 0.0, -0.141]",turtlebot3_burger
0,37.196,[3.088],0.204,0.0,0.142,0.813,-6.623,-5.998,"[0.22, 0.0, 0.366]",turtlebot3_burger
0,37.597,[3.118],0.221,0.0,-0.18,0.87,-6.567,-5.932,"[0.22, 0.0, -0.187]",turtlebot3_burger
0,38.088,[3.136],0.215,0.0,0.35,0.845,-6.492,-5.85,"[0.22, 0.0, -0.149]",turtlebot3_burger
0,38.586,[3.068],0.215,-0.0,0.356,0.852,-6.418,-5.768,"[0.22, 0.0, -0.156]",turtlebot3_burger
0,38.987,[3.055],0.225,-0.0,0.176,0.825,-6.36,-5.702,"[0.22, 0.0, 0.36]",turtlebot3_burger
0,39.488,[3.03],0.22,-0.0,0.011,0.828,-6.292,-5.624,"[0.22, 0.0, 0.356]",turtlebot3_burger
0,39.983,[2.981],0.219,0.0,-0.209,0.866,-6.218,-5.535,"[0.22, 0.0, -0.173]",turtlebot3_burger
0,40.483,[2.929],0.22,0.0,-0.177,0.83,-6.145,-5.453,"[0.22, 0.0, 0.312]",turtlebot3_burger
0,40.883,[2.893],0.22,0.0,-0.172,0.867,-6.088,-5.387,"[0.22, 0.0, -0.167]",turtlebot3_burger
0,41.288,[2.888],0.217,-0.0,0.365,0.874,-6.03,-5.321,"[0.22, 0.0, -0.139]",turtlebot3_burger
0,41.784,[2.927],0.22,0.0,-0.154,0.845,-5.96,-5.236,"[0.22, 0.0, 0.315]",turtlebot3_burger
0,42.189,[2.918],0.222,0.0,-0.147,0.912,-5.905,-5.17,"[0.22, 0.0, -0.194]",turtlebot3_burger
0,42.684,[2.962],0.22,-0.0,0.295,0.843,-5.833,-5.086,"[0.22, 0.0, 0.357]",turtlebot3_burger
0,43.19,[3.028],0.221,0.0,-0.162,0.84,-5.762,-5.002,"[0.22, 0.0, 0.317]",turtlebot3_burger
0,43.69,[2.911],0.221,0.0,-0.191,0.889,-5.693,-4.919,"[0.22, 0.0, -0.185]",turtlebot3_burger
0,44.183,[2.791],0.212,0.0,0.206,0.92,-5.623,-4.835,"[0.22, 0.0, -0.202]",turtlebot3_burger
0,44.682,[2.66],0.207,-0.0,0.133,0.851,-5.553,-4.75,"[0.22, 0.0, 0.351]",turtlebot3_burger
0,45.084,[2.529],0.222,0.0,-0.166,0.855,-5.502,-4.689,"[0.22, 0.0, 0.306]",turtlebot3_burger
0,45.581,[2.361],0.221,0.0,-0.188,0.839,-5.426,-4.601,"[0.22, 0.0, 0.307]",turtlebot3_burger
0,46.084,[2.245],0.219,0.0,-0.214,0.893,-5.357,-4.518,"[0.22, 0.0, -0.216]",turtlebot3_burger
0,46.485,[2.207],0.217,-0.0,0.359,0.889,-5.3,-4.451,"[0.22, 0.0, -0.179]",turtlebot3_burger
0,46.982,[2.137],0.221,0.0,-0.17,0.845,-5.235,-4.371,"[0.22, 0.0, 0.255]",turtlebot3_burger
0,47.485,[2.023],0.22,0.0,-0.196,0.882,-5.16,-4.283,"[0.22, 0.0, -0.222]",turtlebot3_burger
0,47.887,[1.99],0.218,-0.0,0.33,0.869,-5.102,-4.217,"[0.22, 0.0, 0.329]",turtlebot3_burger
0,48.383,[1.92],0.22,0.0,-0.152,0.849,-5.033,-4.132,"[0.22, 0.0, 0.267]",turtlebot3_burger
0,48.784,[1.893],0.222,0.0,-0.188,0.905,-4.978,-4.066,"[0.22, 0.0, -0.212]",turtlebot3_burger
0,49.282,[1.836],0.223,0.0,-0.184,0.902,-4.908,-3.981,"[0.22, 0.0, -0.215]",turtlebot3_burger
0,49.687,[1.782],0.218,-0.0,0.28,0.887,-4.851,-3.914,"[0.22, 0.0, -0.167]",turtlebot3_burger
0,50.184,[1.853],0.218,-0.0,0.266,0.883,-4.781,-3.83,"[0.22, 0.0, -0.167]",turtlebot3_burger
0,50.687,[2.003],0.219,-0.0,0.272,0.84,-4.711,-3.746,"[0.22, 0.0, 0.317]",turtlebot3_burger
0,51.198,[2.261],0.222,0.0,-0.242,0.864,-4.641,-3.661,"[0.22, 0.0, -0.211]",turtlebot3_burger
0,51.682,[2.258],0.213,0.0,-0.066,0.916,-4.571,-3.578,"[0.22, 0.0, -0.261]",turtlebot3_burger
0,52.102,[2.198],0.218,-0.0,0.268,0.846,-4.515,-3.51,"[0.22, 0.0, 0.328]",turtlebot3_burger
0,52.581,[2.133],0.222,-0.0,0.167,0.834,-4.443,-3.427,"[0.22, 0.0, 0.292]",turtlebot3_burger
0,53.006,[2.071],0.223,0.0,-0.241,0.868,-4.387,-3.36,"[0.22, 0.0, -0.251]",turtlebot3_burger
0,53.496,[1.982],0.218,-0.0,0.323,0.87,-4.313,-3.278,"[0.22, 0.0, -0.226]",turtlebot3_burger
0,53.985,[1.903],0.222,0.0,-0.243,0.79,-4.242,-3.196,"[0.22, 0.0, 0.198]",turtlebot3_burger
