episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.401,[1.102],0.0,0.0,-0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,0.801,[1.098],-0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.201,[1.093],0.11,0.0,-0.314,-0.01,-3.7,9.21,"[0.22, 0.0, -1.735]",turtlebot3_burger
0,1.602,[1.103],0.214,0.003,-1.404,-0.365,-3.636,9.2,"[0.22, 0.0, -1.476]",turtlebot3_burger
0,2.103,[1.153],0.193,0.0,-0.672,-1.04,-3.554,9.128,"[0.22, 0.0, -1.079]",turtlebot3_burger
0,2.601,[1.258],0.226,0.0,-0.637,-1.48,-3.522,9.022,"[0.22, 0.0, -0.461]",turtlebot3_burger
0,3.002,[1.236],0.223,0.0,-0.289,-1.634,-3.522,8.932,"[0.22, 0.0, -0.216]",turtlebot3_burger
0,3.501,[1.262],0.219,-0.0,0.16,-1.69,-3.535,8.824,"[0.22, 0.0, 0.192]",turtlebot3_burger
0,3.902,[1.276],0.22,-0.0,0.084,-1.686,-3.544,8.738,"[0.22, 0.0, 0.065]",turtlebot3_burger
0,4.403,[1.274],0.188,-0.0,0.279,-1.666,-3.555,8.632,"[0.22, 0.0, -0.17]",turtlebot3_burger
0,4.902,[1.265],0.219,-0.0,0.191,-1.655,-3.567,8.523,"[0.22, 0.0, -0.132]",turtlebot3_burger
0,5.403,[1.217],0.218,-0.0,0.293,-1.673,-3.576,8.415,"[0.22, 0.0, 0.315]",turtlebot3_burger
0,5.901,[1.172],0.222,0.0,-0.197,-1.651,-3.583,8.308,"[0.22, 0.0, -0.143]",turtlebot3_burger
0,6.401,[1.157],0.214,0.0,0.103,-1.602,-3.592,8.199,"[0.22, 0.0, -0.223]",turtlebot3_burger
0,6.9,[1.129],0.211,0.0,0.02,-1.634,-3.599,8.09,"[0.22, 0.0, -0.221]",turtlebot3_burger
0,7.301,[1.12],0.204,0.0,-0.026,-1.616,-3.606,8.003,"[0.22, 0.0, -0.182]",turtlebot3_burger
0,7.802,[1.108],0.218,-0.0,0.194,-1.625,-3.614,7.893,"[0.22, 0.0, -0.227]",turtlebot3_burger
