episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.1,[1.11],0.0,-0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,1.627,[1.136],0.252,0.022,-1.479,-0.353,-3.74,9.226,"[0.0, 0.0, 0.0]",jackal
0,2.04,[1.168],0.105,0.046,-0.353,-0.81,-3.678,9.241,"[1.999, 0.0, -1.536]",jackal
0,2.467,[1.075],1.624,0.013,-0.267,-0.823,-3.387,8.933,"[1.999, 0.0, -1.536]",jackal
0,2.942,[0.681],0.725,-0.116,0.883,-0.846,-2.991,8.444,"[0.0, 0.0, 0.0]",jackal
0,3.353,[0.634],0.0,-0.0,0.0,-0.558,-2.945,8.351,"[0.0, 0.0, 0.0]",jackal
0,3.781,[0.637],0.0,-0.0,0.0,-0.596,-2.94,8.348,"[0.0, 0.0, 0.0]",jackal
0,4.379,[0.635],0.0,-0.0,0.0,-0.596,-2.939,8.348,"[0.0, 0.0, 0.0]",jackal
0,4.811,[0.635],0.0,-0.0,0.0,-0.596,-2.939,8.348,"[0.0, 0.0, 0.0]",jackal
0,5.391,[0.636],0.0,-0.0,0.0,-0.596,-2.939,8.348,"[0.0, 0.0, 0.0]",jackal
0,5.835,[0.634],0.0,-0.0,0.0,-0.596,-2.939,8.348,"[0.0, 0.0, 0.0]",jackal
0,6.483,[0.635],0.0,-0.0,0.0,-0.596,-2.939,8.348,"[0.0, 0.0, 0.0]",jackal
0,6.93,[0.635],0.0,-0.0,0.0,-0.596,-2.939,8.348,"[0.0, 0.0, 0.0]",jackal
0,7.405,[0.635],0.0,-0.0,0.0,-0.596,-2.939,8.348,"[0.0, 0.0, 0.0]",jackal
0,7.85,[0.636],0.0,-0.0,0.0,-0.596,-2.939,8.348,"[0.0, 0.0, 0.0]",jackal
0,8.38,[0.638],0.0,-0.0,0.0,-0.596,-2.939,8.348,"[0.0, 0.0, 0.0]",jackal
0,8.801,[0.634],0.0,-0.0,0.0,-0.596,-2.939,8.348,"[0.0, 0.0, 0.0]",jackal
0,9.254,[0.633],0.0,-0.0,0.0,-0.596,-2.939,8.348,"[0.0, 0.0, 0.0]",jackal
0,9.674,[0.634],0.0,-0.0,0.0,-0.596,-2.938,8.347,"[0.0, 0.0, 0.0]",jackal
0,10.188,[0.635],0.0,-0.0,0.0,-0.596,-2.938,8.347,"[0.0, 0.0, 0.0]",jackal
